rt_matched_detected_BA	BSH_strain	t0hvt48h	culture_supplement_BA
GUDCA	Dny-BSH1	0.096316652607987	GLCA
Trp-UDCA	LCAG-95-BSH1208	0.0970593157573925	TDCA
TCDCA	Ep-BSH101	0.0974079916782857	TCA
Phe-UDCA	Ep-BSH101	0.0982101586821893	TDCA
Tyr-UDCA	Ep-BSH101	0.098310055017742	TDCA
Phe-UDCA	Ep-BSH101	0.0983760039709496	GCDCA
GCDCA	EcAZ-1-cat	0.0994008901450146	TLCA
Phe-UDCA	Lgasseri-BSH	0.10146983323496	TCA
Phe-UDCA	AZ-52	0.101537797926455	GUDCA
Trp-UDCA	Lgasseri-BSH	0.101655858364381	GCDCA
Phe-UDCA	EcAZ-1-cat	0.104287507002378	TCDCA
Trp-UDCA	Dny-BSH1	0.106217456706516	TDCA
GCA	Lgasseri-BSH	0.107379378806812	TDCA
TCDCA	AZ-52	0.107587387596714	TUDCA
GDCA	Dny-BSH1	0.108262586703026	TDCA
GCA	Dny-BSH2	0.108347373784496	GCA
Phe-UDCA	AZ-52	0.108826940336485	GCA
Trp-UDCA	Dny-BSH1	0.109245415672713	GUDCA
Trp-UDCA	AZ-52	0.109469070644334	TCA
GUDCA	Dny-BSH1	0.110061085106364	GDCA
GCDCA	Ep-BSH101	0.1121593302074	GUDCA
Lys-CDCA	AZ-52	0.112395664223878	TCDCA
Phe-UDCA	EcAZ-1-cat	0.112430623706783	TCA
Tyr-UDCA	AZ-52	0.113896375764509	TDCA
TCDCA	LCAG-95-BSH1208	0.116117065836126	TLCA
TUDCA	Dny-BSH2	0.116125882516664	TLCA
TUDCA	Lgasseri-BSH	0.116137870621751	GDCA
TCAA	AZ-52	0.11614614557919	TDCA
Trp-UDCA	ctrl	0.116188633552984	TDCA
TCDCA	ctrl	0.116339580988913	GCDCA
Lys-UDCA	Dny-BSH1	0.116341164409523	TUDCA
TCAA	ctrl	0.116377051476537	GUDCA
Trp-UDCA	Ep-BSH101	0.116478263753071	GCA
GUDCA	ctrl	0.116485176704276	TCA
Ile/Leu-UDCA	LCAG-95-BSH1208	0.116485735301285	TUDCA
TCDCA	AZ-52	0.11654698646588	TDCA
Phe-UDCA	EcAZ-1-cat	0.116624764409493	TDCA
TUDCA	EcAZ-1-cat	0.116768970264063	GCDCA
Tyr-UDCA	ctrl	0.116828019985949	GCDCA
TCAA	ctrl	0.116975632014415	GDCA
Phe-UDCA	Dny-BSH1	0.117097840972889	GCA
Ile/Leu-UDCA	LCAG-95-BSH1208	0.117098283383687	GUDCA
TUDCA	Ep-BSH101	0.117151188029307	GUDCA
Tyr-UDCA	AZ-52	0.117265847959111	GCA
TCDCA	Lgasseri-BSH	0.117369485908126	TUDCA
TUDCA	AZ-52	0.117746839996884	GLCA
Tyr-UDCA	Dny-BSH1	0.117856897358748	TLCA
TUDCA	Dny-BSH2	0.117901463091192	TCDCA
TCDCA	AZ-52	0.118016819382958	TCDCA
TCDCA	LCAG-95-BSH1208	0.11818360799792	GCA
Phe-UDCA	AZ-52	0.118468773729017	GLCA
Trp-UDCA	EcAZ-1-cat	0.118757822958703	GDCA
TCDCA	EcAZ-1-cat	0.119259983891169	TLCA
Tyr-UDCA	EcAZ-1-cat	0.119281871671893	TDCA
GUDCA	ctrl	0.119384818178151	TCDCA
GDCA	Dny-BSH2	0.120308291948427	GCDCA
Tyr-UDCA	LCAG-95-BSH1208	0.12055661540146	GCA
TLCA	Dny-BSH1	0.120732175450635	TCDCA
GUDCA	Dny-BSH1	0.120806878893891	TLCA
Phe-UDCA	EcAZ-1-cat	0.120848556974084	GUDCA
Tyr-UDCA	Lgasseri-BSH	0.121066009505862	TLCA
GCA	Ep-BSH101	0.121717555109319	TCDCA
TCDCA	ctrl	0.122320175224207	TCA
Trp-UDCA	AZ-52	0.122455643078874	TLCA
Tyr-UDCA	EcAZ-1-cat	0.122782732872995	TLCA
GUDCA	Dny-BSH1	0.123158626403101	TCA
TLCA	ctrl	0.124471407342963	TUDCA
TUDCA	AZ-52	0.124907483275212	GUDCA
GUDCA	Dny-BSH2	0.125192410733415	TCA
GUDCA	LCAG-95-BSH1208	0.125338253869735	TDCA
Phe-UDCA	EcAZ-1-cat	0.12533968108448	GCDCA
Phe-UDCA	Lgasseri-BSH	0.126334067842266	GCDCA
GDCA	Dny-BSH1	0.128120722248001	GCA
TLCA	Ep-BSH101	0.128127598202258	TUDCA
GDCA	LCAG-95-BSH1208	0.129045994004982	GUDCA
TDCA	LCAG-95-BSH1208	0.129086853995429	TUDCA
GCA	Ep-BSH101	0.131000433973527	GCDCA
GCDCA	Dny-BSH2	0.134380378803522	GUDCA
GUDCA	Dny-BSH2	0.134553837074221	TCDCA
GCDCA	ctrl	0.13458028064979	TUDCA
GCDCA	Dny-BSH2	0.13603605206497	GCA
Phe-UDCA	Dny-BSH2	0.138548060060727	TDCA
GDCA	EcAZ-1-cat	0.139964655066608	GCDCA
GCDCA	EcAZ-1-cat	0.141415620510575	GCA
GCA	AZ-52	0.141933063242313	GUDCA
GCDCA	EcAZ-1-cat	0.142132134600583	TDCA
