rt_matched_detected_BA	BSH_strain	t0hvt48h	culture_supplement_BA
GDCA	EcAZ-1-cat	0.953251707883998	TUDCA
GDCA	EcAZ-1-cat	0.954392790925739	TDCA
GCA	ctrl	0.954511176873541	GDCA
TUDCA	LCAG-95-BSH1208	0.955066536926518	TDCA
TCAA	Dny-BSH2	0.955946593746609	GLCA
GDCA	Dny-BSH2	0.957537305070921	GCA
TLCA	ctrl	0.958733563041541	TDCA
GCA	EcAZ-1-cat	0.961675789290874	GUDCA
Phe-UDCA	ctrl	0.962013166684751	TLCA
Trp-UDCA	ctrl	0.962485042797946	GUDCA
TDCA	Dny-BSH1	0.962487928762585	GUDCA
TLCA	ctrl	0.964322543241401	GLCA
TUDCA	Lgasseri-BSH	0.967063297194764	TDCA
TUDCA	AZ-52	0.968243271621262	TDCA
TUDCA	EcAZ-1-cat	0.969684756744281	GUDCA
TCAA	AZ-52	0.970116606879479	TLCA
GLCA	Ep-BSH101	0.9703167194699	GCDCA
GLCA	EcAZ-1-cat	0.971744912360285	TUDCA
TLCA	ctrl	0.973798623062041	TCA
GDCA	AZ-52	0.974310666295177	TUDCA
TDCA	Dny-BSH1	0.975142421024308	GCDCA
Tyr-UDCA	ctrl	0.976063594502054	GUDCA
TUDCA	LCAG-95-BSH1208	0.976230629763567	GCA
TUDCA	Dny-BSH2	0.976256708457074	TDCA
TCDCA	Dny-BSH2	0.977339675345594	GLCA
TCDCA	Lgasseri-BSH	0.978376819743879	TLCA
GLCA	Ep-BSH101	0.9784589597505	GDCA
GDCA	Lgasseri-BSH	0.979105103105409	GUDCA
TLCA	EcAZ-1-cat	0.979165963343832	TDCA
Tyr-UDCA	LCAG-95-BSH1208	0.979640058433056	TDCA
Tyr-UDCA	Ep-BSH101	0.979674886344037	TCA
GCA	AZ-52	0.979812230555845	GDCA
TUDCA	ctrl	0.98029255747849	GDCA
GDCA	ctrl	0.981711758255192	TUDCA
TDCA	Dny-BSH1	0.981858635508763	GCA
TUDCA	LCAG-95-BSH1208	0.983387827601862	GDCA
GLCA	Dny-BSH2	0.984580369114096	GCDCA
TCDCA	EcAZ-1-cat	0.984745739481261	TCDCA
GLCA	EcAZ-1-cat	0.986084427746839	TCA
GLCA	Lgasseri-BSH	0.986688249722244	GCA
TLCA	EcAZ-1-cat	0.98951528816932	TUDCA
TDCA	Lgasseri-BSH	0.9899200986846	TUDCA
GDCA	Ep-BSH101	0.990055367335117	TLCA
Trp-UDCA	ctrl	0.991607421706074	GDCA
TLCA	Ep-BSH101	0.993269460355351	TDCA
TLCA	EcAZ-1-cat	0.99330839205009	TCA
GUDCA	Ep-BSH101	0.995968412223327	TLCA
GCA	LCAG-95-BSH1208	0.997204458424743	TLCA
GUDCA	LCAG-95-BSH1208	0.997279063718198	TCDCA
GLCA	ctrl	0.997329453500319	TUDCA
TUDCA	ctrl	0.997512844836765	GCDCA
GLCA	ctrl	0.997727956846536	GCDCA
GUDCA	AZ-52	0.999667153366711	TLCA
TCAA	Dny-BSH2	NA	GCA
TCAA	Lgasseri-BSH	NA	GCA
TCAA	LCAG-95-BSH1208	NA	GCA
TCDCA	ctrl	NA	GCA
TLCA	Dny-BSH1	NA	GCA
TLCA	Dny-BSH2	NA	GCA
TLCA	Lgasseri-BSH	NA	GCA
TLCA	LCAG-95-BSH1208	NA	GCA
TLCA	Ep-BSH101	NA	GCA
TLCA	AZ-52	NA	GCA
TLCA	EcAZ-1-cat	NA	GCA
Ala-UDCA	Dny-BSH1	NA	GCA
Ala-UDCA	Dny-BSH2	NA	GCA
Ala-UDCA	Lgasseri-BSH	NA	GCA
Ala-UDCA	LCAG-95-BSH1208	NA	GCA
Ala-UDCA	Ep-BSH101	NA	GCA
Ala-UDCA	AZ-52	NA	GCA
Ala-UDCA	EcAZ-1-cat	NA	GCA
Ala-UDCA	ctrl	NA	GCA
Ile/Leu-UDCA	Dny-BSH1	NA	GCA
Ile/Leu-UDCA	Dny-BSH2	NA	GCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	GCA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA	GCA
Ile/Leu-UDCA	Ep-BSH101	NA	GCA
Ile/Leu-UDCA	AZ-52	NA	GCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	GCA
Ile/Leu-UDCA	ctrl	NA	GCA
Lys-UDCA	Dny-BSH1	NA	GCA
Lys-UDCA	Dny-BSH2	NA	GCA
Lys-UDCA	Lgasseri-BSH	NA	GCA
Lys-UDCA	LCAG-95-BSH1208	NA	GCA
Lys-UDCA	Ep-BSH101	NA	GCA
Lys-UDCA	AZ-52	NA	GCA
Lys-UDCA	EcAZ-1-cat	NA	GCA
Lys-UDCA	ctrl	NA	GCA
Lys-CA	Dny-BSH2	NA	GCA
Lys-CA	Lgasseri-BSH	NA	GCA
Lys-CA	LCAG-95-BSH1208	NA	GCA
Lys-CA	Ep-BSH101	NA	GCA
Lys-CA	EcAZ-1-cat	NA	GCA
Lys-CA	ctrl	NA	GCA
Lys-CDCA	Dny-BSH1	NA	GCA
Lys-CDCA	Dny-BSH2	NA	GCA
Lys-CDCA	Lgasseri-BSH	NA	GCA
Lys-CDCA	LCAG-95-BSH1208	NA	GCA
Lys-CDCA	Ep-BSH101	NA	GCA
Lys-CDCA	AZ-52	NA	GCA
Lys-CDCA	EcAZ-1-cat	NA	GCA
Lys-CDCA	ctrl	NA	GCA
TCAA	Dny-BSH1	NA	GCDCA
TCAA	Dny-BSH2	NA	GCDCA
TCAA	Lgasseri-BSH	NA	GCDCA
TCAA	Ep-BSH101	NA	GCDCA
TCAA	EcAZ-1-cat	NA	GCDCA
TCDCA	LCAG-95-BSH1208	NA	GCDCA
TCDCA	EcAZ-1-cat	NA	GCDCA
TLCA	LCAG-95-BSH1208	NA	GCDCA
TLCA	AZ-52	NA	GCDCA
TLCA	EcAZ-1-cat	NA	GCDCA
Ala-UDCA	Dny-BSH1	NA	GCDCA
Ala-UDCA	Dny-BSH2	NA	GCDCA
Ala-UDCA	Lgasseri-BSH	NA	GCDCA
Ala-UDCA	LCAG-95-BSH1208	NA	GCDCA
Ala-UDCA	Ep-BSH101	NA	GCDCA
Ala-UDCA	AZ-52	NA	GCDCA
Ala-UDCA	EcAZ-1-cat	NA	GCDCA
Ala-UDCA	ctrl	NA	GCDCA
Ile/Leu-UDCA	Dny-BSH1	NA	GCDCA
Ile/Leu-UDCA	Dny-BSH2	NA	GCDCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	GCDCA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA	GCDCA
Ile/Leu-UDCA	Ep-BSH101	NA	GCDCA
Ile/Leu-UDCA	AZ-52	NA	GCDCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	GCDCA
Ile/Leu-UDCA	ctrl	NA	GCDCA
Lys-UDCA	Dny-BSH1	NA	GCDCA
Lys-UDCA	Dny-BSH2	NA	GCDCA
Lys-UDCA	Lgasseri-BSH	NA	GCDCA
Lys-UDCA	LCAG-95-BSH1208	NA	GCDCA
Lys-UDCA	Ep-BSH101	NA	GCDCA
Lys-UDCA	AZ-52	NA	GCDCA
Lys-UDCA	EcAZ-1-cat	NA	GCDCA
Lys-UDCA	ctrl	NA	GCDCA
Lys-CA	Dny-BSH1	NA	GCDCA
Lys-CA	Dny-BSH2	NA	GCDCA
Lys-CA	Lgasseri-BSH	NA	GCDCA
Lys-CA	LCAG-95-BSH1208	NA	GCDCA
Lys-CA	Ep-BSH101	NA	GCDCA
Lys-CA	AZ-52	NA	GCDCA
Lys-CA	EcAZ-1-cat	NA	GCDCA
Lys-CA	ctrl	NA	GCDCA
Lys-CDCA	Dny-BSH2	NA	GCDCA
Lys-CDCA	Lgasseri-BSH	NA	GCDCA
Lys-CDCA	LCAG-95-BSH1208	NA	GCDCA
Lys-CDCA	EcAZ-1-cat	NA	GCDCA
Lys-CDCA	ctrl	NA	GCDCA
TCAA	Dny-BSH1	NA	GDCA
TCAA	Ep-BSH101	NA	GDCA
TCAA	AZ-52	NA	GDCA
TCDCA	Dny-BSH2	NA	GDCA
TCDCA	LCAG-95-BSH1208	NA	GDCA
TCDCA	AZ-52	NA	GDCA
TCDCA	ctrl	NA	GDCA
TLCA	Lgasseri-BSH	NA	GDCA
TLCA	AZ-52	NA	GDCA
Ala-UDCA	Dny-BSH1	NA	GDCA
Ala-UDCA	Dny-BSH2	NA	GDCA
Ala-UDCA	Lgasseri-BSH	NA	GDCA
Ala-UDCA	LCAG-95-BSH1208	NA	GDCA
Ala-UDCA	Ep-BSH101	NA	GDCA
Ala-UDCA	AZ-52	NA	GDCA
Ala-UDCA	EcAZ-1-cat	NA	GDCA
Ala-UDCA	ctrl	NA	GDCA
Ile/Leu-UDCA	Dny-BSH1	NA	GDCA
Ile/Leu-UDCA	Dny-BSH2	NA	GDCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	GDCA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA	GDCA
Ile/Leu-UDCA	Ep-BSH101	NA	GDCA
Ile/Leu-UDCA	AZ-52	NA	GDCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	GDCA
Ile/Leu-UDCA	ctrl	NA	GDCA
Lys-UDCA	Dny-BSH1	NA	GDCA
Lys-UDCA	Dny-BSH2	NA	GDCA
Lys-UDCA	Lgasseri-BSH	NA	GDCA
Lys-UDCA	LCAG-95-BSH1208	NA	GDCA
Lys-UDCA	Ep-BSH101	NA	GDCA
Lys-UDCA	AZ-52	NA	GDCA
Lys-UDCA	EcAZ-1-cat	NA	GDCA
Lys-UDCA	ctrl	NA	GDCA
Lys-CA	Dny-BSH1	NA	GDCA
Lys-CA	Dny-BSH2	NA	GDCA
Lys-CA	Lgasseri-BSH	NA	GDCA
Lys-CA	LCAG-95-BSH1208	NA	GDCA
Lys-CA	Ep-BSH101	NA	GDCA
Lys-CA	AZ-52	NA	GDCA
Lys-CA	EcAZ-1-cat	NA	GDCA
Lys-CA	ctrl	NA	GDCA
Lys-CDCA	Dny-BSH2	NA	GDCA
Lys-CDCA	Lgasseri-BSH	NA	GDCA
Lys-CDCA	LCAG-95-BSH1208	NA	GDCA
Lys-CDCA	Ep-BSH101	NA	GDCA
Lys-CDCA	AZ-52	NA	GDCA
Lys-CDCA	EcAZ-1-cat	NA	GDCA
Lys-CDCA	ctrl	NA	GDCA
TCAA	Dny-BSH1	NA	GLCA
TLCA	AZ-52	NA	GLCA
Ala-UDCA	Dny-BSH1	NA	GLCA
Ala-UDCA	Dny-BSH2	NA	GLCA
Ala-UDCA	Lgasseri-BSH	NA	GLCA
Ala-UDCA	LCAG-95-BSH1208	NA	GLCA
Ala-UDCA	Ep-BSH101	NA	GLCA
Ala-UDCA	AZ-52	NA	GLCA
Ala-UDCA	EcAZ-1-cat	NA	GLCA
Ala-UDCA	ctrl	NA	GLCA
Ile/Leu-UDCA	Dny-BSH1	NA	GLCA
Ile/Leu-UDCA	Dny-BSH2	NA	GLCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	GLCA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA	GLCA
Ile/Leu-UDCA	Ep-BSH101	NA	GLCA
Ile/Leu-UDCA	AZ-52	NA	GLCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	GLCA
Ile/Leu-UDCA	ctrl	NA	GLCA
Tyr-UDCA	ctrl	NA	GLCA
Lys-UDCA	Dny-BSH1	NA	GLCA
Lys-UDCA	Dny-BSH2	NA	GLCA
Lys-UDCA	Lgasseri-BSH	NA	GLCA
Lys-UDCA	LCAG-95-BSH1208	NA	GLCA
Lys-UDCA	Ep-BSH101	NA	GLCA
Lys-UDCA	AZ-52	NA	GLCA
Lys-UDCA	EcAZ-1-cat	NA	GLCA
Lys-UDCA	ctrl	NA	GLCA
Lys-CA	Dny-BSH1	NA	GLCA
Lys-CA	Dny-BSH2	NA	GLCA
Lys-CA	Lgasseri-BSH	NA	GLCA
Lys-CA	LCAG-95-BSH1208	NA	GLCA
Lys-CA	Ep-BSH101	NA	GLCA
Lys-CA	AZ-52	NA	GLCA
Lys-CA	EcAZ-1-cat	NA	GLCA
Lys-CA	ctrl	NA	GLCA
Lys-CDCA	Dny-BSH1	NA	GLCA
Lys-CDCA	Dny-BSH2	NA	GLCA
Lys-CDCA	Lgasseri-BSH	NA	GLCA
Lys-CDCA	LCAG-95-BSH1208	NA	GLCA
Lys-CDCA	Ep-BSH101	NA	GLCA
Lys-CDCA	AZ-52	NA	GLCA
Lys-CDCA	EcAZ-1-cat	NA	GLCA
Lys-CDCA	ctrl	NA	GLCA
TCAA	Dny-BSH2	NA	GUDCA
TCAA	Lgasseri-BSH	NA	GUDCA
TCAA	LCAG-95-BSH1208	NA	GUDCA
TCAA	Ep-BSH101	NA	GUDCA
TCAA	AZ-52	NA	GUDCA
TCAA	EcAZ-1-cat	NA	GUDCA
TLCA	Dny-BSH1	NA	GUDCA
TLCA	Dny-BSH2	NA	GUDCA
TLCA	Lgasseri-BSH	NA	GUDCA
TLCA	LCAG-95-BSH1208	NA	GUDCA
TLCA	Ep-BSH101	NA	GUDCA
TLCA	AZ-52	NA	GUDCA
TLCA	ctrl	NA	GUDCA
Ala-UDCA	Dny-BSH2	NA	GUDCA
Ala-UDCA	Lgasseri-BSH	NA	GUDCA
Ala-UDCA	Ep-BSH101	NA	GUDCA
Ala-UDCA	EcAZ-1-cat	NA	GUDCA
Ala-UDCA	ctrl	NA	GUDCA
Ile/Leu-UDCA	Dny-BSH2	NA	GUDCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	GUDCA
Ile/Leu-UDCA	Ep-BSH101	NA	GUDCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	GUDCA
Ile/Leu-UDCA	ctrl	NA	GUDCA
Lys-UDCA	Dny-BSH2	NA	GUDCA
Lys-UDCA	Lgasseri-BSH	NA	GUDCA
Lys-UDCA	Ep-BSH101	NA	GUDCA
Lys-UDCA	EcAZ-1-cat	NA	GUDCA
Lys-UDCA	ctrl	NA	GUDCA
Lys-CA	Dny-BSH1	NA	GUDCA
Lys-CA	Dny-BSH2	NA	GUDCA
Lys-CA	Lgasseri-BSH	NA	GUDCA
Lys-CA	LCAG-95-BSH1208	NA	GUDCA
Lys-CA	Ep-BSH101	NA	GUDCA
Lys-CA	EcAZ-1-cat	NA	GUDCA
Lys-CA	ctrl	NA	GUDCA
Lys-CDCA	Dny-BSH2	NA	GUDCA
Lys-CDCA	Lgasseri-BSH	NA	GUDCA
Lys-CDCA	LCAG-95-BSH1208	NA	GUDCA
Lys-CDCA	Ep-BSH101	NA	GUDCA
Lys-CDCA	EcAZ-1-cat	NA	GUDCA
Lys-CDCA	ctrl	NA	GUDCA
TLCA	Lgasseri-BSH	NA	TCA
TLCA	AZ-52	NA	TCA
Ala-UDCA	Dny-BSH1	NA	TCA
Ala-UDCA	Dny-BSH2	NA	TCA
Ala-UDCA	Lgasseri-BSH	NA	TCA
Ala-UDCA	LCAG-95-BSH1208	NA	TCA
Ala-UDCA	Ep-BSH101	NA	TCA
Ala-UDCA	AZ-52	NA	TCA
Ala-UDCA	EcAZ-1-cat	NA	TCA
Ala-UDCA	ctrl	NA	TCA
Ile/Leu-UDCA	Dny-BSH1	NA	TCA
Ile/Leu-UDCA	Dny-BSH2	NA	TCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	TCA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA	TCA
Ile/Leu-UDCA	Ep-BSH101	NA	TCA
Ile/Leu-UDCA	AZ-52	NA	TCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	TCA
Ile/Leu-UDCA	ctrl	NA	TCA
Lys-UDCA	Dny-BSH1	NA	TCA
Lys-UDCA	Dny-BSH2	NA	TCA
Lys-UDCA	Lgasseri-BSH	NA	TCA
Lys-UDCA	LCAG-95-BSH1208	NA	TCA
Lys-UDCA	Ep-BSH101	NA	TCA
Lys-UDCA	AZ-52	NA	TCA
Lys-UDCA	EcAZ-1-cat	NA	TCA
Lys-UDCA	ctrl	NA	TCA
Lys-CA	Dny-BSH2	NA	TCA
Lys-CA	Lgasseri-BSH	NA	TCA
Lys-CA	LCAG-95-BSH1208	NA	TCA
Lys-CA	Ep-BSH101	NA	TCA
Lys-CA	EcAZ-1-cat	NA	TCA
Lys-CA	ctrl	NA	TCA
Lys-CDCA	Dny-BSH1	NA	TCA
Lys-CDCA	Dny-BSH2	NA	TCA
Lys-CDCA	Lgasseri-BSH	NA	TCA
Lys-CDCA	LCAG-95-BSH1208	NA	TCA
Lys-CDCA	Ep-BSH101	NA	TCA
Lys-CDCA	AZ-52	NA	TCA
Lys-CDCA	EcAZ-1-cat	NA	TCA
Lys-CDCA	ctrl	NA	TCA
TCAA	AZ-52	NA	TCDCA
TLCA	Lgasseri-BSH	NA	TCDCA
TLCA	AZ-52	NA	TCDCA
Ala-UDCA	Dny-BSH1	NA	TCDCA
Ala-UDCA	Lgasseri-BSH	NA	TCDCA
Ala-UDCA	LCAG-95-BSH1208	NA	TCDCA
Ala-UDCA	Ep-BSH101	NA	TCDCA
Ala-UDCA	AZ-52	NA	TCDCA
Ala-UDCA	EcAZ-1-cat	NA	TCDCA
Ala-UDCA	ctrl	NA	TCDCA
Ile/Leu-UDCA	Dny-BSH1	NA	TCDCA
Ile/Leu-UDCA	Dny-BSH2	NA	TCDCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	TCDCA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA	TCDCA
Ile/Leu-UDCA	Ep-BSH101	NA	TCDCA
Ile/Leu-UDCA	AZ-52	NA	TCDCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	TCDCA
Ile/Leu-UDCA	ctrl	NA	TCDCA
Lys-UDCA	Dny-BSH1	NA	TCDCA
Lys-UDCA	Dny-BSH2	NA	TCDCA
Lys-UDCA	Lgasseri-BSH	NA	TCDCA
Lys-UDCA	LCAG-95-BSH1208	NA	TCDCA
Lys-UDCA	Ep-BSH101	NA	TCDCA
Lys-UDCA	AZ-52	NA	TCDCA
Lys-UDCA	EcAZ-1-cat	NA	TCDCA
Lys-UDCA	ctrl	NA	TCDCA
Lys-CA	Dny-BSH1	NA	TCDCA
Lys-CA	Dny-BSH2	NA	TCDCA
Lys-CA	Lgasseri-BSH	NA	TCDCA
Lys-CA	LCAG-95-BSH1208	NA	TCDCA
Lys-CA	Ep-BSH101	NA	TCDCA
Lys-CA	AZ-52	NA	TCDCA
Lys-CA	EcAZ-1-cat	NA	TCDCA
Lys-CA	ctrl	NA	TCDCA
Lys-CDCA	Dny-BSH2	NA	TCDCA
Lys-CDCA	Lgasseri-BSH	NA	TCDCA
Lys-CDCA	LCAG-95-BSH1208	NA	TCDCA
Lys-CDCA	Ep-BSH101	NA	TCDCA
Lys-CDCA	EcAZ-1-cat	NA	TCDCA
Lys-CDCA	ctrl	NA	TCDCA
TCAA	Lgasseri-BSH	NA	TDCA
Ala-UDCA	Dny-BSH1	NA	TDCA
Ala-UDCA	Dny-BSH2	NA	TDCA
Ala-UDCA	Lgasseri-BSH	NA	TDCA
Ala-UDCA	LCAG-95-BSH1208	NA	TDCA
Ala-UDCA	Ep-BSH101	NA	TDCA
Ala-UDCA	AZ-52	NA	TDCA
Ala-UDCA	EcAZ-1-cat	NA	TDCA
Ala-UDCA	ctrl	NA	TDCA
Ile/Leu-UDCA	Dny-BSH1	NA	TDCA
Ile/Leu-UDCA	Dny-BSH2	NA	TDCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	TDCA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA	TDCA
Ile/Leu-UDCA	Ep-BSH101	NA	TDCA
Ile/Leu-UDCA	AZ-52	NA	TDCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	TDCA
Ile/Leu-UDCA	ctrl	NA	TDCA
Lys-UDCA	Dny-BSH1	NA	TDCA
Lys-UDCA	Dny-BSH2	NA	TDCA
Lys-UDCA	Lgasseri-BSH	NA	TDCA
Lys-UDCA	LCAG-95-BSH1208	NA	TDCA
Lys-UDCA	Ep-BSH101	NA	TDCA
Lys-UDCA	AZ-52	NA	TDCA
Lys-UDCA	EcAZ-1-cat	NA	TDCA
Lys-UDCA	ctrl	NA	TDCA
Lys-CA	Dny-BSH1	NA	TDCA
Lys-CA	Dny-BSH2	NA	TDCA
Lys-CA	Lgasseri-BSH	NA	TDCA
Lys-CA	LCAG-95-BSH1208	NA	TDCA
Lys-CA	Ep-BSH101	NA	TDCA
Lys-CA	EcAZ-1-cat	NA	TDCA
Lys-CA	ctrl	NA	TDCA
Lys-CDCA	Dny-BSH2	NA	TDCA
Lys-CDCA	Lgasseri-BSH	NA	TDCA
Lys-CDCA	LCAG-95-BSH1208	NA	TDCA
Lys-CDCA	Ep-BSH101	NA	TDCA
Lys-CDCA	AZ-52	NA	TDCA
Lys-CDCA	EcAZ-1-cat	NA	TDCA
Lys-CDCA	ctrl	NA	TDCA
GUDCA	EcAZ-1-cat	NA	TLCA
TCAA	Dny-BSH1	NA	TLCA
TCAA	Dny-BSH2	NA	TLCA
TCAA	EcAZ-1-cat	NA	TLCA
TCAA	ctrl	NA	TLCA
Ala-UDCA	Dny-BSH1	NA	TLCA
Ala-UDCA	Dny-BSH2	NA	TLCA
Ala-UDCA	Lgasseri-BSH	NA	TLCA
Ala-UDCA	LCAG-95-BSH1208	NA	TLCA
Ala-UDCA	Ep-BSH101	NA	TLCA
Ala-UDCA	AZ-52	NA	TLCA
Ala-UDCA	EcAZ-1-cat	NA	TLCA
Ala-UDCA	ctrl	NA	TLCA
Ile/Leu-UDCA	Dny-BSH1	NA	TLCA
Ile/Leu-UDCA	Dny-BSH2	NA	TLCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	TLCA
Ile/Leu-UDCA	LCAG-95-BSH1208	NA	TLCA
Ile/Leu-UDCA	Ep-BSH101	NA	TLCA
Ile/Leu-UDCA	AZ-52	NA	TLCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	TLCA
Ile/Leu-UDCA	ctrl	NA	TLCA
Lys-UDCA	Dny-BSH1	NA	TLCA
Lys-UDCA	Lgasseri-BSH	NA	TLCA
Lys-UDCA	LCAG-95-BSH1208	NA	TLCA
Lys-UDCA	Ep-BSH101	NA	TLCA
Lys-UDCA	AZ-52	NA	TLCA
Lys-UDCA	EcAZ-1-cat	NA	TLCA
Lys-UDCA	ctrl	NA	TLCA
Lys-CA	Dny-BSH1	NA	TLCA
Lys-CA	Dny-BSH2	NA	TLCA
Lys-CA	Lgasseri-BSH	NA	TLCA
Lys-CA	LCAG-95-BSH1208	NA	TLCA
Lys-CA	Ep-BSH101	NA	TLCA
Lys-CA	AZ-52	NA	TLCA
Lys-CA	EcAZ-1-cat	NA	TLCA
Lys-CA	ctrl	NA	TLCA
Lys-CDCA	Dny-BSH1	NA	TLCA
Lys-CDCA	Dny-BSH2	NA	TLCA
Lys-CDCA	Lgasseri-BSH	NA	TLCA
Lys-CDCA	LCAG-95-BSH1208	NA	TLCA
Lys-CDCA	Ep-BSH101	NA	TLCA
Lys-CDCA	AZ-52	NA	TLCA
Lys-CDCA	EcAZ-1-cat	NA	TLCA
Lys-CDCA	ctrl	NA	TLCA
TCAA	Dny-BSH1	NA	TUDCA
TCAA	Dny-BSH2	NA	TUDCA
TCAA	Lgasseri-BSH	NA	TUDCA
TCAA	LCAG-95-BSH1208	NA	TUDCA
TCAA	Ep-BSH101	NA	TUDCA
TCAA	AZ-52	NA	TUDCA
TCAA	ctrl	NA	TUDCA
TLCA	Lgasseri-BSH	NA	TUDCA
TLCA	AZ-52	NA	TUDCA
Ala-UDCA	Dny-BSH2	NA	TUDCA
Ala-UDCA	Lgasseri-BSH	NA	TUDCA
Ala-UDCA	Ep-BSH101	NA	TUDCA
Ala-UDCA	EcAZ-1-cat	NA	TUDCA
Ala-UDCA	ctrl	NA	TUDCA
Ile/Leu-UDCA	Dny-BSH2	NA	TUDCA
Ile/Leu-UDCA	Lgasseri-BSH	NA	TUDCA
Ile/Leu-UDCA	Ep-BSH101	NA	TUDCA
Ile/Leu-UDCA	EcAZ-1-cat	NA	TUDCA
Ile/Leu-UDCA	ctrl	NA	TUDCA
Lys-UDCA	Dny-BSH2	NA	TUDCA
Lys-UDCA	Lgasseri-BSH	NA	TUDCA
Lys-UDCA	Ep-BSH101	NA	TUDCA
Lys-UDCA	EcAZ-1-cat	NA	TUDCA
Lys-UDCA	ctrl	NA	TUDCA
Lys-CA	Dny-BSH1	NA	TUDCA
Lys-CA	Dny-BSH2	NA	TUDCA
Lys-CA	Lgasseri-BSH	NA	TUDCA
Lys-CA	LCAG-95-BSH1208	NA	TUDCA
Lys-CA	Ep-BSH101	NA	TUDCA
Lys-CA	AZ-52	NA	TUDCA
Lys-CA	EcAZ-1-cat	NA	TUDCA
Lys-CA	ctrl	NA	TUDCA
Lys-CDCA	Dny-BSH1	NA	TUDCA
Lys-CDCA	Dny-BSH2	NA	TUDCA
Lys-CDCA	Lgasseri-BSH	NA	TUDCA
Lys-CDCA	LCAG-95-BSH1208	NA	TUDCA
Lys-CDCA	Ep-BSH101	NA	TUDCA
Lys-CDCA	AZ-52	NA	TUDCA
Lys-CDCA	EcAZ-1-cat	NA	TUDCA
Lys-CDCA	ctrl	NA	TUDCA
