Feature	Intercept_mean	C(condition, Treatment('FA'))[T.FT]_mean	C(condition, Treatment('FA'))[T.NA]_mean	Intercept_std	C(condition, Treatment('FA'))[T.FT]_std	C(condition, Treatment('FA'))[T.NA]_std	Intercept_hdi	C(condition, Treatment('FA'))[T.FT]_hdi	C(condition, Treatment('FA'))[T.NA]_hdi
tr_C2E6V6_C2E6V6_LACJH	-11.27774337899999	1.6113294247699992	0.6892025725190002	2.679454821775828	2.561110092986098	2.680252710697899	(-16.1415, -5.94235)	(-2.97756, 6.57149)	(-3.9561, 5.93165)
tr_A0A1E3ADP5_A0A1E3ADP5_9FIRM	-7.962427795000013	-0.43164520517299987	0.3913663841959993	0.4227840952877575	0.6660517532936244	0.4738745614622585	(-8.83609, -7.24708)	(-1.67665, 0.817359)	(-0.469842, 1.26986)
tr_R7B0W4_R7B0W4_9BACE	-8.189843904999995	0.4180779932204998	0.9335723709449987	0.4721526317591601	0.5966272834026228	0.5161143887285549	(-9.00402, -7.24446)	(-0.688199, 1.53569)	(-0.0584791, 1.91235)
tr_R5K0M8_R5K0M8_9FIRM	-8.164398339999995	0.8676786611100008	0.6320852318079992	0.4643006260887922	0.5660618059625783	0.502551429651942	(-9.00788, -7.33857)	(-0.125574, 1.98149)	(-0.338345, 1.52818)
tr_A0A5B7XYS0_A0A5B7XYS0_LEVBR	-8.808797061499995	-4.032185064881003	0.35594084181499935	1.587525713409248	3.5784210729149053	1.9317370535315312	(-11.5634, -5.53215)	(-10.9124, 2.0892)	(-2.93245, 4.20757)
tr_W0U3I8_W0U3I8_9FIRM	-11.60625617499997	1.321799303369998	3.655641285999998	1.6476362577306973	1.964225107839242	1.665871784213532	(-14.6506, -8.86302)	(-2.37147, 4.89354)	(0.842857, 6.75238)
tr_A0A829ETJ4_A0A829ETJ4_ENTFC	-10.20059063499998	-3.979468128085007	0.8802498788000003	1.1627237419819667	3.216009728646884	1.2359252628299724	(-12.3743, -8.35941)	(-10.2611, 1.40045)	(-1.29114, 3.16525)
tr_A0A2S5ZZ59_A0A2S5ZZ59_9NOCA	-12.385483426999981	-2.5725533354549963	2.5451825117550007	2.324083045255589	3.7452453705827553	2.2929079368440846	(-17.0306, -8.77033)	(-9.55021, 4.39709)	(-1.20355, 7.18806)
tr_F7QWZ2_F7QWZ2_9LACO	-12.45502873000001	-2.6765880988819992	2.8577935572699986	2.040882785120077	3.7708493984391893	2.0954458217363703	(-16.0341, -8.71269)	(-9.5036, 4.00946)	(-0.857102, 6.73974)
tr_A0A497YPB1_A0A497YPB1_9BACL	-12.498834390000006	-2.647312249044994	3.7059296706649962	2.0750619308581433	3.623331555101993	2.1039700153285987	(-16.3845, -8.88043)	(-9.0347, 3.96952)	(0.106557, 7.78514)
