FeatureID	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c
14-2 sp000403255|PF00365.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00366.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00367.23	0	2	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	4	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0
14-2 sp000403255|PF00370.24	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00375.21	0	0	4	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	0	0	0	4	2	0	0	0	0	0	2	0	0	0	0	0	2
14-2 sp000403255|PF00378.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00381.22	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00389.33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00392.24	0	0	2	0	0	1	4	0	4	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	2
14-2 sp000403255|PF00398.23	0	2	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00403.29	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00410.22	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00416.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
14-2 sp000403255|PF00430.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00436.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00437.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00440.26	0	0	9	0	12	2	2	0	0	4	8	0	4	0	2	1	0	2	0	4	0	0	0	8	6	0	2	0	2	0	2	0	0	0	0	2	2	0	2	0	0	2
14-2 sp000403255|PF00465.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00474.20	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00475.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00476.23	0	0	0	2	0	0	2	0	2	4	0	0	2	2	2	0	0	2	0	0	0	0	0	0	0	2	2	0	0	2	2	2	2	0	12	0	0	0	2	0	0	2
14-2 sp000403255|PF00485.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00486.31	2	3	0	2	0	2	0	0	2	0	0	1	0	0	2	0	0	2	0	2	0	0	0	4	2	2	0	0	0	0	0	0	0	0	2	2	2	1	0	0	0	0
14-2 sp000403255|PF00497.23	0	2	2	0	0	0	0	0	0	0	2	0	0	0	5	2	0	0	0	2	0	0	0	2	2	0	0	4	2	0	0	0	0	0	0	0	0	2	0	0	4	4
14-2 sp000403255|PF00501.31	0	2	0	2	0	0	2	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	2	2	2	2	0	2	0	0	0	0
14-2 sp000403255|PF00512.28	9	4	9	2	14	2	2	0	10	6	9	11	14	4	12	2	2	5	4	4	0	3	2	18	16	6	0	17	6	8	2	2	2	0	4	4	4	10	2	2	2	2
14-2 sp000403255|PF00521.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
14-2 sp000403255|PF00528.25	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	6	0	2	4	2	3	2	0	2	0	0	0	2	0	0	0	0
14-2 sp000403255|PF00550.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00561.23	5	5	10	2	6	0	2	2	6	4	7	4	0	4	6	0	2	4	0	4	0	0	0	6	0	0	2	0	6	8	0	1	2	0	2	0	10	2	2	5	0	0
14-2 sp000403255|PF00573.25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00574.26	0	6	0	2	0	7	0	0	0	0	0	2	0	2	2	0	2	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0
14-2 sp000403255|PF00575.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00583.28	2	2	2	0	2	2	2	0	2	2	5	3	2	5	11	4	0	0	0	0	1	0	0	2	0	6	2	4	0	2	0	4	0	2	0	0	4	2	0	4	0	2
14-2 sp000403255|PF00587.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00589.25	0	2	2	0	0	0	0	0	2	0	0	2	0	0	0	2	0	2	0	0	0	0	0	2	5	2	6	12	6	4	2	1	2	0	4	0	2	2	6	8	0	7
14-2 sp000403255|PF00664.26	0	0	4	0	2	0	0	0	6	5	3	2	4	0	4	2	0	1	0	2	0	0	0	2	8	4	0	4	8	0	0	2	0	2	4	0	3	0	0	0	0	0
14-2 sp000403255|PF00665.29	2	0	2	0	2	0	0	0	0	6	6	2	2	0	7	1	0	0	0	0	0	0	0	0	6	0	0	4	2	2	0	0	0	2	0	0	0	0	0	2	0	2
14-2 sp000403255|PF00668.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00669.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
14-2 sp000403255|PF00672.28	2	12	5	0	2	2	0	4	14	10	14	4	10	4	40	10	4	4	8	10	0	0	3	18	8	10	4	0	2	11	2	3	0	2	2	2	2	2	0	2	0	0
14-2 sp000403255|PF00675.23	0	2	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	4	0	0	0	0	2	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0
14-2 sp000403255|PF00692.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
14-2 sp000403255|PF00704.31	2	2	0	0	8	0	0	0	0	2	0	0	2	0	0	0	0	5	0	0	0	0	0	2	5	6	2	2	0	0	0	2	4	0	0	0	2	0	0	0	0	12
14-2 sp000403255|PF00731.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00753.30	4	0	0	0	0	4	4	0	2	8	10	2	1	2	2	1	0	0	0	0	0	0	0	2	0	2	4	0	2	0	0	0	0	2	0	1	2	1	0	2	0	0
14-2 sp000403255|PF00756.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00771.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00795.25	4	2	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00815.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00829.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14-2 sp000403255|PF00877.22	4	0	4	2	2	2	2	0	0	2	0	3	0	0	6	0	2	2	0	4	0	2	0	5	4	10	4	6	2	4	0	4	2	2	4	2	8	4	3	5	0	2
14-2 sp000403255|PF00881.27	0	4	0	0	0	0	0	1	4	2	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	0	6	2	0	0
14-2 sp000403255|PF00885.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
