CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PF02943.18	16.8133160837469	67.372918253568	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF20075.2	12.9999996370751	75.6956666666651	1	0.691244663330156	24	0.999970342629025	18	15	0.45	1
PF03594.16	9.00000206330757	10.3399999999931	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF13404.9	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF20465.1	15.4604825037781	181.009726958095	72	1.21903793756	20	0.994775046607231	18	15	0.45	1
PF20473.1	13.217611116061	74.3532103601754	1	0.621972383775917	24	0.999990331915289	18	15	0.45	1
PF20466.1	13.2307228178248	74.3852917567357	1	0.628504916794547	24	0.999989177458505	18	15	0.45	1
PF20467.1	13.2307228178248	74.3852917567357	1	0.628504916794547	24	0.999989177458505	18	15	0.45	1
PF04620.15	10.2526769406352	13.2340072714316	72	1.72767308919374	20	0.946853480266084	18	15	0.45	1
PF03691.17	9.00000206330479	12.1509999999919	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF13627.9	10.1564321707907	13.7435469117741	72	1.7253852080964	20	0.947246705858498	18	15	0.45	1
PF04525.15	12.9999926692774	31.6343333328985	72	0.563533075791832	20	0.999996732477471	18	15	0.45	1
PF18024.4	9.00000206330398	8.75733333332751	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF02596.18	9.00000206330643	13.7656666666575	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF00614.25	9.00000206330467	27.6416666666483	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF05145.15	9.0000170901975	18.7673333320843	10	0.663301547677553	23.4065934065934	0.999980762821347	18	15	0.45	1
PF09684.13	5.67939608087459	53.801121546595	46	2.92671542677006	21.3	0.562166691125274	18	15	0.45	1
PF13644.9	9.65906067046175	288.114862838358	1	1.22093183205519	24	0.994712494906437	18	15	0.45	1
PF18481.4	14.3203011766784	221.202440037234	22	2.15503630162644	22.6595744680851	0.842410110632618	18	15	0.45	1
PF17963.4	7.48507527042233	18.3283671657631	72	3.92884634885599	20	0.257650078049978	18	15	0.45	1
PF19407.2	9.00000019004293	37.2996666666665	1	0.635263306556039	24	0.999987857861317	18	15	0.45	1
PF04143.17	9.00000206330413	5.73133333332952	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF08887.14	9.00000206330619	11.6816666666589	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF08906.14	9.00000206330619	11.6816666666589	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
