name	ratio	min	max	phase
Alistipes indistinctus YIT 12060-G5H9U7	-3.66998657405951	-9.35398	1.7863	light
Lacipirellula limnantheis-A0A517TYY3	4.94489065415	1.06713	9.17268	light
Bacteroides cellulosilyticus-A0A412IFM1	-4.09108158235	-10.3638	1.47034	light
Alloscardovia macacae-A0A261F7B4	-2.6129536475635	-10.0553	4.02547	light
Terrisporobacter othiniensis-A0A0B3VRN3	-2.739416470345	-9.61926	3.54416	light
Eggerthella sp. CAG:209-R6I5X3	-2.59123853627	-9.29345	3.88025	light
[Bacteroides] pectinophilus ATCC 43243-B7AU47	-3.909022970775	-10.1153	1.31635	light
Enterococcus casseliflavus (Enterococcus flavescens)-A0A1L8SG36	-4.06364600762	-11.0711	0.928815	light
Blautia obeum-A0A174V5X0	0.718330043769999	-1.72232	3.19795	light
Roseburia intestinalis-A0A3R6GNY0	0.5956463259205	-0.845319	2.02946	light
Roseburia inulinivorans-A0A413TSA5	0.281838986836	-0.766634	1.2724	light
Clostridium tarantellae-A0A6I1MM49	-4.85060543075	-10.2799	-0.307616	light
Rikenella microfusus-A0A379MP36	-2.691724497645	-10.4269	3.94926	light
Blautia wexlerae-A0A173ZCD7	0.903795028770501	-0.537007	2.25015	light
Bacteroides clarus YIT 12056-F3PFV2	-3.029529433095	-10.6394	3.69437	light
Pseudomonas helleri-A0A6L5HW96	-2.6030361841605	-10.3375	4.60347	light
Bacillus cereus-A0A2B4DD98	-2.650052684925	-9.02855	4.12196	light
Lactobacillus johnsonii-A0A3T0TZM1	-2.4651924132094	-9.90295	5.0269	light
Lactobacillus johnsonii-A0A267LTT5	-2.2562905903225	-9.83995	5.02974	light
Anaerostipes hadrus-A0A173UXL2	1.69782778702	-2.078	5.71286	light
Acinetobacter nosocomialis-A0A2L1VFL6	-2.455065170855	-10.4729	4.92657	light
Vibrio vulnificus-A0A4Q7HU24	-2.71301983161	-10.6575	3.63836	light
Ligilactobacillus ruminis-A0A0G8G768	-2.721852326695	-10.3642	3.72481	light
Lachnospira eligens-A0A174ZPF2	-0.430085810553499	-2.30926	1.34094	light
Francisella tularensis-A0A6B0K025	-2.470502615701	-8.94902	4.67855	light
Dorea longicatena-A0A174GR10	0.470456679222	-1.34006	2.66486	light
Ligilactobacillus aviarius-A0A179CKJ1	-4.55265203735499	-10.0676	0.746707	light
Blautia obeum-A0A174NYZ7	0.3159201218625	-0.954814	1.80761	light
Blautia wexlerae-A0A174D8V8	-0.1296893351885	-2.34246	1.71269	light
[Clostridium] methylpentosum DSM 5476-C0EDC4	-0.7304424768313	-2.38933	0.76914	light
Planctomicrobium piriforme-A0A1I3SYD8	2.68346433176	-0.668547	6.63131	light
Ruminococcus gnavus-A0A2N5NEG8	0.756120312911002	-0.88075	2.42221	light
Roseburia inulinivorans DSM 16841-C0FNH6	0.482531395957499	-0.543892	1.66359	light
Pararobbsia silviterrae-A0A494XZH6	-3.029529433095	-10.6394	3.69437	light
Lactobacillus johnsonii-A0A7U9RN19	-2.2562905903225	-9.83995	5.02974	light
Bacteroides oleiciplenus-A0A1Q6GT50	-3.987986733251	-10.4668	1.31771	light
Clostridium sp. CAG:389-R7LRG3	0.5054360445517	-0.421057	1.39028	light
