CycID	PhaseShift	PhaseShiftHeight	PeakIndex	PeakSPD	Period	p	N	Nindependent	Nyquist	BH.Q
PF18433.4	9.00000206330477	0.000564523242479998	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF18761.4	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF14006.9	9.00000424003922	0.0145429076229183	1	0.308898129243447	24	0.999999997672109	18	15	0.45	1
PF05225.19	5.18668391625323	0.000589857294997893	72	0.61868721248695	20	0.999990870600174	18	15	0.45	1
PF09341.13	13.3607353345594	0	1	1	24	0.998971986706699	18	15	0.45	1
PF00921.20	8.78520868439315	0.0012625776800651	1	1.45112770916897	24	0.981768205204985	18	15	0.45	1
PF02414.18	9.00000003478358	0.00122733401378546	72	0.341981971310612	20	0.999999991530548	18	15	0.45	1
PF02890.17	1.00004556518532	0.00157255111908205	8	1.56759039034835	23.5359116022099	0.97005142474096	18	15	0.45	1
PF01672.19	9.00000004025233	0.00269161482372945	66	1.45963072425476	20.2857142857143	0.981046649233916	18	15	0.45	1
PF02524.17	13.3607353345594	0	1	1	24	0.998971986706699	18	15	0.45	1
PF05714.14	3.50643027042712	0.00122039972129927	1	1.86461992737574	24	0.919980316258204	18	15	0.45	1
PF05619.14	5.18668391625312	0.00123115695072457	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF03112.17	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF05085.15	9.00000206330539	0.00539257401352265	72	1.23055432316666	20	0.994385680784339	18	15	0.45	1
PF05537.14	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF19754.2	5.72141522339207	0	1	1	24	0.998971986706699	18	15	0.45	1
PF00808.26	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF04981.16	5.18668391625325	0.00128481643528632	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF05648.17	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF04518.15	20.9999263197062	0	NA	NA	NA	1	18	15	NA	1
PF17461.5	1.00007368029384	0.000430276749871305	1	1.44702160321394	24	0.98210951369285	18	15	0.45	1
PF16871.8	16.8133160837468	0.0002781309658491	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF07672.16	5.18668391625356	0.000975496965375288	72	0.526675929273062	20	0.999998476726732	18	15	0.45	1
PF08861.13	5.32224106023704	0.00135799836609069	72	1.86480975130614	20	0.919938530363171	18	15	0.45	1
PF08862.13	5.75264962402431	0.00131485397534315	72	1.89864670409344	20	0.912292358734525	18	15	0.45	1
PF07323.15	5.18668391625349	0.00105101845290534	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
PF08966.14	5.18668391625347	0.00100382986930551	57	1.11408777827738	20.7299270072993	0.997438708954636	18	15	0.45	1
