FeatureID	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b
PF04607.20	7	15	8	27	16	18	10	10	8	44	30	4
PF02824.24	5	11	6	28	25	23	5	9	7	29	19	3
PF19296.2	1	8	2	13	11	8	3	6	4	12	11	1
PF13291.9	1	9	3	19	15	14	3	6	4	15	13	1
PF13460.9	0	0	0	0	1	0	0	0	1	0	0	0
PF13520.9	2	2	2	1	1	1	1	2	1	0	1	0
PF00580.24	7	15	6	10	9	7	10	1	6	16	12	2
PF13361.9	10	20	8	10	9	8	11	3	6	17	14	2
PF00890.27	10	18	6	21	18	41	7	14	11	27	21	9
PF00056.26	3	13	14	35	13	45	5	7	4	14	6	3
PF02866.21	3	13	14	35	13	45	5	7	4	14	6	3
PF00478.28	16	19	16	19	16	21	4	8	9	17	10	6
PF00588.22	6	7	1	5	5	8	1	2	2	6	3	0
PF01288.23	1	0	0	0	1	1	0	1	0	0	0	0
PF01227.25	0	1	0	0	1	1	0	0	0	1	2	0
PF00528.25	53	63	53	81	56	86	41	66	47	264	124	38
PF01594.19	1	5	4	4	7	2	0	1	1	10	7	1
PF02776.21	6	15	4	12	7	13	3	6	1	22	9	3
PF00205.25	6	14	4	11	7	13	3	6	1	18	8	3
PF02775.24	120	209	126	233	158	281	66	138	79	357	228	80
PF07517.17	11	23	8	25	12	19	7	16	14	35	14	3
PF01043.23	11	23	6	25	12	19	7	15	14	33	13	3
PF07516.16	11	23	8	25	12	19	7	15	14	37	14	3
PF02810.18	14	23	7	23	18	15	7	17	16	41	16	5
PF00665.29	8	9	8	15	10	13	1	13	9	19	8	3
PF13333.9	2	0	3	5	3	3	1	3	6	8	1	3
PF00872.21	7	12	6	20	7	12	3	3	7	8	1	0
PF05524.16	9	25	12	54	11	33	24	23	19	66	36	12
PF00391.26	127	181	122	280	179	300	110	176	160	489	314	95
PF02896.21	128	182	123	277	177	293	110	176	160	490	314	93
PF00977.24	0	3	1	1	2	3	5	4	2	4	5	2
PF00180.23	4	9	3	10	5	14	4	4	2	11	12	1
PF00330.23	10	6	10	9	12	9	8	8	8	17	9	2
PF01195.22	1	0	0	0	0	0	0	0	2	0	0	0
PF01751.25	14	35	9	36	28	34	8	15	19	36	19	9
PF01131.23	5	16	4	25	7	15	3	7	14	17	9	5
PF01396.22	5	12	3	11	0	3	0	0	12	6	6	2
PF13495.9	0	1	2	1	1	0	1	1	0	7	1	0
PF00589.25	37	58	74	72	50	33	30	86	39	140	96	31
PF07690.19	7	10	10	12	16	16	6	5	14	21	7	5
PF00664.26	9	15	7	19	9	16	6	8	17	27	16	6
PF04079.19	0	2	0	1	1	1	1	0	0	0	0	0
PF12850.10	2	3	2	3	1	3	1	1	2	3	4	0
PF14691.9	13	24	11	11	12	20	10	27	17	41	16	11
PF07992.17	62	93	56	73	75	73	32	73	60	125	78	33
PF00310.24	1	3	0	1	2	0	0	1	1	3	0	1
PF04898.17	1	3	0	0	1	0	0	1	1	1	0	1
PF01645.20	1	3	0	0	1	0	0	3	3	5	3	1
PF01493.22	1	3	0	1	1	0	0	3	1	2	0	1
PF00282.22	0	0	0	0	0	0	0	0	0	0	0	0
PF13508.10	2	1	0	1	0	2	1	2	1	5	2	0
PF01321.21	14	11	6	8	6	12	4	3	8	25	4	3
PF03960.18	1	11	5	17	6	19	1	1	1	2	0	0
PF17757.4	3	5	8	8	11	10	3	8	6	8	5	5
PF02559.19	3	2	3	3	6	6	4	5	3	9	6	3
PF00270.32	15	21	12	22	35	37	13	10	17	31	10	8
PF03461.18	2	1	3	3	5	5	2	3	1	3	2	2
PF05833.14	1	3	1	2	0	0	1	5	1	1	2	0
PF05670.16	1	3	1	2	0	0	1	5	1	1	2	0
PF02653.19	14	27	10	26	6	29	19	18	13	81	53	19
PF00224.24	4	14	15	16	19	32	3	6	1	10	10	3
PF02887.19	4	13	15	16	18	22	3	6	1	9	10	3
PF01210.26	1	4	2	3	3	4	2	1	1	2	0	0
PF07479.17	1	4	2	3	3	4	2	1	1	2	0	0
PF20618.1	1	4	2	3	3	4	2	1	1	2	0	0
PF00483.26	68	146	74	157	97	126	72	125	58	375	241	66
PF00348.20	8	2	10	7	11	10	3	1	3	12	3	4
PF01180.24	2	4	4	4	1	7	0	2	1	3	2	1
PF13421.9	4	4	1	1	0	0	3	1	2	4	6	3
PF00849.25	3	5	3	5	11	11	2	3	2	12	4	2
PF00690.29	10	10	8	9	9	9	3	8	5	21	9	2
PF00689.24	10	10	8	9	9	9	3	8	5	21	9	2
PF06736.14	0	0	0	0	0	0	0	0	0	0	0	0
PF05382.16	0	0	0	0	0	0	0	0	0	0	0	0
PF05263.14	1	0	0	0	0	0	0	0	0	0	0	0
PF14657.9	1	4	3	5	0	2	1	1	0	4	0	0
PF14659.9	4	9	7	9	7	7	7	7	0	7	10	6
PF06146.15	0	0	0	0	0	1	0	0	0	0	0	0
PF00392.24	11	19	14	22	9	22	14	12	10	23	17	4
PF02080.24	5	9	3	6	24	13	4	1	9	29	18	2
PF00367.23	7	17	12	46	14	22	14	22	13	29	30	9
PF00358.23	1	8	9	22	14	21	0	1	1	4	16	4
PF01047.25	3	1	0	1	1	2	0	1	1	2	0	0
PF00881.27	1	7	4	6	11	10	0	4	5	11	5	1
PF00106.28	5	8	3	4	1	2	1	2	4	2	7	3
PF13292.9	6	2	3	10	0	3	3	4	4	4	4	0
PF02779.27	12	22	13	22	16	23	11	15	9	28	12	1
PF02780.23	11	22	13	21	15	23	11	15	8	28	12	1
PF01554.21	24	30	8	33	14	31	7	24	28	39	36	8
PF01261.27	12	12	2	10	6	9	4	4	4	10	13	3
PF01479.28	32	32	20	44	37	40	25	26	40	84	53	12
PF02861.23	16	34	12	18	42	52	12	16	24	44	28	12
PF00004.32	40	110	44	63	67	86	23	31	54	70	44	14
PF17871.4	22	73	31	30	36	51	8	14	15	29	18	9
PF07724.17	30	89	36	39	46	60	14	26	32	59	39	15
PF10431.12	29	86	36	39	45	58	13	24	30	54	37	15
PF01370.24	3	13	3	7	4	2	3	5	0	13	7	2
PF13522.9	2	8	4	5	5	3	6	3	5	8	2	2
PF00156.30	6	10	11	19	17	19	10	7	9	25	16	2
PF18072.4	9	24	8	24	39	32	20	13	17	36	9	6
PF00586.27	6	10	9	7	5	10	2	6	4	11	8	2
PF02769.25	15	36	17	31	62	61	22	19	25	48	17	8
PF13507.9	9	27	8	24	39	33	20	13	20	36	9	6
PF01259.21	1	3	3	1	4	5	2	2	1	8	4	2
PF00128.27	46	69	25	91	49	71	36	51	55	114	61	26
PF02806.21	14	33	12	30	30	46	17	19	21	51	31	13
PF08240.15	17	15	11	20	9	6	6	25	9	35	14	7
PF00107.29	17	15	11	20	9	6	6	25	10	36	14	7
PF06541.14	4	0	2	3	1	0	4	4	1	5	4	2
PF02922.21	20	37	14	39	32	47	20	24	27	62	33	15
PF12848.10	11	7	3	15	18	22	2	4	6	26	13	4
PF16326.8	3	1	0	5	2	4	0	1	1	5	4	1
PF03577.18	0	4	0	4	6	11	0	2	0	2	1	0
PF11797.11	0	0	0	0	0	0	0	0	0	0	0	0
PF01018.25	3	5	1	1	2	5	3	2	4	7	3	0
PF01926.26	23	40	20	38	34	33	19	25	15	52	28	4
PF09269.14	3	4	1	1	1	2	3	1	3	6	3	0
PF00171.25	55	45	32	44	40	45	10	21	14	44	32	19
PF00696.31	3	21	16	16	18	21	8	18	11	27	17	4
PF02881.22	10	7	5	12	11	17	5	6	11	14	8	3
PF00448.25	10	7	6	12	11	17	7	9	11	18	12	4
PF02978.22	6	2	5	8	7	10	4	4	8	12	6	3
PF00753.30	23	35	27	53	21	32	21	26	17	54	47	16
PF07521.15	13	18	14	15	6	11	12	12	13	33	15	10
PF17770.4	9	9	9	9	5	9	4	6	6	16	5	4
PF01118.27	4	5	1	7	6	17	2	5	6	7	6	0
PF02774.21	4	5	1	5	4	7	2	5	5	5	5	0
PF01081.22	4	3	1	2	1	0	1	0	1	2	1	1
PF01263.23	4	5	2	14	1	5	4	3	8	18	7	2
PF13347.9	5	3	4	2	6	5	1	3	1	14	1	3
PF01232.26	1	6	1	1	1	0	1	2	0	4	4	2
PF08125.16	1	6	1	1	1	0	1	2	0	4	4	2
PF00356.24	6	9	6	14	5	9	5	3	5	12	4	8
PF13377.9	7	9	6	18	4	9	8	4	9	15	7	9
PF00206.23	6	14	12	16	10	11	6	9	7	18	21	2
PF10397.12	1	7	3	6	4	4	6	6	4	11	13	1
PF02926.20	4	5	2	6	3	1	3	4	5	11	8	2
PF01170.21	2	0	2	2	2	0	3	4	4	9	10	2
PF05103.16	0	0	0	1	0	0	0	1	0	0	1	0
PF08230.14	2	0	0	0	3	2	0	0	0	0	0	0
PF00155.24	20	28	21	37	25	33	15	14	23	47	39	6
PF01381.25	17	18	33	25	23	19	18	30	18	31	28	9
PF01209.21	0	0	0	0	4	2	0	0	0	2	2	0
PF06018.17	5	9	8	16	2	3	7	17	13	18	8	4
PF08222.14	5	9	8	16	2	3	7	17	13	18	8	4
PF12464.11	0	0	0	1	1	2	1	0	4	3	3	0
PF00132.27	14	19	14	27	21	38	14	35	13	83	41	6
PF02686.18	0	1	0	0	0	1	0	0	0	1	0	0
PF02903.17	4	0	0	5	2	0	1	3	3	8	5	2
PF07274.15	0	0	0	0	0	0	0	0	0	0	0	0
PF01425.24	0	2	2	5	2	5	0	0	0	1	0	1
PF01476.23	3	7	7	39	30	23	4	13	18	25	11	2
PF03610.19	6	14	12	23	10	25	5	4	13	8	4	1
PF03830.18	23	54	39	73	54	82	22	42	13	54	25	4
PF03609.17	28	63	33	110	54	90	28	58	13	107	59	18
PF03613.17	16	42	21	68	32	71	24	26	12	81	54	9
PF02934.18	0	4	2	2	2	3	1	0	0	3	0	0
PF02637.21	0	4	2	2	2	3	1	0	0	3	0	0
PF02403.25	4	4	3	15	4	14	5	7	7	20	4	1
PF00587.28	23	37	17	55	29	53	25	27	28	84	26	7
PF12849.10	1	0	2	1	6	6	0	2	0	2	0	0
PF01668.21	0	1	3	2	0	1	2	1	0	1	1	2
PF01411.22	8	9	9	12	20	19	3	12	24	23	9	5
PF07973.17	13	13	13	24	32	30	6	16	30	39	15	8
PF02272.22	16	19	15	19	37	30	13	14	37	35	20	6
PF13145.9	4	1	2	1	0	1	0	0	4	5	2	0
PF01596.20	1	1	0	3	1	2	0	0	0	0	0	1
PF08439.13	2	1	0	2	0	0	1	1	0	0	0	1
PF01432.23	3	9	5	12	18	11	3	6	4	7	3	1
PF06054.14	0	0	0	0	0	0	0	0	0	0	0	0
PF01027.23	4	6	4	3	1	2	0	2	1	3	0	0
PF01966.25	65	73	41	103	65	75	47	72	119	201	105	28
PF04892.15	1	0	0	2	0	0	1	0	1	6	5	0
PF01264.24	1	3	3	2	3	0	0	0	0	3	1	0
PF06335.15	0	0	0	0	0	0	0	0	0	0	0	0
PF04657.16	0	0	2	0	0	0	0	0	0	0	0	0
PF01761.23	3	4	0	4	1	2	2	1	0	2	4	0
PF09335.14	0	0	1	0	0	0	1	0	1	1	0	0
PF00497.23	5	7	4	4	5	14	4	4	5	8	1	3
PF02874.26	130	168	74	169	142	175	67	111	99	305	217	79
PF00006.28	134	180	80	185	149	184	71	122	111	316	226	79
PF00306.30	41	70	29	73	42	62	28	36	29	118	76	14
PF00213.21	4	10	6	9	7	17	6	6	10	40	24	9
PF00119.23	7	5	4	8	10	12	5	8	2	20	12	2
PF01694.25	0	1	2	2	2	1	0	0	1	5	1	0
PF01592.19	1	0	1	7	0	4	1	2	1	6	3	0
PF13527.10	1	3	4	2	2	2	0	3	1	6	1	0
PF17668.4	0	0	3	1	1	1	0	0	0	0	0	0
PF04997.15	42	66	30	56	67	79	29	34	56	102	60	16
PF00623.23	57	94	43	89	115	137	48	54	87	160	91	23
PF04983.21	42	65	31	56	68	80	30	35	58	102	61	17
PF05000.20	42	65	31	55	68	80	30	35	58	102	60	17
PF04998.20	46	67	32	58	71	81	30	37	58	106	61	17
PF19200.3	0	0	0	1	0	0	0	0	1	0	4	0
PF05913.14	0	0	0	1	0	0	0	0	1	0	4	0
PF04563.18	39	43	27	58	70	64	28	31	41	88	49	17
PF04561.17	70	71	47	82	135	103	55	57	76	167	93	32
PF04565.19	39	43	27	58	70	64	28	31	41	86	49	17
PF10385.12	39	43	27	58	70	64	28	31	41	86	49	17
PF00562.31	41	44	27	59	70	65	28	33	41	90	50	17
PF04560.23	41	43	27	59	69	65	27	31	40	89	50	17
PF05649.16	3	5	4	8	7	10	0	3	0	9	2	0
PF01431.24	3	5	4	8	7	10	0	3	0	9	2	0
PF01943.20	0	3	2	1	4	3	1	1	2	6	4	1
PF14667.9	0	4	2	1	4	4	1	1	1	4	4	1
PF01368.23	14	17	9	8	18	18	12	6	13	15	13	3
PF02833.17	6	7	3	1	1	7	2	3	0	2	2	2
PF01595.23	5	3	2	9	8	16	2	6	8	16	7	2
PF00571.31	55	60	35	72	77	105	17	38	37	75	44	18
PF03471.20	5	4	2	9	9	16	2	6	9	16	7	2
PF17760.4	3	3	3	3	11	3	2	4	5	11	4	6
PF17755.4	3	3	3	3	11	3	2	4	5	11	4	6
PF04263.19	1	0	0	1	1	1	0	0	1	2	1	0
PF04265.17	1	0	0	1	1	1	0	0	1	2	1	0
PF00582.29	0	3	1	4	4	10	1	1	1	3	2	0
PF19300.2	3	7	6	4	2	3	2	1	2	10	4	0
PF08352.15	13	18	13	28	19	40	20	13	15	21	13	8
PF01134.25	1	3	2	5	6	7	1	4	3	1	1	0
PF13932.9	1	3	2	4	5	6	1	4	3	1	1	0
PF01406.22	6	5	2	6	7	14	6	3	3	11	5	2
PF09190.14	6	5	2	5	7	14	6	3	2	11	4	2
PF01138.24	23	38	19	42	58	34	14	10	41	33	26	14
PF03725.18	15	28	14	31	52	31	12	9	28	22	17	8
PF03726.17	9	18	9	18	25	16	7	4	17	16	11	5
PF00013.32	68	72	40	96	79	67	32	60	99	134	69	26
PF00575.26	158	219	118	341	356	248	150	231	171	637	303	88
PF00009.30	413	529	338	639	534	691	255	378	372	1000	652	172
PF03144.28	398	492	305	581	463	567	235	372	342	954	620	164
PF03143.20	231	315	205	370	279	368	143	208	186	520	362	87
PF00133.25	35	31	21	34	55	64	16	25	28	64	32	18
PF08264.16	40	33	22	30	56	63	17	25	27	66	35	21
PF06827.17	1	6	2	1	4	3	2	1	0	0	1	0
PF00091.28	18	14	14	20	12	13	2	10	8	30	7	3
PF12327.11	18	14	14	21	12	13	2	10	8	30	7	3
PF00126.30	4	6	2	5	3	1	4	6	5	7	5	0
PF03466.23	5	5	1	4	3	1	4	7	5	7	5	0
PF04055.24	45	56	31	64	28	41	41	63	44	102	52	20
PF13394.9	3	6	1	7	4	3	1	2	2	7	3	1
PF01029.21	3	8	2	9	1	4	2	2	4	9	3	0
PF01189.20	4	4	1	6	2	1	3	2	4	9	2	0
PF04226.16	0	5	4	1	5	5	0	0	0	0	1	1
PF00551.22	5	6	8	7	8	22	6	1	6	9	8	5
PF02911.21	3	2	3	1	3	7	4	1	4	7	3	1
PF06983.16	0	0	0	0	0	0	0	0	0	1	1	0
PF12072.11	56	53	30	74	51	50	24	55	79	116	55	18
PF01182.23	6	15	11	38	21	44	22	11	9	65	38	5
PF00712.22	3	1	2	6	12	8	1	2	2	8	2	0
PF02767.19	3	1	2	6	12	8	1	1	2	8	2	0
PF02768.18	3	1	2	6	12	8	1	1	2	8	2	0
PF01116.23	45	81	33	87	63	114	39	65	38	142	87	22
PF03129.23	20	37	14	44	28	43	20	23	22	68	24	6
PF03477.19	15	18	14	30	18	21	18	15	21	37	24	7
PF14681.9	0	3	3	5	1	3	0	4	2	4	7	0
PF01053.23	3	1	1	5	5	1	7	0	2	7	5	1
PF02646.19	0	0	0	0	0	2	0	0	0	0	0	0
PF16745.8	0	2	2	1	2	3	1	0	3	1	0	1
PF03193.19	0	2	2	1	2	3	1	0	3	1	0	1
PF01588.23	12	18	13	17	15	32	8	6	13	25	13	7
PF03483.20	1	6	3	4	3	7	3	1	4	13	5	1
PF03484.18	1	6	3	4	3	7	3	1	4	13	5	1
PF17759.4	1	6	3	4	3	7	3	1	4	13	5	1
PF03147.17	1	6	3	4	3	7	3	1	4	13	5	1
PF02912.21	1	1	2	2	5	4	1	0	4	5	1	0
PF01409.23	1	1	2	2	5	4	1	0	4	5	1	0
PF02421.21	1	6	0	3	4	3	4	1	2	8	2	2
PF17910.4	1	4	0	3	4	2	4	1	2	8	2	2
PF07670.17	2	10	0	6	8	6	8	2	4	16	5	4
PF07664.15	1	6	0	3	4	3	4	1	2	8	2	2
PF00704.31	3	12	4	1	4	3	2	6	1	5	2	1
PF02839.17	0	0	0	0	0	0	0	0	0	0	0	0
PF03067.18	0	0	0	0	0	0	0	0	1	0	0	0
PF01872.20	2	2	3	6	1	4	0	1	2	2	0	1
PF01336.28	23	30	10	32	29	34	28	9	28	43	30	7
PF00152.23	19	31	10	30	26	31	25	8	27	39	27	6
PF02938.17	6	10	1	5	14	14	7	3	8	12	10	1
PF13393.9	1	7	3	6	3	8	2	3	4	10	3	1
PF13413.9	0	0	1	1	1	1	0	0	1	0	0	1
PF00675.23	7	10	10	12	14	15	14	6	10	16	8	3
PF05193.24	10	13	15	22	23	23	18	7	10	27	10	3
PF03780.16	2	0	5	4	4	6	3	4	7	14	7	5
PF16363.8	17	14	7	21	18	28	17	16	20	54	30	3
PF10509.12	3	8	5	11	12	39	6	6	5	9	10	3
PF00288.29	5	17	6	13	17	46	7	6	6	13	14	3
PF08544.16	3	11	5	11	15	36	7	5	5	13	13	3
PF01136.22	3	7	3	2	3	3	8	4	5	5	4	3
PF16325.8	1	2	2	1	1	0	2	1	2	2	3	2
PF00687.24	24	16	15	36	29	31	16	12	22	48	33	12
PF01765.22	7	11	6	16	13	19	4	7	4	11	5	4
PF00871.20	9	15	7	23	13	10	4	8	13	19	19	3
PF14492.9	167	188	113	220	220	280	93	158	150	430	259	81
PF00679.27	170	201	117	234	227	291	99	163	160	447	266	83
PF07242.14	0	0	0	0	0	0	0	0	0	0	0	0
PF04397.18	11	12	13	5	7	6	5	8	9	14	17	4
PF00480.23	8	17	13	22	22	36	8	7	6	14	12	1
PF00817.23	3	3	1	3	1	1	1	2	1	2	2	0
PF11798.11	0	0	0	0	0	0	0	0	0	0	0	0
PF11799.11	3	3	1	2	0	1	1	2	1	2	2	0
PF02729.24	5	8	5	8	16	10	4	6	2	10	7	2
PF00185.27	5	8	5	8	16	10	4	6	2	10	7	2
PF01316.24	0	1	0	1	1	3	0	1	0	2	1	1
PF02863.21	0	1	0	1	1	3	0	1	0	2	1	1
PF01225.28	1	7	6	8	9	13	1	4	4	5	9	0
PF02875.24	5	11	9	18	16	19	3	8	9	13	12	1
PF04321.20	2	3	0	2	5	4	2	1	2	8	6	2
PF00230.23	0	2	5	4	0	1	0	10	2	20	2	2
PF18073.4	1	1	0	3	1	2	0	6	0	5	1	1
PF13481.9	2	1	1	5	0	2	0	7	1	7	1	1
PF13541.9	2	1	0	3	1	3	0	6	0	8	2	1
PF01196.22	17	20	13	26	24	24	23	12	23	45	23	6
PF01193.27	35	31	22	48	53	61	19	27	44	67	34	21
PF01000.29	35	31	22	48	53	60	19	27	44	67	34	21
PF03118.18	35	31	22	48	53	60	19	28	45	67	34	21
PF00411.22	15	18	15	26	18	24	7	20	6	30	16	5
PF01176.22	3	5	2	2	2	5	0	2	2	6	1	0
PF13276.9	4	1	4	6	6	4	1	3	7	9	2	3
PF00406.25	11	9	5	8	6	8	1	0	5	12	11	1
PF05191.17	11	7	4	6	4	7	1	0	5	7	11	1
PF00828.22	18	17	14	20	23	23	10	12	30	30	21	8
PF00347.26	58	50	30	54	80	80	66	32	38	102	72	36
PF06480.18	5	13	4	8	8	7	3	4	10	11	7	1
PF17862.4	10	22	10	18	18	21	11	8	17	21	15	2
PF01434.21	11	23	10	18	19	22	12	10	18	26	17	2
PF07650.20	29	27	16	38	31	44	15	26	27	60	34	7
PF00189.23	26	21	13	31	29	41	13	20	26	52	30	6
PF00237.22	16	20	7	17	16	18	5	14	18	35	24	4
PF00573.25	23	22	10	27	24	25	10	24	18	51	19	5
PF14821.9	4	6	1	3	1	3	0	3	3	4	4	0
PF00291.28	11	13	5	16	12	13	0	6	6	15	9	2
PF04239.15	0	0	0	2	0	0	0	0	0	0	0	0
PF01243.23	0	0	0	1	1	1	2	0	0	0	1	0
PF14480.9	1	3	1	6	2	4	2	1	6	11	13	1
PF11490.11	1	0	1	2	1	3	1	1	2	5	2	0
PF02811.22	9	16	9	21	12	19	6	12	15	34	30	7
PF00929.27	1	7	1	10	7	8	4	2	9	19	15	4
PF07733.15	6	11	4	20	14	19	7	8	17	35	32	8
PF17657.4	6	9	4	15	11	14	4	7	12	24	22	5
PF14579.9	6	9	4	14	11	13	4	7	11	24	22	5
PF02852.25	6	8	8	13	9	10	3	10	9	20	15	3
PF04073.18	2	3	0	3	0	4	2	2	4	2	0	0
PF02163.25	8	12	7	16	13	6	13	9	7	24	16	0
PF17820.4	2	4	3	10	8	2	5	3	4	16	9	2
PF02739.19	3	8	4	5	6	15	3	1	4	7	7	3
PF01367.23	3	8	4	5	6	15	3	1	4	7	6	3
PF00476.23	3	8	4	5	6	15	3	3	4	7	6	3
PF01527.23	3	4	7	6	5	2	2	3	1	12	2	0
PF00889.22	17	18	10	33	28	35	15	14	27	47	19	3
PF00318.23	19	16	8	23	20	37	18	16	16	44	30	11
PF00465.22	23	16	14	26	18	35	8	11	9	35	27	14
PF13180.9	7	18	11	8	6	10	8	8	7	17	12	0
PF05362.16	5	7	5	15	9	7	1	6	12	11	6	2
PF00342.22	14	22	13	32	21	25	8	13	16	42	36	12
PF10458.12	7	8	5	6	7	13	5	4	4	11	5	5
PF01938.23	6	4	3	3	4	5	2	2	3	7	3	0
PF05958.14	1	5	3	5	4	5	2	6	6	6	4	1
PF01418.20	3	6	5	3	5	5	5	5	9	13	6	2
PF01380.25	15	33	16	25	22	25	19	21	25	59	25	10
PF02673.21	0	0	2	2	0	2	0	1	0	2	3	0
PF13177.9	8	7	4	12	4	13	1	7	10	18	16	3
PF03951.22	5	7	0	6	3	4	2	4	8	12	5	1
PF00120.27	14	19	3	12	8	11	3	7	12	19	7	4
PF01330.24	0	0	0	3	0	2	0	0	1	1	0	0
PF14520.9	6	5	1	7	7	5	7	7	7	23	8	6
PF07499.16	0	0	0	1	0	2	0	0	1	1	0	0
PF01624.23	17	81	9	13	24	39	2	16	3	7	6	2
PF05188.20	6	0	0	6	4	5	1	1	1	7	3	1
PF05192.21	6	0	0	6	4	6	1	1	1	7	3	1
PF05190.21	6	0	0	6	4	6	1	1	1	7	3	1
PF00488.24	11	3	3	11	9	12	9	2	4	12	10	5
PF03446.18	1	3	2	0	1	2	0	0	2	0	0	0
PF14833.9	0	2	2	0	0	1	0	0	2	0	0	0
PF01925.22	0	1	0	0	1	0	0	0	0	0	1	0
PF00226.34	7	13	3	5	8	9	3	4	4	4	11	9
PF01556.21	6	9	3	4	8	8	3	2	2	3	8	8
PF00684.22	6	8	3	4	8	7	3	2	2	3	8	8
PF13537.9	4	9	7	11	8	20	0	3	1	12	8	11
PF00733.24	1	3	1	3	0	3	1	1	2	10	7	11
PF05257.19	8	4	3	4	0	3	0	1	7	2	3	0
PF13545.9	1	1	0	5	1	1	3	0	2	4	2	0
PF01869.23	5	15	3	13	6	4	6	2	9	17	13	0
PF09989.12	1	5	0	5	2	1	3	0	3	6	3	0
PF06050.16	11	33	8	30	13	19	7	10	6	44	36	10
PF00440.26	8	11	11	19	14	8	9	9	9	19	18	10
PF14278.9	1	1	4	4	0	3	0	0	1	2	0	0
PF17191.7	5	4	1	4	5	2	2	2	1	3	1	1
PF19833.2	5	4	2	4	6	4	2	2	1	3	1	1
PF09182.13	0	0	0	0	0	0	0	0	0	0	0	0
PF03764.21	167	193	117	231	263	360	94	161	155	440	262	84
PF06800.15	0	0	0	0	0	0	0	0	0	0	0	0
PF06962.15	0	0	0	0	0	1	0	0	0	0	0	0
PF13167.9	5	7	5	4	5	2	5	4	1	10	0	2
PF16360.8	5	7	5	4	5	2	5	4	1	10	0	2
PF01467.29	7	8	4	2	1	1	5	6	7	11	1	4
PF13649.9	7	3	5	5	4	5	0	0	3	7	12	6
PF05636.14	1	0	0	0	0	0	0	0	1	2	1	0
PF01709.23	4	4	3	6	7	7	2	5	2	14	8	3
PF00162.22	48	59	33	105	59	122	49	44	62	177	131	24
PF02733.20	1	1	3	7	2	4	2	5	3	4	6	3
PF06874.14	4	8	9	1	6	0	6	7	3	17	8	6
PF01408.25	22	21	14	11	34	39	8	9	22	26	16	9
PF02894.20	18	17	8	6	21	13	3	6	16	15	12	6
PF02664.18	1	0	0	2	1	1	0	2	0	2	1	0
PF00248.24	6	5	3	11	5	9	7	9	6	22	10	1
PF13597.9	11	16	12	28	17	19	14	15	19	36	22	7
