FeatureID	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF08245.15	5	11	12	16	15	2	77	58	41	74	30	37	57	85	44
PF08353.13	0	1	0	0	1	1	1	1	1	5	1	3	2	2	0
PF13328.9	3	7	5	16	14	1	28	27	22	48	41	31	23	46	23
PF04607.20	10	10	8	44	30	4	59	38	25	65	49	41	45	56	31
PF02824.24	5	9	7	29	19	3	42	55	48	59	60	50	47	75	32
PF19296.2	3	6	4	12	11	1	25	25	11	36	36	26	22	26	20
PF13291.9	3	6	4	15	13	1	26	27	22	44	42	31	22	44	21
PF13460.9	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
PF13520.9	1	2	1	0	1	0	9	5	2	7	9	4	22	8	1
PF00580.24	10	1	6	16	12	2	32	41	20	43	13	18	28	83	20
PF13361.9	11	3	6	17	14	2	36	56	25	58	20	27	42	117	24
PF00890.27	7	14	11	27	21	9	67	52	75	53	18	12	17	42	26
PF00056.26	5	7	4	14	6	3	68	31	20	61	16	14	31	28	18
PF02866.21	5	7	4	14	6	3	68	31	20	61	16	14	31	27	18
PF00478.28	4	8	9	17	10	6	31	28	23	63	25	28	35	22	16
PF00588.22	1	2	2	6	3	0	13	14	10	10	10	7	12	32	12
PF01288.23	0	1	0	0	0	0	2	3	4	3	0	1	4	10	4
PF01227.25	0	0	0	1	2	0	5	3	1	1	4	1	5	9	3
PF00528.25	41	66	47	264	124	38	2277	321	278	593	342	308	1183	474	298
PF01594.19	0	1	1	10	7	1	38	15	4	15	13	8	31	29	9
PF02776.21	3	6	1	22	9	3	37	28	35	41	25	30	43	40	27
PF00205.25	3	6	1	18	8	3	34	23	33	37	20	29	41	36	23
PF02775.24	66	138	79	357	228	80	1514	533	409	1061	460	284	1459	488	420
PF07517.17	7	16	14	35	14	3	30	44	36	49	37	31	42	55	38
PF01043.23	7	15	14	33	13	3	30	44	36	49	37	30	42	55	38
PF07516.16	7	15	14	37	14	3	27	43	36	49	37	30	43	55	38
PF02810.18	7	17	16	41	16	5	47	64	48	58	44	34	61	79	63
PF00665.29	1	13	9	19	8	3	45	68	14	148	142	95	44	106	35
PF13333.9	1	3	6	8	1	3	15	16	3	26	33	18	9	24	8
PF00872.21	3	3	7	8	1	0	31	28	10	87	88	36	27	110	23
PF05524.16	24	23	19	66	36	12	44	12	7	58	10	22	54	19	14
PF00391.26	110	176	160	489	314	95	1322	423	325	954	544	389	1442	274	409
PF02896.21	110	176	160	490	314	93	1282	422	326	950	541	389	1427	271	405
PF00977.24	5	4	2	4	5	2	12	13	8	23	4	6	15	19	19
PF00180.23	4	4	2	11	12	1	49	17	14	34	11	18	34	26	18
PF00330.23	8	8	8	17	9	2	31	24	31	45	21	21	31	23	26
PF01195.22	0	0	2	0	0	0	1	1	2	0	1	0	2	5	1
PF01751.25	8	15	19	36	19	9	54	92	38	60	108	74	65	157	77
PF01131.23	3	7	14	17	9	5	21	69	23	44	101	63	35	114	48
PF01396.22	0	0	12	6	6	2	26	37	30	8	13	42	34	21	30
PF13495.9	1	1	0	7	1	0	20	4	3	21	9	9	17	7	6
PF00589.25	30	86	39	140	96	31	255	216	62	305	445	230	250	565	146
PF07690.19	6	5	14	21	7	5	254	55	46	67	25	26	176	101	36
PF00664.26	6	8	17	27	16	6	146	117	76	146	132	100	121	226	71
PF04079.19	1	0	0	0	0	0	3	3	0	3	2	4	0	3	2
PF12850.10	1	1	2	3	4	0	21	7	7	20	4	6	16	16	6
PF14691.9	10	27	17	41	16	11	68	37	34	114	61	31	31	42	37
PF07992.17	32	73	60	125	78	33	142	96	71	282	116	66	105	107	84
PF00310.24	0	1	1	3	0	1	185	33	19	218	46	42	20	52	44
PF04898.17	0	1	1	1	0	1	106	30	18	192	45	37	12	41	37
PF01645.20	0	3	3	5	3	1	165	38	19	224	47	42	20	66	54
PF01493.22	0	3	1	2	0	1	140	31	19	199	46	39	14	49	41
PF00282.22	0	0	0	0	0	0	0	4	12	1	1	0	0	7	0
PF13508.10	1	2	1	5	2	0	9	6	2	4	8	5	6	12	5
PF01321.21	4	3	8	25	4	3	26	12	13	33	10	8	22	14	9
PF03960.18	1	1	1	2	0	0	25	2	2	94	6	7	21	3	0
PF17757.4	3	8	6	8	5	5	38	32	22	39	38	16	32	57	20
PF02559.19	4	5	3	9	6	3	24	25	19	21	19	14	23	38	12
PF00270.32	13	10	17	31	10	8	58	84	67	79	67	47	69	173	33
PF03461.18	2	3	1	3	2	2	13	21	12	16	19	12	12	36	8
PF05833.14	1	5	1	1	2	0	7	2	3	5	3	3	6	4	6
PF05670.16	1	5	1	1	2	0	7	2	3	5	3	3	6	4	6
PF02653.19	19	18	13	81	53	19	242	51	49	128	80	64	166	61	44
PF00224.24	3	6	1	10	10	3	69	11	8	56	18	9	51	23	14
PF02887.19	3	6	1	9	10	3	69	10	8	51	16	9	51	23	14
PF01210.26	2	1	1	2	0	0	6	4	10	13	6	5	14	9	4
PF07479.17	2	1	1	2	0	0	6	4	10	13	6	5	14	9	4
PF20618.1	2	1	1	2	0	0	6	4	10	13	5	4	12	9	4
PF00483.26	72	125	58	375	241	66	537	125	111	556	124	127	388	131	170
PF00348.20	3	1	3	12	3	4	3	12	16	13	6	11	7	15	12
PF01180.24	0	2	1	3	2	1	7	11	3	8	15	9	18	26	7
PF13421.9	3	1	2	4	6	3	9	4	5	7	1	4	7	9	7
PF00849.25	2	3	2	12	4	2	16	23	20	28	26	21	19	35	25
PF00690.29	3	8	5	21	9	2	32	26	12	58	13	23	48	40	12
PF00689.24	3	8	5	21	9	2	32	26	12	58	13	23	48	40	12
PF06736.14	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PF05382.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF05263.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF14657.9	1	1	0	4	0	0	12	34	5	16	84	35	16	67	18
PF14659.9	7	7	0	7	10	6	38	73	10	88	168	77	67	162	42
PF06146.15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PF00392.24	14	12	10	23	17	4	55	27	7	78	51	31	58	51	34
PF02080.24	4	1	9	29	18	2	50	63	22	24	15	22	23	64	13
PF00367.23	14	22	13	29	30	9	183	22	10	67	14	16	152	23	16
PF00358.23	0	1	1	4	16	4	71	15	3	27	10	9	27	18	8
PF01047.25	0	1	1	2	0	0	7	2	2	7	4	4	9	4	4
PF00881.27	0	4	5	11	5	1	50	13	15	17	40	20	55	34	13
PF00106.28	1	2	4	2	7	3	20	10	9	10	21	15	32	23	9
PF13292.9	3	4	4	4	4	0	11	8	15	21	5	7	19	14	9
PF02779.27	11	15	9	28	12	1	131	60	74	78	38	26	92	44	28
PF02780.23	11	15	8	28	12	1	131	60	75	77	38	26	92	43	27
PF01554.21	7	24	28	39	36	8	328	189	122	114	235	138	327	532	124
PF01261.27	4	4	4	10	13	3	84	54	52	58	31	32	40	42	29
PF01479.28	25	26	40	84	53	12	100	83	68	92	73	58	139	65	75
PF02861.23	12	16	24	44	28	12	46	66	68	110	60	123	244	127	132
PF00004.32	23	31	54	70	44	14	134	119	93	356	126	155	229	220	117
PF17871.4	8	14	15	29	18	9	41	40	37	247	56	93	134	91	73
PF07724.17	14	26	32	59	39	15	79	74	61	275	84	115	190	129	116
PF10431.12	13	24	30	54	37	15	77	73	61	273	78	114	184	125	114
PF01370.24	3	5	0	13	7	2	41	42	52	11	7	11	30	62	15
PF13522.9	6	3	5	8	2	2	37	21	17	25	16	9	28	18	12
PF00156.30	10	7	9	25	16	2	158	48	30	108	52	35	47	63	26
PF18072.4	20	13	17	36	9	6	44	43	28	74	50	42	29	37	23
PF00586.27	2	6	4	11	8	2	21	14	10	13	8	11	16	24	16
PF02769.25	22	19	25	48	17	8	90	94	64	85	58	55	47	81	46
PF13507.9	20	13	20	36	9	6	50	49	29	72	50	42	31	38	29
PF01259.21	2	2	1	8	4	2	12	11	10	19	8	6	12	15	4
PF00128.27	36	51	55	114	61	26	302	200	135	290	115	99	239	278	146
PF02806.21	17	19	21	51	31	13	95	47	31	116	53	37	71	51	50
PF08240.15	6	25	9	35	14	7	18	17	5	78	12	14	28	18	14
PF00107.29	6	25	10	36	14	7	18	17	6	78	11	14	28	17	13
PF06541.14	4	4	1	5	4	2	43	10	8	20	5	2	29	26	11
PF02922.21	20	24	27	62	33	15	133	77	54	137	64	49	88	88	68
PF12848.10	2	4	6	26	13	4	37	46	34	21	43	28	23	94	24
PF16326.8	0	1	1	5	4	1	8	11	5	1	7	7	2	11	3
PF03577.18	0	2	0	2	1	0	10	11	6	25	4	6	5	7	2
PF11797.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01018.25	3	2	4	7	3	0	10	7	4	24	3	5	12	26	6
PF01926.26	19	25	15	52	28	4	82	85	54	135	69	53	76	129	58
PF09269.14	3	1	3	6	3	0	8	3	4	24	3	4	12	16	4
PF00171.25	10	21	14	44	32	19	43	13	12	54	19	16	54	30	35
PF00696.31	8	18	11	27	17	4	61	53	60	63	33	38	48	48	43
PF02881.22	5	6	11	14	8	3	18	29	27	13	17	12	19	25	25
PF00448.25	7	9	11	18	12	4	22	38	33	23	19	17	26	34	34
PF02978.22	4	4	8	12	6	3	12	24	22	8	11	11	19	19	16
PF00753.30	21	26	17	54	47	16	122	70	53	196	82	54	119	120	63
PF07521.15	12	12	13	33	15	10	47	23	28	70	22	18	43	34	24
PF17770.4	4	6	6	16	5	4	20	14	17	30	13	11	25	13	10
PF01118.27	2	5	6	7	6	0	27	29	20	33	24	22	23	26	14
PF02774.21	2	5	5	5	5	0	26	27	19	29	20	18	21	26	12
PF01081.22	1	0	1	2	1	1	31	10	16	27	11	12	17	9	14
PF01263.23	4	3	8	18	7	2	24	24	39	15	14	17	20	19	19
PF13347.9	1	3	1	14	1	3	66	19	21	9	18	10	61	31	8
PF01232.26	1	2	0	4	4	2	47	17	13	26	8	9	19	25	14
PF08125.16	1	2	0	4	4	2	47	17	13	26	8	9	19	25	14
PF00356.24	5	3	5	12	4	8	75	27	18	52	29	27	76	76	25
PF13377.9	8	4	9	15	7	9	108	39	28	79	41	39	105	97	32
PF00206.23	6	9	7	18	21	2	35	34	14	46	23	18	50	36	22
PF10397.12	6	6	4	11	13	1	16	13	6	28	10	7	25	17	11
PF02926.20	3	4	5	11	8	2	17	12	9	12	7	3	36	22	11
PF01170.21	3	4	4	9	10	2	8	15	5	10	4	4	8	12	5
PF05103.16	0	1	0	0	1	0	3	1	0	4	1	3	0	1	1
PF08230.14	0	0	0	0	0	0	0	0	4	2	2	1	1	6	21
PF00155.24	15	14	23	47	39	6	110	69	49	160	45	35	150	115	41
PF01381.25	18	30	18	31	28	9	354	137	47	197	197	137	308	296	71
PF01209.21	0	0	0	2	2	0	5	2	3	0	1	0	0	2	1
PF06018.17	7	17	13	18	8	4	44	10	10	17	4	3	24	11	18
PF08222.14	7	17	13	18	8	4	44	10	10	17	4	3	24	11	18
PF12464.11	1	0	4	3	3	0	1	3	6	2	4	3	5	6	2
PF00132.27	14	35	13	83	41	6	111	53	67	40	33	26	72	72	44
PF02686.18	0	0	0	1	0	0	4	0	2	2	1	2	1	4	2
PF02903.17	1	3	3	8	5	2	13	13	9	4	1	2	17	17	8
PF07274.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01425.24	0	0	0	1	0	1	11	5	0	25	11	9	9	7	5
PF01476.23	4	13	18	25	11	2	97	62	117	76	52	47	39	133	65
PF03610.19	5	4	13	8	4	1	15	5	2	95	11	15	11	4	3
PF03830.18	22	42	13	54	25	4	39	3	8	168	18	42	19	7	4
PF03609.17	28	58	13	107	59	18	66	9	15	160	18	28	52	6	4
PF03613.17	24	26	12	81	54	9	55	8	10	124	5	21	23	3	6
PF02934.18	1	0	0	3	0	0	14	6	2	33	20	14	10	12	3
PF02637.21	1	0	0	3	0	0	14	6	2	33	20	14	10	12	3
PF02403.25	5	7	7	20	4	1	39	19	13	23	20	11	33	31	13
PF00587.28	25	27	28	84	26	7	154	116	90	136	102	84	150	154	67
PF12849.10	0	2	0	2	0	0	6	8	8	4	29	9	1	15	4
PF01668.21	2	1	0	1	1	2	4	7	3	1	1	3	6	6	2
PF01411.22	3	12	24	23	9	5	52	51	31	46	36	30	41	46	31
PF07973.17	6	16	30	39	15	8	74	93	65	82	74	66	83	97	51
PF02272.22	13	14	37	35	20	6	109	88	63	95	61	46	66	116	53
PF13145.9	0	0	4	5	2	0	0	3	4	1	1	1	1	2	2
PF01596.20	0	0	0	0	0	1	2	0	1	13	2	1	3	1	0
PF08439.13	1	1	0	0	0	1	30	8	4	17	7	11	18	17	8
PF01432.23	3	6	4	7	3	1	65	26	36	41	15	19	43	49	17
PF06054.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01027.23	0	2	1	3	0	0	14	2	7	1	2	0	3	1	2
PF01966.25	47	72	119	201	105	28	336	191	161	324	173	159	258	181	191
PF04892.15	1	0	1	6	5	0	26	9	6	13	5	8	19	11	5
PF01264.24	0	0	0	3	1	0	1	5	6	4	1	4	0	8	4
PF06335.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF04657.16	0	0	0	0	0	0	0	1	0	0	1	0	0	4	0
PF01761.23	2	1	0	2	4	0	17	4	4	10	3	5	10	10	6
PF09335.14	1	0	1	1	0	0	2	2	1	0	1	2	4	6	3
PF00497.23	4	4	5	8	1	3	74	49	25	39	20	32	42	45	42
PF02874.26	67	111	99	305	217	79	540	222	237	782	293	264	438	155	211
PF00006.28	71	122	111	316	226	79	562	249	268	811	299	279	455	175	225
PF00306.30	28	36	29	118	76	14	138	83	77	193	68	66	103	37	61
PF00213.21	6	6	10	40	24	9	24	44	38	52	23	20	33	18	20
PF00119.23	5	8	2	20	12	2	106	22	25	37	18	19	46	13	11
PF01694.25	0	0	1	5	1	0	11	2	4	6	4	3	5	6	2
PF01592.19	1	2	1	6	3	0	35	15	6	49	10	9	100	48	25
PF13527.10	0	3	1	6	1	0	10	5	2	19	13	1	10	15	3
PF17668.4	0	0	0	0	0	0	1	0	0	13	7	1	0	0	0
PF04997.15	29	34	56	102	60	16	180	113	119	158	93	77	179	116	80
PF00623.23	48	54	87	160	91	23	307	205	220	269	171	140	276	216	138
PF04983.21	30	35	58	102	61	17	181	113	119	163	93	78	180	116	80
PF05000.20	30	35	58	102	60	17	181	113	119	163	92	78	180	116	80
PF04998.20	30	37	58	106	61	17	182	113	120	165	92	79	180	120	80
PF19200.3	0	0	1	0	4	0	0	0	0	4	0	1	1	0	0
PF05913.14	0	0	1	0	4	0	0	0	0	4	0	1	1	0	0
PF04563.18	28	31	41	88	49	17	184	135	89	129	72	74	209	110	63
PF04561.17	55	57	76	167	93	32	356	264	169	165	124	127	404	213	124
PF04565.19	28	31	41	86	49	17	184	135	89	128	71	75	209	110	63
PF10385.12	28	31	41	86	49	17	183	135	89	128	72	76	209	110	63
PF00562.31	28	33	41	90	50	17	184	135	91	132	73	76	209	110	65
PF04560.23	27	31	40	89	50	17	184	135	90	131	73	76	206	110	65
PF05649.16	0	3	0	9	2	0	31	7	25	3	10	4	5	11	2
PF01431.24	0	3	0	9	2	0	31	7	25	3	10	4	5	11	2
PF01943.20	1	1	2	6	4	1	46	18	11	18	12	13	20	40	16
PF14667.9	1	1	1	4	4	1	49	21	16	15	12	14	27	38	16
PF01368.23	12	6	13	15	13	3	71	40	38	73	36	21	35	83	27
PF02833.17	2	3	0	2	2	2	8	2	4	19	10	5	6	2	2
PF01595.23	2	6	8	16	7	2	46	35	18	13	9	17	45	42	13
PF00571.31	17	38	37	75	44	18	209	153	103	211	68	98	189	167	72
PF03471.20	2	6	9	16	7	2	46	36	18	13	9	18	46	43	15
PF17760.4	2	4	5	11	4	6	25	32	15	21	20	16	22	51	18
PF17755.4	2	4	5	11	4	6	27	33	15	30	21	16	26	55	18
PF04263.19	0	0	1	2	1	0	6	4	4	6	2	3	2	4	2
PF04265.17	0	0	1	2	1	0	4	4	3	5	2	3	2	4	2
PF00582.29	1	1	1	3	2	0	34	13	17	6	4	3	11	11	1
PF19300.2	2	1	2	10	4	0	55	14	11	18	5	9	27	14	10
PF08352.15	20	13	15	21	13	8	96	41	23	94	30	46	58	51	43
PF01134.25	1	4	3	1	1	0	11	16	10	13	15	11	19	26	2
PF13932.9	1	4	3	1	1	0	8	16	9	10	9	9	14	25	2
PF01406.22	6	3	3	11	5	2	14	13	8	15	13	6	11	22	10
PF09190.14	6	3	2	11	4	2	9	13	7	11	8	5	8	17	8
PF01138.24	14	10	41	33	26	14	150	123	108	92	166	99	142	140	74
PF03725.18	12	9	28	22	17	8	101	96	83	62	147	87	84	114	46
PF03726.17	7	4	17	16	11	5	67	57	52	41	70	38	59	58	32
PF00013.32	32	60	99	134	69	26	228	164	161	261	201	147	218	149	154
PF00575.26	150	231	171	637	303	88	943	743	774	668	462	389	1059	459	418
PF00009.30	255	378	372	1000	652	172	2555	1016	864	1627	1007	789	2749	626	786
PF03144.28	235	372	342	954	620	164	2451	912	744	1489	941	730	2617	466	717
PF03143.20	143	208	186	520	362	87	1907	507	469	993	588	463	1919	227	414
PF00133.25	16	25	28	64	32	18	130	126	109	141	147	103	146	159	78
PF08264.16	17	25	27	66	35	21	133	130	114	142	145	103	152	161	83
PF06827.17	2	1	0	0	1	0	9	2	6	8	9	10	10	17	8
PF00091.28	2	10	8	30	7	3	40	25	13	53	7	18	43	21	24
PF12327.11	2	10	8	30	7	3	40	25	13	56	8	18	42	21	24
PF00126.30	4	6	5	7	5	0	29	19	7	15	22	8	43	42	17
PF03466.23	4	7	5	7	5	0	27	20	7	13	21	8	41	43	18
PF04055.24	41	63	44	102	52	20	237	142	112	223	128	122	190	193	106
PF13394.9	1	2	2	7	3	1	21	12	9	12	11	8	15	22	8
PF01029.21	2	2	4	9	3	0	9	11	11	9	7	7	11	15	7
PF01189.20	3	2	4	9	2	0	4	11	10	11	10	11	18	13	5
PF04226.16	0	0	0	0	1	1	13	0	1	1	0	0	1	3	0
PF00551.22	6	1	6	9	8	5	14	14	13	17	7	8	19	21	7
PF02911.21	4	1	4	7	3	1	5	6	4	3	1	3	9	12	2
PF06983.16	0	0	0	1	1	0	4	0	0	0	0	0	1	2	0
PF12072.11	24	55	79	116	55	18	151	102	107	215	120	100	146	79	118
PF01182.23	22	11	9	65	38	5	21	4	3	74	6	14	20	14	12
PF00712.22	1	2	2	8	2	0	35	11	6	9	5	2	22	13	9
PF02767.19	1	1	2	8	2	0	35	11	6	9	5	2	22	13	9
PF02768.18	1	1	2	8	2	0	35	11	6	9	5	2	22	14	9
PF01116.23	39	65	38	142	87	22	481	99	107	283	97	85	324	57	108
PF03129.23	20	23	22	68	24	6	121	100	80	116	85	75	120	142	57
PF03477.19	18	15	21	37	24	7	75	51	31	70	34	40	80	75	34
PF14681.9	0	4	2	4	7	0	14	4	5	24	6	5	13	7	1
PF01053.23	7	0	2	7	5	1	45	18	13	34	18	6	32	36	40
PF02646.19	0	0	0	0	0	0	0	5	1	0	1	0	0	2	0
PF16745.8	1	0	3	1	0	1	3	3	7	4	3	3	5	7	2
PF03193.19	1	0	3	1	0	1	3	4	7	4	3	3	5	8	2
PF01588.23	8	6	13	25	13	7	56	59	49	82	32	28	53	73	39
PF03483.20	3	1	4	13	5	1	28	27	27	14	9	13	20	42	22
PF03484.18	3	1	4	13	5	1	27	24	27	13	8	11	19	34	19
PF17759.4	3	1	4	13	5	1	27	24	27	13	8	11	19	34	19
PF03147.17	3	1	4	13	5	1	27	24	27	13	8	11	19	34	19
PF02912.21	1	0	4	5	1	0	18	16	15	7	9	13	7	21	7
PF01409.23	1	0	4	5	1	0	18	16	15	7	9	13	7	21	7
PF02421.21	4	1	2	8	2	2	44	25	11	14	22	22	30	62	16
PF17910.4	4	1	2	8	2	2	44	23	11	13	22	22	30	58	16
PF07670.17	8	2	4	16	5	4	89	49	23	28	44	44	63	123	33
PF07664.15	4	1	2	8	2	2	44	24	11	14	22	22	29	62	16
PF00704.31	2	6	1	5	2	1	13	18	7	13	5	5	14	25	16
PF02839.17	0	0	0	0	0	0	0	1	0	2	0	0	0	4	0
PF03067.18	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PF01872.20	0	1	2	2	0	1	14	2	1	6	5	4	7	11	1
PF01336.28	28	9	28	43	30	7	146	87	80	104	92	55	121	93	59
PF00152.23	25	8	27	39	27	6	135	76	76	95	86	50	116	87	52
PF02938.17	7	3	8	12	10	1	63	27	30	39	25	13	28	29	22
PF13393.9	2	3	4	10	3	1	20	17	7	19	16	13	11	35	12
PF13413.9	0	0	1	0	0	1	1	0	0	2	0	0	0	1	0
PF00675.23	14	6	10	16	8	3	56	39	59	26	9	11	36	41	22
PF05193.24	18	7	10	27	10	3	97	62	100	33	17	17	42	60	26
PF03780.16	3	4	7	14	7	5	19	5	6	20	7	8	30	4	11
PF16363.8	17	16	20	54	30	3	92	47	47	70	29	39	51	72	40
PF10509.12	6	6	5	9	10	3	45	17	34	21	16	8	29	16	14
PF00288.29	7	6	6	13	14	3	47	29	44	24	17	12	34	26	22
PF08544.16	7	5	5	13	13	3	36	24	34	14	7	9	19	23	20
PF01136.22	8	4	5	5	4	3	18	23	13	21	12	12	19	35	14
PF16325.8	2	1	2	2	3	2	6	6	5	3	4	6	13	8	4
PF00687.24	16	12	22	48	33	12	128	97	89	60	39	36	147	42	45
PF01765.22	4	7	4	11	5	4	7	14	15	23	10	11	13	13	20
PF00871.20	4	8	13	19	19	3	84	35	30	67	19	35	57	26	29
PF14492.9	93	158	150	430	259	81	561	400	314	524	347	251	672	247	300
PF00679.27	99	163	160	447	266	83	592	434	341	554	383	281	726	315	316
PF07242.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF04397.18	5	8	9	14	17	4	145	72	33	169	123	82	176	149	89
PF00480.23	8	7	6	14	12	1	36	17	16	50	10	17	32	36	16
PF00817.23	1	2	1	2	2	0	8	6	4	13	14	13	9	30	9
PF11798.11	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0
PF11799.11	1	2	1	2	2	0	8	6	4	13	14	13	9	29	9
PF02729.24	4	6	2	10	7	2	34	14	16	27	17	22	12	32	21
PF00185.27	4	6	2	10	7	2	34	14	16	27	17	22	12	32	21
PF01316.24	0	1	0	2	1	1	3	1	3	1	1	0	2	5	3
PF02863.21	0	1	0	2	1	1	3	1	3	1	1	0	2	5	3
PF01225.28	1	4	4	5	9	0	37	28	15	46	13	20	17	32	12
PF02875.24	3	8	9	13	12	1	61	42	27	65	24	32	48	58	40
PF04321.20	2	1	2	8	6	2	14	13	10	15	7	7	15	12	5
PF00230.23	0	10	2	20	2	2	27	2	5	6	4	1	11	4	0
PF18073.4	0	6	0	5	1	1	7	6	8	2	4	4	12	18	4
PF13481.9	0	7	1	7	1	1	16	35	26	13	87	37	15	81	22
PF13541.9	0	6	0	8	2	1	10	9	11	2	6	2	14	25	5
PF01196.22	23	12	23	45	23	6	86	42	38	35	18	26	100	8	35
PF01193.27	19	27	44	67	34	21	148	112	81	106	61	52	253	44	67
PF01000.29	19	27	44	67	34	21	148	112	81	106	61	52	253	44	67
PF03118.18	19	28	45	67	34	21	148	114	81	107	64	54	253	48	67
PF00411.22	7	20	6	30	16	5	47	47	48	73	64	39	71	26	33
PF01176.22	0	2	2	6	1	0	8	7	10	7	6	3	14	5	3
PF13276.9	1	3	7	9	2	3	11	15	3	40	28	21	9	22	13
PF00406.25	1	0	5	12	11	1	20	13	10	42	17	19	33	2	7
PF05191.17	1	0	5	7	11	1	20	12	8	40	15	19	32	2	7
PF00828.22	10	12	30	30	21	8	64	44	40	60	43	34	103	34	33
PF00347.26	66	32	38	102	72	36	70	172	108	218	156	84	134	50	110
PF06480.18	3	4	10	11	7	1	32	28	23	30	34	22	31	53	17
PF17862.4	11	8	17	21	15	2	54	41	35	71	50	40	62	80	26
PF01434.21	12	10	18	26	17	2	54	41	35	71	50	41	62	80	26
PF07650.20	15	26	27	60	34	7	53	108	80	74	99	74	78	46	61
PF00189.23	13	20	26	52	30	6	42	98	76	63	92	69	75	37	52
PF00237.22	5	14	18	35	24	4	18	53	48	41	64	37	31	36	37
PF00573.25	10	24	18	51	19	5	24	53	47	48	58	25	31	28	32
PF14821.9	0	3	3	4	4	0	25	13	10	12	2	3	15	8	9
PF00291.28	0	6	6	15	9	2	81	43	35	77	32	27	52	63	69
PF04239.15	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0
