FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF00636.29	0	3	0	0	0	3	0	1	0	0	0	0	1	5	2	1	3	5	2	1	2	1	1	1	3	1	2	5	4	1
PF02542.19	0	1	0	0	2	1	1	2	0	0	1	0	2	4	2	4	1	5	3	4	3	4	1	2	5	1	2	4	2	2
PF14584.9	0	1	0	2	0	3	0	0	0	2	0	0	7	4	2	3	2	7	9	2	2	6	2	0	0	0	2	5	3	1
PF03417.19	2	0	0	0	0	1	0	0	0	1	0	0	2	1	3	3	10	11	0	2	5	0	1	0	0	1	0	1	5	1
PF12116.11	0	0	0	0	1	0	0	1	0	0	2	0	1	0	1	1	2	2	0	2	3	1	0	0	1	0	1	2	1	0
PF02049.21	1	3	0	3	0	2	0	0	0	1	0	0	10	2	0	2	0	1	6	2	3	5	1	3	4	2	4	4	0	9
PF01514.20	6	23	1	20	4	32	10	13	8	15	2	5	19	9	17	29	10	10	21	11	6	32	20	23	28	11	16	29	13	27
PF08345.14	6	22	1	20	4	31	9	13	8	15	2	5	19	9	17	29	10	10	21	11	6	32	20	23	27	11	15	29	13	27
PF02108.19	8	26	0	10	2	28	5	3	3	5	3	2	14	10	7	8	5	10	8	13	4	11	13	7	11	7	13	12	10	25
PF02050.19	0	9	0	3	2	6	2	3	0	0	0	0	1	7	4	7	2	2	0	8	2	0	6	5	1	2	5	0	4	5
PF02120.19	41	149	5	63	16	123	45	95	22	66	10	15	14	52	38	25	4	21	17	35	17	11	78	69	69	36	52	18	30	102
PF12611.11	16	33	0	32	11	34	11	31	17	11	6	7	4	8	4	4	4	5	14	7	4	7	11	5	15	10	7	8	5	12
PF20560.1	2	0	0	1	2	6	2	0	1	0	0	0	5	0	1	1	1	0	1	1	0	7	8	10	5	0	4	16	1	3
PF13677.9	7	15	1	17	2	18	7	12	3	6	2	4	26	10	16	13	2	17	29	16	7	12	27	20	27	16	13	19	9	25
PF02154.18	5	29	0	15	4	40	12	12	5	4	4	6	52	16	23	18	6	22	106	7	20	65	29	20	33	29	33	50	17	29
PF04347.16	4	14	0	5	2	21	7	3	4	5	3	2	18	5	4	5	0	5	43	5	2	20	12	8	9	4	8	23	2	7
PF00813.23	4	8	0	4	1	12	7	6	5	3	2	0	28	7	8	5	1	10	66	8	8	59	6	18	15	5	5	24	9	10
PF01313.22	1	0	0	2	1	3	2	0	0	0	2	2	6	1	7	6	2	1	18	1	1	19	3	7	3	1	0	11	3	0
PF03975.16	3	7	1	7	1	13	0	6	0	2	0	1	11	4	5	9	3	4	19	2	7	8	11	6	9	5	3	9	3	3
PF02623.18	7	83	0	8	2	73	3	5	1	16	1	0	30	10	5	7	0	1	144	2	2	47	8	5	19	3	5	27	2	8
PF05130.15	32	128	1	42	24	121	15	50	24	36	23	20	64	15	13	20	4	13	37	7	11	32	21	11	84	28	34	51	19	30
PF04316.16	4	53	0	19	1	56	5	14	5	12	7	4	39	8	6	10	1	4	20	1	1	50	6	7	39	5	12	55	5	15
PF01339.20	2	48	0	8	1	46	2	2	2	6	3	0	39	19	25	20	4	17	56	12	10	50	20	20	35	18	28	48	23	27
PF07238.17	0	13	1	4	3	16	2	5	1	1	1	0	33	13	9	12	13	22	56	12	21	39	16	9	19	6	9	51	6	9
PF04166.15	0	1	1	0	3	0	1	1	2	0	1	3	1	3	4	4	5	7	0	2	2	0	6	1	0	2	3	0	4	1
PF19642.2	0	1	0	0	0	1	0	1	0	1	0	0	0	3	2	2	1	3	9	1	0	6	1	2	2	0	0	2	1	0
PF01625.24	0	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	2	0	0	1	1	2	1	0	0	0
PF20140.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
PF11611.11	1	0	0	1	0	1	1	0	0	0	0	0	18	2	1	2	2	1	2	0	1	39	3	1	8	0	5	21	3	3
PF01985.24	0	1	0	1	0	0	1	0	0	0	0	0	1	2	2	0	0	2	1	2	1	1	0	1	6	1	0	0	0	3
PF06107.14	1	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	1	1	0	1	0	3	0	1	2	0	1
PF12821.10	0	1	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	4	0	1	0	0	0	0	1	1	0	1	1	0
PF06738.15	0	0	0	0	0	1	1	0	1	2	0	1	3	0	4	1	5	2	2	1	5	0	3	0	2	0	1	0	2	0
PF03795.17	0	1	0	1	1	10	1	2	0	0	0	0	4	5	1	1	4	2	6	6	8	1	3	2	0	2	0	3	3	0
PF09419.13	0	0	0	0	0	0	0	0	1	0	0	0	5	1	2	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0
PF02579.20	0	1	0	2	0	1	2	1	0	0	0	0	7	2	1	2	1	3	5	4	0	1	1	0	3	0	0	1	0	1
PF13311.9	1	4	0	1	0	4	0	2	0	0	0	0	6	2	3	1	3	5	7	5	7	2	4	1	1	1	3	3	6	2
PF09578.13	0	0	0	1	0	0	0	0	0	0	1	0	3	2	3	1	2	3	7	1	4	5	0	2	5	0	1	8	6	1
PF20316.1	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	7	0	1	2	0	1	0	3	2	19	0	0	4	0	0
PF13682.9	7	42	0	25	6	46	14	20	7	14	7	7	45	14	22	32	1	27	23	16	15	27	29	19	35	9	11	37	22	18
PF08348.14	0	3	0	0	0	4	0	0	1	0	1	1	3	2	1	2	2	3	1	1	3	8	0	0	1	1	3	10	1	0
PF13309.9	0	3	0	0	0	4	0	0	1	0	1	1	3	2	1	2	2	3	1	1	3	8	0	0	1	1	3	10	1	0
PF10114.12	0	18	0	2	0	19	0	1	3	4	0	4	29	13	21	4	7	15	22	18	5	22	8	9	12	6	11	13	20	8
PF13515.9	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	2	0	1	1	0	0	0	0	0	0	2	0	0
PF02110.18	0	0	1	0	0	0	0	0	0	0	1	0	1	1	1	5	4	9	2	4	6	0	1	1	0	2	1	1	2	1
PF18936.3	0	0	0	0	1	0	0	0	0	0	0	0	15	0	0	0	1	0	53	1	1	10	0	1	1	2	1	1	0	0
PF04294.16	0	16	0	8	0	25	7	10	5	6	2	5	12	15	16	11	8	14	20	24	13	11	4	7	11	6	8	6	14	5
PF12229.11	4	16	0	9	2	29	9	7	5	5	9	8	15	31	18	17	15	27	30	37	24	22	17	19	15	3	10	19	26	15
PF08486.13	0	0	0	2	1	4	2	2	0	1	3	3	5	18	8	10	9	21	9	27	18	10	12	4	8	2	5	5	12	6
PF12700.10	1	11	0	1	0	7	3	4	0	4	0	0	22	9	8	6	4	13	29	16	18	15	20	6	10	3	9	12	10	11
PF20069.2	2	57	1	5	4	37	4	4	2	8	0	2	4	7	5	5	4	3	18	3	1	11	18	11	5	3	9	13	7	16
PF00420.27	1	0	0	1	2	0	1	0	0	0	0	1	1	1	1	1	2	3	4	4	3	10	2	4	0	1	1	3	2	2
PF07451.14	0	4	0	0	0	3	0	0	0	0	0	0	1	6	4	3	3	7	3	9	8	0	3	2	4	0	1	3	9	2
PF09858.12	0	0	0	0	0	0	0	0	0	0	0	0	21	1	4	2	0	1	84	2	1	28	0	3	1	4	0	0	0	0
PF15565.9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00800.21	3	0	0	1	2	8	0	1	1	4	0	1	8	7	8	1	5	11	5	8	11	6	8	4	13	2	9	8	22	4
PF12643.10	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF19641.2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	3	10	0	0	1	1	2	0	1	1	1	2	2	2
PF19700.2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	3	1	1	1	1	0	0	0	0	0	1	0
PF06252.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0
PF17289.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0
PF11962.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	1	0	0	2	0	0	1	0
PF15919.8	2	10	0	3	5	4	2	1	2	4	1	1	45	14	11	0	7	7	33	7	7	39	3	3	11	11	3	42	8	6
PF04531.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	1	0
PF14285.9	0	3	0	2	0	2	1	1	0	1	0	0	7	4	5	11	7	10	6	8	11	1	1	1	0	3	3	0	3	1
PF20464.1	0	1	2	0	0	0	0	0	0	0	0	0	0	9	9	4	19	27	0	10	16	0	0	1	3	17	7	2	8	5
PF20465.1	0	2	2	0	0	0	0	0	0	1	0	0	0	9	10	5	20	27	1	13	17	3	2	2	3	17	7	4	9	5
PF20473.1	0	1	2	0	0	0	0	0	0	1	0	0	0	9	8	3	23	25	1	10	17	2	0	1	1	19	8	4	7	5
PF20466.1	0	1	2	0	0	0	0	0	0	1	0	0	0	7	7	3	20	25	1	9	17	2	0	0	1	18	8	4	7	5
PF20467.1	0	1	2	0	0	0	0	0	0	1	0	0	0	7	7	3	20	25	1	9	17	2	0	0	1	18	8	4	7	5
PF12637.10	0	2	0	0	1	5	0	0	0	1	0	3	5	1	0	2	1	1	6	1	2	9	0	1	2	1	1	4	2	2
PF02245.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	2	3	1	0	0	0	0	0	0	0	0
PF18975.3	3	1	0	4	0	6	1	0	0	2	2	3	10	5	6	4	3	12	11	10	6	8	2	0	12	0	2	6	9	2
PF12724.10	1	3	0	4	1	3	0	3	1	6	1	2	7	12	12	5	10	32	20	16	8	11	5	4	10	4	0	11	5	5
PF09719.13	0	16	1	1	1	14	0	1	1	0	1	0	6	16	6	3	6	13	14	9	9	10	5	4	10	5	6	12	17	9
PF04246.15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	1	0	0
PF13735.9	1	1	0	2	1	3	3	4	1	0	0	0	7	11	7	8	4	11	5	10	12	4	1	3	3	1	1	6	8	1
PF18912.3	0	3	0	0	0	4	0	0	1	0	0	0	1	3	3	1	1	3	5	6	4	3	2	0	1	2	1	3	2	0
PF05857.14	0	5	0	1	1	4	0	1	0	1	0	0	0	11	10	13	11	27	18	24	17	5	5	2	2	1	2	9	6	2
PF06961.16	0	1	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	2	18	0	2	2	2	1	0	0	0	2	1	0
PF05504.14	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	3	0	0	0	2	1	0	0	0	0	0	0	0	0	0
PF03323.16	0	1	0	0	0	4	0	0	1	0	1	0	0	5	16	3	8	18	9	9	13	0	4	0	1	4	1	0	11	0
PF05135.16	0	0	0	0	0	0	0	1	0	0	0	0	0	12	7	0	5	5	1	10	5	0	0	0	1	3	5	0	2	2
PF04474.15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	1	0	1	1	0	1	0	0	0	0	0	2	0
PF14512.9	0	0	0	0	1	0	3	0	0	0	0	1	4	1	0	2	0	1	3	1	1	3	0	0	3	1	0	3	1	1
PF10694.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PF12647.10	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	3	3	0	1	1	0	0	1	0	0	0	2	1
PF02130.20	0	1	1	1	2	1	0	2	0	1	2	2	3	1	5	8	5	7	2	6	7	2	3	3	6	0	3	8	4	2
PF06898.14	0	0	0	0	0	0	0	0	0	0	0	0	0	8	7	3	6	17	5	12	7	0	2	2	3	3	2	2	6	5
PF09670.13	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	0	3	1	0	1	0	0	0	0	0
PF09579.13	1	7	0	1	0	6	1	1	0	0	1	0	6	3	3	0	0	3	6	2	3	2	2	1	3	2	1	7	3	6
PF10844.11	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2	1	3	0	0	0	0	0	3	1	0	0	1	0	4	2
PF20155.2	0	1	0	0	0	2	0	0	0	1	0	0	0	6	7	4	7	8	7	5	13	3	4	18	0	8	2	2	3	1
PF09648.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
PF05762.17	1	2	0	0	0	3	2	1	0	0	0	0	2	1	2	1	1	3	0	5	1	0	1	0	0	1	1	2	4	2
PF01906.20	4	1	1	3	0	4	0	2	1	1	1	1	3	0	2	0	4	2	8	6	2	3	7	1	7	5	5	11	1	6
PF12571.11	0	1	1	0	0	2	0	0	1	1	0	0	1	2	4	1	4	10	8	10	5	0	2	4	1	5	1	2	6	0
PF13884.9	0	0	0	0	0	2	0	0	0	0	0	0	1	2	16	8	5	9	2	3	6	4	4	3	2	6	1	0	13	2
PF01244.24	1	1	1	3	3	4	1	2	1	0	0	0	4	2	4	2	4	3	1	4	1	2	3	1	5	3	1	1	5	0
PF05684.15	4	1	0	2	3	0	5	3	0	4	0	0	7	0	0	8	0	0	17	0	0	22	2	0	2	0	0	8	0	0
PF03612.17	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	3	3	0
PF07663.14	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	2	0	0	0	0	0	3	3	0
PF03608.16	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	0	0
PF06923.14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	5	0	2
PF14359.9	0	0	0	0	0	0	0	0	0	0	0	0	0	10	12	15	25	32	0	17	10	2	3	2	1	5	8	2	14	1
PF16260.8	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0
PF14070.9	2	7	0	1	0	5	0	9	3	1	0	0	37	2	48	3	27	4	218	5	1	106	2	6	16	3	1	26	0	9
PF09346.13	5	4	0	4	0	4	2	0	4	8	2	0	22	8	9	5	25	29	16	15	72	12	3	0	7	14	7	10	10	4
PF09548.13	1	1	0	0	0	0	0	0	0	0	0	0	1	3	0	3	2	6	3	2	0	0	0	1	1	1	0	1	2	0
PF01885.19	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	1	1	1	0	1	4	2	0	0	0	1	0	2	0
PF06177.14	0	1	0	1	0	5	1	0	0	0	0	0	1	3	0	1	2	2	8	1	1	17	8	0	1	2	0	5	3	1
PF09581.13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	6	0	4	3	0	0	1	0	0	1	1	0	1
PF17866.4	0	0	11	0	0	0	0	0	0	0	1	5	3	1	2	7	5	4	1	2	1	2	5	0	1	3	1	0	3	0
PF13228.9	0	1	0	2	0	6	1	1	0	1	1	0	12	9	6	2	9	8	15	8	13	7	4	5	7	5	2	6	25	6
PF14221.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	1	0
PF14277.9	0	0	0	2	0	1	0	1	0	2	0	0	0	4	4	1	1	4	11	1	1	2	0	1	3	0	0	1	1	1
PF05195.19	0	1	1	0	2	1	1	1	0	0	4	3	2	2	3	4	4	4	2	6	2	3	5	10	1	2	1	1	6	1
PF08101.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PF13530.9	1	2	0	0	0	5	1	3	3	1	2	1	10	1	0	1	2	1	11	7	1	1	0	0	13	9	1	1	1	0
PF02493.23	0	6	0	15	0	9	0	0	0	0	0	0	0	15	5	30	15	13	12	59	54	0	0	0	0	0	0	0	3	5
PF02567.19	1	0	0	0	0	0	0	2	0	0	0	1	1	2	4	0	0	7	1	3	7	0	0	0	0	1	0	0	1	0
PF04414.15	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0
PF08006.14	0	4	1	4	2	3	1	3	2	2	0	1	4	5	7	4	5	8	7	13	11	5	7	4	10	3	6	10	10	7
PF02390.20	0	6	2	0	0	0	2	0	1	3	0	4	2	4	2	3	5	7	5	5	8	7	4	3	6	2	3	3	5	3
PF02570.18	0	0	0	0	1	1	0	0	0	0	0	0	3	4	1	1	11	8	2	7	5	0	0	0	1	3	0	0	0	0
PF04493.17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PF20250.1	7	35	4	9	3	38	12	12	5	8	4	4	23	38	35	21	4	57	36	31	23	26	24	18	35	10	14	31	34	43
PF03961.16	7	35	4	9	3	38	12	12	5	8	4	4	23	38	35	21	4	59	36	31	23	26	24	18	35	10	14	31	34	43
PF01469.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	6	0	0	0	0	6	0	0	0	0	0
PF14344.9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	1	1	1	0	0	0	0	2	0	0	0	1	2
PF02369.19	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	21	0	0	1	0	0	0	1	2	0	0	0	0
PF07523.15	0	1	0	0	0	1	0	2	3	3	2	2	67	14	35	21	6	6	54	18	28	12	4	5	15	26	5	7	6	11
PF18947.3	2	5	0	7	0	5	3	12	9	8	1	1	6	15	11	12	6	13	14	10	12	7	8	12	15	5	7	10	2	10
PF17848.4	1	1	0	0	0	1	2	0	2	0	0	2	0	1	1	1	0	2	2	3	1	3	2	1	1	0	1	2	0	1
PF00484.22	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	0	1	1	1	4	0	0	1	3	0	0	0	3	3	0
PF06912.14	0	0	0	0	0	1	1	0	0	0	0	0	3	1	0	4	1	0	3	1	1	3	2	0	7	1	1	0	1	0
PF01019.24	1	0	0	0	0	0	2	3	0	1	0	0	2	2	2	1	1	1	0	0	1	3	0	0	3	1	1	1	2	1
PF09186.14	0	0	0	0	0	2	1	0	0	0	0	0	3	5	1	4	1	6	3	3	4	4	1	1	2	0	1	6	3	2
PF14124.9	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0
PF04070.15	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	0	3	15	0	4	4	1	0	4	0	0	2	1	2
PF02277.20	0	0	0	0	1	4	0	0	1	0	2	1	0	6	6	1	11	10	4	22	16	0	1	1	0	2	3	1	5	1
PF09693.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
PF05065.16	1	0	1	1	0	0	1	0	0	1	0	0	0	45	61	12	49	50	8	54	63	1	8	23	11	30	6	5	49	8
PF01844.26	0	0	0	0	1	1	1	0	0	0	0	1	9	10	21	3	17	18	4	6	12	7	3	0	7	11	5	3	16	2
PF03419.16	1	1	0	0	1	0	0	0	0	0	0	2	1	2	2	2	3	4	7	8	2	5	1	1	5	0	1	1	4	1
PF03750.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PF13490.9	0	3	0	3	2	3	0	0	0	2	0	0	3	12	8	10	19	52	17	10	16	1	1	0	4	11	2	8	15	6
PF13711.9	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	2	1	4	6	0	1	2	0	0	1	2	0	0	1	0
PF05534.15	1	0	0	1	0	0	0	0	1	0	0	0	3	3	1	0	7	1	4	2	2	1	0	0	6	5	1	2	2	0
PF11188.11	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	4	4	4	5	0	2	0	0	1	0	0	0	2	1
PF02681.17	0	1	0	0	1	1	0	0	0	2	1	0	2	0	0	1	0	0	1	0	1	4	1	0	2	1	0	2	0	0
PF10727.12	0	0	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	3	0	1	0	0	0	0	0	1	0	2	0	1
PF10728.12	0	0	0	1	1	0	1	1	0	0	0	0	1	1	1	0	0	3	0	2	1	0	1	4	0	2	0	2	0	1
PF16822.8	0	1	0	2	0	1	1	0	0	0	0	0	5	5	3	6	2	10	5	5	0	2	0	0	0	3	1	9	3	1
PF03592.19	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	4	14	0	1	1	0	0	0	0	0	0	0	2	0
PF14689.9	0	0	0	2	0	2	0	0	0	0	0	0	2	13	7	2	4	6	4	4	5	22	3	3	15	9	4	11	12	6
PF14501.9	13	17	4	26	19	24	16	28	10	17	13	13	110	237	288	199	312	462	242	301	315	193	110	49	266	181	86	405	220	104
PF13786.9	0	2	1	0	0	1	1	0	0	0	1	0	3	9	15	15	10	46	4	12	12	2	1	1	7	2	2	5	9	1
PF14268.9	0	1	0	1	1	0	0	0	1	0	0	0	2	5	5	0	7	3	9	0	2	6	0	0	5	1	0	1	5	0
PF12959.10	0	0	0	0	1	0	0	0	1	0	0	0	0	9	15	10	23	31	6	22	21	1	5	0	3	21	8	3	7	2
PF12960.10	1	0	2	2	1	2	6	3	6	7	0	2	6	121	136	53	328	234	79	216	248	7	30	4	14	174	52	25	146	35
PF08757.14	1	12	0	2	0	18	5	5	1	3	1	0	7	53	20	13	11	63	54	66	38	11	21	9	10	6	4	15	21	5
PF13546.9	7	104	0	13	13	88	8	7	6	24	3	13	141	90	54	92	164	204	472	149	123	349	60	29	172	141	60	244	100	38
PF20574.1	0	1	0	0	0	2	1	1	0	0	0	0	1	1	1	4	3	2	0	0	0	4	0	0	0	0	0	8	6	0
PF19552.2	0	0	0	0	1	0	1	0	0	1	0	0	0	12	9	23	44	54	6	17	18	2	5	2	3	14	6	1	9	0
PF05105.15	0	0	1	0	1	0	0	0	0	0	0	0	1	16	20	6	22	21	9	25	28	3	5	21	2	7	8	3	18	2
PF19498.2	24	75	11	31	35	59	18	27	26	41	25	15	170	125	168	46	114	154	99	116	125	33	88	55	329	99	115	83	91	103
PF12995.10	8	18	3	26	10	24	5	17	6	13	11	3	51	49	57	24	38	44	28	53	45	62	51	27	200	58	61	134	34	68
PF18843.4	0	0	2	0	0	0	0	0	0	0	0	0	0	16	28	15	40	54	4	42	32	0	11	2	2	25	13	7	37	3
PF12962.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	4	2	5	1	0	0	0	0	0	2	1	2	0
PF18987.3	0	0	0	0	0	0	0	0	0	0	0	0	1	15	19	29	26	57	5	24	19	1	3	0	3	24	6	3	26	0
PF14706.9	0	0	0	0	0	2	0	0	0	0	0	0	2	4	7	0	2	5	0	0	0	7	9	0	7	2	6	80	34	12
PF02281.19	0	0	0	0	0	0	0	0	0	0	0	0	2	4	6	0	1	5	0	0	0	7	8	0	7	2	5	78	30	12
PF17922.4	1	2	0	0	1	1	1	0	0	1	1	0	3	2	2	4	3	7	7	6	4	4	5	3	3	4	0	8	5	1
PF13784.9	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	4	6	1	0	2	2	1	0	1	1	1	0	2	0
PF12652.10	0	0	0	1	1	6	0	3	1	0	3	3	9	0	2	1	1	2	4	6	4	1	1	0	1	2	1	0	3	4
PF12773.10	1	11	0	2	0	7	1	2	0	1	3	2	2	5	6	4	3	12	23	1	4	2	1	2	0	0	1	5	1	5
PF18739.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	2	0	0	0	0	1	0	0	1	0	1
PF09509.13	0	4	0	2	0	4	0	0	0	2	0	0	0	1	1	0	0	2	2	0	0	0	0	0	0	0	1	0	1	0
PF14280.9	0	0	0	0	2	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0
PF12639.10	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	2	0	1	0	0	0	0	0	1	0
PF20296.1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PF04471.15	1	1	0	0	0	2	3	1	0	0	0	0	3	5	6	9	10	17	10	11	8	3	3	2	7	6	1	2	17	0
PF20612.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	1	0	1	0	2	0
PF01371.22	1	1	0	1	0	2	3	0	0	1	0	0	2	1	0	1	0	3	12	1	1	16	1	1	3	1	0	5	3	3
PF13701.9	1	2	0	3	1	3	1	0	0	0	0	0	56	84	47	26	102	97	115	57	79	159	51	8	67	82	23	124	88	26
PF01774.20	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	2	3	1	3	3	8	2	1	4	4	0	5	14	2
PF02814.18	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	3	3	0	1	7	2	0	20	3	4	10	14	4
PF00547.21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	3	0	0	1	6	3	1	6	1	2	11	18	2
PF04952.17	1	0	0	0	1	1	2	0	0	0	0	1	5	5	1	0	3	15	0	2	1	53	13	3	28	3	6	16	18	15
PF08379.13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	4	5	0	1	2	20	4	1	15	2	3	5	11	6
PF01841.22	15	11	1	7	6	24	5	7	7	4	9	11	65	46	66	34	43	61	97	56	61	70	28	27	55	22	35	33	72	33
PF14403.9	0	1	2	0	1	0	0	1	1	6	1	4	16	5	2	1	3	4	0	5	1	77	3	0	60	0	12	11	26	14
PF06289.14	1	3	0	2	2	4	3	3	1	1	3	0	7	0	7	4	1	2	19	0	0	9	1	1	7	2	1	13	2	1
PF20379.1	0	0	1	0	0	0	0	0	0	2	0	0	0	23	33	11	56	59	20	32	38	2	7	1	7	30	15	2	34	5
PF03748.17	0	7	0	2	0	15	1	1	0	0	0	0	9	8	11	0	1	5	14	3	6	13	7	7	8	3	6	4	5	9
PF14190.9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	3	0	2	0	0	0	0	0	3	0
PF18941.3	0	0	0	1	0	2	1	1	1	1	1	0	2	11	22	17	14	39	1	17	13	1	2	0	3	5	7	1	26	5
PF17989.4	0	0	2	1	1	0	0	1	0	0	1	0	2	39	52	37	112	115	9	85	77	4	9	0	4	62	21	7	46	6
PF16226.8	0	3	0	3	0	6	1	1	2	3	2	4	9	9	9	4	9	5	2	12	10	4	1	2	28	7	2	3	5	6
PF11372.11	2	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	2	2	2	0	3	0	0	0	3	0	0	0	1
PF16242.8	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	5	11	2	2	2	3	1	0	0	2	0	6	1	0
PF11667.11	1	0	0	0	0	1	0	0	0	0	0	0	8	6	2	5	10	8	23	2	3	6	2	2	4	6	2	6	10	0
PF18796.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	8	4	0	3	3	0	0	0	0	0	0	0	0	1
PF13730.9	2	0	1	1	1	0	0	0	0	0	0	0	3	13	21	19	35	59	1	17	29	0	5	0	2	20	6	2	21	3
PF13463.9	1	1	0	0	1	3	0	0	0	1	0	0	1	1	2	1	0	2	1	4	3	2	0	0	1	1	1	1	3	1
