FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF19258.2	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0
PF01022.23	0	2	0	0	0	1	3	0	2	1	2	0	13	7	15	8	12	16	10	8	8	10	2	2	7	5	2	7	13	1
PF12822.10	2	42	0	7	3	30	2	6	1	9	0	1	6	9	7	9	5	23	30	13	15	19	4	3	2	2	6	5	8	4
PF03590.18	0	2	0	1	1	2	1	4	0	1	2	3	14	5	8	5	7	8	13	13	9	10	5	6	10	0	1	13	7	1
PF01641.21	0	0	2	0	0	0	0	0	0	1	1	1	0	1	3	0	1	0	0	2	3	0	0	0	7	1	1	0	0	0
PF07969.14	0	0	0	1	0	1	0	2	1	2	0	0	1	0	5	3	3	3	8	3	6	2	0	0	3	4	0	2	4	1
PF00334.22	0	2	0	1	0	0	0	1	0	4	1	1	3	2	3	0	4	1	7	2	3	3	1	7	0	0	2	8	4	0
PF02541.19	0	3	0	0	0	6	2	1	0	1	1	0	18	11	5	6	5	13	9	16	9	3	5	4	1	4	4	3	9	7
PF02146.20	2	5	1	5	0	3	1	4	3	1	1	3	16	1	5	11	5	6	22	4	3	16	11	3	14	5	3	6	5	2
PF01904.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
PF06028.14	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF04203.16	3	44	2	14	4	57	12	11	1	12	4	4	32	36	58	23	63	74	46	64	96	69	33	31	42	43	32	67	59	35
PF04011.15	0	0	0	0	1	0	0	1	0	3	2	3	1	2	1	0	2	2	1	0	0	1	3	3	16	2	0	0	1	0
PF01435.21	0	0	1	1	0	0	0	0	0	0	5	3	3	0	0	0	6	2	1	6	2	3	7	7	3	2	1	1	3	6
PF04960.18	1	1	0	1	0	0	0	2	0	0	0	0	1	1	2	3	1	4	1	1	0	1	0	0	0	0	1	1	2	0
PF01171.23	1	3	1	0	0	5	2	2	1	4	2	6	3	13	14	7	18	26	10	17	11	14	11	5	10	5	4	13	13	7
PF09179.14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	1	1	0	0	0	0	1	1	0
PF02837.21	43	90	6	60	15	101	57	53	20	49	19	51	102	104	147	90	79	147	418	170	212	141	111	168	188	76	86	180	181	116
PF00703.24	41	85	5	60	14	101	57	52	21	50	19	50	94	104	140	93	80	144	405	166	209	137	99	161	189	79	80	183	151	115
PF02836.20	44	97	6	63	15	107	65	55	23	54	21	63	94	103	145	101	77	139	485	169	230	134	106	165	212	77	92	185	184	143
PF02929.20	21	45	2	29	9	56	29	22	10	27	11	41	41	46	40	49	37	65	264	63	118	73	37	81	86	45	38	94	57	65
PF06026.17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
PF13468.9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF01741.21	0	0	0	0	0	0	0	0	0	0	2	0	3	1	2	1	0	2	2	1	1	1	0	1	2	1	1	2	3	2
PF03807.20	0	3	0	1	0	6	2	1	1	0	1	2	8	7	2	5	5	5	10	9	5	9	7	10	9	0	0	5	6	3
PF14748.9	0	3	0	1	0	6	2	1	1	0	1	2	8	7	2	4	5	5	10	9	5	9	6	6	9	0	0	5	6	3
PF00268.24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	3	0	0	0	0	0
PF08343.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
PF00317.24	2	2	0	1	0	0	0	2	0	2	0	1	0	3	3	2	9	12	1	9	3	0	3	1	5	5	3	2	1	3
PF12169.11	4	33	1	14	7	14	6	6	2	10	2	7	17	18	15	9	12	34	30	18	18	33	22	12	17	7	9	25	15	8
PF02223.20	0	1	1	0	0	1	0	1	0	0	2	0	0	1	0	3	3	1	4	0	2	0	1	0	1	0	0	1	2	0
PF00590.23	2	0	2	2	8	7	1	11	7	2	6	4	10	53	21	16	34	55	14	81	69	10	9	5	23	33	17	13	28	6
PF13089.9	4	13	1	2	1	13	3	7	3	7	1	5	23	19	10	11	8	26	25	15	15	19	6	6	46	4	9	11	9	8
PF02503.20	4	13	1	2	1	13	3	7	3	7	1	5	23	19	10	11	8	26	26	16	15	19	6	6	46	4	12	11	9	8
PF17941.4	4	13	1	2	1	13	3	7	3	7	1	5	23	19	10	11	8	26	26	16	14	19	6	6	46	4	12	11	9	8
PF13090.9	4	13	1	2	1	13	3	7	3	7	1	5	23	19	10	11	8	26	26	16	14	19	6	6	46	4	12	11	9	8
PF00795.25	4	8	1	9	9	16	1	6	6	8	4	11	29	19	32	35	45	102	38	41	39	27	23	13	38	18	12	30	36	17
PF02589.18	0	8	0	2	0	5	1	0	1	0	0	0	1	1	0	3	1	4	8	2	1	5	0	4	3	1	2	4	3	2
PF13183.9	11	3	2	11	5	13	5	4	3	3	5	9	5	5	6	11	18	16	12	12	14	23	10	2	41	10	8	9	18	9
PF02873.19	7	15	3	1	6	17	5	4	1	5	3	2	11	8	11	7	10	10	12	6	4	2	4	6	5	1	3	10	6	5
PF12802.10	1	9	0	1	1	1	0	1	0	0	0	3	11	7	4	8	12	17	4	12	13	10	7	0	8	9	5	19	8	4
PF02566.22	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	3	1	1	0	0	1	1	1	0	0	2	0
PF13473.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0
PF02274.20	1	3	0	6	1	2	2	4	1	0	0	3	9	2	6	8	1	2	27	0	4	2	0	0	7	5	2	1	1	1
PF07907.14	0	0	0	0	0	0	0	0	1	0	0	0	2	1	5	0	1	1	2	2	0	2	3	0	0	3	3	0	8	0
PF01098.22	1	11	1	9	7	12	6	3	2	7	2	6	25	29	30	18	33	58	115	40	38	64	14	21	22	17	13	32	26	18
PF00083.27	0	0	0	0	1	0	0	0	0	0	0	0	4	4	4	1	9	11	14	5	11	11	6	7	4	1	0	4	11	0
PF00596.24	9	26	2	10	4	20	2	5	4	9	3	6	21	13	12	17	9	15	31	20	12	21	13	15	22	7	12	19	10	7
PF02610.18	3	21	2	7	6	34	2	8	2	5	4	7	38	19	21	17	16	25	41	20	24	39	20	28	30	23	14	32	13	21
PF11762.11	3	20	2	7	6	33	2	8	2	5	4	7	32	18	18	15	16	24	36	14	21	37	19	28	27	23	14	31	12	20
PF04002.18	1	5	0	2	0	6	2	4	1	5	0	1	5	4	6	10	13	19	9	10	9	8	4	4	7	7	3	6	14	3
PF04093.15	0	1	0	1	0	0	0	1	0	3	0	0	2	3	7	0	2	7	18	7	2	7	1	2	2	0	1	4	3	4
PF00532.24	0	0	0	0	0	0	2	1	0	0	0	1	6	4	11	3	1	6	7	9	4	8	3	1	4	0	5	4	7	3
PF00994.27	4	9	0	3	0	10	1	6	2	3	5	2	6	7	17	19	8	13	11	10	14	8	14	10	10	5	10	8	18	6
PF18146.4	3	6	0	1	0	8	0	3	0	1	3	1	2	7	6	7	3	11	5	6	7	8	13	8	5	2	5	8	12	5
PF02464.20	3	6	0	1	0	8	0	4	0	2	3	2	4	8	8	7	6	14	6	8	11	8	13	8	9	3	6	10	13	8
PF00108.26	51	185	11	69	41	168	29	72	43	107	54	63	501	64	79	68	35	35	134	37	25	219	107	78	247	82	78	386	97	117
PF02803.21	54	190	11	77	44	173	30	73	47	111	56	63	501	64	78	68	35	35	135	37	25	219	107	78	246	83	78	386	97	118
PF13344.9	1	1	0	1	0	1	0	0	0	0	1	0	6	4	3	2	4	8	6	5	4	3	2	2	3	3	2	6	6	1
PF13242.9	1	5	1	2	0	2	1	4	0	1	1	0	13	11	5	5	11	15	15	27	15	6	8	5	5	3	2	9	8	3
PF10282.12	1	3	0	4	1	13	0	3	0	0	1	3	10	10	5	8	0	5	24	8	12	25	2	6	5	3	2	13	7	3
