FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b
PF01081.22	1	1	0	1	0	2	2	2	5	3	4	2
PF01263.23	1	16	1	13	4	14	4	8	2	4	5	8
PF13347.9	4	4	5	5	5	3	1	4	0	1	3	3
PF01232.26	3	5	1	5	3	5	1	2	1	1	2	5
PF08125.16	3	5	1	5	3	5	1	2	1	1	2	5
PF00356.24	8	27	0	14	5	30	8	12	7	9	1	27
PF13377.9	11	32	1	15	5	40	10	13	10	9	2	30
PF00206.23	4	15	2	7	11	16	9	10	9	13	10	13
PF10397.12	2	7	1	4	3	9	1	8	2	3	5	8
PF02926.20	5	20	2	5	10	11	3	1	7	3	5	5
PF01170.21	4	16	1	3	4	4	2	2	4	1	1	7
PF05103.16	1	2	0	0	1	0	1	0	0	0	2	0
PF08230.14	0	0	0	0	2	0	0	0	0	0	2	1
PF00155.24	23	46	5	30	23	48	24	11	31	33	21	43
PF01381.25	37	53	11	44	21	56	29	40	29	20	23	38
PF01209.21	1	0	1	0	0	1	0	0	0	0	0	0
PF06018.17	5	25	2	8	7	26	8	5	12	7	1	19
PF08222.14	5	25	2	8	7	26	8	5	12	7	1	19
PF12464.11	2	8	0	1	2	6	0	1	0	0	1	0
PF00132.27	28	149	1	56	30	91	8	24	16	10	14	11
PF02686.18	0	0	1	0	1	0	0	1	0	1	1	0
PF02903.17	3	14	0	2	2	8	3	3	1	7	5	5
PF07274.15	0	0	0	0	1	0	0	0	0	0	1	0
PF01425.24	1	1	0	4	2	0	1	1	2	2	1	4
PF01476.23	19	27	18	23	12	32	2	14	14	10	7	13
PF03610.19	5	32	0	2	4	18	1	4	14	2	19	9
PF03830.18	38	80	1	35	23	83	6	29	63	27	23	32
PF03609.17	46	162	4	63	39	200	9	45	72	41	54	50
PF03613.17	30	166	1	46	15	187	10	44	32	27	26	18
PF02934.18	2	1	0	0	1	1	0	0	3	2	7	4
PF02637.21	2	1	0	0	1	1	0	0	3	2	7	4
PF02403.25	4	9	2	16	4	11	3	7	11	7	7	6
PF00587.28	24	51	4	48	37	67	18	33	39	35	36	54
PF12849.10	2	1	2	1	3	1	1	1	0	0	1	2
PF01668.21	0	2	0	2	0	3	2	0	1	0	2	0
PF01411.22	6	32	8	12	15	40	7	6	16	18	7	23
PF07973.17	9	46	9	14	31	53	9	9	21	29	18	33
PF02272.22	11	52	13	23	26	66	11	13	25	36	15	35
PF13145.9	2	3	0	1	2	2	1	1	5	4	2	8
PF01596.20	0	2	0	0	0	2	0	1	3	2	1	2
PF08439.13	1	1	0	1	3	3	1	2	1	3	3	2
PF01432.23	5	4	2	3	8	5	1	4	7	4	5	9
PF06054.14	0	0	0	0	0	0	0	0	0	0	1	0
PF01027.23	2	1	1	5	0	6	1	4	1	0	3	0
PF01966.25	55	237	7	104	75	301	52	62	89	75	49	141
PF04892.15	0	2	1	1	2	4	3	4	1	1	2	2
