FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b
PF00415.21	0	0	0	0	0	0	0	0	3	5	0	0
PF13540.9	0	2	0	0	0	2	0	0	0	0	0	0
PF18019.4	0	0	0	0	0	8	0	1	1	2	0	1
PF01627.26	39	159	8	54	31	172	40	67	39	43	25	66
PF13646.9	0	0	0	0	0	0	0	0	0	0	0	0
PF03130.19	0	0	0	0	0	0	0	0	0	0	0	0
PF01924.19	0	0	0	0	0	0	0	0	0	0	0	0
PF13186.9	4	10	2	3	0	6	2	4	2	1	1	3
PF06426.17	0	0	0	0	0	0	0	0	0	0	0	0
PF17938.4	0	0	0	0	0	0	0	0	0	0	0	0
PF20131.2	0	0	0	0	0	0	0	0	0	0	0	0
PF02638.18	0	0	0	0	0	1	3	1	0	0	0	4
PF02368.21	207	354	14	472	10	683	104	161	869	509	250	559
PF01548.20	52	155	10	105	32	233	51	50	112	66	45	108
PF08502.13	0	10	0	3	1	20	1	3	3	4	5	1
PF01702.21	0	6	1	1	1	9	1	2	6	0	2	5
PF17912.4	134	308	20	262	105	316	145	249	133	126	56	150
PF03459.20	111	236	7	193	85	224	95	181	82	93	30	94
PF09549.13	0	0	0	0	0	0	0	0	0	0	0	0
PF13365.9	7	21	4	11	8	24	15	11	9	12	3	18
PF00498.29	1	0	0	3	0	4	0	0	0	3	0	13
PF01755.20	0	0	1	0	0	0	0	0	0	0	0	0
PF05420.14	0	0	0	0	0	0	0	0	1	0	0	0
PF02690.18	2	36	10	12	18	32	2	6	10	2	6	16
PF02558.19	0	0	0	0	0	1	0	0	0	0	1	0
PF08546.14	0	0	0	0	0	0	0	0	0	0	1	0
PF04224.15	0	0	1	0	0	0	0	0	0	0	0	0
PF03553.17	3	6	2	6	2	18	7	8	4	5	4	2
PF01964.21	1	0	0	2	2	0	0	0	2	0	1	2
PF02113.18	0	0	0	0	1	0	0	0	0	0	0	0
PF13286.9	2	8	0	4	4	7	1	2	4	3	0	1
PF02627.23	0	0	0	0	0	1	2	1	3	1	0	4
PF12682.10	0	0	0	0	0	1	0	1	0	0	1	1
PF01738.21	0	0	0	0	0	0	0	0	0	0	0	0
PF12697.10	3	1	0	3	0	2	0	1	0	0	0	0
PF00754.28	184	269	10	200	41	337	32	118	480	148	144	347
PF00404.21	0	0	0	1	0	3	0	0	0	0	0	0
PF11655.11	0	0	0	0	0	0	0	0	0	0	0	0
PF12843.10	0	0	0	0	0	0	0	0	0	0	0	0
PF02838.18	34	86	10	56	35	67	17	37	140	42	46	106
PF00728.25	16	41	8	21	17	31	14	22	59	21	17	43
PF16347.8	0	0	2	0	0	0	0	1	0	0	1	0
PF13098.9	0	0	0	0	0	0	0	0	0	0	0	0
PF16576.8	1	2	6	5	11	3	1	4	0	2	1	2
PF03797.22	0	0	0	0	0	0	0	1	0	0	0	0
PF07244.18	0	0	0	12	4	0	0	0	4	0	0	0
PF01103.26	1	0	0	0	2	0	1	0	0	0	0	1
PF02321.21	0	10	0	3	18	4	2	0	0	0	0	6
PF05221.20	0	10	3	3	1	11	2	8	1	3	0	5
PF00670.24	0	10	2	2	1	11	2	6	1	3	0	4
PF00144.27	0	0	0	1	4	0	0	0	0	2	1	2
PF02910.23	7	3	0	3	11	3	3	1	3	0	3	4
PF01325.22	1	8	0	0	0	7	1	1	0	0	0	0
PF02742.18	1	8	0	0	0	7	1	1	0	0	0	0
PF04966.15	0	0	0	0	0	0	0	0	0	0	0	0
PF04023.17	1	2	0	2	2	7	3	2	1	1	2	1
PF14376.9	0	0	0	0	0	0	0	0	0	0	0	0
PF03150.17	0	0	0	0	0	0	0	0	0	0	0	0
PF00034.24	0	0	0	0	0	0	0	0	0	0	0	0
PF07498.15	0	6	1	1	7	10	1	1	3	1	0	3
PF07497.15	4	13	2	8	10	13	3	2	6	4	2	9
PF07719.20	10	9	1	7	18	5	0	0	3	2	0	6
PF00263.24	0	0	0	0	0	0	0	0	0	0	0	0
PF11104.11	5	9	1	24	12	16	14	3	2	10	0	5
PF01634.21	0	3	0	0	1	0	0	1	1	0	0	1
PF08029.14	0	0	0	0	1	0	0	0	0	0	0	0
PF00920.24	1	10	3	10	9	6	9	7	20	9	7	10
PF14498.9	0	2	0	1	3	5	0	2	6	2	1	1
PF11013.11	0	1	0	0	0	0	0	0	0	0	0	0
PF01740.24	0	0	2	1	0	1	0	0	0	0	0	0
PF00432.24	0	0	0	0	0	0	0	0	0	0	0	0
PF01531.19	1	2	0	1	0	1	0	0	0	0	0	0
PF01762.24	0	0	0	0	0	0	0	0	0	0	0	0
PF03814.18	0	0	0	1	0	0	0	0	0	0	0	0
PF03781.19	1	1	0	0	0	0	0	1	0	0	3	1
PF01212.24	6	13	1	8	4	7	2	5	3	5	1	12
PF01882.21	0	1	0	0	2	0	0	1	0	0	1	2
PF07991.15	7	24	0	27	7	20	6	6	16	26	10	19
PF01450.22	7	24	0	27	7	20	6	6	16	26	10	19
PF16499.8	0	0	0	0	0	2	0	0	0	0	0	2
PF17801.4	0	0	1	2	0	1	0	0	0	0	0	1
PF01050.21	1	11	0	0	0	18	0	0	0	1	0	0
PF06733.18	2	1	0	1	0	6	2	1	4	1	0	1
PF13307.9	2	1	1	10	0	7	2	4	4	3	2	1
PF01891.19	0	0	0	0	0	0	0	0	0	1	0	0
PF13190.9	0	0	0	0	0	0	0	0	0	1	0	0
PF07589.14	0	0	0	0	0	0	0	0	0	0	0	0
PF17297.5	4	4	1	2	3	4	1	2	3	4	3	6
PF00821.21	4	4	1	2	3	4	1	2	3	4	3	6
PF01510.28	0	5	0	2	2	4	0	0	1	2	4	1
PF12838.10	159	240	29	286	152	427	180	191	195	195	73	350
PF12971.10	2	16	1	4	0	20	6	0	1	0	1	6
PF05089.15	2	16	1	4	0	20	6	0	1	0	1	6
PF12972.10	2	16	1	4	0	20	6	0	1	0	1	6
PF07085.15	0	6	0	4	5	3	4	1	9	5	3	5
PF16385.8	2	1	2	0	0	0	3	0	0	0	0	0
PF01256.20	1	2	2	0	0	5	0	0	0	3	2	1
PF02590.20	0	0	0	0	0	2	0	0	0	0	2	2
PF02472.19	8	10	2	6	48	4	0	3	7	2	3	6
PF20511.1	0	11	1	0	6	16	0	1	1	2	1	1
PF12437.11	1	4	2	6	2	8	4	1	3	1	4	7
PF18318.4	1	4	2	6	2	8	4	1	3	1	4	7
PF14849.9	1	0	0	2	1	1	0	2	0	1	0	0
PF03629.21	1	0	1	0	8	0	0	0	0	0	0	1
PF01204.21	0	1	0	1	0	1	0	0	3	0	3	3
PF02073.18	3	15	2	9	2	13	3	3	2	4	1	4
PF12951.10	0	0	0	0	0	0	0	0	0	0	0	0
PF18582.4	0	0	0	0	0	0	0	0	0	0	0	0
PF01042.24	2	5	0	1	2	3	2	0	0	1	0	2
PF09374.13	0	0	0	0	0	0	0	0	0	0	0	0
PF00924.21	0	3	3	4	3	5	2	1	1	0	2	3
PF00209.21	2	22	2	10	2	17	2	2	8	6	0	6
PF00109.29	8	12	1	6	13	8	2	3	6	8	1	9
PF02801.25	8	12	1	6	13	8	2	3	6	8	1	9
PF04551.17	2	7	0	4	2	10	0	0	1	0	3	4
PF01757.25	1	4	0	0	0	7	4	2	1	1	1	1
PF12715.10	0	0	1	0	2	0	0	0	0	0	0	0
PF02492.22	0	5	0	5	1	6	6	4	3	3	5	5
PF00708.21	0	0	0	0	0	0	0	0	1	1	1	3
PF07503.15	0	0	0	0	0	0	0	0	0	0	0	0
PF01300.21	1	3	1	0	0	2	0	4	3	3	0	3
PF17788.4	0	0	0	0	0	0	0	0	0	0	0	0
PF13593.9	0	0	0	0	0	0	0	0	0	0	0	0
PF00069.28	4	19	1	3	6	17	2	3	6	6	2	8
PF03983.15	0	0	0	0	0	0	0	0	0	0	0	0
PF08305.14	16	34	0	27	2	45	5	14	59	16	23	37
PF03692.18	0	1	1	0	0	0	0	1	1	0	0	0
PF08238.15	9	13	32	54	31	24	18	47	25	15	6	18
PF04519.16	2	24	0	7	1	21	2	6	1	5	3	12
PF02594.19	0	0	0	0	0	0	0	0	0	0	0	0
PF01120.20	2	4	4	0	10	5	0	9	4	1	0	5
PF13899.9	0	1	0	2	2	0	0	0	1	1	1	1
PF05656.17	0	0	0	1	0	1	0	0	0	0	1	0
PF02535.25	0	1	0	1	0	1	1	0	7	1	0	1
PF03435.21	3	4	2	1	4	1	0	3	1	2	1	5
PF16653.8	3	4	2	1	4	1	0	3	1	2	1	5
PF03755.16	4	5	1	5	0	13	1	2	4	2	3	2
PF08340.14	4	5	1	5	0	13	1	2	4	2	3	2
PF07549.17	11	20	4	12	26	20	2	7	15	18	3	27
PF02355.19	18	32	4	22	28	40	4	8	22	24	6	32
PF13202.9	0	0	0	0	0	0	0	0	0	0	1	0
PF03641.17	0	0	0	0	0	0	0	0	0	0	0	0
PF17291.5	0	0	0	0	0	0	0	0	0	0	0	0
PF13402.9	8	26	2	12	5	33	4	12	25	24	9	20
PF05977.16	0	1	0	1	0	0	1	1	0	0	0	0
PF19528.2	0	7	0	0	0	10	0	1	0	0	0	0
PF19580.2	3	0	1	1	1	0	0	0	0	0	0	1
PF03030.19	5	1	1	2	15	5	4	0	7	7	3	7
PF04715.16	0	0	0	0	0	0	0	0	0	0	0	0
PF00425.21	2	1	2	0	0	1	0	0	1	1	1	0
PF00697.25	0	0	1	0	0	0	0	0	0	0	0	0
PF13088.9	5	12	0	16	2	12	4	5	19	6	8	19
PF00507.22	0	1	0	1	1	0	0	0	0	0	0	0
PF06044.15	0	0	0	0	0	0	0	0	0	0	0	0
PF17726.4	0	0	0	0	0	0	0	0	0	0	0	0
PF01835.22	1	3	2	1	2	0	0	0	1	0	1	2
PF07703.17	0	0	1	1	0	0	0	0	0	0	0	0
PF00207.25	1	3	2	2	2	0	0	0	1	0	1	2
PF07678.17	0	0	0	0	0	0	0	0	0	0	0	0
PF17973.4	1	3	2	1	2	0	0	0	1	0	1	2
PF00285.24	2	11	0	4	3	19	5	6	7	11	4	10
PF13482.9	0	4	0	3	0	3	1	1	0	1	0	0
PF05157.18	0	0	0	1	0	0	0	0	0	1	0	0
PF03023.17	0	0	0	0	0	0	0	0	0	0	0	0
PF00081.25	0	1	1	0	0	0	1	0	0	0	0	1
PF02777.21	0	1	1	0	0	0	1	0	0	0	0	1
PF11958.11	0	0	0	0	0	0	0	0	0	0	0	0
PF00662.23	3	4	2	0	2	1	0	0	0	0	1	0
PF00499.23	0	0	0	0	0	0	0	0	0	0	0	0
PF01512.20	28	38	7	36	23	81	33	35	42	48	25	32
PF10531.12	29	40	9	23	27	48	17	21	34	33	23	17
PF10589.12	16	11	2	24	10	16	19	13	24	20	16	13
PF01522.24	2	14	1	3	3	5	2	2	9	8	2	13
PF02470.23	0	1	0	0	0	0	0	0	0	0	3	0
PF07399.14	0	0	0	0	0	0	0	0	0	0	0	0
PF06325.16	4	3	1	1	0	5	2	4	1	5	0	0
PF02446.20	9	17	2	9	6	24	5	4	4	8	5	11
PF00919.23	1	19	5	4	7	28	3	5	14	10	9	6
PF18693.4	1	14	3	3	4	22	0	3	10	2	3	4
PF04408.26	0	0	0	0	0	0	0	0	0	0	2	0
PF08482.13	0	0	0	0	0	0	0	0	0	0	0	0
PF04028.16	0	0	0	0	0	0	0	0	0	0	0	0
PF18565.4	20	32	1	23	2	39	5	12	51	10	19	37
PF16193.8	3	3	0	2	3	4	3	2	3	3	3	7
PF12002.11	3	3	0	2	3	4	3	2	3	3	3	7
PF02283.19	0	0	0	0	2	2	0	0	1	1	0	5
PF01301.22	5	4	0	1	0	1	1	1	0	1	0	5
PF13505.9	0	1	1	0	2	0	0	1	0	0	0	0
PF18765.4	0	0	0	0	0	0	0	1	0	0	0	3
PF16870.8	0	0	0	0	1	0	0	0	0	0	0	0
PF01663.25	0	0	0	0	2	0	0	0	0	0	0	0
PF09382.13	7	5	0	3	11	5	1	1	1	5	7	2
PF00570.26	8	5	0	3	11	5	1	1	1	5	7	2
PF01643.20	1	9	0	4	1	4	1	1	2	1	1	1
PF07786.15	0	0	0	0	0	0	0	0	0	0	0	1
PF04235.15	0	1	0	0	1	0	0	0	0	0	0	0
PF01704.21	0	12	0	0	0	10	0	0	0	0	1	1
PF08241.15	2	0	0	5	6	5	2	5	2	5	1	1
PF04991.16	4	5	0	6	8	11	3	5	2	3	1	1
PF04379.17	0	0	0	0	0	0	0	0	0	0	0	0
PF02698.20	1	1	0	0	1	0	3	1	2	2	1	3
PF07726.14	0	5	1	4	3	1	0	0	2	0	0	1
PF17863.4	0	5	1	4	3	1	0	0	2	0	0	1
PF12541.11	0	0	0	1	0	0	0	0	0	0	1	0
PF04015.15	2	9	0	4	1	16	0	7	1	2	3	4
PF17785.4	0	0	0	0	0	2	0	0	1	0	0	0
PF10672.12	0	1	0	0	0	3	0	1	1	1	1	1
PF02678.19	0	0	0	0	0	0	0	1	1	0	0	0
PF17954.4	0	0	0	0	0	0	0	1	1	0	0	0
PF13502.9	0	0	0	0	0	0	0	0	0	0	0	0
PF13667.9	1	0	0	1	2	0	0	0	1	0	0	1
PF07732.18	0	0	3	0	2	0	0	0	0	0	1	0
PF00394.25	0	0	0	0	0	0	0	0	0	0	0	0
PF07731.17	0	0	3	0	2	0	0	0	0	0	1	0
PF06940.14	0	0	0	0	0	0	0	0	0	0	0	0
PF02844.18	3	13	4	11	8	17	2	4	7	8	3	10
PF01071.22	3	13	4	11	8	17	2	4	7	8	3	10
PF02843.19	3	13	4	11	8	17	2	4	7	8	2	10
PF01618.19	8	28	6	13	24	27	11	6	15	12	3	19
PF08323.14	11	57	0	24	12	41	16	16	17	20	24	41
PF10996.11	4	15	2	16	1	19	14	8	6	6	3	7
PF14057.9	36	135	7	119	67	136	54	61	66	70	31	88
PF02086.18	1	2	0	1	0	1	1	3	0	1	1	0
PF02537.18	0	0	0	0	0	0	0	0	0	0	0	0
PF03331.16	1	0	0	0	1	0	0	0	1	0	0	0
PF20154.2	1	0	0	3	1	1	0	1	0	0	1	1
PF01578.23	0	0	0	0	0	0	0	0	0	0	0	0
PF05140.17	0	0	0	0	0	0	0	2	0	0	1	0
PF09375.13	0	0	0	0	0	0	0	0	0	0	0	0
PF13437.9	1	18	1	2	3	4	1	2	2	3	0	4
PF10722.12	0	0	0	0	0	0	0	0	0	0	0	0
PF00701.25	5	46	1	12	4	65	11	16	9	10	2	30
PF07221.14	1	1	3	3	6	5	5	2	4	2	1	4
PF12900.10	0	0	0	1	0	1	0	0	0	1	5	1
PF03013.17	0	0	0	0	0	0	0	0	0	0	0	0
PF07691.15	0	0	0	0	0	0	0	0	0	0	0	0
PF02607.20	2	7	1	3	2	5	2	3	2	3	1	5
PF02310.22	14	19	4	10	13	17	3	8	12	9	5	17
PF02965.20	1	1	1	1	2	1	0	0	0	0	0	1
PF01326.22	285	751	61	386	191	860	298	441	294	350	155	482
PF01642.25	11	14	3	7	15	6	3	4	9	7	6	15
PF13669.9	2	3	0	2	1	3	1	0	4	0	5	0
PF02082.23	2	1	0	2	0	4	1	0	1	0	0	1
PF01039.25	22	50	2	48	20	57	19	14	18	21	3	29
PF14864.9	0	0	0	0	0	0	0	0	0	0	0	0
PF02075.20	0	0	0	0	2	0	0	1	0	0	0	0
PF04909.17	0	1	2	0	0	1	0	0	1	0	1	0
PF00303.22	0	10	3	1	0	13	0	4	3	3	1	3
PF10609.12	1	6	1	4	5	4	0	3	5	2	0	6
PF04845.16	0	0	0	0	0	0	0	0	0	0	0	0
PF03977.16	14	31	1	20	15	28	9	9	12	8	4	22
PF02684.18	1	0	0	0	0	0	0	0	0	0	0	0
PF02550.18	13	14	2	11	1	14	6	5	10	4	4	7
PF13336.9	13	15	2	12	2	14	6	5	11	5	4	7
PF01619.21	0	0	0	0	0	0	0	0	0	0	0	0
PF00199.22	0	0	2	0	0	0	0	0	0	0	0	0
PF06628.15	0	0	2	0	0	0	0	0	0	0	0	0
PF18011.4	0	0	0	0	0	0	0	0	0	0	0	0
PF19567.2	1	1	1	1	0	4	0	0	1	0	0	0
PF02397.19	4	11	0	5	5	21	6	5	5	5	1	5
PF04932.18	3	3	1	0	0	5	0	1	1	2	2	2
PF19805.2	0	0	0	0	0	0	0	0	0	0	0	0
PF00933.24	12	37	7	19	30	30	10	6	13	17	7	13
PF01058.25	3	0	0	0	0	0	0	0	2	0	0	2
PF14720.9	0	0	0	0	0	0	0	0	0	0	0	0
PF01155.22	0	0	0	0	0	0	0	0	0	1	0	0
PF02636.20	0	0	0	0	0	0	0	0	0	0	0	0
PF13385.9	8	18	0	10	4	20	0	13	23	12	12	18
PF13004.10	0	0	0	0	0	0	0	0	0	0	2	1
PF08534.13	0	2	0	2	1	5	1	1	4	0	1	2
PF13246.9	0	1	2	0	10	0	0	0	0	0	1	1
PF07669.14	2	10	0	6	0	10	0	4	5	4	1	2
PF12950.10	0	1	0	0	0	0	0	0	0	0	0	0
PF00520.34	0	0	1	0	0	0	0	0	0	0	0	0
PF02548.18	0	0	0	0	2	2	0	0	0	0	0	1
PF13905.9	0	0	0	0	5	0	0	0	0	0	0	0
PF07698.14	0	0	0	0	0	2	0	0	0	1	0	0
PF01202.25	2	2	0	0	2	6	0	1	1	1	0	3
PF16355.8	18	32	1	17	3	35	5	10	47	5	17	32
PF06415.16	11	28	2	15	14	34	11	9	33	18	14	30
PF03061.25	2	0	0	5	1	3	1	1	0	1	1	1
PF00158.29	0	8	4	1	3	1	0	1	1	0	1	0
PF02954.22	1	2	4	5	2	3	0	1	0	0	0	0
PF02609.19	1	2	0	0	0	0	1	0	0	0	0	2
PF03739.17	1	0	3	0	1	0	1	0	1	0	1	1
PF01553.24	0	2	1	3	3	5	2	1	3	0	1	4
PF11412.11	0	0	0	0	2	0	0	0	0	0	0	0
PF09180.14	7	14	0	11	8	28	2	12	6	2	4	6
PF01061.27	0	6	2	4	2	11	0	3	1	1	1	2
PF07335.14	0	0	0	0	0	0	0	0	0	0	0	0
PF00494.22	0	0	0	0	0	0	0	0	0	0	0	0
PF07494.14	1	3	4	0	3	0	1	0	0	0	4	0
PF14537.9	0	0	0	0	1	0	0	0	0	0	0	0
PF13287.9	0	13	4	1	28	22	0	4	3	0	0	4
PF12679.10	0	3	1	1	0	2	1	3	0	0	0	1
PF13500.9	1	0	0	2	0	2	0	1	2	0	0	0
PF01235.20	20	27	1	23	11	35	30	26	18	9	4	16
PF13379.9	1	0	0	1	0	1	0	0	0	0	0	0
PF00023.33	0	1	0	0	0	0	0	0	1	1	1	2
PF03950.21	5	24	1	11	10	31	6	5	7	6	3	12
PF17764.4	4	4	0	3	4	5	0	2	2	3	2	4
PF18319.4	3	4	0	3	4	6	0	2	2	3	2	4
PF18074.4	2	4	0	3	3	5	0	2	2	2	2	4
PF06258.14	0	0	0	0	0	0	0	0	0	0	0	0
PF00768.23	2	13	1	5	7	18	1	3	7	6	2	7
PF01678.22	8	6	0	4	6	6	0	2	4	4	6	8
PF08281.15	9	15	6	16	16	20	7	9	6	5	11	14
PF13673.10	4	2	0	5	4	10	3	6	8	1	1	6
PF04127.18	1	13	1	1	1	25	1	2	3	7	0	7
PF13376.9	0	2	0	0	0	3	1	0	2	0	0	0
PF01041.20	3	16	2	8	4	18	5	7	8	5	6	7
PF16401.8	0	0	0	0	0	0	0	0	0	0	0	0
PF05691.15	0	0	0	0	0	0	0	0	0	0	0	0
PF00456.24	9	17	5	7	15	19	7	5	14	15	6	16
PF05343.17	1	5	0	4	1	2	2	4	2	2	2	14
PF10150.12	4	4	0	6	7	8	1	3	4	2	5	4
PF07555.16	19	48	2	36	19	41	4	17	90	25	30	67
PF06725.14	1	2	3	4	8	7	1	1	2	2	0	4
PF00218.24	0	0	0	0	0	0	0	0	0	0	1	0
PF02021.20	0	2	0	1	1	1	0	0	0	1	0	0
PF03819.20	2	6	2	0	4	7	0	1	1	0	2	2
PF01612.23	0	1	0	3	3	0	1	1	0	1	0	2
PF02606.17	0	0	0	0	0	0	0	0	0	0	0	0
PF16654.8	0	6	2	4	0	2	0	1	3	1	0	4
PF00585.21	0	0	0	0	0	0	0	0	0	0	0	0
PF02517.19	4	9	1	6	6	13	4	8	3	0	3	9
PF19576.2	0	0	0	0	1	0	0	0	0	0	0	0
PF13444.9	0	0	0	0	5	0	0	0	0	0	0	0
PF14238.9	0	0	0	0	0	1	0	0	0	0	0	2
PF01613.21	5	9	4	7	4	10	2	4	6	4	1	4
PF00217.22	0	0	0	0	0	0	0	0	0	0	0	0
PF02012.23	0	0	0	0	0	0	0	0	6	0	3	0
PF00667.23	0	1	0	0	0	0	1	1	1	0	1	3
PF00175.24	13	10	4	15	13	23	10	7	15	17	4	25
PF13477.9	0	2	0	1	0	5	0	1	0	3	0	4
PF10555.12	3	7	1	1	1	2	0	1	0	0	4	6
PF00953.24	4	9	2	2	2	2	0	1	2	1	4	6
PF03033.23	2	5	0	3	2	4	2	2	3	5	2	4
PF04101.19	3	10	1	4	3	8	2	3	5	6	4	6
PF08478.13	0	0	0	2	0	0	0	0	1	0	0	1
PF17815.4	0	0	0	0	0	0	0	0	0	0	0	0
PF13529.9	0	2	0	3	0	2	0	0	2	3	3	1
PF04616.17	1	0	4	4	5	6	2	3	5	11	4	4
PF01128.22	1	4	0	2	1	6	1	4	1	2	2	1
PF12127.11	0	0	0	0	4	3	1	0	0	0	0	0
PF05690.17	0	0	0	0	0	0	0	0	1	1	0	0
PF05593.17	27	401	0	71	0	641	5	18	0	0	7	0
PF15523.9	0	0	0	0	0	0	0	0	0	0	0	0
PF06574.15	0	5	2	0	2	9	0	0	1	2	0	0
PF01687.20	0	5	2	0	4	9	0	0	1	2	0	0
PF01075.20	0	2	0	0	1	0	0	0	0	0	0	1
PF00852.22	0	0	0	0	0	0	0	0	0	0	0	0
PF02577.17	0	1	0	1	2	0	0	0	0	0	0	0
PF01078.24	3	3	0	2	1	1	0	0	0	0	2	1
PF13335.9	3	3	0	2	1	1	0	0	0	0	2	1
PF02660.18	0	1	0	1	0	4	1	0	3	0	0	1
PF01855.22	133	222	23	261	123	386	149	186	173	169	70	324
PF17147.7	127	202	21	251	119	368	142	179	159	163	64	312
PF01558.21	133	209	23	248	122	369	150	181	164	170	67	313
PF10371.12	121	188	21	245	110	364	149	179	148	160	47	302
PF13484.9	5	3	0	11	5	15	5	12	6	5	1	5
PF08308.14	0	8	0	0	0	14	2	0	0	0	0	1
PF07717.19	0	0	0	0	0	0	0	0	0	0	2	0
PF11898.11	0	0	0	0	0	0	0	0	0	0	2	0
PF06144.16	0	2	0	2	0	6	2	1	1	2	2	3
PF16353.8	21	45	2	30	9	54	3	17	64	15	24	38
PF00916.23	0	0	2	1	0	0	0	0	0	0	0	0
PF03772.19	1	1	0	1	3	1	0	0	0	0	1	2
PF06826.15	16	2	4	6	30	2	8	2	8	4	4	8
PF08019.15	0	0	1	0	0	0	0	0	0	0	0	0
PF03808.16	0	9	0	0	0	7	0	2	0	0	1	0
PF17930.4	0	0	0	0	0	0	0	0	0	0	0	0
PF06230.14	0	0	0	0	0	0	0	0	0	0	0	0
PF00376.26	0	0	0	0	11	0	0	0	0	0	0	0
PF04298.15	1	0	0	0	0	7	1	0	0	0	3	1
PF11396.11	1	2	0	0	0	0	0	0	0	1	0	0
PF02602.18	3	0	0	1	3	0	1	0	1	5	0	4
PF13342.9	0	0	2	0	0	0	0	0	0	5	0	0
PF01923.21	0	2	0	5	1	1	2	2	4	1	1	0
PF12392.11	1	6	0	4	4	12	4	2	2	2	1	0
PF12419.11	0	2	0	2	1	3	2	1	0	1	0	0
PF03330.21	0	0	0	0	0	0	0	0	0	0	0	0
PF01513.24	3	3	1	0	5	5	1	2	1	2	0	1
PF20143.2	3	3	1	0	5	5	1	2	1	2	0	0
PF01501.23	0	0	0	0	0	0	0	0	0	1	0	0
PF02554.17	0	4	6	0	4	4	3	0	2	1	1	4
PF13722.9	0	3	3	0	2	4	2	0	2	1	1	4
PF12801.10	0	2	0	6	9	4	3	0	2	3	2	3
PF00076.25	0	2	0	2	2	2	2	5	3	4	1	1
PF00474.20	1	5	2	4	8	9	5	12	6	3	2	11
PF06925.14	0	0	1	0	1	0	0	0	2	1	2	1
PF01258.20	0	0	0	1	1	0	0	0	0	0	0	0
PF13085.9	1	3	4	0	3	0	1	0	3	2	0	3
PF01127.25	0	0	0	0	0	0	0	0	0	0	0	0
PF19116.3	0	0	0	0	0	0	0	0	0	0	0	0
PF17803.4	0	0	0	0	0	0	0	0	0	0	0	0
PF03186.16	0	0	0	0	1	1	0	1	2	1	0	0
PF02371.19	50	151	10	104	32	232	50	52	109	66	42	107
PF07275.14	1	1	1	1	3	3	0	1	2	0	7	1
PF13560.9	2	3	0	3	0	2	1	2	3	1	1	0
PF18430.4	10	10	0	7	2	12	7	6	9	4	7	5
PF01695.20	2	13	4	6	6	17	5	4	4	3	12	8
PF02311.22	3	22	1	12	3	30	6	6	12	2	1	6
PF12833.10	15	63	3	25	16	79	21	22	27	11	10	21
PF10881.11	1	2	0	0	0	0	2	2	1	1	1	5
PF05272.14	0	0	0	0	0	1	1	1	0	0	0	0
PF03389.18	2	0	4	8	4	4	1	2	5	3	7	2
PF13655.9	0	0	0	1	0	0	5	3	0	0	0	0
PF00078.30	12	34	8	25	9	13	29	15	11	12	13	16
PF08388.14	6	11	1	17	1	7	9	8	4	4	3	8
PF13449.9	0	0	0	0	0	0	0	0	0	0	0	0
PF11940.11	0	0	0	0	0	0	0	0	0	0	1	0
PF17432.5	0	0	0	0	0	0	0	0	0	0	1	0
PF13224.9	0	0	0	0	0	0	0	0	0	0	0	0
PF01205.22	0	0	1	0	1	2	1	0	0	1	0	1
PF04324.18	7	5	0	8	1	9	5	1	4	2	1	8
PF08442.13	0	0	0	0	0	0	0	0	0	0	0	1
PF00549.22	7	8	0	8	4	8	3	3	8	11	3	7
PF13340.9	2	6	1	5	5	3	0	0	3	0	2	1
PF11713.11	0	0	0	0	0	0	0	0	0	0	0	0
PF08774.14	0	0	0	0	0	0	0	0	0	0	0	1
PF07228.15	0	1	0	4	2	5	1	0	4	3	2	3
PF13424.9	5	5	0	5	12	6	5	7	3	9	0	5
PF12770.10	1	0	0	0	1	0	0	0	0	0	0	1
PF04245.16	0	1	0	0	0	2	0	0	0	0	0	0
PF03069.18	0	0	0	2	0	0	0	0	0	0	0	0
PF03880.18	0	2	1	3	4	5	0	0	0	0	1	3
PF01494.22	0	6	0	1	2	2	0	1	3	0	2	2
PF04404.15	0	0	0	0	0	0	0	0	0	0	0	0
PF07187.14	0	0	0	0	0	0	0	0	0	0	0	0
PF01571.24	3	3	0	1	2	1	0	0	2	1	0	0
PF08669.14	3	3	0	0	1	1	0	0	2	1	0	0
PF01734.25	1	6	0	0	2	8	7	1	2	4	4	0
PF00211.23	0	0	0	0	0	0	0	0	0	0	0	0
PF02055.19	0	2	0	0	0	0	2	0	0	0	0	0
PF17189.7	0	0	0	0	0	0	0	0	0	0	0	1
PF05175.17	1	5	0	4	0	4	1	1	4	5	3	2
PF02615.17	0	1	1	4	4	7	3	1	4	2	0	6
PF04879.19	0	4	2	4	1	2	2	5	5	2	3	1
PF00384.25	0	5	2	5	1	3	2	5	5	2	3	1
PF01568.24	0	3	2	1	1	1	1	1	3	1	2	0
PF01797.19	1	1	0	3	0	6	9	5	2	1	0	5
PF00563.23	10	37	5	8	9	46	11	27	19	10	3	15
PF04168.15	0	0	0	0	0	0	0	0	0	0	0	0
PF01986.19	0	0	0	0	0	0	0	0	0	0	0	0
PF10518.12	0	0	0	0	1	0	0	0	0	0	1	0
PF02317.20	0	0	0	0	0	0	0	0	0	0	0	0
PF14863.9	0	0	0	0	0	0	0	0	0	1	0	1
PF04962.15	1	0	1	2	2	2	2	5	3	0	1	3
