#FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c	Name
PF00252.21	61.863	159.178	0.0	372.873	185.06	466.583	207.195	161.204	140.588	141.981	217.216	248.181	79.63	125.262	126.714	256.351	45.973	257.102	83.779	138.164	64.13	309.999	228.0	101.442	602.484	316.572	757.434	253.539	285.521	345.479	962.908	309.227	236.164	514.757	694.209	450.137	737.854	549.777	410.61	979.487	318.108	360.161	Ribosomal protein L16p/L10e
PF00831.26	52.747	282.919	0.0	313.158	255.105	659.289	213.203	139.63	120.908	114.796	328.102	315.989	108.141	158.658	242.524	247.46	94.867	356.666	89.98	125.419	133.359	450.861	203.358	67.074	279.154	398.575	728.755	304.597	228.198	420.49	258.173	197.462	327.109	86.796	586.729	657.228	634.047	571.37	598.589	642.4	521.737	333.533	Ribosomal L29 protein
PF00366.23	52.237	496.674	0.0	300.471	320.531	447.798	262.833	149.125	41.258	157.647	273.233	321.625	12.357	141.619	130.604	320.688	24.24	193.129	127.961	130.994	140.145	449.165	287.175	91.542	617.449	313.497	701.681	281.641	260.484	422.246	379.33	283.398	231.611	180.285	541.02	467.253	962.111	483.044	375.999	525.612	407.973	416.278	Ribosomal protein S17
PF00238.22	138.511	603.515	22.76	373.073	292.556	616.949	201.839	286.443	174.197	222.177	300.384	262.699	68.444	118.0	273.673	363.384	53.206	302.181	148.572	162.405	258.918	506.891	251.981	92.319	603.477	476.817	603.488	339.418	182.582	392.126	1222.548	234.568	266.606	589.067	559.892	667.933	764.882	608.008	535.821	1240.027	439.591	415.355	Ribosomal protein L14p/L23e
PF17136.7	26.023	409.978	13.028	202.342	250.574	390.294	130.912	111.864	90.266	172.326	176.94	152.411	40.887	45.694	117.221	113.275	72.187	243.517	46.893	167.207	203.46	263.094	195.132	44.101	492.211	240.191	546.156	286.517	95.439	219.901	244.915	116.23	108.697	185.337	455.203	353.183	413.19	517.438	332.019	534.771	269.155	380.242	Ribosomal proteins 50S L24/mitochondrial 39S L24
PF00281.22	89.499	554.004	15.035	384.566	186.663	544.935	251.077	130.97	137.863	302.909	220.2	233.992	63.713	126.559	108.565	196.813	53.819	243.8	60.456	172.285	162.678	489.628	236.738	150.044	736.936	609.251	462.403	257.425	238.539	433.571	850.888	415.268	226.133	641.532	582.421	550.259	635.807	344.66	242.981	750.716	407.238	417.574	Ribosomal protein L5
PF00673.24	89.499	554.004	15.035	384.566	186.663	544.935	251.077	130.97	137.863	302.909	220.2	233.992	63.713	126.559	108.565	196.813	53.819	243.8	60.456	172.285	162.678	489.628	236.738	150.044	736.936	609.251	462.403	257.425	238.539	433.571	850.888	415.268	226.133	641.532	582.421	550.259	635.807	344.66	242.981	750.716	407.238	417.574	ribosomal L5P family C-terminus
PF00410.22	13.527	309.333	0.0	149.548	159.279	375.226	115.878	87.502	71.469	153.746	125.714	215.711	70.602	117.254	68.615	147.497	0.0	131.752	81.833	112.137	138.863	307.607	199.58	25.425	739.783	260.854	264.964	156.43	56.277	317.763	807.196	151.076	170.717	528.193	466.766	406.137	759.997	498.515	367.73	853.233	130.24	267.384	Ribosomal protein S8
PF00333.23	63.251	294.335	32.907	182.825	123.599	433.887	154.411	149.363	98.635	174.06	130.785	249.216	30.605	113.533	89.973	185.387	57.682	229.826	71.477	105.914	172.175	308.278	176.409	80.477	1075.008	344.269	406.256	147.899	161.041	282.554	824.903	296.537	260.231	577.145	461.189	517.406	845.101	543.635	349.99	969.002	400.206	323.351	Ribosomal protein S5, N-terminal domain
PF03719.18	63.251	294.335	32.907	182.825	123.599	433.887	154.411	149.363	98.635	174.06	130.785	249.216	30.605	113.533	89.973	185.387	57.682	229.826	71.477	105.914	172.175	308.278	176.409	80.477	1075.008	344.269	406.256	147.899	161.041	282.554	824.903	296.537	260.231	577.145	461.189	517.406	845.101	543.635	349.99	969.002	400.206	323.351	Ribosomal protein S5, C-terminal domain
