FeatureID	rab.all	rab.win.FA	rab.win.FT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF00216.24	3.61415822151627	3.54645099226015	3.68075548972066	0.0679946869163848	1.33051081440457	0.0415024294286767	0.476174608684806	0.824009556177449	1	0.744640184959743	1
PF04545.19	4.94477472777861	5.00620450878696	4.88827262491956	-0.118541511577305	0.670192205876678	-0.165276562216258	0.423192269971471	0.552260784410611	1	0.572069359903792	1
PF01832.23	2.39134790206033	2.63760906390816	2.1374008823263	-0.455552903922713	1.75038243740887	-0.207608348140106	0.38920359987855	0.602786586680668	1	0.410148611248759	0.999713042037229
PF00912.25	3.3564367413408	3.55472344032116	3.10898220478341	-0.538245861214475	1.28985229284107	-0.382421169793322	0.321892704320075	0.173723881649267	1	0.238973335857843	0.995186598828563
PF05697.16	4.38126335885793	4.38595141786428	4.37373375002459	-0.0613710857848773	1.10553869575823	-0.0514848002960432	0.476666666883187	0.600731828131976	1	0.780722619553014	1
PF00254.31	4.51081260860264	4.54360143171954	4.47356516660331	-0.00122632692798152	1.02971516287629	-0.000827505533716287	0.499666666669753	0.828033391871137	1	0.839314962598312	1
PF05698.17	4.34815833464908	4.26768998811888	4.44614683105977	0.211557806339957	1.1311529133557	0.152655675521863	0.416000000800367	0.522624713514098	1	0.498287390224528	1
PF03979.17	3.09106844516347	3.12163134111825	3.04194177041077	-0.0849430852245954	1.11656664795033	-0.0698044211655424	0.469176941305957	0.663603428402261	1	0.709930348692901	1
PF00140.23	3.45646293800982	3.58685771688695	3.31810192250869	-0.286544305755165	1.07267348608461	-0.244809296760404	0.382666667816401	0.376461944378431	1	0.428124942495921	0.999395825433672
PF04542.17	5.41321716248703	5.42890908274604	5.39876306726056	-0.0292758133002549	0.565413497740833	-0.0537940879491019	0.474333333571616	0.734368800812398	1	0.749016568570748	1
PF04539.19	4.28501351035199	4.46192049707857	4.08740905259023	-0.356290916684185	0.777195882312859	-0.414143298433492	0.307564147375152	0.17761481001585	0.999833360003769	0.196053576790688	0.993105102157931
PF01327.24	-0.185746081746312	-0.0238925326674364	-0.360634421334436	-0.259451657785209	3.72795145706339	-0.0580884372127936	0.468000000297515	0.684044649801775	1	0.709448249287393	1
PF04851.18	5.39302870028742	5.51205813707736	5.25610103388498	-0.387036609188786	0.966424399313231	-0.366000010347931	0.342219261868003	0.136920532427831	1	0.240704403148339	1
PF12344.11	2.33920284571799	2.36692595120133	2.3103013063639	-0.0696358615627055	1.53919821494497	-0.0386851633482157	0.480506498014705	0.789860367306997	1	0.768479188330851	1
PF02151.22	2.6102742763468	2.48208252595298	2.75902676662837	0.290778450305575	1.45011458032622	0.168175578444713	0.414861713573728	0.508473206845518	1	0.509988559831607	0.999740160552868
PF07977.16	0.590279422638151	0.834423052368876	0.258692250398822	-0.605686571331937	2.74934773636835	-0.181142455816466	0.402532490107776	0.368738502982911	1	0.472595582503376	1
PF02734.20	3.99304474846989	4.1112545143114	3.93369726306438	-0.120137823081891	1.12360507675806	-0.0632040673026188	0.453666667099395	0.594820360902139	1	0.713056087000898	1
PF01987.20	0.92475802892735	0.307722488830525	1.46353599956937	1.12511920426364	2.68740646932033	0.360084938543337	0.319893370792065	0.23696011005506	1	0.195050319582154	0.993153998252558
PF00265.21	-1.0167418544864	-1.30874474198551	-0.728513762521329	0.614525123436983	4.19042351297943	0.126892093897968	0.430666667321228	0.624517195127704	1	0.573093269766981	0.998859746681786
PF03462.21	3.84012593718709	3.95274787538965	3.68071613723509	-0.261028014936327	1.03802442069757	-0.206528720310663	0.393535489202521	0.410756615664259	1	0.433588865435278	1
PF00472.23	3.83196669153555	3.95248576658177	3.67528896621975	-0.268330251886729	1.05450061347793	-0.219510877450929	0.394201933713948	0.400055730494961	1	0.416685108403509	1
PF11967.11	-0.314785634140416	-0.0982906204044429	-0.51929390677757	-0.334905182679074	3.77205202756036	-0.0720026638006365	0.462000000353896	0.702443243263173	1	0.677352136489167	1
PF02565.18	-0.291348554990476	-0.0724029829012798	-0.487907471879504	-0.403218342627937	3.82164619133003	-0.085157550953213	0.450666667127947	0.68489256699993	1	0.667744723307383	1
PF00464.22	2.65222088180449	2.84503948832175	2.45348775817026	-0.302823453700852	1.42892161852338	-0.162244719698818	0.402666667603399	0.72896475998064	1	0.474202367023204	0.999831182867383
PF08032.15	1.32626968755257	1.6559423813757	0.99552609350578	-0.782397419287619	2.11776764377655	-0.292494360450289	0.346333334904583	0.236635326368406	1	0.292558627534802	0.997282043762679
PF00557.27	4.35123944564834	4.55518454466773	4.22369719733705	-0.370542484760083	1.01166410315853	-0.331573651687813	0.35866666808895	0.278258842888697	1	0.298360283948115	0.999914976021467
