FeatureID	rab.all	rab.win.FT	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF18799.4	-2.14473072355933	-1.18933105665094	-2.64305749287833	1.4816560544032	4.124139412165	-0.294919902892893	0.340666673234893	0.467632015533617	0.832578360497374	0.452954245754246	0.839010741107482
PF11871.11	-2.13562104259368	-1.111276853331	-2.73907696463792	1.59908578363309	4.17162579318687	-0.317252823511701	0.334666673541859	0.420639543007692	0.814861185598036	0.42151968031968	0.824621213963757
PF10101.12	-0.35144700953972	-0.710559030150982	-0.021879417751534	-0.4530684128823	4.32110199447775	0.0955818284596434	0.445702866789121	0.725551175084073	0.983901821915361	0.651493706293706	0.950285689718359
PF19403.2	-2.10021642364821	-1.19329902723046	-2.65412528933091	1.28977279779051	4.54851912350759	-0.260291093220949	0.373084615277418	0.490529102003233	0.877532121041511	0.49633006993007	0.894047519123095
PF12228.11	-1.7015574187126	-1.12622834695589	-2.03133241562367	0.889991638550096	4.09756043047836	-0.18161653493308	0.399733514856683	0.543065936686754	0.882469150360308	0.548161838161838	0.888104851081862
PF03625.17	-2.15818676957019	-1.23015531363796	-2.74102506786984	1.48997237191913	4.1910238491578	-0.305995170285053	0.339773490948412	0.433198097814766	0.819778773668559	0.419301898101898	0.821259372801053
PF02239.19	-2.01686471946988	-0.594122335651484	-2.73619469894448	2.04885552216629	4.01222015030159	-0.434143942543801	0.282000009969172	0.33155572620851	0.76388701106809	0.308511088911089	0.748679985723297
PF13433.9	-1.68053675598634	-0.711137951665702	-2.22927933266241	1.58588529538174	4.04905379340409	-0.338752646235398	0.32711526375861	0.417168042078582	0.827369031909603	0.407799000999001	0.825560669213533
PF06241.15	-2.13746828766779	-1.23790061771218	-2.68249513827656	1.49722240472079	4.1369471458069	-0.313739402687047	0.349333339470879	0.447013178688118	0.822185471277418	0.440394805194805	0.828357050413102
PF14497.9	-2.12904198386972	-1.19614267839385	-2.64739334660071	1.55103459047057	4.17275260000739	-0.333787577220538	0.335333340174044	0.443180815968697	0.810806552698925	0.433478121878122	0.822179162446859
PF09603.13	-2.13140698208657	-1.12266747354761	-2.72487646819348	1.74465512367994	4.17383609167753	-0.343669300251909	0.321785483900142	0.406692650640646	0.810021236946341	0.383079320679321	0.807955742292619
PF04336.15	-2.17917291085131	-1.19679873149256	-2.74253966213644	1.61903929240672	4.18579017010361	-0.334645530678001	0.335109933558651	0.413555073920088	0.807892269982122	0.41412027972028	0.811755480047132
PF07143.14	-2.20737292459317	-1.28737484763969	-2.7139051941687	1.44424476234502	4.26402943746871	-0.29701470877012	0.350000006105005	0.443038721132942	0.820183584033535	0.441797802197802	0.837681500767798
PF17186.7	-2.15686436607352	-1.11687026911669	-2.73266335831248	1.59433038621403	4.18105929981742	-0.324211338078732	0.339773490948412	0.423316376780274	0.81231065922842	0.41633006993007	0.819533497151769
PF20094.2	-2.11255220536783	-1.16607374272953	-2.63483707187408	1.47840243385843	4.18297389687174	-0.315815243476182	0.342666673134211	0.439708835209736	0.829997511152253	0.429981218781219	0.834384897053627
PF02119.19	-2.07066499121363	-1.06506458855387	-2.69524987808916	1.52584474698961	4.09599380205311	-0.333165543510622	0.345769493313153	0.417452075627357	0.820669527918598	0.408863136863137	0.830648035884739
PF14126.9	-1.49982292427084	-0.744130521494573	-1.9276488773644	1.29519846525565	4.04434165127268	-0.261137015527831	0.355762830602743	0.465566674669303	0.85736291063733	0.469523676323676	0.867242526494331
PF18939.3	-0.108152801509381	-1.24962004817126	0.479323204355673	-1.63015952788172	3.76095252511731	0.373745036910228	0.308666674968797	0.379169432949647	0.852243812305515	0.295898901098901	0.692225086703445
PF13621.9	-2.18201307118101	-1.2339168960793	-2.72175297559603	1.54741590787338	4.19666855958579	-0.330615470020648	0.340666673234893	0.446619104708143	0.831818326818982	0.433875724275724	0.834941476005191
PF19666.2	-2.21737996657843	-1.3287335510623	-2.69524062709472	1.50764744749523	4.13318812783793	-0.32200687741957	0.340666673234893	0.436924119468523	0.834884239759261	0.432320879120879	0.832830161798309
PF16976.8	-0.589970444842128	-1.23423617222068	-0.180666863606868	-0.861644727527479	3.85018488823677	0.186335337369925	0.388666671005231	0.578472520767427	0.946695441630275	0.510709290709291	0.865639985167174
PF16160.8	-2.18096108046283	-1.2748681130408	-2.73974924387044	1.65450119058644	4.17632265787669	-0.330326572069013	0.331333340382384	0.434323582571606	0.818464463929611	0.420114285714286	0.822000335052971
PF13428.9	-1.74281055138167	-1.24129695065002	-2.05744691954113	0.917553463432562	4.10778415648332	-0.196298758795479	0.398401069875784	0.556675592266523	0.903668023647033	0.566382417582418	0.912115762964329
PF08212.15	-1.96524107541664	-1.29454215622434	-2.35486110659703	1.18434548184649	4.12506069903104	-0.239513294065073	0.371085947812638	0.502385939735541	0.855606963759573	0.50427012987013	0.861323823008527
PF01914.20	-2.10541687437747	-1.170497715951	-2.63165082246371	1.47415887824617	4.13139404254404	-0.310149207532364	0.346666672935199	0.433374613657321	0.825197615218166	0.427867332667333	0.835763838184693
PF09028.13	-2.14981650504833	-1.26526183461777	-2.65003610372854	1.37901020572686	4.21244319206932	-0.289013500291115	0.357761498062769	0.443267343448094	0.838586079175134	0.442714485514486	0.85799984638744
PF11821.11	-2.14130755033268	-1.1240063201192	-2.7582491938317	1.67704766812521	4.09615996225758	-0.334649043176901	0.331112598656842	0.401516939266918	0.803231263255738	0.40467012987013	0.809908634710258
PF20216.1	-0.814123857694494	-0.710566329672098	-0.885258081714932	0.387707549217067	3.69572422433473	-0.0839202348794316	0.456362426676409	0.692572376709084	0.946953729454653	0.698263736263736	0.954052421903316
PF19821.2	-2.15094773995117	-1.18326655597103	-2.71630658439303	1.57746933534373	4.10336830926887	-0.317737835117695	0.32844770872428	0.428026749468657	0.814420437821764	0.420073926073926	0.825028956344462
PF12236.11	-2.15299883241384	-1.16730777522355	-2.69694735816658	1.47817744174076	4.08262855451827	-0.312946546389714	0.340666673234893	0.420457412536641	0.825220312300086	0.411171628371628	0.826736922809626
PF06803.15	-2.22384134035486	-1.28393642172118	-2.72054968770782	1.41859417392501	4.20407583830923	-0.288048996960324	0.336442378526689	0.431879745034594	0.820971937145121	0.432533866133866	0.82590710726193
PF04362.17	-2.1357510690998	-1.23413335217563	-2.72027105311034	1.61222371426622	4.1932204646113	-0.331734946713225	0.327781486241393	0.407176261910882	0.811191697657531	0.400798801198801	0.817995047602844
PF03379.16	-2.09360314494536	-1.11998359783332	-2.67852047954925	1.51749208086937	4.00088536382619	-0.328722795437399	0.324450373828521	0.418969357876066	0.817736716011435	0.407231568431568	0.820903870266731
PF18930.3	-2.14947977153563	-1.18997202730675	-2.73506463383076	1.56185047247498	4.11271464194935	-0.323408339398945	0.329333340487885	0.410096978157979	0.801413880079287	0.40376983016983	0.812379468443467
PF04185.17	-1.86503089790564	-1.23823709623491	-2.21837127664119	1.0551464517071	4.20401140523712	-0.220492736498215	0.385333337816007	0.536686567322306	0.89659355109226	0.558380819180819	0.909027933706979
PF05947.15	-2.14906316977139	-1.21610991263485	-2.76625698553107	1.48161445977479	4.17475449868234	-0.30700673852234	0.338441045979447	0.425027770983208	0.813036296940272	0.426561438561439	0.826631431409642
PF14710.9	-2.13742777115881	-1.15872482822937	-2.72944564023656	1.4708282956287	4.13270883928722	-0.298531303991596	0.344000006400862	0.43760293011239	0.822577484215471	0.432870729270729	0.831820695477451
PF03929.19	-2.14486708146976	-1.17474851119796	-2.7126183049161	1.59507090985558	4.13598459314918	-0.317254891875507	0.337333340071168	0.431912183612246	0.805629116013286	0.416473526473526	0.806544763467673
PF19962.2	-2.15412474761352	-1.18412375140237	-2.70540497382287	1.69777714275702	4.12417415427232	-0.341413080741936	0.325333340701651	0.431486168938588	0.817515913971865	0.418754845154845	0.816930285044744
PF00351.24	-2.2221293805371	-1.15140039100875	-2.76469889229247	1.6182081573549	4.37867989118119	-0.332221071152467	0.336442378526689	0.414865778510825	0.811258492962285	0.408973826173826	0.821155440609396
PF01956.19	-2.1891525579652	-1.20339887221284	-2.76788994446038	1.57139285119655	4.06760136251746	-0.322985406956807	0.331333340382384	0.44275017587513	0.820401287676725	0.429648351648352	0.825690499426297
PF11398.11	-2.06018387721569	-1.21260037919536	-2.62114862700059	1.33395131854808	4.31367401628941	-0.271145805372708	0.359093943036492	0.465126985142846	0.835134261452469	0.467207592407592	0.852171166849564
PF14338.9	-1.96796870585971	-1.25693466457713	-2.39113676113517	1.24785805774518	4.17398422656186	-0.263943017253664	0.376000004893566	0.485243277464735	0.859406985821969	0.487904495504495	0.871171758244208
PF19054.3	-2.15702209946104	-1.09725081458853	-2.74508681786713	1.74916538737834	4.14224178042649	-0.360296137811485	0.317333341140817	0.385682894244438	0.789383948129657	0.390222177822178	0.789264081963418
PF14261.9	-2.1592380747445	-1.2332866284376	-2.66098420583304	1.49629177844667	4.22874952513426	-0.301424535597252	0.341105935917739	0.455406815338696	0.82012814524156	0.435045754245754	0.827303902583395
PF13516.9	-0.72037684804067	0.655984613923371	-1.51805011163843	1.97166988411275	4.31302779920493	-0.401028248964389	0.31666667451148	0.33872097946261	0.820218794376752	0.337367832167832	0.841994017573085
PF11858.11	-1.90272145838844	-1.10191775350236	-2.34617826711582	1.17710197541017	4.3205141644184	-0.239576837785098	0.380000004716091	0.504260186410354	0.867520952952336	0.512226173826174	0.876786316001155
PF07784.14	-1.84882362165346	-1.07815794457405	-2.36258886333786	1.15202344360425	4.3242824120907	-0.231034778522488	0.378414395186208	0.504357942615988	0.862277583520388	0.513457342657343	0.879722551144553
PF13648.9	-2.18657017227308	-1.21093593885561	-2.69824397955358	1.35083635642148	4.2819736550981	-0.274950263018915	0.348000006202873	0.462380824064775	0.848654807563108	0.45321038961039	0.851628093430124
