FeatureID	Name	rab.all	rab.win.FA	rab.win.FT	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	diffexpr
PF11459.11	Transcriptional regulator, AbiEi antitoxin, Type IV TA system	-5.24273799445986	-5.05272390930344	-5.44356293666256	-0.536197860732521	4.22209774257139	-0.107798848687394	0.443037976818143	0.479440566354664	0.709272158349	0.536744588744589	0.748623634490885	none
PF18897.3	Recombination directionality factor-like	-5.32370828445265	-5.63877873227474	-5.02247498617621	0.611394912178348	4.02635956887705	0.127768210885379	0.436666669050594	0.469020613607364	0.700580743994996	0.511575757575758	0.733008877470895	none
PF14792.9	DNA polymerase beta palm	-5.24219009950874	-5.59914716404859	-4.82405771486625	0.863598511552466	4.25597485775108	0.187220219093738	0.413057964675142	0.500944827015119	0.719446709508684	0.541748917748918	0.748902866365342	none
PF01313.22	Bacterial export proteins, family 3	2.95440124668771	3.05558514959827	2.89681967267738	-0.168534592925008	0.839798993795712	-0.185590722134296	0.416389077132241	0.511459775607027	0.764951248973268	0.677900432900433	0.865807054396652	none
PF05116.16	Sucrose-6F-phosphate phosphohydrolase	-5.34570147773953	-5.62389849277059	-4.95631509532262	0.733468235727546	4.15384793298013	0.154650020539565	0.419333336400829	0.49519297020793	0.716707325943085	0.536991341991342	0.745980420000286	none
PF02026.19	RyR domain	0.825482183758089	1.07106634444452	0.490116641992813	-0.61818011496602	0.940003661054819	-0.588639610888202	0.226000014503648	0.154974876229827	0.43964128874581	0.195852813852814	0.464321011069831	none
PF07591.14	Pretoxin HINT domain	-2.03449639929672	-1.26552779614954	-2.84721859584031	-1.11172814298375	4.12115940967181	-0.255393238827659	0.348000006202873	0.529233203234589	0.754769916004552	0.474874458874459	0.734848096553411	none
PF00627.34	UBA/TS-N domain	2.06093567185437	3.25109089038645	0.883037317160715	-2.57509810266208	1.79475254131451	-1.41611828756584	0.0493334223066636	0.0042348697531807	0.0868168301647283	0.00793939393939394	0.0943112017838031	down
PF12641.10	Flavodoxin domain	-0.271662108753119	-0.256666362197452	-0.305701625075509	0.0441756390906214	1.51254123116162	0.0292385679559243	0.489333333728575	0.684443135167855	0.855996743396617	0.741818181818182	0.892389183922365	none
PF04346.15	Ethanolamine utilisation protein, EutH	2.12850318923988	2.42598266212534	1.91347851401163	-0.525066516936532	1.39876543639592	-0.334508811108571	0.328666673856588	0.304383773595333	0.619932782361184	0.407151515151515	0.709419964860406	none
PF10412.12	Type IV secretion-system coupling protein DNA-binding domain	-0.851626508063129	-0.358048041524745	-1.48924591534745	-0.971345343400927	1.76238722537513	-0.375767164143604	0.265156573436765	0.582034065060228	0.779840954835602	0.238030303030303	0.52566619148579	none
PF11672.11	zinc-finger-containing domain	-2.70740744507457	-2.40860701097631	-3.23190079241967	-0.873556459298118	3.66963924401768	-0.193418855113182	0.404397072291237	0.522695490675877	0.753190577317024	0.590562770562771	0.803492054147869	none
PF18737.4	MAE_28990/MAE_18760-like HEPN	-5.31201704293189	-5.60021178065618	-4.96503099243988	0.745098866202985	4.32852044149778	0.142185096637618	0.425049969524827	0.477121510679397	0.70314400536948	0.510428571428571	0.72950934517272	none
PF11800.11	Replication protein C C-terminal region	-5.18723738864452	-4.96629519302599	-5.38920554724226	-0.42613946688626	4.22413870710987	-0.0934120012876432	0.456362426676409	0.513698354430733	0.735597613234086	0.561134199134199	0.768680297187931	none
PF07309.14	Flagellar protein FlaF	-5.29231817760194	-5.08225773143886	-5.52328774072026	-0.355712316872694	4.30827776430755	-0.0654728614067884	0.462358429115068	0.499355316231858	0.725527741189178	0.546558441558442	0.759647426790252	none
PF18140.4	Propionyl-coenzyme A carboxylase BT domain	-5.28794757765014	-5.1005486316076	-5.4663619581577	-0.45396841517368	4.20359678350586	-0.0954405191474254	0.451698869225096	0.538002561256072	0.754514393086569	0.574623376623377	0.78040974953573	none
PF09126.13	Restriction endonuclease NaeI	-5.17919176657232	-5.57844969780395	-4.75828241024148	0.943884728902065	4.28332597959804	0.187294917509225	0.402000003774635	0.473804164052736	0.694208583201389	0.516917748917749	0.726572357649119	none
PF17489.5	L1 transposable element trimerization domain	-0.773191966617821	-0.720306597867088	-0.821431723857899	-0.780909391327393	2.77799700065419	-0.26669803550642	0.396000004026034	0.396555479002888	0.678657529074332	0.62930303030303	0.832823213596721	none
PF02994.17	L1 transposable element RBD-like domain	-0.688260503470429	-0.726383464565323	-0.63708786943741	-0.550877385444663	2.87409654248395	-0.187373515141606	0.437708196877331	0.477426814907961	0.738001348255449	0.719904761904762	0.88332812870549	none
PF07388.14	Alpha-2,8-polysialyltransferase (POLYST)	-4.56152274213575	-5.60931489723553	-3.35204643047264	2.05739674118597	3.80098662121688	0.4505048988477	0.276482355435458	0.343494023500676	0.579700273734493	0.313839826839827	0.55317735231357	none
PF18174.4	CCDC81-like prokaryotic HU domain 1	0.0745282669490415	0.411372705926295	0.0334195820606258	-0.859495839907344	2.75925402975577	-0.28980819867517	0.394403734934204	0.490994473056745	0.748227112235954	0.617164502164502	0.837855415180212	none
PF18665.4	Tetracyclin repressor-like, C-terminal domain	-5.30730529116944	-5.60642242246784	-4.94582442975582	0.71800980374584	4.3514418677891	0.142286733487192	0.418666669760886	0.5264594978971	0.742194719367493	0.541246753246753	0.761160417977865	none
PF00071.25	Ras family	-5.24880775343156	-5.58902534384253	-4.82213132233496	0.7466953758068	4.27146462419374	0.151719033591297	0.415722854640748	0.471329491507299	0.701721566695351	0.525978354978355	0.740279760304961	none
PF12147.11	Putative methyltransferase	-5.19864482592955	-5.75739850412928	-4.69422037506436	0.835424408487668	4.03052365000298	0.169117900872775	0.401065959837764	0.4812510750628	0.702418731305449	0.519134199134199	0.725188159899013	none
PF03659.17	Glycosyl hydrolase family 71	-5.23144329232078	-5.64146945346029	-4.81474394774184	0.738686307973044	4.19123243443762	0.162039248702644	0.412666670003021	0.485150217252941	0.709447203921634	0.514103896103896	0.73019017103493	none
PF02681.17	Divergent PAP2 family	2.33746237214788	1.99749361339647	3.04351135075083	0.960469375281437	1.09823387495505	0.888191320350062	0.153897426310237	0.0648173232678818	0.309078027460417	0.0613203463203463	0.280299424478846	none
PF09414.13	RNA ligase	2.81004867074523	2.95893693956355	2.48468920029582	-0.390358162589376	0.991736559868547	-0.297929243056056	0.392000004195757	0.666389589522237	0.853996232166751	0.610835497835498	0.838217944734614	none
PF13755.9	Sensor N-terminal transmembrane domain	-5.3187666452065	-5.61253047896106	-5.02296039289915	0.725385323722437	4.29368841042391	0.141389422777274	0.419720189590245	0.50674158580344	0.729798107474314	0.555	0.763589482392163	none
PF14253.9	Bacteriophage abortive infection AbiH	0.787165197180926	1.08377688049899	-0.135131340682737	-1.34227793734615	1.89473611403855	-0.526914163954654	0.220666681706355	0.15076763499982	0.459405843659377	0.15612987012987	0.440616294318316	none
PF08009.14	CDP-alcohol phosphatidyltransferase 2	-5.34555977778669	-5.62278922146715	-5.01913122068143	0.80269248202459	4.38105801928856	0.168179163687686	0.414390409657871	0.497945498980765	0.719915062616006	0.529735930735931	0.747067624332519	none
PF17791.4	Macroglobulin domain MG3	-4.45871692108204	-5.58172529409545	-2.84405924246668	2.44752327547554	4.03566997085362	0.533589399272834	0.247168566861408	0.291093999794847	0.532329053101425	0.255748917748918	0.50158664312328	none
PF07677.17	A-macroglobulin receptor binding domain	-4.4837122149512	-5.60974401623962	-2.84174020359582	2.46471149247008	4.06654931215283	0.545015934696204	0.239173897331348	0.266577996410762	0.509468133939023	0.240281385281385	0.4869776851288	none
PF05731.14	TROVE domain	-4.96174397625261	-5.54401656863213	-4.20735375455071	1.40113758959582	4.35006705295148	0.274331574520435	0.356000005815711	0.457795143795222	0.682933887064522	0.483294372294372	0.702711096547418	none
PF08721.14	TnsA endonuclease C terminal	-0.714685629211804	-0.704709779200558	-0.745097152656541	0.130492490254428	2.7515372751453	0.0424905134902785	0.48234510391832	0.622544480228431	0.824252028812221	0.809445887445887	0.925884340286906	none
PF10662.12	Ethanolamine utilisation - propanediol utilisation	2.76834271557048	2.56132765824614	2.82673292667828	0.424820989112547	0.867676064229466	0.465701364863424	0.306000008458571	0.169898293907349	0.482793631495141	0.341519480519481	0.648243894071303	none
PF03683.16	Uncharacterised protein family (UPF0175)	-0.977846149123309	0.168239728247526	-4.15688269824365	-3.80994308168094	3.93527867309703	-0.813380717590021	0.162000023053327	0.0582337041018967	0.29901187084756	0.0704069264069264	0.298010331978435	none
PF05455.14	GvpH	-5.25324045734586	-4.99301424089068	-5.49987337791481	-0.505330892517058	4.20863829254903	-0.100017527862637	0.444370421803586	0.495577010211596	0.720836939394777	0.546138528138528	0.754319088239407	none
PF08787.14	Alginate lyase	-5.24504857780527	-5.60016089046661	-4.87589433186787	0.742110031570169	4.03070784564366	0.161783705172143	0.414390409657871	0.480807075406347	0.709036942247383	0.521627705627706	0.73801454509574	none
PF18862.4	ApeA N-terminal domain 1	-4.45302695725569	-5.03035365062588	-3.69613135659744	1.66447978224418	5.22166016417213	0.286739076974963	0.368421057860494	0.463980661724885	0.701022411923632	0.51091341991342	0.736871990558666	none
PF15937.8	prlF antitoxin for toxin YhaV_toxin	-0.035198805974554	0.237945616477671	-0.531810962050262	-0.684002987747874	1.35220754122842	-0.465775877724013	0.300666675444484	0.240866486593861	0.533570860801007	0.329619047619048	0.60677280476475	none
PF19079.3	Collagen-flanked surface repeat	-4.16957216750402	-5.05403818062596	-0.670254039146776	3.3575202386745	5.70475140711889	0.52657023165906	0.27981346779843	0.326690114549929	0.589955392939684	0.322948051948052	0.599163818636813	none
PF03848.17	Tellurite resistance protein TehB	-1.24558441376401	-1.87782208480305	-0.990255426686643	0.80911065826808	1.92989927545351	0.342259239705857	0.32111926141832	0.288665679663702	0.586997451826015	0.420354978354978	0.684825715127614	none
PF06199.14	Phage tail tube protein	-3.37187671581012	-1.74660908895095	-4.05508894282736	-1.43842496397916	4.95550897391347	-0.261336201484759	0.348000006202873	0.512370770713067	0.741735678865927	0.488112554112554	0.737490896111867	none
PF04693.15	Archaeal putative transposase ISC1217	-4.91180551655748	-5.55207610108899	-4.15113219754816	1.33167506135617	4.25011420547696	0.279266099668713	0.353764163143399	0.438864227794249	0.668535816076561	0.450813852813853	0.67861092466551	none
PF02230.19	Phospholipase/Carboxylesterase	-2.33224786942259	-2.04713238317708	-2.91494598194054	-0.436816600288262	4.33201033941604	-0.0882035805933767	0.444000002100421	0.602342601573308	0.806995881515568	0.688272727272727	0.863250632497981	none
PF08864.13	UPF0302 domain	-5.26024962704334	-4.99669702347864	-5.46880490348358	-0.521327430559692	4.29093681433822	-0.0963939691215963	0.44533333538252	0.517691149684416	0.738503566804892	0.562835497835498	0.771666655292028	none
PF08858.13	IDEAL domain	-4.16139022036218	-4.18684162580047	-4.14868028541894	-0.42721492001534	4.76164559664659	-0.0709906115368455	0.461333334774048	0.597435064365189	0.802297959174941	0.681580086580087	0.857969005704112	none
PF09563.13	LlaJI restriction endonuclease	-2.79356292792166	-3.24585357127234	-2.3678468486484	1.19842942380487	4.15937563291117	0.254528335618432	0.367754835372621	0.486207627297266	0.726385955712531	0.535307359307359	0.769610791601697	none
PF06898.14	Putative stage IV sporulation protein YqfD	2.12566150504736	1.37946999223184	2.38529485891626	1.09203633649077	1.19998105024015	0.857932552159693	0.170552986224705	0.0589366828155227	0.301320598652462	0.0804891774891775	0.316148269520896	none
PF05105.15	Bacteriophage holin family	-0.61341245954965	-1.06491288623334	-0.0283213118734498	1.26105635252736	2.48242821265106	0.449039420644366	0.282666676591126	0.206116712797896	0.516064164573085	0.286718614718615	0.590794085160497	none
PF18283.4	Carbohydrate binding module 77	-4.30236306180761	-4.17597945148101	-4.37530289644845	-0.266772795208364	4.27256865060177	-0.049278338382882	0.476000000890941	0.554648636788854	0.770425259671404	0.634874458874459	0.823584210498609	none
PF14090.9	Helix-turn-helix domain	-5.24876563281584	-5.59151092788853	-4.84037717463829	0.895509542102859	4.24004764752738	0.176051209306147	0.399067292366211	0.496648200370081	0.720594353478853	0.538242424242424	0.746809514918181	none
PF01010.22	NADH-dehyrogenase subunit F, TMs, (complex I) C-terminus	-5.31407691475808	-5.01942989943533	-5.54021852036234	-0.548606980432169	4.3368147575512	-0.0991805346106572	0.443704199310853	0.499133789672146	0.720721735799753	0.534056277056277	0.747116247568666	none
PF01710.19	Transposase	0.28034893315991	0.309600331997837	0.255532774581123	-0.0705482985468677	1.09757242539873	-0.0584375584775759	0.471019321528573	0.637174156211929	0.82798508098931	0.703787878787879	0.868067432042793	none
PF04794.15	YdjC-like protein	2.13027986351338	-1.53512993321976	3.71353753609623	4.96664431955771	3.34891158991397	1.37675950965905	0.0293139437631037	0.0163921107205753	0.156377510837147	0.00440692640692641	0.0718197831405702	up
PF05711.14	Macrocin-O-methyltransferase (TylF)	1.42940659030828	2.75872796213749	0.741715797554694	-1.42393480800011	3.32029251775874	-0.22677929684799	0.383744175098753	0.748641382677486	0.89450133465692	0.590432900432901	0.834285727038429	none
PF10123.12	Mu-like prophage I protein	-2.06996772021591	-3.06085425658408	-1.24151539543058	1.7513911285648	3.80019618982457	0.431337365071883	0.258000011704904	0.313187005223194	0.587446642100272	0.262285714285714	0.558797155330912	none
PF11985.11	Bacteriophage Mu, Gp27	-2.8413929253549	-3.11317013772897	-2.64142859932593	0.55705631040008	3.8043986005681	0.133778044708047	0.42438374703289	0.570262822833897	0.78327324685071	0.635753246753247	0.832699737170724	none
PF17989.4	Actin like proteins N terminal domain	2.23713697150103	2.22881309220778	2.28819245888231	0.0733530003499538	0.980799968715563	0.0755303410595851	0.469020654048339	0.75550076847442	0.895398103014872	0.829861471861472	0.935016376252355	none
PF18824.4	Large polyvalent protein-associated domain 11	-3.11584289992594	-2.23867866527195	-4.17681242885152	-1.57770352106588	4.09666561066309	-0.325674063405238	0.312000008109442	0.410280886256621	0.660354632778797	0.399316017316017	0.661859815936511	none
PF12872.10	OST-HTH/LOTUS domain	4.45261993577084	4.28833037882512	4.52330793343755	0.363747475468504	0.662078724342614	0.561792869353463	0.277148577907692	0.12168830864122	0.423584980490147	0.25361038961039	0.559977502763807	none
PF18813.4	phage-Barnase-EndoU-ColicinE5/D-RelE like nuclease4	1.93600510506868	1.64927074041381	2.28973370541748	0.620581198720023	1.20020258632311	0.485944836498476	0.264490350968064	0.212110541286009	0.528484224558835	0.229536796536797	0.541952165118717	none
PF18832.4	Large polyvalent protein-associated domain 18	0.36350153982473	0.798959183586172	-1.34180478537626	-2.1068363081325	2.79599831045139	-0.719305988283906	0.177215210343661	0.088615617804393	0.368343393036248	0.0799004329004329	0.330638904976013	none
PF07286.15	D-glutamate cyclase	0.519749157618312	1.82506006491575	-0.0258350980668833	-1.47740206096229	4.16354929088825	-0.246327440224129	0.393071289954061	0.78241229227827	0.90943164548315	0.590077922077922	0.831082576412369	none
PF13115.9	YtkA-like	-5.19172157106243	-4.94912469289819	-5.38713762141999	-0.738784286673182	4.39933888473789	-0.139524005456928	0.431712194445903	0.522688500683498	0.737667219352878	0.566060606060606	0.771681505899052	none
PF14353.9	CpXC protein	0.195608329635395	2.78608648566355	-1.44113320368206	-4.08346607243903	2.53564132964778	-1.65936990537828	0.0399734619457231	0.00746655623357553	0.0977434236757697	0.0068961038961039	0.0881302308924735	down
PF14041.9	LppP/LprE lipoprotein	-5.23431141772038	-5.50632459171478	-4.91197624647683	0.797461154955554	4.37744020307592	0.161353388317153	0.419333336400829	0.507296186009009	0.730159410483323	0.556290043290043	0.762665478876787	none
PF13366.9	PD-(D/E)XK nuclease superfamily	2.97129305847838	3.07404953632697	2.79025037865849	-0.170855525827534	0.789173750342431	-0.205733413491932	0.42238507955727	0.718506942472547	0.876707774656809	0.712073593073593	0.882766158035128	none
PF12671.10	Putative amidase domain	-4.4965873998077	-5.12967267538667	-3.87013894885162	1.10125775505508	4.48318218720586	0.222977717159504	0.381333337990732	0.483533326639243	0.709503192372163	0.531350649350649	0.74750764105717	none
PF04232.15	Stage V sporulation protein S (SpoVS)	-1.42917014201732	-0.890827314108808	-2.31200922522818	-1.36298873009034	4.13607561534683	-0.324435220884004	0.301333342070768	0.335378111702052	0.618337466938364	0.326220779220779	0.618678258360386	none
PF18143.4	HAD domain in Swiss Army Knife RNA repair proteins	-1.03413542583045	0.437603561859651	-3.93051914022915	-4.301768070151	3.06778275843416	-1.25454445759024	0.0386410209040269	0.016357329641402	0.152097188509036	0.00848917748917749	0.0951362993800407	down
PF12852.10	Cupin	-4.57214672774183	-4.44620421125539	-4.71592355909742	-0.26953939822276	4.09042259972622	-0.0567655359025994	0.472666667682047	0.540396615316095	0.757392128111903	0.602831168831169	0.803941757928274	none
PF17839.4	C-terminal domain of cyclic nucleotide phosphodiesterase	-5.31222753399621	-5.08997202987794	-5.47494729559087	-0.447216112776061	4.41701207071602	-0.0867315591818192	0.452000001794314	0.521221140993615	0.738691303983152	0.562909090909091	0.768394828689402	none
PF03475.17	3-alpha domain	-5.33042070056987	-5.12359684169784	-5.51071216437792	-0.462020678447775	4.35001182352938	-0.0957586962452707	0.452365091718084	0.502893003774731	0.726351613966707	0.559337662337662	0.764336816391221	none
PF09195.14	Restriction endonuclease BglII	-3.74219077013796	-4.31673170659583	-3.094013670802	1.02462596753737	4.2926297286595	0.20326655573944	0.37508328274276	0.521863939054553	0.746514992000495	0.548731601731602	0.769877854512637	none
