FeatureID	rab.all	rab.win.FA	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF03818.16	-1.87284797855471	-1.16379292213198	-2.34086537883872	1.22361246201963	4.32070738047048	-0.251797620192849	0.366544486501208	0.405843950864952	0.788106084982822	0.374169212790944	0.750397075700034
PF07450.14	-1.92499194015062	-0.902498289589866	-2.48676837098721	1.56293525824344	4.2679909054495	-0.309079562192394	0.339886706082683	0.335373314780148	0.713682087034004	0.283678706858254	0.662596372615028
PF02633.17	-0.412807736599635	-0.620829858413589	-0.308233533143898	-0.133280711477217	4.07649233489494	0.0260412175345238	0.484333333478538	0.740344671623958	0.966880923615809	0.731727690186139	0.960884812573889
PF03892.17	-1.85500009480814	-1.16257092576857	-2.27547801975609	1.06868780069684	4.28374920369909	-0.219281110977794	0.387537488600243	0.438134304349382	0.807502419743225	0.410087395631276	0.783748842561143
PF03927.16	-1.82862428186864	-0.94671715076856	-2.33439010988968	1.41214261822681	4.2939259738082	-0.284958648267895	0.353215596288035	0.353139117930531	0.744863868733218	0.308114773105061	0.688020637895853
PF02335.18	-1.486966856167	-0.127494168776598	-2.22806520889835	2.07262536828947	4.45441740777333	-0.408235617453791	0.309333335399169	0.225125077002103	0.648754683789405	0.160545509200287	0.560709625444319
PF03100.18	-1.79752346368795	-0.877402195257231	-2.31916339794601	1.37832193747943	4.40911524537663	-0.27319745610173	0.353215596288035	0.350186831067015	0.741807317998258	0.315079050110572	0.69662115677087
PF16327.8	-1.69554057694573	-1.15958697651353	-2.01935006651901	0.964916878686651	4.22985025686757	-0.202089709674822	0.400199934317324	0.497522027091471	0.856909482599108	0.472436161999972	0.829774839487199
PF06675.14	-1.96198025484107	-1.16753429700109	-2.42579624886356	1.25865103714464	4.3082901496013	-0.239130984233556	0.372666667927447	0.396927255084443	0.790292570887534	0.356086648983201	0.737463479395307
PF00762.22	-1.51836671597776	-0.911956913940148	-1.90555469188754	0.970217349872105	4.08994248352616	-0.214778562165492	0.38800000109182	0.469098155243707	0.828889340120481	0.423344818024764	0.786356931274858
PF18819.4	-1.99104006371107	-1.20678596101533	-2.46161030077479	1.24768896076209	4.2872025816815	-0.253353978033073	0.366333334666247	0.381917530849352	0.77278634431922	0.340591393002169	0.719584119152431
PF01106.20	-1.26852974016986	-0.919962619440012	-1.44841328063137	0.535025247444278	4.05173633103671	-0.113991987301659	0.436333333932555	0.606126448841589	0.918061258298177	0.569958614099544	0.893127750257658
PF02909.20	-1.63882488521526	-1.21722587858393	-1.86985728844895	0.81120227708976	4.0808429730828	-0.168607906272978	0.412529157782612	0.518978346132728	0.862780500435488	0.497739320738705	0.836192896799658
