FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b
PF01077.25	0.226873205117048	0.336755529698961	0.115754471106318	0.446168228016787	0.133845806014018	0.725810711130943	0.280458306810948	0.390884247511224	0.391317159414596	0.332765522527894	0.161656404684293	0.262911340206186
PF05974.15	0	0	0.00557203199424822	0	0	0	0.00302355187778485	0	0	0	0	0
PF13018.9	8.70246279697154e-05	0	0.000449357418890986	0	0	0	0	0.000170798360335741	0	0	0	6.5979381443299e-05
PF11162.11	0	0	0	0	0	0	0	0	0	0	0	0
PF02630.17	0	0	0.00826817650759414	0	0.00102768585698724	0	0	0	0	0	0.00139700936513686	0
PF13372.9	0	0	0.0030556304484587	0	0	0	0.000986632718014004	0	0	0	0	0
PF17091.8	0	0	0.00557203199424822	0	0	0	0	0	0	0	0	0
PF03721.17	0.234966495518232	0.211548772001871	0.352475959378089	0.205044055930147	0.132797566439891	0.173224904608828	0.250827498408657	0.212839156744095	0.165668074517893	0.143616387019845	0.0930649695589935	0.11620618556701
PF00984.22	0.237359672787399	0.211548772001871	0.352475959378089	0.205044055930147	0.134092450619695	0.173224904608828	0.250827498408657	0.212839156744095	0.165668074517893	0.143616387019845	0.0930649695589935	0.11620618556701
PF03720.18	0.124532242624663	0.156303115339425	0.344028039902939	0.152375837858265	0.12073253447886	0.160266275691871	0.221546785486951	0.173579933632637	0.131159349114363	0.0722425687760838	0.0650040530518618	0.0843546391752577
PF05394.14	0	0	0	0	0	0	0	0	0	0	0	0
PF02606.17	0.0543468801670873	0.0112133967580393	0.0760312752763548	0.00799570380094278	0.0346124596633301	0.000482647457904946	0.00566518141311267	0.00312317001756783	0.00356873915463445	0.0186014819862022	0.0263534606164088	0.0385649484536082
PF13567.9	0.0212340092246106	0.0128446436923217	0.024175429136335	0.0256379656701872	0.00273364437958605	0.0156632759923869	0.0270528325907066	0.0323296896349795	0.0304816160822447	0.0124861596116174	0.00224211379589866	0
PF03772.19	0.033939604908189	0.0178296430649191	0.0894221263593062	0.0295761481393082	0.0181283785172548	0.0156632759923869	0.0342457033736474	0.0405768104626196	0.0383393903676784	0.0138829741929989	0.0120556734102551	0.00727422680412371
PF16576.8	0.143460099208076	0.0832620375757161	0.971241125190977	0.230821250273485	0.446817256900911	0.0426368943002067	0.166295353278167	0.471501073589694	0.112562616638837	0.179626948300826	0.354116003518394	0.454185567010309
PF00529.23	0.0305456444173701	0.0319062774488667	0.0154578952098499	0.0274479384211468	0.0093313875814441	0.00603764650171659	0.00725652450668364	0.0432119851649424	0.0215433978325639	0.0522272378843369	0.0208171642434591	0.019859793814433
PF13442.9	0	0.000376441600219021	0.0278601599712411	0.00113371919565607	0.00406963599366946	0	0	0.00129318758539918	0.000818518154732672	0	0.0106759110743174	0.0192494845360825
PF03618.17	0.00165346793142459	0	0.00656061831580839	0.00288402251526543	0.00308305757096171	0.00122027847847666	0	0.00278157329689635	0.00307762826179485	0.00240183970700962	0	0.0064
PF05977.16	0.0224523540161866	0.0190160044716699	0.025523501393008	0.0393022654494103	0.0199165519084126	0.0179581280563878	0.00614258434118396	0.0102479016201444	0.014078512261402	0.00529767481475172	0.0121764026146496	0.0115134020618557
PF02254.21	0.452919676268384	0.711987953868793	0.473353105059765	0.355013226723949	0.268616529299324	0.538898653140396	0.507001909611712	0.342353113410111	0.417869888354124	0.373409419981262	0.311429606250323	0.324041237113402
PF13727.9	0.141719606648682	0.41970956960177	0.176058236721488	0.170555124609662	0.144163772018169	0.46099206818989	0.249140674729472	0.178240288893227	0.189175915921815	0.175862362660761	0.111364067539366	0.150927835051546
PF02719.18	0.182186058654599	0.247333538665115	0.158263682933405	0.175030331960936	0.0767886872340863	0.251650563240477	0.150541056651814	0.141665040015616	0.174835477850899	0.161400221446214	0.0902537037995205	0.11239587628866
