FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b
PF00665.29	1.22149154157732	0.2798053805221	12.348312094791	1.42170698236487	1.13242670434475	0.681921851565897	0.833795455269784	1.04490461988633	1.15007376101431	1.29077944527383	0.821378157805072	1.00931817391607
PF13333.9	0.147724565165594	0.126867287291622	6.38430583501006	0.233230239845974	0.404733309784528	0.141281293540286	0.202600631035472	0	0.367250109644751	0.390469081480317	0.148637905018415	0.245384374674038
PF00872.21	0.795234691446271	0.590581237679607	4.93594902749832	0.344735063392254	0.668491699046273	0.228863271300906	0.570768397233642	1.36205053176524	0.696303975120609	1.47171367957885	0.386140541592978	0.753016237265742
PF05524.16	0.938861091255659	1.61030526087898	0	0.666734940499355	0.379247615683504	1.7228153315052	0.543519138222265	1.34294637330482	1.0066584266975	2.15009428773474	0.349909950838025	1.16155557873509
PF00391.26	8.34648558494163	7.72597167306662	5.92264699306953	6.21553366241321	2.45902507947722	6.9066585021698	5.02109825668483	6.67942152945811	6.97866911207687	7.98725151253241	3.8263105803709	7.3237891589305
PF02896.21	8.34367405289493	7.83262497008922	5.63704448915717	6.21057698216005	2.45586365241964	6.87655635721449	5.131338241387	6.85237184176467	7.13755432399027	7.97067258584113	3.76494734963412	7.15206355829074
PF00977.24	0.26766738146295	0.259967411492576	0	0.374372734162178	0.383539385376192	0.316152392108836	0	0.309661808564515	0.186994138989673	0.0849964642099474	0.113559294533772	0.236257431939084
PF00180.23	0.327900881582082	0.642563325395107	0	0.321426376912521	0.175626986930413	0.454389748231765	0.347706919080855	0.712677958471667	0.392887045971054	0.612850632513554	0.257913779955543	0.784169535134383
PF00330.23	0.583512032404098	0.245325372318	0.335680751173709	0.386948774143334	0.388996820911339	0.503545344018175	0.4552060426427	0.354285071183389	0.984649734859057	0.350946806002986	0.391932893092986	0.331786099231598
PF01195.22	0	0	0.82472613458529	0	0	0.106227203748569	0.163144978806132	0	0	0	0	0
PF01751.25	0.892351679771265	0.584314217021228	2.05421417393248	0.423222661450546	0.814553161427058	0.483542326704117	0.684577875513911	1.88796353609814	0.619632391052988	1.25471438673686	0.749014326740545	1.05601335141337
PF01131.23	0.479342387419585	0.245883706885747	1.42689470154259	0.315343178420007	0.406817379018015	0.24078166183009	0.229594926219843	0.708626413820269	0.256768071448507	0.759409130195647	0.17281326562069	0.396196237961128
PF01396.22	0.120657612580415	0.120190061644694	0	0.0693935235442312	0.200812433768986	0.239468242769539	0.225802339293113	0.499465421191829	0.184681631513895	0.344130588512611	0	0.0867841869197872
PF13495.9	0	0.24750173767391	0.436619718309859	0	0.0997174143412222	0.13984363213617	0	0.062855213550166	0.300147522028627	0.0471635106466567	0.0540294971849496	0
PF00589.25	7.32871098403622	5.956620822461	8.83109769729488	8.30745755074453	2.40877781702579	4.26206260039225	3.26548108487108	4.63972201901975	10.0145927195885	4.36438280820303	2.44177632112667	1.78670769444734
PF07690.19	0.991898975458661	0.393944918585704	3.86194947462553	0.637588841324785	0.544171670787708	0.376418803191253	0.527201453293814	0.70814810646559	1.11550576133328	0.556081558890548	0.638148394528905	0.719046625638886
PF00664.26	0.708839647367167	0.745501988354736	2.35200089425442	0.550416811748561	0.343942069939951	0.755712929190739	0.478120916594958	0.756119520567216	0.603524580359635	0.709436630784945	0.267048496746873	0.52785021383123
PF04079.19	0.222444603288063	0.0729367258805164	0.82472613458529	0.235176044077586	0	0	0	0.292217657982106	0	0.116445352400409	0.101114662599581	0.11173116372866
PF12850.10	0	0.21981290094689	0	0.292095938389693	0.162557400211939	0.127481518951395	0.411894062529879	0.431967812728603	0.399027152027431	0.353225426259134	0.087436925023932	0.329282709224297
PF14691.9	1.20576602335001	0.305898975626987	0.922870556673374	1.03375458288102	0.534528435181915	0.585500918505897	0.779838735379418	1.32550222272241	0.828077030421435	0.532686414708887	0.443382603475411	0.833576718472932
PF07992.17	9.35101262806767	2.76629710235754	7.76123407109323	6.28550068615202	2.92719886965736	3.16639599584676	4.9610224049463	6.98269652805132	7.56010525896097	4.33242319478274	3.33353885094024	3.29649525398978
PF00310.24	0	0.00914985016123335	0.455846188240555	0.0318292607992135	0.0336100317908866	0.0165331061473337	0.0217675367307263	0.0869112599178437	0	0.0612477410230219	0.0407249363165836	0
PF04898.17	0	0.00914985016123335	0.208025933378046	0.0318292607992135	0	0	0.0217675367307263	0.0673287941027517	0	0	0.0119416546330699	0
PF01645.20	0	0.305967343125078	0.208025933378046	0.180263400446511	0	0.243035772920494	0.0217675367307263	0.0673287941027517	0	0	0.0119416546330699	0
PF01493.22	0	0.124668132769681	0.208025933378046	0.0318292607992135	0	0.0863129309656292	0.0217675367307263	0.0673287941027517	0	0.093168067887169	0.0119416546330699	0
PF00282.22	0	0.0621688449311198	0	0	0	0.0348322284639209	0	0	0	0	0	0
PF13508.10	0	0.16491379997949	0.856472166331321	0.163980091350388	0.104256446485341	0.209410470079781	0.261306052203844	0.206994541669011	0	0.0517796809931641	0	0.225635409060881
