sample_name	organ	diet	schedule	genotype	condition	zt	replicate	condition_zt	timepoint	phase	cond_phase	fasted	cond_fasted
cNA5c	cecum	NCD	ad_lib	C57Bl6	NA	5	c	NA_05	5	light	NA_light	fasted	NA_fasted
cNA6a	cecum	NCD	ad_lib	C57Bl6	NA	9	a	NA_09	6	light	NA_light	fasted	NA_fasted
cNA6b	cecum	NCD	ad_lib	C57Bl6	NA	9	b	NA_09	6	light	NA_light	fasted	NA_fasted
cNA6c	cecum	NCD	ad_lib	C57Bl6	NA	9	c	NA_09	6	light	NA_light	fasted	NA_fasted
cNT1a	cecum	NCD	TRF	C57Bl6	NT	13	a	NT_13	1	dark	NT_dark	fasted	NT_fasted
cNT1b	cecum	NCD	TRF	C57Bl6	NT	13	b	NT_13	1	dark	NT_dark	fasted	NT_fasted
cNT1c	cecum	NCD	TRF	C57Bl6	NT	13	c	NT_13	1	dark	NT_dark	fasted	NT_fasted
cNT2a	cecum	NCD	TRF	C57Bl6	NT	17	a	NT_17	2	dark	NT_dark	fed	NT_fed
cNT2b	cecum	NCD	TRF	C57Bl6	NT	17	b	NT_17	2	dark	NT_dark	fed	NT_fed
cNT2c	cecum	NCD	TRF	C57Bl6	NT	17	c	NT_17	2	dark	NT_dark	fed	NT_fed
cNT3a	cecum	NCD	TRF	C57Bl6	NT	21	a	NT_21	3	dark	NT_dark	fed	NT_fed
cNT3b	cecum	NCD	TRF	C57Bl6	NT	21	b	NT_21	3	dark	NT_dark	fed	NT_fed
cNT3c	cecum	NCD	TRF	C57Bl6	NT	21	c	NT_21	3	dark	NT_dark	fed	NT_fed
cNT4a	cecum	NCD	TRF	C57Bl6	NT	1	a	NT_01	4	light	NT_light	fed	NT_fed
cNT4b	cecum	NCD	TRF	C57Bl6	NT	1	b	NT_01	4	light	NT_light	fed	NT_fed
cNT4c	cecum	NCD	TRF	C57Bl6	NT	1	c	NT_01	4	light	NT_light	fed	NT_fed
cNT5a	cecum	NCD	TRF	C57Bl6	NT	5	a	NT_05	5	light	NT_light	fasted	NT_fasted
cNT5b	cecum	NCD	TRF	C57Bl6	NT	5	b	NT_05	5	light	NT_light	fasted	NT_fasted
cNT5c	cecum	NCD	TRF	C57Bl6	NT	5	c	NT_05	5	light	NT_light	fasted	NT_fasted
cNT6a	cecum	NCD	TRF	C57Bl6	NT	9	a	NT_09	6	light	NT_light	fasted	NT_fasted
cNT6b	cecum	NCD	TRF	C57Bl6	NT	9	b	NT_09	6	light	NT_light	fasted	NT_fasted
cNT6c	cecum	NCD	TRF	C57Bl6	NT	9	c	NT_09	6	light	NT_light	fasted	NT_fasted
iCA1a	ileum	NCD	ad_lib	CDKO	CA	1	a	CA_01	1	light	CA_light	fed	CA_fed
iCA1b	ileum	NCD	ad_lib	CDKO	CA	1	b	CA_01	1	light	CA_light	fed	CA_fed
