sample_name	organ	diet	schedule	genotype	condition	zt	replicate	condition_zt	timepoint
iNT3b	ileum	NCD	TRF	C57Bl6	NT	21	b	NT_21	3
iNT3c	ileum	NCD	TRF	C57Bl6	NT	21	c	NT_21	3
iNT4a	ileum	NCD	TRF	C57Bl6	NT	1	a	NT_01	4
iNT4b	ileum	NCD	TRF	C57Bl6	NT	1	b	NT_01	4
iNT4c	ileum	NCD	TRF	C57Bl6	NT	1	c	NT_01	4
iNT5a	ileum	NCD	TRF	C57Bl6	NT	5	a	NT_05	5
iNT5b	ileum	NCD	TRF	C57Bl6	NT	5	b	NT_05	5
iNT5c	ileum	NCD	TRF	C57Bl6	NT	5	c	NT_05	5
iNT6a	ileum	NCD	TRF	C57Bl6	NT	9	a	NT_09	6
iNT6b	ileum	NCD	TRF	C57Bl6	NT	9	b	NT_09	6
iNT6c	ileum	NCD	TRF	C57Bl6	NT	9	c	NT_09	6
