CHROMATOGRAM,
p6_b9_gudca_dny_bsh2_48h.raw,
Data points: 2443,
Time,Intensity
8.5301073,0
8.5371905,0
8.5452279,0
8.564409,0
8.5813569,0
8.6005296,0
8.6085858,0
8.6278315,0
8.6359398,0
8.6540688,0
8.6732958,0
8.6952581,0
8.7145163,0
8.7337495,0
8.7530702,0
8.7750721,0
8.7943199,49841.19531
8.8136677,0
8.8327468,530520.4375
8.8521258,441611.8438
8.8742465,882368.75
8.8935755,411541.4375
8.912942,61189.81641
8.932394,0
8.954425,0
8.9737291,0
8.9931269,0
9.0123143,0
9.0342912,0
9.0475015,0
9.0587389,0
9.0699368,0
9.0859325,0
9.1057886,0
9.1227718,0
9.1409946,1092117.625
9.1558841,2940041.5
9.169959,1614017.375
9.1820547,690565
9.1928213,0
9.2034504,0
9.2134066,0
9.2299898,0
9.2476772,0
9.2647812,0
9.2852707,0
9.2961497,0
9.3058538,0
9.323987,0
9.3432911,0
9.3652722,0
9.382197,0
9.3967824,0
9.4159156,0
9.4355509,22547.87305
9.4580257,0
9.4778026,0
9.4976671,0
9.5023733,0
9.5140107,0
9.5177294,0
9.5208273,0
9.5255169,0
9.5301731,0
9.5334793,0
9.5366043,0
9.5399334,0
9.5433189,0
9.5464646,0
9.5580375,0
9.5801665,0
9.5836061,0
9.586956,0
9.5978101,0
9.601383,0
9.6046142,0
9.6126892,0
9.6161454,0
9.6195183,0
9.6225933,0
9.6249162,0
9.6272391,0
9.6295641,0
9.631887,0
9.6366098,0
9.6413202,0
9.6460431,0
9.6507493,0
9.6554555,0
9.6601826,0
9.6649055,0
9.6687138,0
9.67207,0
9.6761325,0
9.6810137,0
9.6860199,0
9.689749,0
9.6931886,0
9.6955115,0
9.7003615,0
9.7042615,0
9.7074031,0
9.7097281,0
9.712051,0
9.7143739,0
9.7166988,0
9.7190218,0
9.7213447,0
9.7236697,0
9.7259926,0
9.7283175,0
9.7306404,0
9.7329633,0
9.7352883,0
9.7376112,0
9.7399341,0
9.7422591,0
9.744582,0
9.746907,0
9.7492299,0
9.7515528,0
9.7538778,0
9.7562007,0
9.7640714,0
9.7683193,0
9.7715672,0
9.7738901,0
9.7762151,0
9.778538,0
9.7808609,0
9.7831859,0
9.7855088,0
9.7878317,0
9.7901567,0
9.7924796,0
9.7948046,0
9.7971275,0
9.7994504,0
9.8017753,0
9.8072628,0
9.8114274,0
9.8167482,0
9.8207856,0
9.8242606,0
9.8296752,0
9.8338064,0
9.837273,0
9.8419856,0
9.8443084,0
9.8466313,0
9.8520562,0
9.8576438,0
9.8616999,0
9.8640228,0
9.8663478,0
9.8686707,0
9.8709936,0
9.8733186,0
9.8756415,0
9.8779665,0
9.8802894,0
9.8826123,0
9.8849373,0
9.8872602,0
9.8895831,0
9.891908,0
9.8942309,0
9.8965559,0
9.8988788,0
9.9012017,0
9.9035267,0
9.9058496,0
9.9081725,0
9.9104975,0
9.9128204,0
9.9151454,0
9.9174683,0
9.9197912,0
9.9221162,0
9.9244391,0
9.926762,0
9.929087,0
9.9314099,0
9.9337348,0
9.9360577,0
9.9383806,0
9.9407056,0
9.9430285,0
9.9453514,0
9.9476764,0
9.9499993,0
9.9523243,0
9.9546472,0
9.9569701,0
9.9592951,0
9.961618,0
9.9639409,0
9.9662659,0
9.9685888,0
9.9709137,0
9.9732366,0
9.9755595,0
9.9778845,0
9.9802074,0
9.9825303,0
9.9848553,0
9.9871782,0
9.9895032,0
9.9918261,0
9.994149,0
9.996474,0
9.9987969,0
10.00112,0
10.003445,0
10.005768,0
10.010563,0
10.012886,0
10.015211,0
10.017534,0
10.019857,0
