CHROMATOGRAM,
p6_h9_gudca_ctrl_48h.raw,
Data points: 3109,
Time,Intensity
5.5536532,0
5.5559762,0
5.5583011,0
5.560624,0
5.562949,0
5.5652719,0
5.5675948,0
5.5699198,0
5.5722427,0
5.5745656,0
5.5768906,0
5.5792135,0
5.5815384,0
5.5871238,0
5.5911509,0
5.5959322,0
5.598255,0
5.6005779,0
5.6029029,0
5.6052258,0
5.6075487,0
5.6098737,0
5.6121966,0
5.6145216,0
5.6168445,0
5.6191673,0
5.6214923,0
5.6238152,0
5.6288548,0
5.6329048,0
5.6361673,0
5.6384901,0
5.6408151,0
5.643138,0
5.645463,0
5.6477859,0
5.6501088,0
5.6524338,0
5.6547567,0
5.6570796,0
5.6594046,0
5.6617275,0
5.6640525,0
5.6663754,0
5.6714482,0
5.6792836,0
5.6833565,0
5.6882189,0
5.6920106,0
5.695396,0
5.6977189,0
5.7000418,0
5.7023668,0
5.7046897,0
5.7070147,0
5.7093376,0
5.7116605,0
5.7139855,0
5.7163084,0
5.7186312,0
5.7269812,0
5.7305603,0
5.7339145,0
5.7371978,0
5.7405331,0
5.7436852,0
5.7460102,0
5.7483331,0
5.750656,0
5.752981,0
5.7553039,0
5.7591414,0
5.7614664,0
5.7637893,0
5.7661142,0
5.7684371,0
5.77076,0
5.773085,0
5.7754079,0
5.7801246,0
5.7838308,0
5.7870016,0
5.7893245,0
5.7916474,0
5.7964911,0
5.8011307,0
5.8082306,0
5.8153181,0
5.829518,0
5.8366741,0
5.8449866,0
5.8486824,0
5.8517594,0
5.856399,0
5.8598198,0
5.8631865,0
5.8663511,0
5.8696823,0
5.8728594,0
5.8751822,0
5.8775051,0
5.8798301,0
5.8845176,0
5.8878655,0
5.8912592,0
5.8944196,0
5.8967425,0
5.8990675,0
5.9013904,0
5.9037133,0
5.9060382,0
5.9083612,0
5.910684,0
5.913009,0
5.9153319,0
5.9176569,0
5.9199798,0
5.9223027,0
5.9297256,0
5.933386,0
5.9366714,0
5.9389963,0
5.9413193,0
5.9436442,0
5.9459671,0
5.9507671,0
5.9546004,0
5.9578504,0
5.9601733,0
5.9624983,0
5.9648212,0
5.9671441,0
5.9722274,0
5.9764732,0
5.979719,0
5.9820419,0
5.9843669,0
5.9866898,0
5.9890127,0
5.9913377,0
