CHROMATOGRAM,
p6_e9_gudca_ep_bsh101_48h.raw,
Data points: 2447,
Time,Intensity
0.50572475,0
0.52337877,0
0.53807452,0
0.55347232,0
0.57247427,0
0.59155122,0
0.61064692,0
0.62507182,0
0.6378009,0
0.65400497,0
0.66722569,0
0.68636305,0
0.7072379,0
0.7203878,0
0.73541688,0
0.75098553,0
0.76784998,0
0.78858107,0
0.80700387,0
0.8260058,0
0.84435152,0
0.86585345,0
0.88499915,0
0.90308652,0
0.92241765,0
0.94249248,0
0.96109235,0
0.97659642,0
0.9944442,0
1.0136503,0
1.0322814,0
1.0493001,0
1.0684604,0
1.0875456,0
1.1087663,0
1.1268099,0
1.1459182,0
1.1639951,0
1.1831346,0
1.2050177,0
1.2238572,0
1.2431466,0
1.2625111,0
1.2844505,0
1.302692,0
1.3220086,0
1.3411939,0
1.36315,0
1.3820998,0
1.4012726,0
1.4200204,0
1.4392348,0
1.4585493,0
1.4776262,0
1.4968094,0
1.5160947,0
1.5364883,0
1.5551465,0
1.5703443,0
1.5841651,0
1.5954879,0
1.6092607,0
1.6256002,0
1.6365668,0
1.6477605,0
1.6626,0
1.6732394,0
1.6843227,0
1.6957893,0
1.7055205,0
1.7162704,0
1.7323682,0
1.7426119,0
1.7558889,0
1.7704471,0
1.7812908,0
1.792249,0
1.8045323,0
1.8198634,0
1.8348258,0
1.8486299,0
1.8625443,0
1.8742984,0
1.88839,0
1.8999816,0
1.9143065,0
1.9271897,0
1.9431063,0
1.9570624,0
1.9685665,0
1.9835289,0
1.998483,0
2.0166245,0
2.0302348,0
2.0402265,0
2.0574117,0
2.0704304,0
2.0827449,0
2.1000844,0
2.117505,0
2.1324487,0
2.1475819,0
2.1639193,0
2.1798046,0
2.1953649,0
2.2120836,0
2.2262001,0
2.2425854,0
2.2571249,0
2.2750623,0
2.2945413,0
2.3138641,0
2.3305536,0
2.3486389,0
2.3695741,0
2.3842032,0
2.3979739,0
2.4140988,0
2.4322216,0
2.4521194,0
2.4693567,0
2.4889316,0
2.5058961,0
2.5255501,0
2.5430729,0
2.5607374,0
2.580281,0
2.5983787,0
2.6170432,0
2.6324535,0
2.6474076,0
2.6658845,0
2.6854302,0
2.7061467,0
2.7258195,0
2.745634,0
2.7652255,0
2.7864378,0
2.8057252,0
2.8253855,0
2.8448333,0
2.8644789,0
2.8837226,0
2.9032037,0
2.9230515,0
2.9455971,0
2.9642637,0
2.9841073,0
3.0041113,0
3.0238174,0
3.028534,0
3.0367048,0
3.0527964,0
3.068915,0
3.0848274,0
3.1030752,0
3.1210042,0
3.1328063,0
3.1399499,0
3.1445937,0
3.1551498,0
3.1622936,0
3.1763372,0
3.1871788,0
3.1988683,0
3.2021453,0
3.2052599,0
3.2123807,0
3.2170202,0
3.2354618,0
3.2548845,0
3.2658616,0
3.2852302,0
3.3046905,0
3.324434,0
3.3439839,0
3.3615671,0
3.373015,0
3.3895627,0
3.4090647,0
3.4286479,0
3.4510915,0
3.4707518,0
3.4900225,0
3.508614,0
3.5309534,0
3.5503366,0
3.5697677,0
3.5893676,0
3.6115862,0
3.6313298,0
3.639511,0
3.6590984,0
3.6785524,0
3.7007251,0
3.7202687,0
3.7403853,0
3.7486248,0
3.7603101,0
3.7719184,0
3.7835642,0
3.8054577,0
3.8136285,0
3.8218326,0
3.8253847,0
3.8284972,0
3.8366346,0
3.8437471,0
3.851222,0
3.8652594,0
3.8792906,0
3.8897592,0
3.9037925,0
3.9108112,0
3.9303923,0
3.9338673,0
3.953565,0
3.9617546,0
3.968917,0
3.9721274,0
3.9826586,0
3.9859106,0
3.9889961,0
3.9960668,0
4.0065834,0
4.0173958,0
4.0279082,0
4.0477852,0
4.0511185,0
4.0558748,0
4.0592206,0
4.0626393,0
4.0659788,0
4.069333,0
4.0727413,0
4.0750642,0
4.0773871,0
4.0797121,0
4.082035,0
4.08706,0
4.0909995,0
4.0944099,0
4.0967328,0
4.0990557,0
4.1013807,0
