CHROMATOGRAM,
IM5.raw,
Data points: 2986,
Time,Intensity
6.0731368,0
6.0754597,0
6.0777826,0
6.0801076,0
6.0824305,0
6.0847534,0
6.0870783,0
6.0894012,0
6.0942096,0
6.0965324,0
6.1020262,0
6.1062511,0
6.1150886,0
6.1190385,0
6.1243468,0
6.1283885,0
6.131653,0
6.1339759,0
6.1363009,0
6.1386238,0
6.1409467,0
6.1432717,0
6.1455946,0
6.1479175,0
6.1502425,0
6.1525654,0
6.1548904,0
6.1572133,0
6.1595362,0
6.1618611,0
6.1641841,0
6.166507,0
6.1688319,0
6.1711548,0
6.1755944,0
6.1779173,0
6.1802402,0
6.1825652,0
6.1848881,0
6.187211,0
6.189536,0
6.1918589,0
6.1941838,0
6.1965068,0
6.1988296,0
6.2011546,0
6.2034775,0
6.2058004,0
6.2081254,0
6.2104483,0
6.2127733,0
6.2150962,0
6.2174191,0
6.2224878,0
6.226542,0
6.229642,0
6.2319648,0
6.2342878,0
6.2366127,0
6.2414752,0
6.2450418,0
6.2483251,0
6.2564792,0
6.2602751,0
6.2631896,0
6.2713604,0
6.2748895,0
6.279527,0
6.2842499,0
6.2912977,0
6.2960415,0
6.2994769,0
6.3028477,0
6.3061685,0
6.3084914,0
6.3131955,0
6.3168392,0
6.3201038,0
6.3224267,0
6.3271475,0
6.3341766,0
6.3379912,0
6.3411912,0
6.3435141,0
6.345839,0
6.3481619,0
6.3504848,0
6.3528098,0
6.3551327,0
6.3574577,0
6.3597806,0
6.3621035,0
6.3672347,0
6.371568,0
6.374793,0
6.377118,0
6.3794409,0
6.3817638,0
6.3840888,0
6.3864116,0
6.3919075,0
6.3960304,0
6.3983553,0
6.4006782,0
6.4030115,0
6.4053345,0
6.4076594,0
6.4099824,0
6.4123052,0
6.4146302,0
6.4169531,0
6.419276,0
6.421601,0
6.4264385,0
6.4287614,0
6.4310864,0
6.4334093,0
6.4357321,0
6.4380571,0
6.4403946,0
6.4427175,0
6.4450425,0
6.4505383,0
6.454607,0
6.4569299,0
6.4592549,0
6.4615966,0
6.4639195,0
6.4662444,0
6.4685674,0
6.4708902,0
6.4732152,0
6.4788152,0
6.4829964,0
6.4853214,0
6.4876443,0
6.496138,0
6.5008359,0
6.5113379,0
6.5256607,0
6.5472668,0
6.5588479,0
6.5784561,0
6.5942977,0
6.5975894,0
6.6005101,0
6.6121809,0
6.6226141,0
6.6272537,0
6.6304037,0
6.6374411,0
6.6405328,0
