filename	sample_name	ENB	mouseid	plate	well	collection_time	Phase	stool_wgt_mg
CA_aminoacids.mzML Peak area								
CA_CDCA_aminovalerate.mzML Peak area								
CA_CDCA_polyamines.mzML Peak area								
CA_DCA_LCA_aminoacids.mzML Peak area								
CA_std.mzML Peak area								
CDCA_aminoacids.mzML Peak area								
CDCA_std.mzML Peak area								
column_wash.mzML Peak area								
DCA_aminoacids_2.mzML Peak area								
DCA_aminoacids.mzML Peak area								
DCA_std.mzML Peak area								
GCA_std.mzML Peak area								
GCDCA_std.mzML Peak area								
GDCA_std.mzML Peak area								
GLCA_std.mzML Peak area								
GUDCA_std.mzML Peak area								
LCA_std.mzML Peak area								
P1_A12_Plate_blank1.mzML Peak area				P1	A12			
P1_B12_Plate_blank2.mzML Peak area				P1	B12			
P1_C12_Plate_blank3.mzML Peak area				P1	C12			
P1_D12_Plate_blank4.mzML Peak area				P1	D12			
P1_E12_Plate_blank5.mzML Peak area				P1	E12			
P1_F12_Plate_blank6.mzML Peak area				P1	F12			
P1_G12_Plate_blank7.mzML Peak area				P1	G12			
P1_H12_Plate_blank8.mzML Peak area				P1	H12			
TCA_std.mzML Peak area								
TCDCA_std.mzML Peak area								
TDCA_std.mzML Peak area								
Testmix_1.mzML Peak area								
Testmix_2.mzML Peak area								
Testmix_3.mzML Peak area								
Testmix_4.mzML Peak area								
TLCA_std.mzML Peak area								
TUDCA_std.mzML Peak area								
UDCA_aminoacids.mzML Peak area								
UDCA_std.mzML Peak area								
