FeatureID	Compound_Name	Intercept_pval	ENB_pval	Phase_pval	ENB_Phase_pval	light_AZ51vAZ52	light_AZ51vDnBSH1	light_AZ51vLgBSH	light_AZ52vDnBSH1	light_AZ52vLgBSH	light_DnBSH1vLgBSH	dark_AZ51vAZ52	dark_AZ51vDnBSH1	dark_AZ51vLgBSH	dark_AZ52vDnBSH1	dark_AZ52vLgBSH	dark_DnBSH1vLgBSH	light_AZ51vAZ52_pval	light_AZ51vDnBSH1_pval	light_AZ51vLgBSH_pval	light_AZ52vDnBSH1_pval	light_AZ52vLgBSH_pval	light_DnBSH1vLgBSH_pval	dark_AZ51vAZ52_pval	dark_AZ51vDnBSH1_pval	dark_AZ51vLgBSH_pval	dark_AZ52vDnBSH1_pval	dark_AZ52vLgBSH_pval	dark_DnBSH1vLgBSH_pval
32626	Candidate Pentahydroxylated bile acid (delta mass -18.995; sirius atomic difference: -1H, 1N, -2O; buddy atomic difference: -1H, 1N, -2O)""	0	0.345788924976358	2.141487144669e-05	0.902476982143623	-0.259265906524011	0.258674243530675	0.173884020364873	0.517940150054687	0.433149926888884	-0.0847902231658024	0.0789813839733227	0.402698423599424	0.38200786895428	0.323717039626101	0.303026484980957	-0.0206905546451439	0.884895626155372	0.885575866939923	0.961094600525441	0.473929374448444	0.619924967493893	0.995148569456551	0.996066988960765	0.672468462468352	0.707409799227753	0.799631548315356	0.829259234965385	0.999927964961804
34184	Candidate Tetrahydroxylated bile acid (delta mass -0.9813; buddy atomic difference: 1C, -3H, 5N, -5O)""	0	0.266615518974073	0.00191752719666494	0.123893965786032	0.328701775132348	0.0495895685320878	0.190320682275518	-0.27911220660026	-0.13838109285683	0.140731113743431	0.361963275888963	0.487765901831186	0.835568624973961	0.125802625942223	0.473605349084997	0.347802723142775	0.697046775884886	0.998382036556586	0.921086124309961	0.790820442286117	0.967340931047773	0.965746979752544	0.629775516562345	0.380880976565315	0.0414637351938618	0.975101919390866	0.406742404699818	0.658667218379229
33159	Candidate Tetrahydroxylated bile acid (delta mass -0.9839; buddy atomic difference: 1H, 1N, -1O)""	0	0.666260164988644	0.871682657062795	0.994354130205415	-0.0314890012098678	0.166521802652916	0.152474970935308	0.198010803862784	0.183963972145175	-0.0140468317176083	-0.0545282208928506	0.181542201848543	0.228712301484232	0.236070422741394	0.283240522377083	0.0471700996356891	0.999570792314815	0.943694935139764	0.955910895050766	0.909969857537136	0.926094607506409	0.999961761626742	0.997791305147485	0.928699463801751	0.868876911974197	0.857896824325225	0.778492162543695	0.99856533402922
33065	Candidate Trihydroxylated bile acid (delta mass 17.0055; sirius atomic difference: 3C, -1H, 1N, -2O; buddy atomic difference: 3C, -1H, 1N, -2O)""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37397	Ala-HDCA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
37984	Ala-DCA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
33403	Ala-HDCA	4.33602016673973e-05	0.452106691035119	0.000100805473888244	0.389418627632329	0.0462288414162298	0.227953068596496	0.12203506159436	0.181724227180266	0.0758062201781297	-0.105918007002137	-0.0658357071801188	0.120067088873016	0.447214483422984	0.185902796053134	0.513050190603103	0.327147394549969	0.997885180541294	0.810941571965715	0.963999271266621	0.893223861148195	0.990878958738998	0.975934689283984	0.993973500087744	0.965614597493069	0.31729329456321	0.886705290662881	0.207217326438785	0.584537902593536
32471	Candidate Trihydroxylated bile acid (delta mass 21.0007; sirius atomic difference: 2C, -1H, 1N, -1O; buddy atomic difference: 2C, -1H, 1N, -1O; spectral library match to CCMSLIB00005435515, glycocholic acid)""	0.00834379955946496	0.867293769258752	0.908516961377883	0.872873636130043	-0.110785421102636	0.0913811091740133	0.0100807682161127	0.202166530276649	0.120866189318749	-0.0813003409579006	-0.0352160329436826	0.317755539189312	0.197704629948899	0.352971572132995	0.232920662892581	-0.120050909240413	0.991293022132074	0.99506010415007	0.999993213900971	0.951077883010622	0.988766220697833	0.996504344258963	0.999711611576503	0.837991882840479	0.954024146590928	0.790982645337812	0.927834234840928	0.988986033278367
35151	Candidate Dihydroxylated bile acid (delta mass 37.0162; sirius atomic difference: -1C, 3H, 1N, 2O; buddy atomic difference: -1C, 3H, 1N, 2O)""	0	0.557755029232409	0.000449187761559666	0.292420000213499	0.533175291984645	0.375781385267171	0.433687930978118	-0.157393906717474	-0.0994873610065273	0.0579065457109467	0.220905169349815	-0.0207058643031363	0.109392307808047	-0.241611033652951	-0.111512861541768	0.130098172111183	0.277212055681621	0.576120783278137	0.455695600322275	0.948724436146024	0.986119675642373	0.997176857185141	0.872911600638777	0.999869118082488	0.981726269902932	0.840654591855039	0.980685395393567	0.969967511887896
42247	Candidate Monohydroxylated bile acid (delta mass 53.0269; sirius atomic difference: 3C, 3H, 1N; buddy atomic difference: 3C, 3H, 1N)""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
32444	Candidate Dihydroxylated bile acid (delta mass 39.0108; sirius atomic difference: 2C, 1H, 1N; buddy atomic difference: 2C, 1H, 1N; spectral library match to CCMSLIB00003137703, Spectral Match to Glycoursodeoxycholic acid from NIST14)""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
