FeatureID	Name	GO_Term	comparison	phase	datatype	diffexpr	rab.all	rab.win.A	rab.win.B	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF10584.12	Proteasome subunit A N-terminal signature	ubiquitin-dependent protein catabolic process	FTvNA	Light	metaT	none	-3.84935730882668	-3.68302991706359	-4.0077472975527	0.107958933390398	4.4218822891761	-0.0180107090650545	0.492338441322757	0.542598521042276	0.710237955646331	0.607715884115884	0.750204704045588
PF01624.23	MutS domain I	mismatch repair	FTvNA	Dark	metaG	none	5.31639465114852	5.38254403172476	5.14803732333555	0.494192029989407	1.3243738310447	-0.368632386892162	0.385742842566878	0.205739120973515	0.55189705440212	0.501588011988012	0.750212579706602
PF11706.11	CGNR zinc finger	NA	FTvNA	Light	metaT	none	-2.87520548271877	-2.95336510829041	-2.81331880979106	0.132672245133682	4.32987910419308	-0.0227750530363104	0.488000000444701	0.560864204661487	0.721792943982377	0.606356443556443	0.750226679912002
PF02700.17	Phosphoribosylformylglycinamidine (FGAM) synthase	NA	FTvNA	Dark	metaT	none	-3.15755102695145	-3.01827852597515	-3.23188703719678	0.301260856666266	3.74761354168139	-0.0665871500749071	0.462666668057134	0.542146734177172	0.711653977374422	0.589882917082917	0.750266367727428
PF01472.23	PUA domain	NA	FTvNA	Light	metaG	none	-2.36767132402565	-2.52027569505424	-2.24518661825144	-0.394635286282043	4.74735998280677	0.073170196347637	0.469333334473424	0.512168505910402	0.731362657019925	0.559749050949051	0.750272884400089
PF01206.20	Sulfurtransferase TusA	NA	FTvNA	Dark	metaG	none	-1.74366440680843	-2.0104125595381	-1.49006305143786	-0.530659377570589	4.40634261056827	0.106311005149861	0.444370421803586	0.515138545295472	0.755203704417543	0.553381818181818	0.750285537151667
PF01715.20	IPP transferase	NA	FAvFT	Dark	metaT	none	3.53755673571387	3.62692887256591	3.39687511939	-0.190457060837064	0.523443315817744	-0.360999430269414	0.358427720549594	0.396105324837444	0.678033439146919	0.484645021645022	0.750353774128225
PF13726.9	Na+-H+ antiporter family	NA	FTvNA	Dark	metaG	none	-2.32211151429541	-2.09711587280568	-2.45167684920889	0.451160559593511	4.51846200256993	-0.0817423782732501	0.452365091718084	0.508119526914273	0.745760035483827	0.559570829170829	0.750366887362603
PF06970.14	Replication initiator protein A (RepA) N-terminus	NA	FTvNA	Dark	metaG	none	4.98515984893014	4.72722923746633	5.09099552797608	-0.337003263613523	1.29098364276512	0.238812684255808	0.378414395186208	0.687354185686831	0.867405238611045	0.523225974025974	0.750374123432204
PF18008.4	Replication initiator protein A C-terminal domain	NA	FTvNA	Light	metaG	none	-1.89597301448129	-1.74602539921858	-2.04755595112886	0.273544664063836	4.38855587241636	-0.0513180525047583	0.464357096594903	0.505329940830586	0.722932345157934	0.558740459540459	0.75037422515906
PF18393.4	MotY N-terminal domain	NA	FAvFT	Dark	metaT	none	-5.28954515328569	-4.94828375398691	-5.68394776022237	-0.651619606094616	4.27763301845091	-0.129429936544134	0.430666669284912	0.485110645947697	0.714936413093083	0.535675324675325	0.750377383526531
PF00106.28	short chain dehydrogenase	NA	FTvNA	Dark	metaG	none	3.30892788608079	3.09571638353252	3.47700762474264	-0.347531787787806	1.38753380149569	0.20120458789461	0.394000004110675	0.60540506349489	0.818854067821396	0.53099020979021	0.750399199164738
PF05215.16	Spiralin domain	NA	FTvNA	Light	metaT	none	-3.73471407218944	-3.65815109880102	-3.7937005527542	-0.261745970270715	5.08088787799548	0.0555954491488831	0.479013991450479	0.548475954384707	0.714633224049933	0.606745654345654	0.750407654946544
PF11860.11	N-acetylmuramidase	NA	FAvNA	Light	metaT	none	2.94291434373426	3.2822842678769	2.79256344154315	0.458453019555563	1.75688737671183	-0.257109387060628	0.392666670834013	0.437823227072697	0.672253317769966	0.555665934065934	0.75041484087904
PF11860.11	N-acetylmuramidase	NA	FAvNA	Dark	metaT	none	2.94291434373426	3.2822842678769	2.79256344154315	0.458453019555563	1.75688737671183	-0.257109387060628	0.392666670834013	0.437823227072697	0.672253317769966	0.555665934065934	0.75041484087904
PF08433.13	Chromatin associated protein KTI12	NA	FTvNA	Light	metaG	none	-2.33672186061294	-2.60420681992441	-2.11309800924657	-0.401802675231794	4.58052709942798	0.0768181924962549	0.4633333346987	0.515774835262858	0.729823410848415	0.559300699300699	0.750433108779136
PF04687.15	Microvirus H protein (pilot protein)	viral entry into host cell	FAvFT	Dark	metaT	none	-5.33459411783061	-5.68828089156843	-4.97537361646254	0.815353754210063	4.39448420626589	0.151071213167431	0.42038641208195	0.503373896978423	0.722806945832251	0.53734632034632	0.750442726898761
PF05036.16	SPOR domain	NA	FTvNA	Light	metaG	none	-1.49497727915893	-0.98317529101649	-1.83726395474641	0.706140692210263	4.31622394615042	-0.143481563996543	0.431712194445903	0.514011125530961	0.725431587209127	0.562506693306693	0.750460884717798
PF18494.4	Pullulanase Ins domain	NA	FAvNA	Light	metaT	none	-3.82031077602153	-3.74718613269374	-3.84590727938843	-0.0175310275441927	4.37297995066725	0.00254091055819086	0.499333333358025	0.539026815281303	0.716096728236826	0.593854545454545	0.750465135751927
PF18494.4	Pullulanase Ins domain	NA	FAvNA	Dark	metaT	none	-3.82031077602153	-3.74718613269374	-3.84590727938843	-0.0175310275441927	4.37297995066725	0.00254091055819086	0.499333333358025	0.539026815281303	0.716096728236826	0.593854545454545	0.750465135751927
PF10162.12	G8 domain	NA	FAvFT	Dark	metaT	none	-5.29812586608692	-5.71735317298928	-4.91058747641426	0.817863873235734	4.20595018714739	0.157393075362777	0.418666669760886	0.498054204475428	0.720667771693081	0.538212121212121	0.750467198637142
PF13662.9	Toprim domain	NA	FTvNA	Dark	metaG	none	0.867411487473708	1.16559351504511	0.653905712784447	0.499301591935396	2.49544458471783	-0.146528573550475	0.407061962254786	0.539106949920566	0.768462109029343	0.547480519480519	0.750470832613743
PF14504.9	CAP-associated N-terminal	NA	FTvNA	Dark	metaG	none	-2.36634674354553	-2.20838990990078	-2.47079625252492	0.215668231134178	4.18784435697031	-0.0447158720085509	0.474350433995858	0.518695211817966	0.749745498527109	0.558676923076923	0.750491688006194
PF01455.21	HupF/HypC family	NA	FAvNA	Light	metaT	none	-2.42324141381618	-2.83653836233393	-2.18044217572845	-0.646435144668374	4.58145791197394	0.120991996941111	0.43637575189238	0.551715577047516	0.731102945219482	0.591476523476523	0.750502844462949
PF01455.21	HupF/HypC family	NA	FAvNA	Dark	metaT	none	-2.42324141381618	-2.83653836233393	-2.18044217572845	-0.646435144668374	4.58145791197394	0.120991996941111	0.43637575189238	0.551715577047516	0.731102945219482	0.591476523476523	0.750502844462949
