FeatureID	Name	GO_Term	comparison	datatype	diffexpr	rab.all	rab.win.A	rab.win.B	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
PF10103.12	Zincin-like metallopeptidase	NA	FAvNA	metaT	none	-2.41405858919655	-2.92043839506759	-2.03741163258703	-0.885426219029269	4.30220069441582	0.167960857831001	0.414000000820572	0.441772558955563	0.556791446577941	0.428609785032296	0.531921524571154
PF10103.12	Zincin-like metallopeptidase	NA	FAvNA	metaG	none	-2.41405858919655	-2.92043839506759	-2.03741163258703	-0.885426219029269	4.30220069441582	0.167960857831001	0.414000000820572	0.441772558955563	0.556791446577941	0.428609785032296	0.531921524571154
PF00801.23	PKD domain	NA	FAvNA	metaT	none	-2.0090904519468	-2.57161005762565	-1.56710462318493	-0.956193138807801	4.40962262496822	0.185257538182259	0.40633333423216	0.438494988486922	0.554656763949534	0.428555580994928	0.531993753055043
PF00801.23	PKD domain	NA	FAvNA	metaG	none	-2.0090904519468	-2.57161005762565	-1.56710462318493	-0.956193138807801	4.40962262496822	0.185257538182259	0.40633333423216	0.438494988486922	0.554656763949534	0.428555580994928	0.531993753055043
PF01204.21	Trehalase	trehalose metabolic process	FTvNA	metaT	none	4.50064392417055	4.1634566199563	4.56013086973988	-0.417013356642145	1.5365988936219	0.234239181588502	0.378000001201141	0.151362393793729	0.345838977667744	0.308736292721193	0.532098617117042
PF01204.21	Trehalase	trehalose metabolic process	FTvNA	metaG	none	4.50064392417055	4.1634566199563	4.56013086973988	-0.417013356642145	1.5365988936219	0.234239181588502	0.378000001201141	0.151362393793729	0.345838977667744	0.308736292721193	0.532098617117042
PF14849.9	YidC periplasmic domain	NA	FTvNA	metaT	none	4.71031552153632	4.89496112719313	4.48578213479671	0.397544199623225	1.46479454569167	-0.245905602473456	0.375000001234568	0.650677614669502	0.814387744767036	0.308579751396713	0.532186220513436
PF14849.9	YidC periplasmic domain	NA	FTvNA	metaG	none	4.71031552153632	4.89496112719313	4.48578213479671	0.397544199623225	1.46479454569167	-0.245905602473456	0.375000001234568	0.650677614669502	0.814387744767036	0.308579751396713	0.532186220513436
PF18417.4	L-lysine epsilon oxidase C-terminal domain	NA	FTvNA	metaT	none	-3.44570290311105	-2.76882553554853	-3.86579878873589	0.984565856048079	4.20431919443264	-0.205611372658575	0.391869377924008	0.392147744136523	0.547198346953777	0.377597188681541	0.532254841224374
PF18417.4	L-lysine epsilon oxidase C-terminal domain	NA	FTvNA	metaG	none	-3.44570290311105	-2.76882553554853	-3.86579878873589	0.984565856048079	4.20431919443264	-0.205611372658575	0.391869377924008	0.392147744136523	0.547198346953777	0.377597188681541	0.532254841224374
PF18933.3	PsbP-like protein	NA	FAvNA	metaT	none	-2.41024371309735	-2.85788249855588	-2.08713837316268	-0.770309604968856	4.53712260699216	0.153727865053098	0.418193936132661	0.435062136550364	0.54764586608411	0.429357027952189	0.53227065685655
PF18933.3	PsbP-like protein	NA	FAvNA	metaG	none	-2.41024371309735	-2.85788249855588	-2.08713837316268	-0.770309604968856	4.53712260699216	0.153727865053098	0.418193936132661	0.435062136550364	0.54764586608411	0.429357027952189	0.53227065685655
PF05991.14	YacP-like NYN domain	NA	FTvNA	metaT	none	6.59551098592624	6.61728191078516	6.59206432766585	0.290577055945659	0.951348917753057	-0.289201620347067	0.387204266344592	0.126763578674953	0.307087404025207	0.306820764701513	0.532309823257878
PF05991.14	YacP-like NYN domain	NA	FTvNA	metaG	none	6.59551098592624	6.61728191078516	6.59206432766585	0.290577055945659	0.951348917753057	-0.289201620347067	0.387204266344592	0.126763578674953	0.307087404025207	0.306820764701513	0.532309823257878
PF00899.24	ThiF family	NA	FAvNA	metaT	none	1.82657983945433	1.58866802809032	2.07525795758596	-0.45622251281466	2.04865752314083	0.14933261827342	0.39333333436808	0.639686807103569	0.743305255271929	0.413970000008671	0.532531079424737
PF00899.24	ThiF family	NA	FAvNA	metaG	none	1.82657983945433	1.58866802809032	2.07525795758596	-0.45622251281466	2.04865752314083	0.14933261827342	0.39333333436808	0.639686807103569	0.743305255271929	0.413970000008671	0.532531079424737
PF12116.11	Stage III sporulation protein D	NA	FAvNA	metaT	none	-0.366313394411016	0.166862598158962	-0.73576144540829	0.767015146978282	3.55452828133457	-0.180680231631005	0.401666667613793	0.44756777141422	0.559561564514066	0.426267365865939	0.532672630761253
PF12116.11	Stage III sporulation protein D	NA	FAvNA	metaG	none	-0.366313394411016	0.166862598158962	-0.73576144540829	0.767015146978282	3.55452828133457	-0.180680231631005	0.401666667613793	0.44756777141422	0.559561564514066	0.426267365865939	0.532672630761253
PF05758.15	Ycf1	NA	FTvNA	metaT	none	-3.90332827317137	-3.24848014383318	-4.28265473993513	1.09886399286306	4.32521317788637	-0.211120357422481	0.395201600481111	0.397975423570321	0.553446366105995	0.38096024790381	0.532675208263198
PF05758.15	Ycf1	NA	FTvNA	metaG	none	-3.90332827317137	-3.24848014383318	-4.28265473993513	1.09886399286306	4.32521317788637	-0.211120357422481	0.395201600481111	0.397975423570321	0.553446366105995	0.38096024790381	0.532675208263198
PF00571.31	CBS domain	NA	FAvNA	metaT	none	6.01107136537124	6.14043401242565	5.81674700337525	0.218916264275344	0.810505709953364	-0.235809889972079	0.399533489805792	0.607435022443112	0.723581893906527	0.397564470049533	0.532772075089576
PF00571.31	CBS domain	NA	FAvNA	metaG	none	6.01107136537124	6.14043401242565	5.81674700337525	0.218916264275344	0.810505709953364	-0.235809889972079	0.399533489805792	0.607435022443112	0.723581893906527	0.397564470049533	0.532772075089576
PF10743.12	Regulatory phage protein cox	NA	FTvNA	metaT	none	-3.87322399181759	-3.19068453958086	-4.29282692372697	1.00552881720415	4.37002673735916	-0.192712997073285	0.391666667719162	0.398797631110195	0.556011061566449	0.380439354088138	0.532883347544875
PF10743.12	Regulatory phage protein cox	NA	FTvNA	metaG	none	-3.87322399181759	-3.19068453958086	-4.29282692372697	1.00552881720415	4.37002673735916	-0.192712997073285	0.391666667719162	0.398797631110195	0.556011061566449	0.380439354088138	0.532883347544875
PF02335.18	Cytochrome c552	nitrogen compound metabolic process	FAvFT	metaT	none	2.56470984608518	2.77659019079221	2.30227699667746	-0.847351931968437	1.79033739050335	-0.429274136999516	0.313666668670232	0.122704447901921	0.526926669306343	0.143166296618982	0.532913137498061
PF00581.23	Rhodanese-like domain	NA	FAvNA	metaT	none	3.51210968225377	3.7087957984957	3.26249577811601	0.335816961562463	1.58411402836469	-0.154209432649735	0.408000000881703	0.148089681844778	0.274559088418657	0.404539631075151	0.53294948364241
PF00581.23	Rhodanese-like domain	NA	FAvNA	metaG	none	3.51210968225377	3.7087957984957	3.26249577811601	0.335816961562463	1.58411402836469	-0.154209432649735	0.408000000881703	0.148089681844778	0.274559088418657	0.404539631075151	0.53294948364241
PF00364.25	Biotin-requiring enzyme	NA	FAvFT	metaT	none	8.0967643994289	8.29220477048677	8.01358922194098	-0.292199713009104	0.647321202113705	-0.454159149777938	0.308333335413727	0.119666855500885	0.535342507897462	0.13733549099978	0.533089706103528
PF13203.9	Putative metallopeptidase domain	NA	FAvFT	metaG	none	2.52671878006452	2.93237096683403	1.91346991382875	-1.01877720772138	1.91770848594333	-0.438771868464341	0.216000003882082	0.0566977806294679	0.70880220650425	0.0307876779298236	0.533094549092814
PF02629.22	CoA binding domain	NA	FAvNA	metaT	none	1.99038392418467	2.21855007634642	1.79927660999838	0.33802500861713	1.55127113794593	-0.159758293291032	0.397000000995968	0.550854830319762	0.661250778457811	0.419570236535867	0.533099921354994
PF02629.22	CoA binding domain	NA	FAvNA	metaG	none	1.99038392418467	2.21855007634642	1.79927660999838	0.33802500861713	1.55127113794593	-0.159758293291032	0.397000000995968	0.550854830319762	0.661250778457811	0.419570236535867	0.533099921354994
PF11975.11	Family 4 glycosyl hydrolase C-terminal domain	NA	FTvNA	metaT	none	5.58422084609774	5.65611142863027	5.51242409372412	0.233419249857729	0.968799129549871	-0.217692202543049	0.374208598376898	0.154676853174293	0.349195794183624	0.316815524360434	0.533189292884856
PF11975.11	Family 4 glycosyl hydrolase C-terminal domain	NA	FTvNA	metaG	none	5.58422084609774	5.65611142863027	5.51242409372412	0.233419249857729	0.968799129549871	-0.217692202543049	0.374208598376898	0.154676853174293	0.349195794183624	0.316815524360434	0.533189292884856
PF14269.9	Arylsulfotransferase (ASST)	NA	FAvNA	metaT	none	-2.41316958899717	-2.89609951137266	-2.07046408147015	-0.92266592726138	4.39213637148444	0.177031319183902	0.404198601386754	0.4520841141314	0.563397629653367	0.432326001949864	0.533242160982649
PF14269.9	Arylsulfotransferase (ASST)	NA	FAvNA	metaG	none	-2.41316958899717	-2.89609951137266	-2.07046408147015	-0.92266592726138	4.39213637148444	0.177031319183902	0.404198601386754	0.4520841141314	0.563397629653367	0.432326001949864	0.533242160982649
PF00042.25	Globin	NA	FTvNA	metaT	none	-0.79240988569078	-1.74833033312569	-0.330132555912924	-1.16952291815502	4.33485581760766	0.226543780358714	0.386666667772884	0.445922551374703	0.628328865443982	0.344814622856299	0.533304962998244
PF00042.25	Globin	NA	FTvNA	metaG	none	-0.79240988569078	-1.74833033312569	-0.330132555912924	-1.16952291815502	4.33485581760766	0.226543780358714	0.386666667772884	0.445922551374703	0.628328865443982	0.344814622856299	0.533304962998244
PF03065.18	Glycosyl hydrolase family 57	carbohydrate metabolic process	FAvFT	metaT	none	4.35600038058139	5.08101759832211	4.23829370126982	-0.9153270612125	1.61269695493982	-0.517924144213822	0.316000001970565	0.0493124274139725	0.403665218960194	0.138706805376613	0.533408147827177
PF00173.31	Cytochrome b5-like Heme/Steroid binding domain	NA	FAvNA	metaT	none	-2.42161522527403	-2.88909410328078	-2.05313986913246	-0.973429952067772	4.45348368307673	0.182225669348402	0.404000000922911	0.43650376146922	0.553788158275543	0.429301862197877	0.533520292621116
PF00173.31	Cytochrome b5-like Heme/Steroid binding domain	NA	FAvNA	metaG	none	-2.42161522527403	-2.88909410328078	-2.05313986913246	-0.973429952067772	4.45348368307673	0.182225669348402	0.404000000922911	0.43650376146922	0.553788158275543	0.429301862197877	0.533520292621116
PF03883.17	Peroxide stress protein YaaA	NA	FTvNA	metaT	none	4.72952623559255	4.67790461506875	4.75204739799293	-0.238350995892961	0.780812164177786	0.297087302932083	0.38387204378826	0.207902134293949	0.412771801223405	0.327961176126801	0.5336773853833
PF03883.17	Peroxide stress protein YaaA	NA	FTvNA	metaG	none	4.72952623559255	4.67790461506875	4.75204739799293	-0.238350995892961	0.780812164177786	0.297087302932083	0.38387204378826	0.207902134293949	0.412771801223405	0.327961176126801	0.5336773853833
PF01258.20	Prokaryotic dksA/traR C4-type zinc finger	NA	FTvNA	metaT	none	2.43487076523499	2.04373585195126	3.11470079356056	-0.783367012523186	3.73995170014992	0.166872416021459	0.38333333447578	0.560743894961565	0.744630935323303	0.305744121577152	0.533723290440181
PF01258.20	Prokaryotic dksA/traR C4-type zinc finger	NA	FTvNA	metaG	none	2.43487076523499	2.04373585195126	3.11470079356056	-0.783367012523186	3.73995170014992	0.166872416021459	0.38333333447578	0.560743894961565	0.744630935323303	0.305744121577152	0.533723290440181
PF12367.11	Pyruvate ferredoxin oxidoreductase beta subunit C terminal	NA	FAvNA	metaT	none	-2.44255573273125	-2.92129662940362	-2.04358316468514	-0.859020025052041	4.45181145536135	0.168106429707781	0.41352882455022	0.451171270514985	0.562573587734728	0.43559804213567	0.533897814604556
PF12367.11	Pyruvate ferredoxin oxidoreductase beta subunit C terminal	NA	FAvNA	metaG	none	-2.44255573273125	-2.92129662940362	-2.04358316468514	-0.859020025052041	4.45181145536135	0.168106429707781	0.41352882455022	0.451171270514985	0.562573587734728	0.43559804213567	0.533897814604556
PF09223.14	ZinT (YodA) periplasmic lipocalin-like zinc-recruitment	NA	FAvNA	metaT	none	-2.41904105069725	-2.87435248156114	-2.04577775058455	-0.918027016707511	4.28920126845663	0.177940777266636	0.414528491317847	0.462708078610072	0.574401857101694	0.429947558412812	0.533910809769088
PF09223.14	ZinT (YodA) periplasmic lipocalin-like zinc-recruitment	NA	FAvNA	metaG	none	-2.41904105069725	-2.87435248156114	-2.04577775058455	-0.918027016707511	4.28920126845663	0.177940777266636	0.414528491317847	0.462708078610072	0.574401857101694	0.429947558412812	0.533910809769088
PF01032.21	FecCD transport family	NA	FAvNA	metaT	none	2.43961742343202	2.65279583527793	2.23500433193018	0.419572610151445	1.85930414308281	-0.173786850992911	0.388203933111556	0.227509428158017	0.359187193879129	0.412906701282095	0.533999119705524
PF01032.21	FecCD transport family	NA	FAvNA	metaG	none	2.43961742343202	2.65279583527793	2.23500433193018	0.419572610151445	1.85930414308281	-0.173786850992911	0.388203933111556	0.227509428158017	0.359187193879129	0.412906701282095	0.533999119705524
PF00425.21	chorismate binding enzyme	NA	FAvFT	metaT	none	3.26618370955666	3.71579488320001	3.08646609649529	-0.576072660125574	1.21545844210831	-0.431487534926469	0.318227259518917	0.132473267375914	0.541132313027257	0.143985631006495	0.53401783109637
PF01171.23	PP-loop family	NA	FTvNA	metaT	none	6.35233642395922	6.26023601074471	6.3985742948874	-0.143841039000942	0.536185939338413	0.256349697042706	0.383666667805475	0.283289201140055	0.503379553033194	0.321875712369379	0.534023182620805
PF01171.23	PP-loop family	NA	FTvNA	metaG	none	6.35233642395922	6.26023601074471	6.3985742948874	-0.143841039000942	0.536185939338413	0.256349697042706	0.383666667805475	0.283289201140055	0.503379553033194	0.321875712369379	0.534023182620805
