CycID	JTK_pvalue	JTK_BH.Q	JTK_period	JTK_adjphase	JTK_amplitude	LS_pvalue	LS_BH.Q	LS_period	LS_adjphase	LS_amplitude	meta2d_pvalue	meta2d_BH.Q	meta2d_period	meta2d_phase	meta2d_Base	meta2d_AMP	meta2d_rAMP
PF09709.13	1	1	24	7	0.0258016887769255	0.934130933198927	1	24	7.69171121672232	0.097740042335702	0.997781368053581	1	24	7.34585560836116	0.0690026339194284	0.00270009171220774	0.00270009171220774
PF18019.4	1	1	24	7	0.00534514685786366	0.999666986870532	1	24	9.19525103861617	0.0433274641801448	0.999999944544972	1	24	8.09762551930809	0.0264272234739483	0.000130996765931719	0.000130996765931719
PF19557.2	0.647739564961787	1	0	NaN	0	0.281642780149213	1	20.6593406593407	5.47115759892829	0.000522108432187528	0.492816341887935	1	20.6593406593407	5.47115759892829	0.000149114568090297	0.000312066041824317	0.000312066041824317
PF04294.16	1	1	24	13	0.0907037523801257	0.982169442054718	1	20	12.8215926309631	0.422069119037815	0.999840082279282	1	22	13.010209280363	0.267236220552319	0.129835893152136	0.129835893152136
PF01680.20	1	1	20	19	0.0262035309128407	0.999309535694081	1	24	9.02789328720709	0.104247775753774	0.99999976157464	1	22	3.58778442330325	0.0723392198453901	0.0129996547267277	0.0129996547267277
PF10983.11	1	1	0	NaN	0	1	1	NA	NA	0	1	1	NA	NA	0	NA	NA
PF02788.19	1	1	24	9	5.27690057742305e-05	0.995883163766392	1	20	12.7263247550367	0.000594451530339253	0.999991514176793	1	22	11.1244786152702	0.000451518767982604	5.71537585799916e-05	5.71537585799916e-05
PF00016.23	1	1	24	9	5.27690057742305e-05	0.995883163766392	1	20	12.7263247550367	0.000594451530339253	0.999991514176793	1	22	11.1244786152702	0.000451518767982604	5.71537585799916e-05	5.71537585799916e-05
PF11283.11	1	1	0	NaN	0	0.936958705710895	1	20	12.9999978770879	0.000390396252195704	0.997969772937066	1	20	12.9999978770879	8.52303464206387e-05	0.0001495466331917	0.0001495466331917
PF12049.11	1	1	0	NaN	0	1	1	NA	NA	0	1	1	NA	NA	0	NA	NA
PF00421.22	1	1	0	NaN	0	0.974508269234033	1	24	13.3607353345594	0	0.999672289219157	1	24	13.3607353345594	0.000101528732631335	0.000131599718526027	0.000131599718526027
PF02605.18	1	1	0	NaN	0	1	1	NA	NA	0	1	1	NA	NA	0	NA	NA
PF03476.19	1	1	0	NaN	0	0.898868550608813	1	20.7352941176471	16.6633082481798	0.00111123996664169	0.994704542492677	1	20.7352941176471	16.6633082481798	0.00030614323780223	0.000666857063607569	0.000666857063607569
PF00686.22	1	1	20	1	0.038745825213331	0.874784012979658	1	24	1.00007368029384	0.147327004541905	0.991811100839281	1	22	1.00836710346801	0.0811297429531765	0.0332625135664764	0.0332625135664764
PF08795.13	1	1	0	NaN	0	0.936958705710895	1	20	12.9999978770859	0.000732017823042134	0.997969772937066	1	20	12.9999978770859	0.000159812324767633	0.000280409456434454	0.000280409456434454
PF00223.22	1	1	20	15	0.000416721411169756	0.999671290493007	1	24	13.5536231251672	0.00129911236025237	0.99999994596911	1	22	14.4620772657016	0.00062688748180894	0.000331900826268403	0.000331900826268403
PF14105.9	1	1	0	NaN	0	1	1	NA	NA	0	1	1	NA	NA	0	NA	NA
PF14870.9	1	1	0	NaN	0	0.997117682587828	1	23.3057851239669	7.90998666652887	0.000387455841271088	0.999995842126476	1	23.3057851239669	7.90998666652887	0.000150822815128762	0.000161751925950568	0.000161751925950568
PF02685.19	1	1	0	NaN	0	0.999831607612844	1	20	5.18668391625321	0.0013502002492325	0.999999985821206	1	20	5.18668391625321	0.000594053130446813	0.000641550819159277	0.000641550819159277
PF05067.15	1	1	20	19	0.140178822149779	0.993832054148956	1	20	8.65689140610154	0.339026404261604	0.9999809389925	1	20	3.82844570305077	0.339837509605263	0.0344831066691622	0.0344831066691622
PF18088.4	1	1	24	7	0.00563619029297444	0.954393396831689	1	24	8.86455946591343	0.00957087855168599	0.998943838175973	1	24	7.93227973295672	0.00696466506847965	0.00192951593361216	0.00192951593361216
PF13679.9	0.647739564961787	1	24	11	0.0140233028910161	0.729140765210337	1	24	10.4500713600557	0.066551286998994	0.826586538604204	1	24	10.7250356800278	0.043048931516779	0.0171037574357793	0.0171037574357793
PF08719.14	0.207574955908289	1	24	9	0.00779257934167047	0.934037923166121	1	22.03125	12.954464692221	0.0278652262000666	0.51194794233079	1	23.015625	11.0820702873729	0.0307721126952094	0.00458428935692326	0.00458428935692326
PF04285.15	0.0285920047031158	1	24	17	0.0412416741630177	0.26941037193798	1	21.6923076923077	16.5436493752901	0.190470941977212	0.0451868335702181	1	22.8461538461539	16.8031615163659	0.068098059069669	0.12162248227224	0.12162248227224
PF08298.14	0.0498794826572604	1	24	17	0.0239148155564956	0.294008385307689	1	21.6091954022989	16.4199794414255	0.120767394195433	0.0765848475169204	1	22.8045977011495	16.7407877173277	0.0439458112741219	0.0759246045727924	0.0759246045727924
PF06798.15	0.0498794826572604	1	24	17	0.0239148155564956	0.294008385307689	1	21.6091954022989	16.4199794414255	0.120767394195433	0.0765848475169204	1	22.8045977011495	16.7407877173277	0.0439458112741219	0.0759246045727924	0.0759246045727924
