FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c
PF00679.27	1662.639	1324.145	1481.152	1491.373	1434.553	1439.732	1493.384	1238.626	1640.088	1130.087	1345.103	1211.841
PF06421.15	223.267	69.374	280.465	214.859	272.281	246.947	321.467	266.493	239.297	189.143	164.077	188.812
PF13328.9	297.325	271.137	265.786	246.467	327.149	260.341	191.283	272.874	392.095	206.959	257.496	221.667
PF04607.20	1524.652	1365.001	1192.009	1276.54	1310.421	1334.077	837.063	1110.051	775.772	1049.693	1473.582	1483.756
PF02824.24	456.975	464.212	549.618	397.123	650.524	478.752	340.472	493.354	453.775	575.839	538.437	446.783
PF19296.2	297.325	271.137	265.786	246.467	327.149	260.341	191.283	261.038	280.905	206.959	257.496	221.667
PF13291.9	367.519	554.738	393.035	441.457	450.787	356.419	273.428	449.222	570.92	670.857	463.67	442.062
PF13460.9	0	148.82	62.421	27.357	0	134.468	0	0	50.863	0	36.159	77.306
PF13520.9	254.997	249.04	84.411	202.678	166.813	481.652	398.396	248.041	24.498	136.657	54.856	67.055
PF02424.18	124.054	375.827	325.235	257.791	187.385	169.764	543.244	425.237	79.433	263.771	289.695	194.732
PF04203.16	1064.81	1278.756	1045.742	913.345	714.394	1049.616	742.844	895.782	1219.39	937.305	1236.386	1251.374
PF00580.24	538.701	372.931	584.264	459.525	595.848	625.397	582.092	724.718	557.577	658.465	743.948	647.338
PF13361.9	562.296	437.709	645.577	510.535	609.97	625.397	582.092	791.622	636.06	693.788	781.206	647.338
PF03352.16	270.27	111.615	159.646	319.406	384.309	376.574	256.649	366.92	337.981	242.831	322.376	732.398
PF00890.27	34.816	32.358	73.653	56.36	94.804	94.735	82.291	111.167	19.975	42.6	27.531	39.901
PF00056.26	248.857	215.235	70.06	108.243	86.337	45.128	38.592	160.676	97.477	70.405	48.597	100.522
