FeatureID	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c
PF08353.13	0	0	375.721	0	207.29	64.447	51.468	27.569	128.53	0	72.352	61.944	0	0	124.629	105.09	68.09	234.412
PF03306.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF00009.30	2277.113	3351.167	1576.316	4025.915	3166.229	3390.972	2682.114	2807.946	3141.98	1987.202	2265.698	2094.835	2248.111	2235.619	2460.522	2019.441	2460.573	3883.755
PF03144.28	1356.39	2236.317	1173.346	2648.521	1921.906	2572.608	1835.477	1980.949	2334.881	1475.35	1717.386	1244.118	1799.562	1629.194	1684.558	1458.821	1520.667	2684.038
PF14492.9	702.416	928.156	488.809	1737.184	966.618	1527.064	820.422	558.246	1129.888	896.689	752.711	786.944	874.458	1132.166	747.32	569.447	821.211	1500.928
PF00679.27	2268.829	2366.602	1001.54	2708.634	2073.034	2424.923	1711.028	1590.922	2024.567	1253.652	1435.322	1329.879	1359.323	1468.08	1440.636	953.318	1153.592	2850.479
PF06421.15	578.479	597.403	282.463	462.621	367.583	243.843	417.186	491.814	304.981	105.151	311.52	186.339	216.913	199.295	45.428	307.764	205.198	987.407
PF13328.9	701.473	418.79	168.096	506.99	267.195	132.271	280.785	311.49	246.127	169.099	232.14	338.346	169.932	455.347	477.545	0	163.871	220.274
PF04607.20	711.014	418.79	400.539	498.387	489.773	132.271	627.52	380.394	673.393	437.793	284.954	298.165	169.932	616.409	431.173	0	454.925	744.414
PF02824.24	284.574	418.79	168.096	469.25	370.06	433.148	379.248	406.339	423.002	266.453	249.182	488.132	236.609	455.347	492.031	285.175	259.096	410.977
PF19296.2	177.832	139.52	168.096	212.643	50.467	65.622	108.626	161.502	174.893	169.099	149.284	243.194	169.932	455.347	213.063	0	163.871	108.285
PF13291.9	177.832	418.79	168.096	371.883	218.503	132.271	276.132	311.49	246.127	169.099	149.284	243.194	169.932	455.347	324.724	0	163.871	220.274
PF13460.9	0	0	0	0	113.044	0	27.585	0	49.005	0	0	0	0	0	0	0	0	189.653
PF13520.9	388.379	443.954	0	148.58	538.485	495.98	595.272	1017.545	845.957	180.425	224.427	350.775	173.334	73.121	59.832	0	217.212	590.259
PF02424.18	0	135.364	0	0	157.271	0	255.912	276.945	346.041	97.902	283.24	321.026	1450.145	0	83.92	0	446.483	485.986
PF04203.16	595.256	1064.906	3124.872	1236.525	1176.637	1696.55	404.016	151.685	773.716	1062.45	1280.333	1231.803	1557.849	1780.221	1770.366	1852.422	1340.284	782.69
PF00580.24	277.339	662.507	481.517	343.611	844.174	583.623	896.191	1476.697	954.319	394.517	462.664	653.945	238.179	347.595	583.584	154.021	376.537	1332.759
PF13361.9	534.231	694.597	1209.933	573.678	919.836	614.232	1203.876	1953.86	1260.338	606.678	703.031	1060.197	445.801	408.778	833.169	299.98	728.213	1391.037
PF03352.16	716.991	0	0	0	0	0	331.996	458.894	416.945	403.959	170.928	190.304	228.364	712.943	287.216	485.138	0	208.915
PF00890.27	415.641	928.31	302.291	708.785	1458.789	1513.925	873.231	696.128	1282.426	131.092	209.981	644.413	148.208	0	174.734	86.255	403.347	851.835
PF00056.26	216.418	1118.62	273.38	231.23	281.469	77.953	185.709	598.769	411.439	193.611	206.847	415.137	533.482	0	175.391	286.913	294.811	0
PF02866.21	216.418	811.415	273.38	231.23	281.469	77.953	185.709	598.769	411.439	98.427	206.847	415.137	272.27	0	175.391	286.913	294.811	0
PF02580.19	0	1091.532	0	120.227	622.357	0	232.191	488.825	244.979	317.216	273.544	0	0	0	0	0	415.082	0
