FeatureID	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c
PF08494.14	0	0	0	0	0	0	8.188	0	0	21.999	0	0
PF10021.12	0	0	0	0	0	0	0	0	0	0	0	0
PF14584.9	457.171	324.966	126.877	581.278	0	0	234.342	345.028	114.934	0	0	88.144
PF12997.10	268.059	110.795	147.434	450.406	330.159	281.527	213.976	343.337	160.291	76.627	0	159.932
PF01899.19	496.841	120.982	0	0	0	180.37	186.959	0	102.373	291.275	0	0
PF20501.1	32.79	107.414	135.977	0	152.218	245.042	139.852	129.252	169.922	334.536	0	147.482
PF04039.16	0	72.55	135.977	0	152.218	245.042	206.669	92.444	187.761	334.536	0	147.482
PF19753.2	248.008	449.47	412.973	126.174	184.831	442.364	435.794	449.178	321.673	392.11	0	343.344
PF18960.3	219.346	165.655	502.206	139.471	0	280.354	218.052	124.134	124.067	231.952	0	214.584
PF07811.15	0	0	0	0	367.389	0	76.266	0	0	0	0	0
PF19909.2	117.556	309.554	489.309	149.469	109.564	192.571	357.784	199.575	150.707	165.404	0	106.132
PF16935.8	0	0	0	0	0	0	0	0	0	0	0	0
PF00112.26	0	0	0	0	0	0	14.942	0	0	0	0	0
PF18560.4	0	0	0	0	0	0	14.942	0	0	0	0	0
PF16976.8	0	0	0	0	0	0	0	97.295	0	0	0	0
PF14208.9	0	0	0	0	0	0	0	0	0	0	0	0
PF19511.2	181.72	96.71	151.035	0	0	128.156	159.389	102.681	342.027	318.52	0	54.605
PF19598.2	427.369	101.252	0	0	531.04	0	125.169	0	85.946	333.477	0	171.507
PF01161.23	0	290.061	0	0	604.034	357.185	472.346	0	647.937	379.316	584.482	249.26
PF18928.3	0	33.997	0	0	0	0	35.879	0	0	0	0	0
PF10668.12	0	0	0	0	0	0	0	0	0	0	0	0
PF14550.9	0	0	0	0	0	0	39.8	0	0	0	0	0
PF11436.11	0	0	0	0	0	0	87.908	0	0	0	0	0
PF12206.11	0	0	0	0	0	0	0	0	0	0	0	0
PF08722.14	0	0	0	0	0	0	0	0	0	0	0	0
PF08721.14	0	0	0	0	0	0	0	0	0	0	0	0
PF10026.12	0	30.644	0	0	160.719	30.062	0	0	51.691	0	0	25.941
PF13567.9	64.597	163.308	172.509	87.782	386.224	273.979	120.989	117.279	258.264	165.174	0	269.733
PF10646.12	1156.059	400.381	823.458	0	307.22	291.159	435.034	466.536	348.124	595.712	0	501.833
PF00563.23	529.552	710.605	1027.719	669.16	917.337	828.645	1011.371	903.117	530.654	938.946	222.36	809.981
PF02127.18	208.691	396.105	846.503	435.209	667.207	501.98	432.132	473.969	229.951	577.764	192.275	415.228
PF12796.10	98.173	0	0	0	0	34.68	0	0	0	229.835	0	0
PF19623.2	55.633	18.71	0	0	0	0	0	0	16.783	0	0	0
PF18475.4	0	0	0	0	0	0	0	0	0	0	0	0
PF08495.13	223.396	317.574	0	0	0	309.075	327.174	252.896	168.487	87.166	0	201.732
PF03885.16	0	63.37	296.898	453.405	0	236.202	156.677	201.845	107.58	208.711	0	214.679
PF04893.20	0	95.481	0	0	0	0	0	0	0	0	0	0
PF14107.9	0	0	0	0	45.585	0	10.745	0	0	190.854	0	0
PF09553.13	87.361	170.783	0	222.154	0	61.728	383.868	98.897	171.322	0	0	52.593
PF19845.2	334.622	175.66	185.733	0	207.916	225.196	346.141	252.54	138.384	456.955	0	163.246
PF19694.2	175.902	62.517	290.94	0	162.844	217.494	308.138	398.305	212.278	205.904	0	211.081
PF07875.15	154.199	54.804	0	0	0	0	135.482	0	0	0	0	0
