#FeatureID	cFA01a_S39	cFA01b_S45	cFA05a_S40	cFA05b_S46	cFA09a_S41	cFA09b_S47	cFA13a_S36	cFA13b_S42	cFA17a_S37	cFA17b_S43	cFA21a_S38	cFA21b_S44	cFT01a_S51	cFT01b_S57	cFT05a_S52	cFT05b_S58	cFT09a_S53	cFT09b_S59	cFT13a_S48	cFT13b_S54	cFT17a_S49	cFT17b_S55	cFT21a_S50	cFT21b_S56	cNA01a_S4	cNA01b_S10	cNA01c_S16	cNA05a_S5	cNA05b_S11	cNA05c_S17	cNA09a_S6	cNA09b_S12	cNA09c_S18	cNA13a_S1	cNA13b_S7	cNA13c_S13	cNA17a_S2	cNA17b_S8	cNA17c_S14	cNA21a_S3	cNA21b_S9	cNA21c_S15	cNT01a_S21	cNT01b_S27	cNT01c_S33	cNT05a_S22	cNT05b_S28	cNT05c_S34	cNT09a_S23	cNT09b_S29	cNT09c_S35	cNT13a_S19	cNT13b_S24	cNT13c_S30	cNT17a_S20	cNT17b_S25	cNT17c_S31	cNT21b_S26	cNT21c_S32
tr|A0A7G1HSM7|A0A7G1HSM7_9BACT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.018	243.043	125.017	158.969	0.0	155.006	158.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.987	0.0	0.0	172.056	190.019	214.988	484.92	220.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7G1L696|A0A7G1L696_AERHY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.009	0.0	161.973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7G5MZB0|A0A7G5MZB0_9FIRM	0.0	0.0	0.0	0.0	0.0	0.0	392.991	0.0	0.0	0.0	0.0	0.0	941.043	0.0	0.0	0.0	0.0	0.0	354.034	377.012	334.983	0.0	418.024	399.001	261.015	304.045	149.018	364.064	250.034	316.938	345.95	310.011	316.002	0.0	129.016	272.02	320.026	370.962	333.019	0.0	102.007	251.981	256.022	144.987	247.971	197.028	172.056	190.019	214.988	161.973	220.029	0.0	0.0	0.0	321.016	209.014	200.976	125.0	111.01
tr|A0A7G5NW85|A0A7G5NW85_CLOBU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	705.051	352.983	682.038	329.024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1418.138	377.012	0.0	0.0	0.0	0.0	261.015	0.0	0.0	0.0	0.0	0.0	345.95	0.0	0.0	466.048	0.0	0.0	0.0	0.0	0.0	372.962	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7G6UK14|A0A7G6UK14_PSEMX	0.0	0.0	278.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7G7FKI9|A0A7G7FKI9_AERHY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	102.007	0.0	0.0	0.0	123.985	0.0	0.0	95.009	0.0	161.973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7G7IQG0|A0A7G7IQG0_ENTHR	0.0	0.0	0.0	0.0	338.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	304.045	149.018	121.021	375.051	316.938	0.0	155.006	158.001	0.0	259.033	272.02	0.0	92.991	0.0	0.0	409.03	251.981	256.022	289.974	247.971	394.057	345.113	285.028	214.988	161.973	110.015	0.0	0.0	143.008	0.0	209.014	401.952	250.0	334.03
tr|A0A7G7IR68|A0A7G7IR68_ENTHR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.016	0.0	320.026	0.0	166.01	0.0	102.007	0.0	0.0	0.0	123.985	0.0	0.0	95.009	214.988	0.0	110.015	0.0	0.0	143.008	0.0	0.0	0.0	125.0	111.01
tr|A0A7G7WM90|A0A7G7WM90_PROVU	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
tr|A0A7G8Q5P3|A0A7G8Q5P3_9GAMM	0.0	0.0	0.0	0.0	338.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	149.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
