FeatureID	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
tr_A0A0R2G1E1_A0A0R2G1E1_LACPN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	0	0	0
tr_A0A0R2I0I1_A0A0R2I0I1_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0
tr_A0A0R2JKX7_A0A0R2JKX7_9LACO	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	7	5	1	3	2
tr_A0A0R2KBY6_A0A0R2KBY6_LACAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
tr_A0A0S2W269_A0A0S2W269_9FIRM	0	0	0	0	0	0	0	0	0	0	1	0	1	4	2	1	12	7	1	7	4
tr_A0A0U2XG82_A0A0U2XG82_9BACL	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1	1	0	2	1
tr_A0A0U5KG99_A0A0U5KG99_LACDE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
tr_A0A0V8B632_A0A0V8B632_LACLL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
tr_A0A0V8BFT8_A0A0V8BFT8_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
tr_A0A0V8CBE0_A0A0V8CBE0_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
tr_A0A0V8D013_A0A0V8D013_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
tr_A0A0V8E794_A0A0V8E794_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
tr_A0A0V8EBT6_A0A0V8EBT6_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0
tr_A0A0V8EV60_A0A0V8EV60_LACLL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
tr_A0A0V9UQP6_A0A0V9UQP6_9NOCA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0
tr_A0A0W0VKJ4_A0A0W0VKJ4_9GAMM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	18	0	5	0	4
tr_A0A0W0WVF4_A0A0W0WVF4_9GAMM	0	0	0	0	0	0	0	0	2	0	0	0	2	8	0	0	0	0	0	0	0
tr_A0A0X8PQC8_A0A0X8PQC8_ENTGA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
tr_A0A125W9K2_A0A125W9K2_ENTFL	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	4	1	2	0	1	1
tr_A0A127EG66_A0A127EG66_CLOPF	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
tr_A0A132P8Q3_A0A132P8Q3_ENTFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
tr_A0A132P9C9_A0A132P9C9_ENTFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
tr_A0A133CQ73_A0A133CQ73_ENTFC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
tr_A0A133Q044_A0A133Q044_STALU	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A136Q5V1_A0A136Q5V1_9FIRM	1	0	2	1	1	0	2	1	3	1	1	2	1	3	2	5	2	2	1	5	1
