FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
tr_A0A0B5RX12_A0A0B5RX12_MYRPR	0	0	278.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	0	125.017	158.969	0	155.006	0	0	0	0	0	0	0	0	102.007	0
tr_A0A0B6E3D5_A0A0B6E3D5_FRATU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	0	0	0	155.006	0	0	0	0	0	0	0	0	0	0
tr_A0A0B8QJU3_A0A0B8QJU3_9VIBR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	596.074	0	125.017	0	0	0	0	0	0	0	0	0	0	0	102.007	0
tr_A0A0B8QRG3_A0A0B8QRG3_LACLL	0	0	278.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	243.043	125.017	158.969	0	155.006	158.001	0	129.016	0	0	92.991	166.01	0	205.015	251.981
tr_A0A0B8QU93_A0A0B8QU93_LACLL	0	0	557.091	0	0	0	0	0	0	0	0	0	0	0	0	0	331.031	0	0	0	0	0	0	0	0	0	0	0	0	158.969	0	0	0	0	0	0	0	0	0	0	102.007	0
tr_A0A0B8QW26_A0A0B8QW26_LACLL	0	0	278.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	243.043	125.017	158.969	0	155.006	158.001	0	129.016	0	0	92.991	166.01	0	205.015	251.981
tr_A0A0B8RFX6_A0A0B8RFX6_LISMN	0	0	0	0	0	0	0	0	0	0	0	0	0	473.035	0	0	0	0	0	0	0	0	0	0	1305.074	152.022	0	243.043	125.017	316.938	0	0	0	466.048	0	0	0	0	0	0	0	0
tr_A0A0C1M7G7_A0A0C1M7G7_9LACO	0	0	278.046	539.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	0	121.021	250.034	158.969	0	155.006	316.002	0	259.033	0	0	184.981	166.01	372.962	205.015	251.981
tr_A0A0D2JRL6_A0A0D2JRL6_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304.045	0	0	0	316.938	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0D4CMX6_A0A0D4CMX6_LIMMU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261.015	152.022	0	0	250.034	158.969	0	0	158.001	0	129.016	0	960.077	92.991	166.01	0	205.015	0
tr_A0A0D6PK57_A0A0D6PK57_9PROT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304.045	0	121.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0E0UXH6_A0A0E0UXH6_LISMM	0	0	0	0	0	0	0	0	352.983	341.019	0	0	470.022	473.035	0	0	0	445.981	354.034	0	334.983	0	0	0	1828.104	152.022	149.018	607.107	250.034	633.876	0	0	158.001	466.048	129.016	0	320.026	184.981	166.01	372.962	307.022	0
tr_A0A0E1R9M7_A0A0E1R9M7_LISMN	0	0	0	0	0	0	0	0	0	0	0	0	0	473.035	0	0	0	0	0	0	0	0	0	0	1305.074	0	0	243.043	125.017	158.969	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0E1Y3I4_A0A0E1Y3I4_LISMN	0	0	0	0	0	0	0	0	0	0	0	0	0	473.035	0	0	0	0	0	0	0	0	0	0	1305.074	152.022	0	243.043	125.017	316.938	0	0	158.001	0	0	0	0	0	0	0	0	0
tr_A0A0E2AYI0_A0A0E2AYI0_BACFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243.043	125.017	158.969	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0E2GKA3_A0A0E2GKA3_ACINO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155.006	316.002	0	0	0	0	0	0	0	0	0
tr_A0A0E3ZL79_A0A0E3ZL79_9BURK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.018	121.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0F4LRZ6_A0A0F4LRZ6_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	457.068	447.055	485.086	250.034	316.938	0	155.006	158.001	466.048	129.016	272.02	0	92.991	0	0	205.015	0
tr_A0A0F5JID4_A0A0F5JID4_9BACT	0	0	278.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	761.113	895.111	485.086	876.119	633.876	0	1395.05	790.006	0	0	0	0	0	0	0	921.067	0
tr_A0A0F5JLM1_A0A0F5JLM1_9BACT	791.045	0	278.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1370.203	1491.185	728.129	1627.221	1109.782	0	2170.078	1264.009	0	0	0	0	0	0	0	1330.097	0
tr_A0A0F7Q0L6_A0A0F7Q0L6_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	0	0	125.017	0	0	0	0	0	0	0	320.026	0	166.01	0	0	0
tr_A0A0G8CJ06_A0A0G8CJ06_9BACI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.017	158.969	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0G8G768_A0A0G8G768_9LACO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	125.017	158.969	0	0	0	466.048	0	0	320.026	92.991	166.01	0	102.007	0
tr_A0A0H1RKD7_A0A0H1RKD7_LACLL	0	0	278.046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	125.017	158.969	0	0	0	0	0	0	0	92.991	166.01	0	102.007	0
tr_A0A0H1RML1_A0A0H1RML1_LACLL	0	0	835.137	0	338.016	0	0	0	0	0	0	0	0	0	0	0	663.062	0	0	0	0	0	0	0	0	0	0	0	0	158.969	0	0	0	0	0	0	0	0	0	0	102.007	0
tr_A0A0H2Q3Y9_A0A0H2Q3Y9_9ENTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	0	125.017	158.969	0	0	158.001	0	0	0	0	0	0	0	0	0
tr_A0A0H2YTH6_A0A0H2YTH6_CLOP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466.048	0	0	0	0	0	744.924	0	0
tr_A0A0H3AFM0_A0A0H3AFM0_VIBC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	0	125.017	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0H3E5D0_A0A0H3E5D0_BACA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.018	0	0	158.969	345.95	0	0	0	0	0	0	0	0	372.962	0	0
tr_A0A0H3GEE9_A0A0H3GEE9_LISM4	0	0	0	0	0	0	0	0	352.983	341.019	0	0	470.022	473.035	0	0	0	0	0	0	0	432.966	0	0	1567.089	152.022	149.018	607.107	250.034	475.907	0	0	158.001	466.048	129.016	0	320.026	92.991	166.01	0	102.007	0
tr_A0A0H3K4Q3_A0A0H3K4Q3_SYNP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.018	121.021	0	0	0	0	0	0	0	0	0	0	0	0	102.007	0
tr_A0A0H3NRG9_A0A0H3NRG9_YERE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	149.018	0	125.017	158.969	0	310.011	158.001	0	0	0	0	0	0	0	102.007	0
tr_A0A0H3Q2B4_A0A0H3Q2B4_VIBCE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	149.018	0	125.017	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0H4TMU8_A0A0H4TMU8_9CYAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.022	0	0	125.017	0	0	155.006	0	0	0	0	0	0	0	0	102.007	0
tr_A0A0H5G2A2_A0A0H5G2A2_YEREN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.017	158.969	0	155.006	158.001	0	0	0	0	0	0	0	0	0
tr_A0A0H5LXP1_A0A0H5LXP1_YERIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.017	0	0	155.006	158.001	0	0	0	0	0	0	0	102.007	0
tr_A0A0I9S5E4_A0A0I9S5E4_BACFG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	0	0	0	155.006	0	0	0	0	0	0	0	0	0	0
tr_A0A0J6CSB9_A0A0J6CSB9_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	609.09	745.092	243.043	626.085	475.907	0	1085.039	632.004	0	0	0	0	0	0	0	716.052	0
tr_A0A0J6GF61_A0A0J6GF61_PSEDM	0	0	0	0	0	0	0	352.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102.007	0
tr_A0A0J6HJM3_A0A0J6HJM3_9BACI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	0	158.969	0	0	0	0	0	0	0	0	0	0	102.007	0
tr_A0A0J8DD17_A0A0J8DD17_CLOCY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	432.966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205.015	0
tr_A0A0J9C348_A0A0J9C348_9FIRM	395.023	0	557.091	539.032	338.016	0	785.982	352.025	352.983	341.019	0	0	0	473.035	458.98	338.974	663.062	890.963	709.069	377.012	334.983	864.932	0	0	0	1066.158	1342.166	2306.408	2253.306	2219.565	1727.749	1550.056	2054.014	933.097	647.082	545.039	640.051	2963.698	1996.116	744.924	1023.075	1006.925
tr_A0A0J9C7D2_A0A0J9C7D2_9FIRM	0	0	0	0	0	0	0	0	0	0	0	0	470.022	0	0	0	0	0	0	377.012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0K0HAQ6_A0A0K0HAQ6_SALBC	395.023	577.003	278.046	0	0	0	392.991	352.025	352.983	0	329.024	0	470.022	0	0	338.974	331.031	0	709.069	0	334.983	0	0	797.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0K1XC16_A0A0K1XC16_9GAMM	0	0	0	0	0	0	0	352.025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.021	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A0K2MAQ0_A0A0K2MAQ0_CLOBE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	466.048	129.016	272.02	0	0	0	0	0	0
