mouseid	condition	cageid	weight	week
NT8c	NT	8c	23.3	2
FA1a	FA	1a	32.7	3
FA1b	FA	1b	34.2	3
FA1c	FA	1c	35.7	3
FA2a	FA	2a	32.0	3
FA2b	FA	2b	32.1	3
FA2c	FA	2c	31.7	3
FA3a	FA	3a	33.6	3
FA3b	FA	3b	30.6	3
FA3c	FA	3c	29.9	3
FA4a	FA	4a	31.2	3
FA4b	FA	4b	31.5	3
FA4c	FA	4c	31.3	3
FA5a	FA	5a	29.2	3
FA5b	FA	5b	30.1	3
FA5c	FA	5c	33.2	3
FA6a	FA	6a	32.4	3
FA6b	FA	6b	31.7	3
FA6c	FA	6c	32.6	3
FA7a	FA	7a	29.9	3
FA7b	FA	7b	28.4	3
FA7c	FA	7c	25.7	3
FA8a	FA	8a	28.0	3
FA8b	FA	8b	29.9	3
FA8c	FA	8c	29.5	3
FT1a	FT	1a	28.3	3
FT1b	FT	1b	29.7	3
FT1c	FT	1c	27.9	3
FT2a	FT	2a	29.7	3
FT2b	FT	2b	30.5	3
FT2c	FT	2c	27.8	3
FT3a	FT	3a	25.4	3
FT3b	FT	3b	26.4	3
FT3c	FT	3c	28.8	3
FT4a	FT	4a	26.7	3
FT4b	FT	4b	27.9	3
FT4c	FT	4c	25.6	3
FT5a	FT	5a	27.9	3
FT5b	FT	5b	25.2	3
FT5c	FT	5c	27.4	3
FT6a	FT	6a	26.6	3
FT6b	FT	6b	26.9	3
FT6c	FT	6c	26.2	3
FT7a	FT	7a	26.2	3
FT7b	FT	7b	28.5	3
FT7c	FT	7c		3
FT8a	FT	8a	26.5	3
FT8b	FT	8b	25.4	3
FT8c	FT	8c		3
NA1a	NA	1a	27.5	3
NA1b	NA	1b	25.2	3
NA1c	NA	1c	26.7	3
NA2a	NA	2a	30.2	3
NA2b	NA	2b	30.5	3
NA2c	NA	2c	25.8	3
NA3a	NA	3a	28.8	3
NA3b	NA	3b	26.5	3
NA3c	NA	3c	28.3	3
NA4a	NA	4a	22.4	3
NA4b	NA	4b	26.2	3
NA4c	NA	4c	25.1	3
NA5a	NA	5a	27.0	3
NA5b	NA	5b	26.5	3
NA5c	NA	5c	23.6	3
NA6a	NA	6a	29.3	3
NA6b	NA	6b	26.7	3
NA6c	NA	6c	25.9	3
NA7a	NA	7a	26.6	3
NA7b	NA	7b	27.0	3
NA7c	NA	7c	26.7	3
NA8a	NA	8a	30.2	3
NA8b	NA	8b	30.1	3
NA8c	NA	8c	28.2	3
NT1a	NT	1a	25.5	3
NT1b	NT	1b	24.8	3
NT1c	NT	1c	25.2	3
NT2a	NT	2a	20.2	3
NT2b	NT	2b	24.1	3
NT2c	NT	2c	22.9	3
NT3a	NT	3a	24.1	3
NT3b	NT	3b	23.9	3
NT3c	NT	3c	23.9	3
NT4a	NT	4a	25.3	3
NT4b	NT	4b	25.6	3
NT4c	NT	4c	26.3	3
NT5a	NT	5a	23.7	3
NT5b	NT	5b	26.3	3
NT5c	NT	5c	24.4	3
NT6a	NT	6a	25.6	3
NT6b	NT	6b	24.4	3
NT6c	NT	6c	23.4	3
NT7a	NT	7a	22.2	3
NT7b	NT	7b	25.3	3
NT7c	NT	7c	24.8	3
NT8a	NT	8a	23.5	3
NT8b	NT	8b	20.6	3
NT8c	NT	8c	22.9	3
FA1a	FA	1a	36.1	4
FA1b	FA	1b	35.1	4
FA1c	FA	1c	37.4	4
FA2a	FA	2a	33.9	4
FA2b	FA	2b	33.3	4
FA2c	FA	2c	34.3	4
FA3a	FA	3a	31.3	4
FA3b	FA	3b	36.3	4
FA3c	FA	3c	31.1	4
FA4a	FA	4a	33.1	4
FA4b	FA	4b	34.2	4
FA4c	FA	4c	32.7	4
FA5a	FA	5a	30.4	4
FA5b	FA	5b	29.9	4
FA5c	FA	5c	34.8	4
FA6a	FA	6a	32.7	4
FA6b	FA	6b	33.8	4
FA6c	FA	6c	33.9	4
FA7a	FA	7a	29.0	4
FA7b	FA	7b	31.2	4
FA7c	FA	7c	26.8	4
FA8a	FA	8a	29.7	4
FA8b	FA	8b	29.4	4
FA8c	FA	8c	30.9	4
FT1a	FT	1a	29.0	4
