cluster index	parent mass	RTMean
3099	296.183846501029	0.7544308
3199	321.1718479521071	0.75465953
3072	506.2461492281554	0.7547416
3259	157.03523213901505	0.75537586
2726	551.2343306028055	0.7562405
3271	519.2804165799366	0.75740075
3257	389.23933242334266	0.75806856
3071	491.2843263471266	0.7584738
3070	171.11274267854623	0.7588592
2555	361.1713329033809	0.7588415
2920	164.07397087968215	0.7591731
3332	223.6250573247044	0.7599522
2200	524.2830331753044	0.76033574
3256	392.20359721477166	0.760896
3577	306.20201496242163	0.76195395
2216	748.3725960909892	0.76197183
3195	325.14827215596057	0.7622538
3024	807.4466044511906	0.76276153
3272	274.14907237692705	0.7631908
3021	290.17084286383016	0.76390374
2926	568.2723369527313	0.76424414
3004	246.14470964745337	0.76446944
3056	404.22699401733695	0.7649888
3103	284.4844295143659	0.7650276
2723	386.2397301022068	0.7652333
2260	341.1831054461141	0.76534665
3128	265.08509097811566	0.7654888
3069	432.2095858433114	0.7657704
3093	278.6632443868171	0.76611054
3089	292.1653288277723	0.76628065
3300	550.2356690475066	0.76626587
2922	513.3129364639876	0.76701933
3580	607.2915198618549	0.76706433
2742	446.2436889949508	0.7682532
2361	229.15470640663503	0.7683989
3190	414.2710032529136	0.769736
2501	199.1076690523917	0.7705668
2648	321.15674633498963	0.77109146
3630	705.1737688752606	0.7715227
3106	189.12338632642656	0.77162194
3131	374.6897225649664	0.77209693
2970	549.3029719167681	0.77212876
3034	543.2398932509732	0.77224237
3194	350.17389443770503	0.77265525
2523	400.2197800875744	0.77325755
3163	460.235397298294	0.7735599
3372	472.28807750094734	0.77434057
2977	345.2125601604756	0.7747497
3231	405.1980461553258	0.7748319
3116	260.16037600034474	0.7758643
3120	262.64492137888294	0.7762339
3405	416.2864249412305	0.7769921
2990	437.25027942746334	0.777157
3330	260.19682574191125	0.77768266
2531	872.3737872847428	0.77762884
2469	687.2949479828208	0.77968615
3221	337.6712033905573	0.7806846
3158	504.248182528743	0.78118616
2995	275.1550423044648	0.7812649
3439	572.3406265819252	0.78139067
2456	375.1871252869121	0.7814314
3053	252.1540732639269	0.7828341
3275	370.2085053838175	0.7829673
2560	525.3397617065294	0.7844751
3105	522.2664025225032	0.7848896
2532	463.2032085402303	0.7853566
2676	603.2254950651052	0.78542674
3003	674.3347472040468	0.7855279
2712	521.2563906582716	0.78615886
3456	446.2633518559387	0.7868673
3187	305.17089707941045	0.786907
2438	286.17583893454525	0.7869604
3846	217.1546081881233	0.78760535
2536	465.2015861366485	0.7877396
3818	263.19628829706926	0.7881306
3188	457.2399283487708	0.78840005
3902	306.16569893654014	0.78894687
2714	263.1732097967851	0.788955
3620	341.218313433831	0.7898918
3618	629.2889799457809	0.79035676
3181	254.161001929252	0.79040176
3364	290.13470237682566	0.79045576
3428	401.2000512186506	0.7925753
3781	247.6577667124747	0.79276425
3401	294.1813153656627	0.79337823
2566	267.1500777820361	0.7936665
3442	533.2933509683825	0.7948888
3205	476.7102335289007	0.7952544
3241	489.2628161322257	0.79574
3488	197.0921090878176	0.79656875
3313	260.8054817103813	0.7968471
3045	305.153229002028	0.79693854
3585	657.2821973105736	0.7977822
3154	430.2295869375347	0.7978068
3334	397.2192594868986	0.7982805
2707	214.11856856104308	0.7988351
3735	276.1559417477453	0.7990836
4376	550.1183902419859	0.8010095
2674	357.2129450936882	0.8012646
2634	251.15022319001807	0.8017474
3523	219.1339216348845	0.80339646
3635	235.11872670067467	0.8039866
3738	344.18133629982555	0.80481505
3458	464.2068458024968	0.8055612
3296	468.257341566921	0.80557835
3829	288.2031780216976	0.805804
3292	722.3377884384578	0.8058904
3396	589.2821273343501	0.807539
2715	155.08154420447235	0.8076906
3551	247.1103508757853	0.80778545
3009	278.67655599817084	0.8091556
3457	818.4617181637161	0.80915916
3423	255.16480635839395	0.80921596
3505	473.2366208213044	0.81043655
3890	218.7904957586007	0.8110266
3282	531.2407328780455	0.81110114
2675	465.1652787481349	0.81114995
3251	390.70432500692567	0.81118846
3578	476.1992546931514	0.8115821
2689	467.1648963291758	0.8118099
3414	361.6714649242113	0.8123781
3192	368.2187459773	0.8127144
2664	487.1473119673891	0.8128063
4740	316.1868363513359	0.81366956
3411	426.2237416836845	0.81434375
3799	426.72031380108	0.81508875
3307	256.1768797572845	0.8162821
3385	565.2970827266888	0.8164023
3534	556.2738293280221	0.81763357
3532	273.6473433911042	0.8180932
3389	414.2141823068752	0.81865126
3621	485.3081158708553	0.8190065
3288	546.288339030757	0.8190962
3424	373.2080806618165	0.8196592
3911	494.3083507287037	0.8203238
3384	310.1159431755078	0.8203667
3420	253.90936709074944	0.8214776
3284	286.1517372188831	0.8214886
3416	239.1366081476069	0.8229832
3237	631.2739963158025	0.8235477
