CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
33195	38731	7	0.9202	9.016
39161	41990	7	0.872	-16.527
39184	41990	7	0.8674	0.501
41990	42781	7	0.9503	16.526
41990	42943	7	0.9181	-0.500
39124	39184	7	0.931	-8.514
39133	39184	7	0.9188	782.439
39155	39184	7	0.9073	765.414
39161	39184	7	0.9273	-17.028
39184	42993	7	0.8908	-765.414
32923	38709	7	0.9231	-17.027
32924	38709	7	0.9248	-8.512
32978	38709	7	0.9283	-0.001
36342	38709	7	0.9152	0.502
36765	38709	7	0.9369	0.001
38047	38709	7	0.9205	-8.012
38709	38731	7	0.9376	17.026
39124	39133	7	0.9675	-790.954
39133	39155	7	0.9222	17.026
39133	39161	7	0.8937	799.468
39133	42904	7	0.9374	790.954
39133	42943	7	0.9067	782.440
39133	42993	7	0.9655	17.025
32923	32978	7	0.917	-17.026
32923	36342	7	0.965	-17.528
32923	36765	7	0.9552	-17.027
32923	38047	7	0.9192	-9.015
32923	38731	7	0.934	-0.001
39124	42943	7	0.8846	-8.514
39161	42943	7	0.8998	-17.027
42904	42943	7	0.9169	-8.513
42943	42993	7	0.9017	-765.415
39124	42904	7	0.9159	-0.000
39155	42904	7	0.8844	773.928
42904	42993	7	0.936	-773.928
32978	36342	7	0.9144	-0.502
32978	38731	7	0.9111	17.025
32924	38047	7	0.9161	-0.501
36765	38047	7	0.9298	8.012
38047	38731	7	0.9325	9.014
32924	36342	7	0.9099	-9.014
32924	36765	7	0.9271	-8.513
39124	39161	7	0.8944	8.514
39155	39161	7	0.9102	782.442
39124	39155	7	0.9476	-773.928
39124	42993	7	0.9385	-773.928
36342	36765	7	0.9159	0.501
36765	38731	7	0.9441	17.026
39155	42993	7	0.9116	-0.000
21153	24128	8	0.9357	-0.001
21153	25020	8	0.9143	-0.001
24128	25020	8	0.9689	0.000
20950	25020	8	0.8645	400.755
40994	41856	9	0.9183	-8.513
15562	17294	10	0.8552	-99.067
16060	17294	10	0.9591	-0.002
17294	18037	10	0.9767	0.001
17294	22333	10	0.8806	-113.087
15562	15969	10	0.8797	31.968
15969	16497	10	0.9771	0.055
15562	16497	10	0.8802	32.023
15562	16060	10	0.8505	-99.065
16060	18037	10	0.9628	-0.002
16060	22333	10	0.8601	-113.090
13029	13702	10	0.8785	49.980
13702	14317	10	0.9543	-63.995
13029	14317	10	0.9646	-14.015
14317	15562	10	0.9048	-33.985
18037	22333	10	0.8907	-113.088
13029	15562	10	0.8771	-47.999
16256	18037	10	0.8599	-0.982
15562	18037	10	0.856	-99.067
18208	19378	13	0.894	-2.051
18208	20167	13	0.9311	83.038
18208	20233	13	0.9575	0.000
18208	27483	13	0.9231	-14.016
12930	18208	13	0.9226	-111.034
17612	18208	13	0.9184	2.051
7322	12930	13	0.9178	14.975
8371	12930	13	0.9048	14.975
10242	12930	13	0.9137	14.976
12930	13290	13	0.8634	42.047
12930	13545	13	0.9103	-14.975
12930	17612	13	0.9231	-113.084
12930	19378	13	0.9283	-113.085
12930	20167	13	0.8976	-27.996
12930	20233	13	0.9196	-111.033
28505	30350	13	0.9768	-0.001
29980	30350	13	0.8854	-0.001
15031	30350	13	0.9359	0.955
13290	13572	13	0.8606	-26.016
13572	24617	13	0.8623	-76.032
25109	28505	13	0.8669	-0.003
24617	27172	13	0.9508	-0.000
27777	30801	13	0.9546	-682.357
7322	27777	13	0.8796	-241.096
8090	27777	13	0.8654	-12.948
8371	27777	13	0.8729	-241.096
10242	27777	13	0.8694	-241.095
13545	27777	13	0.8793	-241.096
15031	27777	13	0.8606	86.994
15031	28505	13	0.9449	0.956
4672	13545	13	0.9582	-0.000
