FeatureID	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b
PF00590.23	7.151	10.032	19.239	17.072	7.568	22.668	6.929	11.487	11.028	21.591	12.799	6.415
PF01509.21	2.271	4.398	8.679	7.981	4.124	12.273	4.526	3.776	11.061	10.443	8.123	1.163
PF16198.8	2.271	4.398	8.309	7.671	3.276	11.575	4.423	3.737	10.935	10.291	8.123	1.163
PF09157.14	0	0.317	0	0	0.063	0	0.032	0	0	0	0	0
PF16732.8	0	0	0	0	0.052	0	0	0	0.092	0	0	0
PF02706.18	0.912	2.176	6.327	6.739	7.999	6.312	2.102	2.981	2.281	8.595	2.524	0.352
PF13807.9	0.454	0.728	2.267	0.61	5.109	2.715	1.515	1.535	1.852	5.818	0.713	0.137
PF13614.9	25.556	31.336	34.769	42.918	31.134	42.809	16.971	35.339	22.895	73.183	23.009	8.619
PF00854.24	2.095	3.46	2.593	2.531	3.835	5.291	3.017	3.902	1.746	6.148	1.914	0.815
PF08448.13	8.72	12.414	10.743	9.148	4.462	12.695	11.038	14.154	18.069	38.52	20.272	4.937
PF01207.20	2.605	2.966	9.534	6.492	6.048	8.717	4.454	4.84	8.579	13.292	4.653	1.272
PF01225.28	7.262	11.097	14.049	18.566	12.436	18.21	7.822	8.902	12.219	27.546	12.369	3.868
PF08245.15	14.967	22.376	31.591	39.291	25.896	41.315	18.909	20.348	32.234	57.681	25.912	7.994
PF02875.24	12.974	18.769	26.438	32.561	22.287	34.652	14.859	16.678	25.293	48.868	22.072	6.625
PF07902.14	0	0	0	0	0	0	0	0	0	0	0	0
PF18994.3	0	0	0	0	0.07	0	0.017	0	0.014	0	0	0.005
PF02092.20	0.106	0.122	0.037	0.201	0.794	0.624	0.138	0.093	0.152	0.031	0.067	0.052
PF01138.24	18.782	37.05	38.282	72.234	27.954	66.227	28.318	38.133	60.988	82.845	40.749	14.061
PF03725.18	13.472	25.873	30.698	50.857	23.158	49.885	18.953	28.37	38.905	57.513	25.947	9.055
PF03726.17	7.833	16.057	17.475	28.62	11.112	28.459	13.517	16.964	27.837	39.85	17.493	5.666
PF00013.32	77.186	116.306	143.634	186.238	82.56	197.808	97.735	152.134	231.062	331.592	158.355	52.275
PF02580.19	2.723	3.602	2.877	3.02	3.274	3.278	1.516	1.999	4.499	5.396	2.603	1.232
PF00528.25	222.708	428.032	257.34	498.983	132.898	407.197	181.247	292.499	224.297	1072.22	395.518	130.385
PF00128.27	71.011	100.915	105.675	131.569	57.983	130.424	62.53	88.127	82.399	230.71	102.735	33.189
PF11941.11	0.925	1.673	1.481	0.95	1.724	2.152	0.499	1.451	0.8	3.207	0.836	0.446
PF13589.9	14.029	19.812	18.551	29.194	16.288	34.876	12.114	20.828	21.216	41.457	36.188	11.686
PF01119.22	1.894	2.671	4.651	5.14	3.974	4.593	2.388	2.757	3.387	8.529	3.722	0.919
PF08676.14	1.894	2.717	4.582	5.111	3.784	4.479	2.199	2.128	3.072	6.995	3.722	0.919
PF08280.14	0	0	0	0	0.096	0	0	0	0	0	0	0
PF05043.16	1.935	6.448	5.514	6.318	3.517	36.833	1.426	2.008	1.447	14.86	10.235	2.537
PF06166.15	1.269	1.289	2.518	3.591	1.102	2.225	0.86	0.548	0.327	1.196	0.835	0.262
PF05045.15	0.032	0	1.44	0.645	0.289	0.549	0.579	0.977	0.879	2.408	0.175	0.024
PF09028.13	0	0	0	0	0	0	0	0	0	0	0	0
PF06605.14	0.168	0.307	0.052	0.184	0.614	0.037	0.113	0.349	0.222	0.756	0.626	0.088
PF02498.20	1.125	1.828	1.527	1.498	0.887	1.668	0.032	0.621	0.43	1.52	1.348	0.251
PF17191.7	3.356	3.541	5.464	4.36	4.952	7.57	1.783	3.085	3.205	6.539	3.593	1.36
PF19833.2	3.356	3.541	5.964	4.521	5.708	7.751	1.791	3.085	3.24	6.602	3.593	1.36
PF06418.17	2.753	4.386	4.431	7.104	6.372	9.909	1.657	3.563	3.011	6.464	3.562	1.517
PF00117.31	12.513	17.798	24.207	32.076	25.909	43.625	18.348	20.504	29.782	48.312	24.96	8.989
PF06426.17	0	0.247	0.111	0.405	0	0	0	0	0.105	0	0.21	0.211
PF00132.27	21.332	94.236	56.282	55.909	27.021	41.556	61.071	104.894	54.794	322.409	148.153	32.744
PF02462.18	0	0	0	0	0	0	0	0	0	0	0.086	0.033
PF14450.9	4.157	5.816	5.282	7.957	4.548	10.387	3.673	4.179	6.701	10.248	6.396	2.455
PF02491.23	0.278	0.511	0.375	0.369	1.815	0.842	0.758	0.89	0.646	3.446	0.758	0.163
PF01098.22	9.061	19.82	10.999	15.819	5.001	17.007	9.378	11.546	13.271	33.243	15.996	5.544
PF13145.9	1.451	3.234	11.028	15.857	4.939	13.427	3.248	3.954	10.868	9.9	3.068	1.123
PF00109.29	4.952	5.58	10.82	12.401	9.331	12.562	6.993	10.367	7.971	38.298	8.831	1.727
PF02801.25	4.952	5.563	10.82	12.401	9.316	12.558	6.987	10.355	7.965	38.298	8.819	1.722
PF04060.16	39.012	39.569	30.738	40.208	10.985	45.212	14.969	23.965	32.063	63.084	37.864	10.411
PF14697.9	3.587	8.444	4.207	4.322	2.29	6.706	5.227	4.527	7.792	21.937	18.21	3.739
PF01266.27	19.676	20.691	30.068	16.74	8.759	31.375	11.338	17.965	12.437	30.19	17.136	9.894
PF07219.16	0	0	0	0	0	0	0	0.054	0	0	0	0
PF00133.25	18.195	31.078	38.365	49.393	32.002	55.298	25.625	31.908	37.673	76.549	39.064	14.314
PF08264.16	21.773	36.231	42.915	57.075	33.171	62.781	27.381	33.91	40.503	82.234	43.392	16.237
PF06827.17	1.229	1.977	3.446	3.218	6.042	3.691	1.067	1.719	1.165	2.761	1.866	0.804
PF12564.11	0	0	0	0	0.053	0.036	0	0	0	0	0	0
PF01555.21	5.372	5.731	4.69	5.85	9.134	3.785	1.736	6.702	2.909	6.314	4.62	2.43
PF02384.19	14.798	24.682	20.572	16.31	12.459	24.268	11.808	24.129	11.817	53.839	21.443	8.265
PF06472.18	0	0	0	0	0	0	0	0	0	0	0	0.008
