FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b
PF00005.30	731.581	2660.151	397.786	1792.267	804.025	2873.406	711.174	950.371	713.727	1335.906	818.988	1185.747
PF12848.10	13.635	34.173	13.321	23.156	27.422	34.231	12.877	17.642	11.205	27.651	30.295	30.056
PF16326.8	2.103	8.756	1.439	3.029	4.441	9.556	2.177	3.768	2.381	5.05	4.991	6.159
PF01513.24	3.612	8.505	3.43	5.503	5.462	12.76	4.147	5.685	4.326	5.772	4.656	4.99
PF20143.2	3.612	8.505	3.399	5.503	5.354	12.76	4.085	5.201	3.967	4.813	4.349	3.976
PF12419.11	0.808	1.967	0.528	2.511	1.209	3.526	1.687	1.96	1.163	1.645	1.658	1.227
PF00176.26	2.197	3.956	3.391	12.08	2.433	18.305	5.815	5.664	3	3.837	2.499	1.818
PF00271.34	28.675	98.216	31.351	65.039	64.51	122.412	33.263	46.786	33.636	63.087	75.871	77.525
PF10646.12	5.132	37.395	1.493	10.161	3.446	46.937	12.096	10.097	6.916	8.506	6.721	6.248
PF00977.24	5.757	40.507	3.277	14.521	9.46	45.786	8.389	13.856	8.008	14.605	9.125	17.814
PF01205.22	1.54	6.779	2.126	3.141	8.184	9.411	2.143	2.109	1.524	2.741	10.902	13.26
PF09186.14	0.854	5.934	0.471	2.474	0.259	9.411	2.063	1.487	0.995	0.845	0.875	0.546
PF03806.16	0.02	0.234	0.051	0.233	0	0.177	0.138	0.087	0.154	0.243	0.06	0.184
PF01471.21	3	33.179	0.56	11.072	4.083	41.163	4.396	5.81	6.113	9.586	5.81	7.056
PF07486.15	4.82	57.118	1.229	12.115	2.718	85.856	9.037	7.871	5.642	14.945	2.563	2.44
PF02463.22	11.797	59.933	9.251	23.556	18.665	60.125	15.007	26.445	14.457	27.402	22.492	31.555
PF13673.10	14.217	36.165	4.771	36.238	15.248	50.037	12.22	11.881	13.797	17.529	14.215	14.185
PF07670.17	6.788	28.384	8.328	17.262	8.208	23.827	6.806	10.072	7.54	12.785	10.576	10.433
PF00015.24	97.975	1007.969	14.668	309.192	59.269	1148.816	139.634	221.933	133.308	241.932	52.01	58.995
PF03807.20	3.795	12.256	1.875	12.42	1.455	15.395	5.431	8.26	3.918	8.826	2.392	3.585
PF14748.9	3.474	12.091	1.875	12.101	1.398	15.395	4.864	7.223	3.918	8.454	2.334	3.585
PF11023.11	0.037	0	0.019	0	0	0	0	0	0	0	0	0
PF08455.13	0.764	1.142	0.497	8.228	0.227	13.419	3.605	3.021	1.219	1.319	0.225	0.428
PF02746.19	1.189	1.109	0.981	1.722	0.422	0.591	0.573	0.942	1.031	2.274	0.205	0.378
PF13378.9	1.918	2.947	2.291	2.569	2.184	1.577	0.756	1.566	1.241	3.641	1.863	2.174
PF09339.13	1.723	3.136	0.44	6.806	0.723	4.979	2.649	5.316	3.068	2.996	0.821	1.75
PF01614.21	1.571	2.933	0.402	6.61	0.723	4.891	2.516	4.718	3.005	2.902	0.821	1.674
PF10750.12	0	0	0	0	0	0	0	0	0	0	0	0
PF01546.31	31.784	67.559	30.439	70.381	52.139	77.405	28.533	54.909	35.374	61.763	50.33	86.598
PF07687.17	23.193	58.578	24.687	55.386	44.491	61.849	21.172	39.027	26.086	45.86	41.899	73.619
PF04211.16	0	0	0	0	0	0	0	0	0	0	0	0
PF13190.9	0.185	0.445	0.032	0.918	0	0.446	0.411	0.328	0.179	0.057	0	0
PF01912.21	0	0	0	0	0	0	0	0	0	0	0	0
PF03833.16	0	0	0	0	0.009	0	0	0	0.011	0	0	0
PF10672.12	2.149	18.289	2.084	2.805	3.99	18.512	2.744	5.181	3.354	8.399	4.849	7.537
PF01368.23	13.778	64.779	12.671	25.609	24.805	72.624	18.303	30.129	18.531	43.553	30.039	49.395
PF02833.17	2.029	7.252	1.475	6.207	2.494	6.928	4.06	7.126	4.413	11.571	4.187	10.611
PF04851.18	17.707	53.322	16.823	68.691	42.761	67.385	21.384	45.229	31.738	41.99	32.667	37.646
PF18195.4	0	0	0	0	0	0.044	0	0	0	0	0	0
PF00710.23	4.616	5.76	3.211	3.567	4.81	4.535	1.411	7.091	3.975	9.784	9.129	10.377
PF17763.4	4.616	5.76	3.211	3.567	4.81	4.535	1.411	7.091	3.975	9.784	9.129	10.377
PF01844.26	0.554	2.136	1.18	4.672	2.253	3.979	0.814	1.294	0.673	1.131	0.752	0.8
PF17957.4	0.006	0	0.089	0	0.036	0	0	0	0	0.018	0	0
PF13750.9	0.006	0	0.065	0.201	0.004	0	0	0	0	0	0.039	0
PF19077.3	0	0	0	0	0.005	0	0.021	0	0	0	0	0
PF05124.15	0	0	0	0	0	0	0	0	0	0	0	0
PF01987.20	5.417	7.087	7.672	7.218	7.477	15.231	6.853	9.088	3.788	5.114	5.345	4.153
PF01751.25	13.604	63.317	19.682	33.506	39.817	79.127	20.808	33.134	19.507	46.16	43.177	57.365
PF01131.23	6.767	31.504	12.067	17.279	17.124	38.183	10.491	16.57	9.201	21.2	17.521	20.739
PF01396.22	3.509	19.492	3.501	15.212	7.124	29.777	12.106	10.859	5.944	11.575	6.84	6.905
PF02778.17	0	0	0	0	0	0	0	0	0	0	0	0
PF01974.20	0	0	0	0	0	0	0	0	0	0	0	0
PF04509.15	65.967	257.416	30.493	149.479	50.873	321.774	119.465	122.315	62.792	93.293	51.88	67.616
PF03358.18	7.307	28.924	6.321	17.114	11.221	40.539	10.493	18.144	10.275	18.217	13.62	13.759
PF00596.24	19.263	85.832	5.822	53.623	22.39	99.492	18.384	29.935	21.089	36.551	19.081	31.311
PF00004.32	28	144.023	43.257	66.635	69.691	173.681	50.151	166.808	92.659	113.792	115.051	147.092
PF16193.8	3.071	6.997	3.803	6.511	6.022	10.097	3.542	5.46	3.468	4.866	7.456	7.973
PF12002.11	3.071	6.997	3.803	6.511	6.022	10.097	3.621	5.46	3.549	4.866	7.456	7.973
PF00872.21	10.696	54.599	45.911	29.643	33.197	36.087	22.323	39.288	30.692	73.194	25.139	49.305
PF00266.22	20.808	111.873	12.943	45.349	29.167	102.38	23.292	46.197	33.202	72.005	47.81	85.014
PF13395.9	0.457	4.123	0.061	0.783	0.208	3.218	0.292	0.087	0.381	0.696	0.166	0.604
PF03990.17	0.054	0	0	2.658	0	4.977	0.346	0	0.314	0	0	0
PF07501.15	4.682	31.441	0.727	14.024	2.129	43.839	9.735	14.993	6.938	8.28	1.997	2.754
PF06737.17	0	0	0.012	0.119	0	0	0	0.04	0	0.079	0.556	1.375
PF00501.31	27.98	87.649	13.783	57.245	27.618	68.548	30.189	42.902	27.006	41.547	36.351	33.05
PF13193.9	4.602	9.814	4.707	11.537	10.365	12.065	4.496	8.194	4.522	6.114	12.722	10.145
PF00550.28	53.582	200.784	8.433	129.543	112.323	161.574	64.38	66.896	57.693	108.152	98.705	110.831
PF00668.23	3.824	12.6	0.769	11.306	1.035	8.416	4.757	5.721	2.948	3.66	1.672	1.283
PF13434.9	0	0	0.008	0	0.032	0	0	0	0	0	0	0
PF01032.21	1.57	11.5	2.457	4.212	7.172	13.982	2.374	4.395	2.664	5.868	8.472	6.908
PF13276.9	7.275	33.107	52.744	31.324	30.748	32.447	12.799	18.788	18.994	34.067	25.538	38.168
PF00665.29	22.939	55.376	115.023	63.653	63.359	52.557	28.717	39.262	41.424	65.409	42.331	68.924
PF13333.9	5.498	15.939	60.418	25.711	28.565	15.135	9.469	10.522	12.689	17.986	13.73	21.427
PF06808.15	4.72	18.486	0.85	17.613	0.874	36.35	13.044	14.442	4.53	7.084	1.457	2.103
PF00378.23	68.668	286.803	31.178	152.75	24.244	246.289	55.11	143.724	84.78	137.764	53.214	83.727
PF07690.19	17.59	52.92	52.638	42.402	45.044	39.22	16.07	24.276	21.851	29.005	46.945	58.777
PF01925.22	1	4.349	2.404	2.602	1.143	8.773	0.736	0.991	1.023	2.353	0.236	0.418
PF01557.21	0.173	0.049	0.341	0.571	0.204	0.317	0.164	0.373	0.249	0.347	0.675	0.253
PF01566.21	0.73	1.138	5.794	2.049	3.587	1.453	0.876	1.312	0.991	0.14	0.807	1.061
PF13091.9	4.811	92.774	8.525	14.782	17.034	76.897	7.869	11.672	10.975	21.414	15.957	18.315
PF11907.11	0	0.246	0.012	0.238	0.015	0.215	0	0.14	0.308	0.443	0	0
PF02591.18	4.076	8.268	4.78	1.728	28.408	1.787	1.067	3.082	2.269	11.969	31.876	28.104
PF03033.23	3.474	15.876	3.41	8.264	5.492	15.48	4.347	8.673	6.272	11.054	9.712	13.229
PF04101.19	4.356	22.933	7.449	10.437	8.181	21.913	5.309	9.798	7.475	13.169	11.207	14.553
PF00310.24	0.68	1.252	2	1.924	2.273	2.52	1.018	1.216	1.072	1.504	2.123	2.021
PF04898.17	0.364	0.643	0.575	1.308	0.725	1.456	0.929	1.104	0.869	0.823	0.728	0.807
PF01645.20	1.006	19.076	0.733	4.929	1.065	20.189	1.838	1.907	1.289	3.422	0.932	0.921
PF01493.22	0.611	11.822	0.835	3.052	0.958	11.313	1.264	1.542	1.208	2.726	0.792	0.897
PF01565.26	16.075	51.332	8.183	20.267	9.522	61.6	14.812	19.553	11.346	18.799	14.017	19.849
PF04030.17	0.023	0	0.022	0	0.063	0	0.036	0.035	0	0	0	0
PF12250.11	0.016	0	0.008	0	0.02	0	0	0	0	0	0	0
PF12249.11	0.016	0	0.008	0	0.02	0	0	0	0	0	0	0
PF12555.11	0	0	0	0	0	0	0	0	0	0	0	0
PF16715.8	0	0	0	0	0	0	0	0	0	0	0	0.05
PF12705.10	2.966	10.746	2.278	4.936	3.589	13.115	4.339	7.25	4.367	8.363	5.421	7.555
PF01341.20	0	0	0.029	0	0	0	0	0	0	0	0.055	0
PF00553.22	0.673	1.344	0.442	1.556	1.157	0.313	1.161	1.218	0.978	0.919	1.256	2.108
PF00348.20	11.293	26.276	12.988	22.859	22.496	28.171	18.571	18.985	16.45	26.522	35.675	38.55
PF17848.4	1.639	2.998	1.189	2.331	0.742	2.938	2.694	1.121	0.915	0.736	0.806	0.775
PF01039.25	40.498	140.93	7.572	90.702	38.731	157.073	52.462	89.986	49.742	84.406	42.062	55.282
PF00364.25	39.863	150.601	17.393	76.961	30.56	145.248	40.363	83.093	43.7	83.329	41.457	69.172
PF02817.20	1.696	2.015	1.421	3.268	3.142	1.406	1.37	14.066	3.464	3.33	4.694	15.204
PF00198.26	1.696	2.015	1.472	3.56	3.122	1.406	1.37	14.164	3.547	3.464	4.909	15.576
PF02749.19	2.098	5.726	2.448	6.03	6.225	8.123	3.307	5.571	4.082	9.727	8.267	17.301
PF01729.22	2.117	5.726	2.462	6.03	6.225	8.394	3.307	5.571	4.082	9.801	8.295	17.301
PF00873.22	4.612	14.448	9.986	9.552	23.759	12.411	6.023	10.54	5.483	11.964	23.838	27.818
PF00912.25	5.713	51.774	2.403	13.473	7.945	58.664	6.207	14.485	8.295	20.525	10.062	16.322
PF00905.25	16.664	122.793	6.829	37.567	16.421	142.058	20.236	35.66	20.423	43.467	20.254	27.669
PF06832.15	0	0	0.003	0	0	0	0	0	0	0.037	0.02	0
PF00012.23	28.712	203.061	28.023	175.411	90.045	338.68	102.313	124.944	85.711	163.813	133.302	205.493
PF04371.18	1.176	1.905	0.894	1.199	1.56	0.942	0.178	1.206	1.023	3.189	2.692	3.464
PF13489.9	2.977	11.588	0.4	4.241	0.248	14.151	4.765	4.997	2.831	3.129	0.568	0.491
PF08442.13	0.026	0.106	0.11	0	0.054	0.093	0	0	0.034	0.102	0.439	1.037
PF00549.22	6.135	7.559	0.635	20.446	5.814	11.088	2.068	3.164	3.06	3.993	6.731	8.809
PF00521.23	13.643	53.245	8.891	28.083	24.298	55.756	14.793	23.757	15.971	33.76	30.512	41.362
PF03989.16	62.415	251.87	42.828	132.685	124.055	260.186	69.789	118.635	80.887	165.184	152.484	210.564
PF02518.29	144.761	925.605	111.734	399.766	197.368	969.868	195.529	303.612	170.542	313.056	198.385	227.888
PF00575.26	306.897	1611.186	88.628	744.485	653.364	1863.287	383.784	516.685	306.69	686.202	647.644	656.654
PF10150.12	6.779	19.702	1.28	7.339	10.886	14.457	2.812	3.695	3.349	9.274	8.836	7.8
PF04313.17	4.496	22.566	5.438	11.877	7.263	19.69	5.036	3.046	6.909	9.262	9.52	11.795
PF18766.4	4.633	22.869	4.177	11.246	6.266	18.548	4.998	3.056	6.86	9.139	8.092	9.223
PF02534.17	1.275	3.022	17.635	5.21	11.305	4.036	2.31	1.882	2.102	4.092	3.209	3.624
PF03583.17	0	0	0.072	0	0	0	0	0	0	0.072	0	0
PF17757.4	4.785	13.193	8.245	10.826	11.734	25.624	6.41	10.467	5.88	13.448	14.498	15.723
PF02559.19	8.833	174.474	7.191	22.315	11.566	124.52	11.519	15.966	8.401	18.156	10.186	10.047
PF00270.32	19.412	57.054	20.961	31.489	48.667	55.751	18.871	28.358	17.738	36.561	58.831	59.418
PF03461.18	1.797	3.775	3.486	3.244	4.015	5.863	2.709	2.771	1.67	3.121	4.166	4.198
PF00204.28	8.729	35.346	9.674	19.836	24.844	44.436	11.734	18.444	11.169	24.587	27.492	36.785
PF18053.4	0	0	0.012	0.026	0	0	0	0	0	0	0	0
PF00986.24	8.777	35.214	7.729	19.644	16.742	44.927	11.409	18.502	11.325	24.427	16.939	27.128
PF02424.18	1.457	11.564	2.245	3.299	2.659	8.07	2.734	4.146	1.965	4.097	3.517	2.391
PF13740.9	2.805	10.088	2.48	5.927	5.544	24.875	3.031	3.204	3.137	4.626	6.218	11.898
PF00990.24	22.704	219.104	8.365	49.266	14.795	197.403	30.127	37.777	29.064	50.863	15.662	19.156
PF00278.25	2.504	15.68	2.192	6.666	10.833	19.622	2.724	3.839	2.92	5.005	11.098	9.547
PF02784.19	2.696	16.944	3.61	7.337	11.044	19.599	2.737	4.541	2.946	6.102	13.35	14.417
PF01909.26	4.23	36.064	1.067	25.082	5.37	29.515	4.013	5.85	15.853	16.344	7.619	6.077
PF04349.15	0	0	0.01	0	0	0	0	0	0	0	0	0
PF00155.24	47.33	148.781	30.361	78.931	50.028	154.994	44.767	81.274	52.651	106.498	70.312	100.468
PF04408.26	0.024	0.044	0.063	1.05	0.044	0	0.041	0.036	0.573	0.305	0.034	0.034
PF07717.19	0.018	0.044	0.044	0.948	0.028	0	0.041	0.036	0.557	0.285	0.024	0.034
PF11898.11	0.018	0.044	0.037	0.948	0.028	0	0.041	0.036	0.557	0.285	0.024	0.034
PF01381.25	157.926	409.351	77.248	401.346	150.443	413.497	129.835	170.356	189.983	227.672	168.872	154.202
PF00232.21	5.783	56.229	8.505	16.07	15.033	67.339	8.575	50.121	45.39	136.139	86.236	187.887
PF01103.26	0.471	0.432	3.743	0.513	4.605	0.326	0.183	0.205	0.251	0.759	5.821	5.64
PF01891.19	0.61	0.615	0.055	0.918	0.131	0.446	0.411	0.391	0.532	0.413	0	0
PF03843.16	0	0	0	0	0	0	0	0	0	0	0.086	0
PF17200.7	2.051	84.903	0.195	9.749	0.29	103.338	0.791	0.555	0.523	9.092	0.396	0.389
PF04172.19	0.742	5.83	2.922	2.061	1.741	6.533	1.587	1.849	1.122	2.685	2.251	3.508
PF07963.15	0.171	1.652	0.469	0	2.397	0.396	0.094	0.295	0.692	0.45	0.376	0.006
PF00114.22	0	0	0	0	0	0	0	0	0	0	0	0.069
PF01926.26	39.468	169.155	36.354	70.891	67.761	185.042	57.826	87.705	53.162	106.101	73.515	111.09
PF07650.20	62.939	314.496	13.707	228.798	149.973	421.928	145.733	129.964	84.748	190.57	177.087	194.238
PF00849.25	11.144	41.601	8.233	19.212	22.336	48.037	11.496	20.513	14.695	31.775	30.722	35.836
PF00171.25	54.542	144.812	10.179	239.34	80.549	164.848	117.204	108.728	91.737	104.604	63.738	68.56
PF00343.23	18.145	122.637	6.513	66.25	39.598	116.419	26.092	31.965	28.542	57.486	49.374	56.792
PF01899.19	0.184	1.358	0.064	1.039	0.176	2.253	0.586	1.436	0.813	0.896	0.095	0.406
PF13519.9	1.945	2.769	0.496	2.027	0.698	1.486	0.656	1.353	1.314	3.126	0.797	0.739
PF00903.28	3.962	11.564	2.041	8.581	3.297	15.625	4.99	7.586	6.224	4.889	3.719	2.476
PF03477.19	24.91	114.462	8.944	45.057	22.222	144.732	26.46	33.373	24.19	45.377	20.557	28.218
PF13597.9	20.836	88.216	8.037	39.481	18.404	111.087	19.938	23.524	17.743	33.709	19.078	21.271
PF11884.11	0	0	0	0	0	0	0	0	0	0	0	0
PF00512.28	88.619	536.92	62.628	245.523	120.383	577.732	121.99	202.648	107.786	181.821	98.316	129.417
PF13417.9	0	0	0.061	0	0.165	0	0	0	0.127	0.073	0	0
PF00043.28	0	0	0.17	0	0	0	0	0.077	0.064	0	0	0
PF00356.24	13.642	77.82	5.188	37.313	11.241	94.86	16.007	24.789	17.857	35.895	13.02	21.598
PF13377.9	18.381	105.332	8.138	44.08	13.732	126.927	19.91	27.269	24.036	42.55	15.136	23.145
PF04879.19	6.872	15.037	0.601	14.13	0.854	13.245	4.946	5.14	16.925	9.103	1.368	1.59
PF00384.25	7.383	15.416	0.756	14.912	1.245	14.073	5.474	6.112	18.395	10.702	2.056	1.992
PF01568.24	1.11	1.252	0.703	1.56	1.227	1.332	1.192	1.788	1.978	2.408	1.837	1.876
PF00704.31	4.494	19.111	3.124	9.481	11.338	28.192	5.888	8.509	6.21	5.914	12.394	13.994
PF06483.14	0	0	0.006	0	0	0	0	0	0.017	0	0	0
PF00085.23	88.853	216.572	29.692	255.466	137.713	279.443	70.421	110.958	81.127	125.283	117.022	116.061
PF00126.30	10.246	38.948	7.954	35.454	8.573	45.03	12.734	20.633	15.067	22.1	9.675	14.717
PF03466.23	10.712	39.227	8.033	35.947	9.246	46.405	13.366	19.075	14.875	20.994	9.575	13.273
PF08402.13	18.446	44.692	67.594	123.75	42.711	114.51	31.393	47.59	31.703	76.243	79.965	86.881
PF08447.15	10.563	61.828	3.916	16.154	6.103	69.585	11.307	11.278	9.725	16.658	6.101	5.458
PF02378.21	32.474	119.585	17.153	96.023	28.464	131.419	31.234	88.938	60.701	169.975	59.956	176.81
PF02302.20	34.783	53.01	11.521	89.228	59.095	75.377	31.556	154.178	78.004	291.571	199.309	466.613
PF00359.25	8.323	9.89	4.414	24.435	8.896	35.22	19.877	12.488	7.441	22.998	6.105	15.421
PF00072.27	309.535	1618.098	193.477	814.194	399.325	1857.718	424.518	669.781	351.133	555.18	320.337	378.961
PF07228.15	2.834	6.687	0.782	7.964	2.571	11.721	3.624	6.321	4.545	3.627	1.91	1.968
PF13581.9	1.13	3.937	1.295	3.989	1.859	4.475	1.078	1.432	0.643	2.442	4.496	4.686
PF06723.16	13.302	113.09	5.792	32.462	17.812	121.995	16.58	25.704	14.784	38.429	19.873	25.025
PF00590.23	5.997	13.617	4.771	13.525	13.238	25.948	10.678	15.777	7.924	9.656	17.071	20.53
PF01509.21	3.496	17.789	2.57	5.889	7.777	21.902	7.271	7.466	3.967	8.53	10.75	9.352
PF16198.8	3.384	16.865	2.57	5.889	7.318	21.768	7.037	6.188	2.86	6.281	9.565	7.37
PF09157.14	0	0	0.043	0	0	0	0.028	0	0	0	0	0
PF16732.8	0	0	0	0	0	0	0	0	0	0	0	0
PF02706.18	3.723	5.863	5.215	3.852	9.253	7.152	2.838	6.514	3.439	11.012	8.167	12.677
PF13807.9	3.421	4.181	3.894	1.371	1.728	0.735	0.745	2.144	1.055	5.143	1.593	1.679
PF13614.9	19.896	56.783	18.085	49.511	20.916	58.128	30.571	31.419	22.593	39.031	19.729	22.015
PF00854.24	4.098	5.999	3.74	5.744	12.65	3.034	1.05	5.233	3.185	9.516	18.27	30.265
PF08448.13	8.388	50.862	1.802	11.045	3.973	54.652	7.427	7.406	7.502	12.921	3.488	3.625
PF01207.20	2.692	11.886	3.357	5.482	7.743	16.747	5.14	9.018	4.588	8.83	8.795	10.175
PF01225.28	6.3	25.87	5.186	13.908	11.607	30.989	9.606	20.011	15.006	30.002	17.169	36.179
PF08245.15	16.424	57.464	13.592	30.497	28.32	61.932	21.963	41.442	26.107	52.713	36.813	65.109
PF02875.24	13.651	46.697	9.944	25.939	22.316	50.891	18.256	36.317	22.716	46.376	30.338	56.635
PF07902.14	0	0	0	0	0	0	0	0	0	0	0	0
PF18994.3	0	0	0.184	0.048	0.033	0	0.038	0.019	0.016	0.034	0.018	0
PF02092.20	0.015	0	0.668	0.059	0.43	0	0.152	0.395	0.344	0.151	0.235	0.553
PF01138.24	20.47	91.594	14.565	52.531	59.222	112.677	42.043	48.622	26.816	67.047	59.333	58.834
PF03725.18	16.113	56.888	11.611	37.605	50.236	69.804	28.731	35.899	19.662	51.753	51.232	51.283
PF03726.17	9.408	44.148	4.72	22.195	25.741	51.866	17.855	22.5	12.738	30.355	26.392	25.987
PF00013.32	71.96	330.305	28.975	193.613	121.429	404.22	121.658	146.174	85.478	166.785	130.5	135.043
PF02580.19	1.345	6.332	3.977	2.486	3.804	9.151	3.943	4.077	3.966	3.33	5.096	6.338
PF00528.25	217.894	987.451	47.178	453.898	249.254	1087.226	200.137	259.61	177.643	289.759	221.283	354.3
PF00128.27	60.794	232.086	34.817	139.558	56.529	257.863	64.384	97.728	68.606	144.776	88.984	160.009
PF11941.11	0.4	2.646	0.678	2.001	0.857	1.649	1.12	3.333	4.196	32.759	4.961	14.79
PF13589.9	6.996	38.595	7.266	30.813	12.742	57.886	18.155	20.555	15.151	30.042	15.184	19.979
PF01119.22	2.268	9.032	2.274	3.704	3.205	10.352	2.431	3.732	2.788	4.617	3.073	4.606
PF08676.14	1.823	8.803	2.34	3.704	3.205	9.901	2.147	3.52	1.963	4.462	3.073	4.606
PF08280.14	0	0	0.048	0	0.033	0	0	0	0	0	0	0.017
PF05043.16	1.23	3.454	0.15	10.259	1.327	11.609	6.634	3.521	1.741	5.981	2.082	5.345
PF06166.15	0.992	1.093	0.057	2.213	1.015	3.119	1.942	2.549	1.646	3.515	1.538	4.251
PF05045.15	0.384	0.064	0.026	0.151	0.024	0.879	0.478	0.211	0.622	0.133	0.024	0.033
PF09028.13	0	0	0	0	0	0	0	0	0	0	0	0
PF06605.14	0.055	2.316	0.821	0.089	0.24	10.451	0.038	0.096	0.064	0.167	0.027	0
PF02498.20	0.245	0.578	1.308	0.698	1.654	5.674	0.77	1.447	0.565	1.657	0.984	1.462
PF17191.7	2.668	7.602	2.355	5.426	2.82	7.196	3.716	5.268	2.681	4.214	2.697	2.118
PF19833.2	2.691	7.794	2.426	5.426	3.117	7.252	3.838	5.776	3.082	5.25	3.507	3.338
PF06418.17	1.694	5.68	4.446	7.343	5.345	6.94	2.053	4.667	3.147	6.952	5.383	9.382
PF00117.31	15.022	45.216	14.598	32.032	24.79	59.099	14.832	33.492	25.111	44.6	33.686	53.81
PF06426.17	0.044	0.192	0.02	1.09	0.237	0.816	0.288	0.9	0.177	0.086	0	0
PF00132.27	71.382	516.33	20.11	139.152	91.449	383.958	32.571	75.26	44.979	140.97	85.973	125.454
PF02462.18	0	0	0.069	0	0	0	0	0	0	0	0	0
PF14450.9	3.168	13.913	3.674	8.939	6.732	15.189	3.782	6.302	3.592	5.338	7.92	10.732
PF02491.23	0.993	2.458	1.931	1.462	4.276	0.335	0.186	1.271	1.037	2.248	5.247	7.989
PF01098.22	6.951	42.568	4.488	19.981	8.056	39.346	9.924	11.149	9.161	14.837	9.585	9.359
PF13145.9	3.135	4.549	0.702	3.995	4.259	13.982	7.653	7.682	3.404	4.123	4.101	3.742
PF00109.29	16.426	31.321	6.306	13.745	27.462	15.362	12.463	15.775	7.568	25.029	27.071	25.675
PF02801.25	16.424	31.321	6.306	13.745	27.413	15.362	12.463	15.785	7.568	25.029	27.071	25.675
PF04060.16	14.556	48.512	7.071	40.39	12.639	65.82	21.968	31.442	18.187	30.534	13.242	25.326
PF14697.9	2.128	34.208	0.201	7.361	0.282	31.406	3.173	6.137	2.744	5.966	0.304	0.424
PF01266.27	17.668	31.793	2.837	84.038	11.768	40.712	10.14	21.188	14.242	18.251	11.353	20.719
PF07219.16	0.019	0	0.012	0	0	0	0	0	0	0	0	0
PF00133.25	18.48	70.852	16.361	44.846	40.836	94.537	31.397	40.658	23.151	50.352	52.45	66.362
PF08264.16	20.029	73.076	18.282	47.924	41.348	99.656	34.686	43.311	24.696	49.323	53.583	64.762
PF06827.17	0.619	3.351	2.326	3.295	3.181	3.899	2.024	5.739	3.277	7.684	4.747	9.471
PF12564.11	0	0	0.004	0	0	0	0	0	0	0	0	0
PF01555.21	1.982	5.931	9.356	9.117	8.103	7.361	2.711	3.029	3.776	5.799	5.876	5.003
PF02384.19	9.295	60.327	11.115	28.184	11.753	59	11.051	10.381	17.661	21.922	14.824	17.746
PF06472.18	0	0.074	0.026	0	0	0	0	0.05	0.022	0	0	0
PF00308.21	4.189	19.333	1.831	12.068	6.048	20.914	3.742	5.464	4.568	8.692	3.587	4.863
