FeatureID	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
PF00020.21	0	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF18253.4	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0	0.482	0.178	0
PF12624.10	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF16908.8	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF16910.8	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF06650.15	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF16909.8	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF09333.14	0	0.016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF07699.16	0	0	0	0	0.152	0	0	0	0	0	0	0	0	0	0	0	0.356	0
PF11662.11	0	0	0	0	0	2.438	0	0	0	0	0	0	0	0	0	0	0.714	0
PF19841.2	0.486	4.567	9.008	2.602	11.393	27.871	1.882	4.379	8.643	2.921	5.359	4.896	2.72	6.112	1.16	3.627	6.569	3.432
PF16109.8	0.951	3.937	8.988	1.54	8.831	23.468	2.106	2.662	5.173	17.455	12.006	13.741	0.761	3.894	2.85	5.074	9.714	2.164
PF07278.14	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF16683.8	0	0	0	0	0	0	0	0.167	0	0	0	0	0	0	0	0	0	0
PF20211.1	0	0.084	0	0	0	0	0	0	0	0	0.025	0	0	0	0	0	0	0
PF20182.1	0	0	0	0	0	0	0	0	0.227	0	0	0	0	0	0	0	0	0
PF16670.8	0	0	0	0	0	1.16	0	0	1.005	0	0	0	0	0	0	0	0.124	0
PF00940.22	0	0	0	0	0	0	0	0.099	0	0	0	0	0	0	0	0.118	0	0
PF11723.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PF06793.15	0	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454	0
PF11280.11	0	0.667	0	0.265	0	0	0	0	1.062	0	0	0	0	0	0	0	0	0
PF15899.8	0	0	0	0.027	0	0	0	0	0	0	0	0	0	0	0	0	0.204	0
PF08735.13	0	0	0.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
