sample_name	filename	plate	plate_location	BA_suppl	BSH_strain	timepoint
P4_F5_TCA_AZ-52_0h.mzML Peak area	P4_F5_TCA_AZ-52_0h.mzML	P4	F5	TCA	AZ-52	0h
P4_F3_TCDCA_AZ-52_0h.mzML Peak area	P4_F3_TCDCA_AZ-52_0h.mzML	P4	F3	TCDCA	AZ-52	0h
P7_F3_TCDCA_AZ-52_0h.mzML Peak area	P7_F3_TCDCA_AZ-52_0h.mzML	P7	F3	TCDCA	AZ-52	0h
P7_F2_TDCA_AZ-52_0h.mzML Peak area	P7_F2_TDCA_AZ-52_0h.mzML	P7	F2	TDCA	AZ-52	0h
P1_F2_TDCA_AZ-52_0h.mzML Peak area	P1_F2_TDCA_AZ-52_0h.mzML	P1	F2	TDCA	AZ-52	0h
P4_F2_TDCA_AZ-52_0h.mzML Peak area	P4_F2_TDCA_AZ-52_0h.mzML	P4	F2	TDCA	AZ-52	0h
P7_F1_TLCA_AZ-52_0h.mzML Peak area	P7_F1_TLCA_AZ-52_0h.mzML	P7	F1	TLCA	AZ-52	0h
P4_F1_TLCA_AZ-52_0h.mzML Peak area	P4_F1_TLCA_AZ-52_0h.mzML	P4	F1	TLCA	AZ-52	0h
P4_F4_TUDCA_AZ-52_0h.mzML Peak area	P4_F4_TUDCA_AZ-52_0h.mzML	P4	F4	TUDCA	AZ-52	0h
P7_F4_TUDCA_AZ-52_0h.mzML Peak area	P7_F4_TUDCA_AZ-52_0h.mzML	P7	F4	TUDCA	AZ-52	0h
P5_F10_GCA_AZ-52_24h.mzML Peak area	P5_F10_GCA_AZ-52_24h.mzML	P5	F10	GCA	AZ-52	24h
P8_F10_GCA_AZ-52_24h.mzML Peak area	P8_F10_GCA_AZ-52_24h.mzML	P8	F10	GCA	AZ-52	24h
P3_F10_GCA_AZ-52_24h.mzML Peak area	P3_F10_GCA_AZ-52_24h.mzML	P3	F10	GCA	AZ-52	24h
P5_F8_GCDCA_AZ-52_24h.mzML Peak area	P5_F8_GCDCA_AZ-52_24h.mzML	P5	F8	GCDCA	AZ-52	24h
P3_F8_GCDCA_AZ-52_24h.mzML Peak area	P3_F8_GCDCA_AZ-52_24h.mzML	P3	F8	GCDCA	AZ-52	24h
P8_F8_GCDCA_AZ-52_24h.mzML Peak area	P8_F8_GCDCA_AZ-52_24h.mzML	P8	F8	GCDCA	AZ-52	24h
P5_F7_GDCA_AZ-52_24h.mzML Peak area	P5_F7_GDCA_AZ-52_24h.mzML	P5	F7	GDCA	AZ-52	24h
P3_F7_GDCA_AZ-52_24h.mzML Peak area	P3_F7_GDCA_AZ-52_24h.mzML	P3	F7	GDCA	AZ-52	24h
P8_F7_GDCA_AZ-52_24h.mzML Peak area	P8_F7_GDCA_AZ-52_24h.mzML	P8	F7	GDCA	AZ-52	24h
P5_F6_GLCA_AZ-52_24h.mzML Peak area	P5_F6_GLCA_AZ-52_24h.mzML	P5	F6	GLCA	AZ-52	24h
P8_F6_GLCA_AZ-52_24h.mzML Peak area	P8_F6_GLCA_AZ-52_24h.mzML	P8	F6	GLCA	AZ-52	24h
P3_F6_GLCA_AZ-52_24h.mzML Peak area	P3_F6_GLCA_AZ-52_24h.mzML	P3	F6	GLCA	AZ-52	24h
P5_F9_GUDCA_AZ-52_24h.mzML Peak area	P5_F9_GUDCA_AZ-52_24h.mzML	P5	F9	GUDCA	AZ-52	24h
P8_F9_GUDCA_AZ-52_24h.mzML Peak area	P8_F9_GUDCA_AZ-52_24h.mzML	P8	F9	GUDCA	AZ-52	24h
P3_F9_GUDCA_AZ-52_24h.mzML Peak area	P3_F9_GUDCA_AZ-52_24h.mzML	P3	F9	GUDCA	AZ-52	24h
P8_F5_TCA_AZ-52_24h.mzML Peak area	P8_F5_TCA_AZ-52_24h.mzML	P8	F5	TCA	AZ-52	24h
P5_F5_TCA_AZ-52_24h.mzML Peak area	P5_F5_TCA_AZ-52_24h.mzML	P5	F5	TCA	AZ-52	24h
P3_F5_TCA_AZ-52_24h.mzML Peak area	P3_F5_TCA_AZ-52_24h.mzML	P3	F5	TCA	AZ-52	24h
P5_F3_TCDCA_AZ-52_24h.mzML Peak area	P5_F3_TCDCA_AZ-52_24h.mzML	P5	F3	TCDCA	AZ-52	24h
P3_F3_TCDCA_AZ-52_24h.mzML Peak area	P3_F3_TCDCA_AZ-52_24h.mzML	P3	F3	TCDCA	AZ-52	24h
P8_F3_TCDCA_AZ-52_24h.mzML Peak area	P8_F3_TCDCA_AZ-52_24h.mzML	P8	F3	TCDCA	AZ-52	24h
P5_F2_TDCA_AZ-52_24h.mzML Peak area	P5_F2_TDCA_AZ-52_24h.mzML	P5	F2	TDCA	AZ-52	24h
P8_F2_TDCA_AZ-52_24h.mzML Peak area	P8_F2_TDCA_AZ-52_24h.mzML	P8	F2	TDCA	AZ-52	24h
P3_F2_TDCA_AZ-52_24h.mzML Peak area	P3_F2_TDCA_AZ-52_24h.mzML	P3	F2	TDCA	AZ-52	24h
P3_F1_TLCA_AZ-52_24h.mzML Peak area	P3_F1_TLCA_AZ-52_24h.mzML	P3	F1	TLCA	AZ-52	24h
P8_F1_TLCA_AZ-52_24h.mzML Peak area	P8_F1_TLCA_AZ-52_24h.mzML	P8	F1	TLCA	AZ-52	24h
P5_F1_TLCA_AZ-52_24h.mzML Peak area	P5_F1_TLCA_AZ-52_24h.mzML	P5	F1	TLCA	AZ-52	24h
P5_F4_TUDCA_AZ-52_24h.mzML Peak area	P5_F4_TUDCA_AZ-52_24h.mzML	P5	F4	TUDCA	AZ-52	24h
P8_F4_TUDCA_AZ-52_24h.mzML Peak area	P8_F4_TUDCA_AZ-52_24h.mzML	P8	F4	TUDCA	AZ-52	24h
P3_F4_TUDCA_AZ-52_24h.mzML Peak area	P3_F4_TUDCA_AZ-52_24h.mzML	P3	F4	TUDCA	AZ-52	24h
P6_F10_GCA_AZ-52_48h.mzML Peak area	P6_F10_GCA_AZ-52_48h.mzML	P6	F10	GCA	AZ-52	48h
P9_F10_GCA_AZ-52_48h.mzML Peak area	P9_F10_GCA_AZ-52_48h.mzML	P9	F10	GCA	AZ-52	48h
P9_F8_GCDCA_AZ-52_48h.mzML Peak area	P9_F8_GCDCA_AZ-52_48h.mzML	P9	F8	GCDCA	AZ-52	48h
P6_F8_GCDCA_AZ-52_48h.mzML Peak area	P6_F8_GCDCA_AZ-52_48h.mzML	P6	F8	GCDCA	AZ-52	48h
P6_F7_GDCA_AZ-52_48h.mzML Peak area	P6_F7_GDCA_AZ-52_48h.mzML	P6	F7	GDCA	AZ-52	48h
P9_F7_GDCA_AZ-52_48h.mzML Peak area	P9_F7_GDCA_AZ-52_48h.mzML	P9	F7	GDCA	AZ-52	48h
P6_F6_GLCA_AZ-52_48h.mzML Peak area	P6_F6_GLCA_AZ-52_48h.mzML	P6	F6	GLCA	AZ-52	48h
P9_F6_GLCA_AZ-52_48h.mzML Peak area	P9_F6_GLCA_AZ-52_48h.mzML	P9	F6	GLCA	AZ-52	48h
P6_F9_GUDCA_AZ-52_48h.mzML Peak area	P6_F9_GUDCA_AZ-52_48h.mzML	P6	F9	GUDCA	AZ-52	48h
P9_F9_GUDCA_AZ-52_48h.mzML Peak area	P9_F9_GUDCA_AZ-52_48h.mzML	P9	F9	GUDCA	AZ-52	48h
P6_F5_TCA_AZ-52_48h.mzML Peak area	P6_F5_TCA_AZ-52_48h.mzML	P6	F5	TCA	AZ-52	48h
P9_F5_TCA_AZ-52_48h.mzML Peak area	P9_F5_TCA_AZ-52_48h.mzML	P9	F5	TCA	AZ-52	48h
P2_F5_TCA_AZ-52_48h.mzML Peak area	P2_F5_TCA_AZ-52_48h.mzML	P2	F5	TCA	AZ-52	48h
P9_F3_TCDCA_AZ-52_48h.mzML Peak area	P9_F3_TCDCA_AZ-52_48h.mzML	P9	F3	TCDCA	AZ-52	48h
P6_F3_TCDCA_AZ-52_48h.mzML Peak area	P6_F3_TCDCA_AZ-52_48h.mzML	P6	F3	TCDCA	AZ-52	48h
P6_F2_TDCA_AZ-52_48h.mzML Peak area	P6_F2_TDCA_AZ-52_48h.mzML	P6	F2	TDCA	AZ-52	48h
P2_F2_TDCA_AZ-52_48h.mzML Peak area	P2_F2_TDCA_AZ-52_48h.mzML	P2	F2	TDCA	AZ-52	48h
P9_F2_TDCA_AZ-52_48h.mzML Peak area	P9_F2_TDCA_AZ-52_48h.mzML	P9	F2	TDCA	AZ-52	48h
P9_F1_TLCA_AZ-52_48h.mzML Peak area	P9_F1_TLCA_AZ-52_48h.mzML	P9	F1	TLCA	AZ-52	48h
P6_F1_TLCA_AZ-52_48h.mzML Peak area	P6_F1_TLCA_AZ-52_48h.mzML	P6	F1	TLCA	AZ-52	48h
P6_F4_TUDCA_AZ-52_48h.mzML Peak area	P6_F4_TUDCA_AZ-52_48h.mzML	P6	F4	TUDCA	AZ-52	48h
P9_F4_TUDCA_AZ-52_48h.mzML Peak area	P9_F4_TUDCA_AZ-52_48h.mzML	P9	F4	TUDCA	AZ-52	48h
