sample_name	filename	plate	plate_location	BA_suppl	BSH_strain	timepoint
P7_G2_TDCA_EcAZ-1-cat_0h.mzML Peak area	P7_G2_TDCA_EcAZ-1-cat_0h.mzML	P7	G2	TDCA	EcAZ-1-cat	0h
P4_G2_TDCA_EcAZ-1-cat_0h.mzML Peak area	P4_G2_TDCA_EcAZ-1-cat_0h.mzML	P4	G2	TDCA	EcAZ-1-cat	0h
P1_G2_TDCA_EcAZ-1-cat_0h.mzML Peak area	P1_G2_TDCA_EcAZ-1-cat_0h.mzML	P1	G2	TDCA	EcAZ-1-cat	0h
P7_G1_TLCA_EcAZ-1-cat_0h.mzML Peak area	P7_G1_TLCA_EcAZ-1-cat_0h.mzML	P7	G1	TLCA	EcAZ-1-cat	0h
P4_G1_TLCA_EcAZ-1-cat_0h.mzML Peak area	P4_G1_TLCA_EcAZ-1-cat_0h.mzML	P4	G1	TLCA	EcAZ-1-cat	0h
P7_G4_TUDCA_EcAZ-1-cat_0h.mzML Peak area	P7_G4_TUDCA_EcAZ-1-cat_0h.mzML	P7	G4	TUDCA	EcAZ-1-cat	0h
P4_G4_TUDCA_EcAZ-1-cat_0h.mzML Peak area	P4_G4_TUDCA_EcAZ-1-cat_0h.mzML	P4	G4	TUDCA	EcAZ-1-cat	0h
P3_G10_GCA_EcAZ-1-cat_24h.mzML Peak area	P3_G10_GCA_EcAZ-1-cat_24h.mzML	P3	G10	GCA	EcAZ-1-cat	24h
P5_G10_GCA_EcAZ-1-cat_24h.mzML Peak area	P5_G10_GCA_EcAZ-1-cat_24h.mzML	P5	G10	GCA	EcAZ-1-cat	24h
P3_G8_GCDCA_EcAZ-1-cat_24h.mzML Peak area	P3_G8_GCDCA_EcAZ-1-cat_24h.mzML	P3	G8	GCDCA	EcAZ-1-cat	24h
P5_G8_GCDCA_EcAZ-1-cat_24h.mzML Peak area	P5_G8_GCDCA_EcAZ-1-cat_24h.mzML	P5	G8	GCDCA	EcAZ-1-cat	24h
P8_G8_GCDCA_EcAZ-1-cat_24h.mzML Peak area	P8_G8_GCDCA_EcAZ-1-cat_24h.mzML	P8	G8	GCDCA	EcAZ-1-cat	24h
P8_G7_GDCA_EcAZ-1-cat_24h.mzML Peak area	P8_G7_GDCA_EcAZ-1-cat_24h.mzML	P8	G7	GDCA	EcAZ-1-cat	24h
P5_G7_GDCA_EcAZ-1-cat_24h.mzML Peak area	P5_G7_GDCA_EcAZ-1-cat_24h.mzML	P5	G7	GDCA	EcAZ-1-cat	24h
P3_G7_GDCA_EcAZ-1-cat_24h.mzML Peak area	P3_G7_GDCA_EcAZ-1-cat_24h.mzML	P3	G7	GDCA	EcAZ-1-cat	24h
P5_G6_GLCA_EcAZ-1-cat_24h.mzML Peak area	P5_G6_GLCA_EcAZ-1-cat_24h.mzML	P5	G6	GLCA	EcAZ-1-cat	24h
P3_G6_GLCA_EcAZ-1-cat_24h.mzML Peak area	P3_G6_GLCA_EcAZ-1-cat_24h.mzML	P3	G6	GLCA	EcAZ-1-cat	24h
P8_G6_GLCA_EcAZ-1-cat_24h.mzML Peak area	P8_G6_GLCA_EcAZ-1-cat_24h.mzML	P8	G6	GLCA	EcAZ-1-cat	24h
P5_G9_GUDCA_EcAZ-1-cat_24h.mzML Peak area	P5_G9_GUDCA_EcAZ-1-cat_24h.mzML	P5	G9	GUDCA	EcAZ-1-cat	24h
P8_G9_GUDCA_EcAZ-1-cat_24h.mzML Peak area	P8_G9_GUDCA_EcAZ-1-cat_24h.mzML	P8	G9	GUDCA	EcAZ-1-cat	24h
P3_G9_GUDCA_EcAZ-1-cat_24h.mzML Peak area	P3_G9_GUDCA_EcAZ-1-cat_24h.mzML	P3	G9	GUDCA	EcAZ-1-cat	24h
P3_G5_TCA_EcAZ-1-cat_24h.mzML Peak area	P3_G5_TCA_EcAZ-1-cat_24h.mzML	P3	G5	TCA	EcAZ-1-cat	24h
P8_G5_TCA_EcAZ-1-cat_24h.mzML Peak area	P8_G5_TCA_EcAZ-1-cat_24h.mzML	P8	G5	TCA	EcAZ-1-cat	24h
P5_G5_TCA_EcAZ-1-cat_24h.mzML Peak area	P5_G5_TCA_EcAZ-1-cat_24h.mzML	P5	G5	TCA	EcAZ-1-cat	24h
P8_G3_TCDCA_EcAZ-1-cat_24h.mzML Peak area	P8_G3_TCDCA_EcAZ-1-cat_24h.mzML	P8	G3	TCDCA	EcAZ-1-cat	24h
P5_G3_TCDCA_EcAZ-1-cat_24h.mzML Peak area	P5_G3_TCDCA_EcAZ-1-cat_24h.mzML	P5	G3	TCDCA	EcAZ-1-cat	24h
P3_G3_TCDCA_EcAZ-1-cat_24h.mzML Peak area	P3_G3_TCDCA_EcAZ-1-cat_24h.mzML	P3	G3	TCDCA	EcAZ-1-cat	24h
P3_G2_TDCA_EcAZ-1-cat_24h.mzML Peak area	P3_G2_TDCA_EcAZ-1-cat_24h.mzML	P3	G2	TDCA	EcAZ-1-cat	24h
P5_G2_TDCA_EcAZ-1-cat_24h.mzML Peak area	P5_G2_TDCA_EcAZ-1-cat_24h.mzML	P5	G2	TDCA	EcAZ-1-cat	24h
P8_G2_TDCA_EcAZ-1-cat_24h.mzML Peak area	P8_G2_TDCA_EcAZ-1-cat_24h.mzML	P8	G2	TDCA	EcAZ-1-cat	24h
P8_G1_TLCA_EcAZ-1-cat_24h.mzML Peak area	P8_G1_TLCA_EcAZ-1-cat_24h.mzML	P8	G1	TLCA	EcAZ-1-cat	24h
P5_G1_TLCA_EcAZ-1-cat_24h.mzML Peak area	P5_G1_TLCA_EcAZ-1-cat_24h.mzML	P5	G1	TLCA	EcAZ-1-cat	24h
P3_G1_TLCA_EcAZ-1-cat_24h.mzML Peak area	P3_G1_TLCA_EcAZ-1-cat_24h.mzML	P3	G1	TLCA	EcAZ-1-cat	24h
P3_G4_TUDCA_EcAZ-1-cat_24h.mzML Peak area	P3_G4_TUDCA_EcAZ-1-cat_24h.mzML	P3	G4	TUDCA	EcAZ-1-cat	24h
P8_G4_TUDCA_EcAZ-1-cat_24h.mzML Peak area	P8_G4_TUDCA_EcAZ-1-cat_24h.mzML	P8	G4	TUDCA	EcAZ-1-cat	24h
P5_G4_TUDCA_EcAZ-1-cat_24h.mzML Peak area	P5_G4_TUDCA_EcAZ-1-cat_24h.mzML	P5	G4	TUDCA	EcAZ-1-cat	24h
P9_G10_GCA_EcAZ-1-cat_48h.mzML Peak area	P9_G10_GCA_EcAZ-1-cat_48h.mzML	P9	G10	GCA	EcAZ-1-cat	48h
P6_G10_GCA_EcAZ-1-cat_48h.mzML Peak area	P6_G10_GCA_EcAZ-1-cat_48h.mzML	P6	G10	GCA	EcAZ-1-cat	48h
P9_G8_GCDCA_EcAZ-1-cat_48h.mzML Peak area	P9_G8_GCDCA_EcAZ-1-cat_48h.mzML	P9	G8	GCDCA	EcAZ-1-cat	48h
P6_G8_GCDCA_EcAZ-1-cat_48h.mzML Peak area	P6_G8_GCDCA_EcAZ-1-cat_48h.mzML	P6	G8	GCDCA	EcAZ-1-cat	48h
P6_G7_GDCA_EcAZ-1-cat_48h.mzML Peak area	P6_G7_GDCA_EcAZ-1-cat_48h.mzML	P6	G7	GDCA	EcAZ-1-cat	48h
P9_G7_GDCA_EcAZ-1-cat_48h.mzML Peak area	P9_G7_GDCA_EcAZ-1-cat_48h.mzML	P9	G7	GDCA	EcAZ-1-cat	48h
P9_G6_GLCA_EcAZ-1-cat_48h.mzML Peak area	P9_G6_GLCA_EcAZ-1-cat_48h.mzML	P9	G6	GLCA	EcAZ-1-cat	48h
P6_G6_GLCA_EcAZ-1-cat_48h.mzML Peak area	P6_G6_GLCA_EcAZ-1-cat_48h.mzML	P6	G6	GLCA	EcAZ-1-cat	48h
P9_G9_GUDCA_EcAZ-1-cat_48h.mzML Peak area	P9_G9_GUDCA_EcAZ-1-cat_48h.mzML	P9	G9	GUDCA	EcAZ-1-cat	48h
P6_G9_GUDCA_EcAZ-1-cat_48h.mzML Peak area	P6_G9_GUDCA_EcAZ-1-cat_48h.mzML	P6	G9	GUDCA	EcAZ-1-cat	48h
P9_G5_TCA_EcAZ-1-cat_48h.mzML Peak area	P9_G5_TCA_EcAZ-1-cat_48h.mzML	P9	G5	TCA	EcAZ-1-cat	48h
P2_G5_TCA_EcAZ-1-cat_48h.mzML Peak area	P2_G5_TCA_EcAZ-1-cat_48h.mzML	P2	G5	TCA	EcAZ-1-cat	48h
P6_G5_TCA_EcAZ-1-cat_48h.mzML Peak area	P6_G5_TCA_EcAZ-1-cat_48h.mzML	P6	G5	TCA	EcAZ-1-cat	48h
P6_G3_TCDCA_EcAZ-1-cat_48h.mzML Peak area	P6_G3_TCDCA_EcAZ-1-cat_48h.mzML	P6	G3	TCDCA	EcAZ-1-cat	48h
P9_G3_TCDCA_EcAZ-1-cat_48h.mzML Peak area	P9_G3_TCDCA_EcAZ-1-cat_48h.mzML	P9	G3	TCDCA	EcAZ-1-cat	48h
P9_G2_TDCA_EcAZ-1-cat_48h.mzML Peak area	P9_G2_TDCA_EcAZ-1-cat_48h.mzML	P9	G2	TDCA	EcAZ-1-cat	48h
P6_G2_TDCA_EcAZ-1-cat_48h.mzML Peak area	P6_G2_TDCA_EcAZ-1-cat_48h.mzML	P6	G2	TDCA	EcAZ-1-cat	48h
P2_G2_TDCA_EcAZ-1-cat_48h.mzML Peak area	P2_G2_TDCA_EcAZ-1-cat_48h.mzML	P2	G2	TDCA	EcAZ-1-cat	48h
P6_G1_TLCA_EcAZ-1-cat_48h.mzML Peak area	P6_G1_TLCA_EcAZ-1-cat_48h.mzML	P6	G1	TLCA	EcAZ-1-cat	48h
P9_G1_TLCA_EcAZ-1-cat_48h.mzML Peak area	P9_G1_TLCA_EcAZ-1-cat_48h.mzML	P9	G1	TLCA	EcAZ-1-cat	48h
P9_G4_TUDCA_EcAZ-1-cat_48h.mzML Peak area	P9_G4_TUDCA_EcAZ-1-cat_48h.mzML	P9	G4	TUDCA	EcAZ-1-cat	48h
P6_G4_TUDCA_EcAZ-1-cat_48h.mzML Peak area	P6_G4_TUDCA_EcAZ-1-cat_48h.mzML	P6	G4	TUDCA	EcAZ-1-cat	48h
P5_E10_GCA_Ep_BSH101_24h.mzML Peak area	P5_E10_GCA_Ep_BSH101_24h.mzML	P5	E10	GCA	Ep-BSH101	24h
P9_E10_GCA_Ep_BSH101_48h.mzML Peak area	P9_E10_GCA_Ep_BSH101_48h.mzML	P9	E10	GCA	Ep-BSH101	48h
P3_E10_GCA_Ep_BSH101_24h.mzML Peak area	P3_E10_GCA_Ep_BSH101_24h.mzML	P3	E10	GCA	Ep-BSH101	24h
P8_E10_GCA_Ep_BSH101_24h.mzML Peak area	P8_E10_GCA_Ep_BSH101_24h.mzML	P8	E10	GCA	Ep-BSH101	24h
P6_E8_GCDCA_Ep_BSH101_48h.mzML Peak area	P6_E8_GCDCA_Ep_BSH101_48h.mzML	P6	E8	GCDCA	Ep-BSH101	48h
P8_E8_GCDCA_Ep_BSH101_24h.mzML Peak area	P8_E8_GCDCA_Ep_BSH101_24h.mzML	P8	E8	GCDCA	Ep-BSH101	24h
P5_E8_GCDCA_Ep_BSH101_24h.mzML Peak area	P5_E8_GCDCA_Ep_BSH101_24h.mzML	P5	E8	GCDCA	Ep-BSH101	24h
P3_E8_GCDCA_Ep_BSH101_24h.mzML Peak area	P3_E8_GCDCA_Ep_BSH101_24h.mzML	P3	E8	GCDCA	Ep-BSH101	24h
P7_E8_GCDCA_Ep_BSH101_0h.mzML Peak area	P7_E8_GCDCA_Ep_BSH101_0h.mzML	P7	E8	GCDCA	Ep-BSH101	0h
P9_E8_GCDCA_Ep_BSH101_48h.mzML Peak area	P9_E8_GCDCA_Ep_BSH101_48h.mzML	P9	E8	GCDCA	Ep-BSH101	48h
P4_E8_GCDCA_Ep_BSH101_0h.mzML Peak area	P4_E8_GCDCA_Ep_BSH101_0h.mzML	P4	E8	GCDCA	Ep-BSH101	0h
P4_E7_GDCA_Ep_BSH101_0h.mzML Peak area	P4_E7_GDCA_Ep_BSH101_0h.mzML	P4	E7	GDCA	Ep-BSH101	0h
P9_E7_GDCA_Ep_BSH101_48h.mzML Peak area	P9_E7_GDCA_Ep_BSH101_48h.mzML	P9	E7	GDCA	Ep-BSH101	48h
P3_E7_GDCA_Ep_BSH101_24h.mzML Peak area	P3_E7_GDCA_Ep_BSH101_24h.mzML	P3	E7	GDCA	Ep-BSH101	24h
P7_E7_GDCA_Ep_BSH101_0h.mzML Peak area	P7_E7_GDCA_Ep_BSH101_0h.mzML	P7	E7	GDCA	Ep-BSH101	0h
P8_E7_GDCA_Ep_BSH101_24h.mzML Peak area	P8_E7_GDCA_Ep_BSH101_24h.mzML	P8	E7	GDCA	Ep-BSH101	24h
P5_E7_GDCA_Ep_BSH101_24h.mzML Peak area	P5_E7_GDCA_Ep_BSH101_24h.mzML	P5	E7	GDCA	Ep-BSH101	24h
P6_E7_GDCA_Ep_BSH101_48h.mzML Peak area	P6_E7_GDCA_Ep_BSH101_48h.mzML	P6	E7	GDCA	Ep-BSH101	48h
P8_E6_GLCA_Ep_BSH101_24h.mzML Peak area	P8_E6_GLCA_Ep_BSH101_24h.mzML	P8	E6	GLCA	Ep-BSH101	24h
P3_E6_GLCA_Ep_BSH101_24h.mzML Peak area	P3_E6_GLCA_Ep_BSH101_24h.mzML	P3	E6	GLCA	Ep-BSH101	24h
P9_E6_GLCA_Ep_BSH101_48h.mzML Peak area	P9_E6_GLCA_Ep_BSH101_48h.mzML	P9	E6	GLCA	Ep-BSH101	48h
P7_E6_GLCA_Ep_BSH101_0h.mzML Peak area	P7_E6_GLCA_Ep_BSH101_0h.mzML	P7	E6	GLCA	Ep-BSH101	0h
P4_E6_GLCA_Ep_BSH101_0h.mzML Peak area	P4_E6_GLCA_Ep_BSH101_0h.mzML	P4	E6	GLCA	Ep-BSH101	0h
P6_E6_GLCA_Ep_BSH101_48h.mzML Peak area	P6_E6_GLCA_Ep_BSH101_48h.mzML	P6	E6	GLCA	Ep-BSH101	48h
P5_E6_GLCA_Ep_BSH101_24h.mzML Peak area	P5_E6_GLCA_Ep_BSH101_24h.mzML	P5	E6	GLCA	Ep-BSH101	24h
P3_E9_GUDCA_Ep_BSH101_24h.mzML Peak area	P3_E9_GUDCA_Ep_BSH101_24h.mzML	P3	E9	GUDCA	Ep-BSH101	24h
P7_E9_GUDCA_Ep_BSH101_0h.mzML Peak area	P7_E9_GUDCA_Ep_BSH101_0h.mzML	P7	E9	GUDCA	Ep-BSH101	0h
P5_E9_GUDCA_Ep_BSH101_24h.mzML Peak area	P5_E9_GUDCA_Ep_BSH101_24h.mzML	P5	E9	GUDCA	Ep-BSH101	24h
P4_E9_GUDCA_Ep_BSH101_0h.mzML Peak area	P4_E9_GUDCA_Ep_BSH101_0h.mzML	P4	E9	GUDCA	Ep-BSH101	0h
P9_E9_GUDCA_Ep_BSH101_48h.mzML Peak area	P9_E9_GUDCA_Ep_BSH101_48h.mzML	P9	E9	GUDCA	Ep-BSH101	48h
P6_E9_GUDCA_Ep_BSH101_48h.mzML Peak area	P6_E9_GUDCA_Ep_BSH101_48h.mzML	P6	E9	GUDCA	Ep-BSH101	48h
P8_E9_GUDCA_Ep_BSH101_24h.mzML Peak area	P8_E9_GUDCA_Ep_BSH101_24h.mzML	P8	E9	GUDCA	Ep-BSH101	24h
P6_E5_TCA_Ep_BSH101_48h.mzML Peak area	P6_E5_TCA_Ep_BSH101_48h.mzML	P6	E5	TCA	Ep-BSH101	48h
P7_E5_TCA_Ep_BSH101_0h.mzML Peak area	P7_E5_TCA_Ep_BSH101_0h.mzML	P7	E5	TCA	Ep-BSH101	0h
P4_E5_TCA_Ep_BSH101_0h.mzML Peak area	P4_E5_TCA_Ep_BSH101_0h.mzML	P4	E5	TCA	Ep-BSH101	0h
P5_E5_TCA_Ep_BSH101_24h.mzML Peak area	P5_E5_TCA_Ep_BSH101_24h.mzML	P5	E5	TCA	Ep-BSH101	24h
P1_E5_TCA_Ep_BSH101_0h.mzML Peak area	P1_E5_TCA_Ep_BSH101_0h.mzML	P1	E5	TCA	Ep-BSH101	0h
P9_E5_TCA_Ep_BSH101_48h.mzML Peak area	P9_E5_TCA_Ep_BSH101_48h.mzML	P9	E5	TCA	Ep-BSH101	48h
P3_E5_TCA_Ep_BSH101_24h.mzML Peak area	P3_E5_TCA_Ep_BSH101_24h.mzML	P3	E5	TCA	Ep-BSH101	24h
P8_E5_TCA_Ep_BSH101_24h.mzML Peak area	P8_E5_TCA_Ep_BSH101_24h.mzML	P8	E5	TCA	Ep-BSH101	24h
P2_E5_TCA_Ep_BSH101_48h.mzML Peak area	P2_E5_TCA_Ep_BSH101_48h.mzML	P2	E5	TCA	Ep-BSH101	48h
P5_E3_TCDCA_Ep_BSH101_24h.mzML Peak area	P5_E3_TCDCA_Ep_BSH101_24h.mzML	P5	E3	TCDCA	Ep-BSH101	24h
P3_E3_TCDCA_Ep_BSH101_24h.mzML Peak area	P3_E3_TCDCA_Ep_BSH101_24h.mzML	P3	E3	TCDCA	Ep-BSH101	24h
P9_E3_TCDCA_Ep_BSH101_48h.mzML Peak area	P9_E3_TCDCA_Ep_BSH101_48h.mzML	P9	E3	TCDCA	Ep-BSH101	48h
P7_E3_TCDCA_Ep_BSH101_0h.mzML Peak area	P7_E3_TCDCA_Ep_BSH101_0h.mzML	P7	E3	TCDCA	Ep-BSH101	0h
P6_E3_TCDCA_Ep_BSH101_48h.mzML Peak area	P6_E3_TCDCA_Ep_BSH101_48h.mzML	P6	E3	TCDCA	Ep-BSH101	48h
P8_E3_TCDCA_Ep_BSH101_24h.mzML Peak area	P8_E3_TCDCA_Ep_BSH101_24h.mzML	P8	E3	TCDCA	Ep-BSH101	24h
P4_E3_TCDCA_Ep_BSH101_0h.mzML Peak area	P4_E3_TCDCA_Ep_BSH101_0h.mzML	P4	E3	TCDCA	Ep-BSH101	0h
P4_E2_TDCA_Ep_BSH101_0h.mzML Peak area	P4_E2_TDCA_Ep_BSH101_0h.mzML	P4	E2	TDCA	Ep-BSH101	0h
P7_E2_TDCA_Ep_BSH101_0h.mzML Peak area	P7_E2_TDCA_Ep_BSH101_0h.mzML	P7	E2	TDCA	Ep-BSH101	0h
P1_E2_TDCA_Ep_BSH101_0h.mzML Peak area	P1_E2_TDCA_Ep_BSH101_0h.mzML	P1	E2	TDCA	Ep-BSH101	0h
P5_E2_TDCA_Ep_BSH101_24h.mzML Peak area	P5_E2_TDCA_Ep_BSH101_24h.mzML	P5	E2	TDCA	Ep-BSH101	24h
P6_E2_TDCA_Ep_BSH101_48h.mzML Peak area	P6_E2_TDCA_Ep_BSH101_48h.mzML	P6	E2	TDCA	Ep-BSH101	48h
P8_E2_TDCA_Ep_BSH101_24h.mzML Peak area	P8_E2_TDCA_Ep_BSH101_24h.mzML	P8	E2	TDCA	Ep-BSH101	24h
P2_E2_TDCA_Ep_BSH101_48h.mzML Peak area	P2_E2_TDCA_Ep_BSH101_48h.mzML	P2	E2	TDCA	Ep-BSH101	48h
P3_E2_TDCA_Ep_BSH101_24h.mzML Peak area	P3_E2_TDCA_Ep_BSH101_24h.mzML	P3	E2	TDCA	Ep-BSH101	24h
P9_E2_TDCA_Ep_BSH101_48h.mzML Peak area	P9_E2_TDCA_Ep_BSH101_48h.mzML	P9	E2	TDCA	Ep-BSH101	48h
P8_E1_TLCA_Ep_BSH101_24h.mzML Peak area	P8_E1_TLCA_Ep_BSH101_24h.mzML	P8	E1	TLCA	Ep-BSH101	24h
P9_E1_TLCA_Ep_BSH101_48h.mzML Peak area	P9_E1_TLCA_Ep_BSH101_48h.mzML	P9	E1	TLCA	Ep-BSH101	48h
P3_E1_TLCA_Ep_BSH101_24h.mzML Peak area	P3_E1_TLCA_Ep_BSH101_24h.mzML	P3	E1	TLCA	Ep-BSH101	24h
P6_E1_TLCA_Ep_BSH101_48h.mzML Peak area	P6_E1_TLCA_Ep_BSH101_48h.mzML	P6	E1	TLCA	Ep-BSH101	48h
P4_E1_TLCA_Ep_BSH101_0h.mzML Peak area	P4_E1_TLCA_Ep_BSH101_0h.mzML	P4	E1	TLCA	Ep-BSH101	0h
P5_E1_TLCA_Ep_BSH101_24h.mzML Peak area	P5_E1_TLCA_Ep_BSH101_24h.mzML	P5	E1	TLCA	Ep-BSH101	24h
P7_E1_TLCA_Ep_BSH101_0h.mzML Peak area	P7_E1_TLCA_Ep_BSH101_0h.mzML	P7	E1	TLCA	Ep-BSH101	0h
P6_E4_TUDCA_Ep_BSH101_48h.mzML Peak area	P6_E4_TUDCA_Ep_BSH101_48h.mzML	P6	E4	TUDCA	Ep-BSH101	48h
P8_E4_TUDCA_Ep_BSH101_24h.mzML Peak area	P8_E4_TUDCA_Ep_BSH101_24h.mzML	P8	E4	TUDCA	Ep-BSH101	24h
P5_E4_TUDCA_Ep_BSH101_24h.mzML Peak area	P5_E4_TUDCA_Ep_BSH101_24h.mzML	P5	E4	TUDCA	Ep-BSH101	24h
P3_E4_TUDCA_Ep_BSH101_24h.mzML Peak area	P3_E4_TUDCA_Ep_BSH101_24h.mzML	P3	E4	TUDCA	Ep-BSH101	24h
P4_E4_TUDCA_Ep_BSH101_0h.mzML Peak area	P4_E4_TUDCA_Ep_BSH101_0h.mzML	P4	E4	TUDCA	Ep-BSH101	0h
P7_E4_TUDCA_Ep_BSH101_0h.mzML Peak area	P7_E4_TUDCA_Ep_BSH101_0h.mzML	P7	E4	TUDCA	Ep-BSH101	0h
P9_E4_TUDCA_Ep_BSH101_48h.mzML Peak area	P9_E4_TUDCA_Ep_BSH101_48h.mzML	P9	E4	TUDCA	Ep-BSH101	48h
P6_E10_GCA_Ep_BSH101_48h.mzML Peak area	P6_E10_GCA_Ep_BSH101_48h.mzML	P6	E10	GCA	Ep-BSH101	48h
P7_E10_GCA_Ep_BSH101_0h.mzML Peak area	P7_E10_GCA_Ep_BSH101_0h.mzML	P7	E10	GCA	Ep-BSH101	0h
P4_E10_GCA_Ep_BSH101_0h.mzML Peak area	P4_E10_GCA_Ep_BSH101_0h.mzML	P4	E10	GCA	Ep-BSH101	0h
P5_D10_GCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D10_GCA_LCAG-95_BSH1208_24h.mzML	P5	D10	GCA	LCAG-95-BSH1208	24h
P4_D10_GCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D10_GCA_LCAG-95_BSH1208_0h.mzML	P4	D10	GCA	LCAG-95-BSH1208	0h
P9_D10_GCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D10_GCA_LCAG-95_BSH1208_48h.mzML	P9	D10	GCA	LCAG-95-BSH1208	48h
P7_D10_GCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D10_GCA_LCAG-95_BSH1208_0h.mzML	P7	D10	GCA	LCAG-95-BSH1208	0h
P8_D10_GCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D10_GCA_LCAG-95_BSH1208_24h.mzML	P8	D10	GCA	LCAG-95-BSH1208	24h
P6_D10_GCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D10_GCA_LCAG-95_BSH1208_48h.mzML	P6	D10	GCA	LCAG-95-BSH1208	48h
P3_D10_GCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D10_GCA_LCAG-95_BSH1208_24h.mzML	P3	D10	GCA	LCAG-95-BSH1208	24h
P4_D8_GCDCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D8_GCDCA_LCAG-95_BSH1208_0h.mzML	P4	D8	GCDCA	LCAG-95-BSH1208	0h
P8_D8_GCDCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D8_GCDCA_LCAG-95_BSH1208_24h.mzML	P8	D8	GCDCA	LCAG-95-BSH1208	24h
P6_D8_GCDCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D8_GCDCA_LCAG-95_BSH1208_48h.mzML	P6	D8	GCDCA	LCAG-95-BSH1208	48h
P9_D8_GCDCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D8_GCDCA_LCAG-95_BSH1208_48h.mzML	P9	D8	GCDCA	LCAG-95-BSH1208	48h
P7_D8_GCDCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D8_GCDCA_LCAG-95_BSH1208_0h.mzML	P7	D8	GCDCA	LCAG-95-BSH1208	0h
P5_D8_GCDCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D8_GCDCA_LCAG-95_BSH1208_24h.mzML	P5	D8	GCDCA	LCAG-95-BSH1208	24h
P3_D8_GCDCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D8_GCDCA_LCAG-95_BSH1208_24h.mzML	P3	D8	GCDCA	LCAG-95-BSH1208	24h
P3_D7_GDCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D7_GDCA_LCAG-95_BSH1208_24h.mzML	P3	D7	GDCA	LCAG-95-BSH1208	24h
P6_D7_GDCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D7_GDCA_LCAG-95_BSH1208_48h.mzML	P6	D7	GDCA	LCAG-95-BSH1208	48h
P7_D7_GDCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D7_GDCA_LCAG-95_BSH1208_0h.mzML	P7	D7	GDCA	LCAG-95-BSH1208	0h
P4_D7_GDCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D7_GDCA_LCAG-95_BSH1208_0h.mzML	P4	D7	GDCA	LCAG-95-BSH1208	0h
P8_D7_GDCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D7_GDCA_LCAG-95_BSH1208_24h.mzML	P8	D7	GDCA	LCAG-95-BSH1208	24h
P9_D7_GDCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D7_GDCA_LCAG-95_BSH1208_48h.mzML	P9	D7	GDCA	LCAG-95-BSH1208	48h
P5_D7_GDCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D7_GDCA_LCAG-95_BSH1208_24h.mzML	P5	D7	GDCA	LCAG-95-BSH1208	24h
P7_D6_GLCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D6_GLCA_LCAG-95_BSH1208_0h.mzML	P7	D6	GLCA	LCAG-95-BSH1208	0h
P3_D6_GLCA_LCAG-95_BSH1208_24h.mzML Peak area	P3_D6_GLCA_LCAG-95_BSH1208_24h.mzML	P3	D6	GLCA	LCAG-95-BSH1208	24h
P4_D6_GLCA_LCAG-95_BSH1208_0h.mzML Peak area	P4_D6_GLCA_LCAG-95_BSH1208_0h.mzML	P4	D6	GLCA	LCAG-95-BSH1208	0h
P6_D6_GLCA_LCAG-95_BSH1208_48h.mzML Peak area	P6_D6_GLCA_LCAG-95_BSH1208_48h.mzML	P6	D6	GLCA	LCAG-95-BSH1208	48h
P9_D6_GLCA_LCAG-95_BSH1208_48h.mzML Peak area	P9_D6_GLCA_LCAG-95_BSH1208_48h.mzML	P9	D6	GLCA	LCAG-95-BSH1208	48h
P8_D6_GLCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D6_GLCA_LCAG-95_BSH1208_24h.mzML	P8	D6	GLCA	LCAG-95-BSH1208	24h
P5_D6_GLCA_LCAG-95_BSH1208_24h.mzML Peak area	P5_D6_GLCA_LCAG-95_BSH1208_24h.mzML	P5	D6	GLCA	LCAG-95-BSH1208	24h
P8_D9_GUDCA_LCAG-95_BSH1208_24h.mzML Peak area	P8_D9_GUDCA_LCAG-95_BSH1208_24h.mzML	P8	D9	GUDCA	LCAG-95-BSH1208	24h
P7_D9_GUDCA_LCAG-95_BSH1208_0h.mzML Peak area	P7_D9_GUDCA_LCAG-95_BSH1208_0h.mzML	P7	D9	GUDCA	LCAG-95-BSH1208	0h
