FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
tr_R7JVZ2_R7JVZ2_9FIRM	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	2	2	5	3	1	5	5	1	2	2	3	10	4	0	8	2
tr_R7JW99_R7JW99_9CLOT	3	1	2	1	1	1	2	2	3	1	1	0	1	3	1	1	1	2	3	3	3	1	2	3	1	4	4	4	3	4	1	3	5	1	5	2	1	9	5	0	14	3
tr_R7KEG1_R7KEG1_9CLOT	0	0	1	0	0	0	1	0	2	1	0	0	1	1	0	1	0	0	1	1	0	1	0	1	3	4	3	6	3	4	1	3	3	6	3	2	3	7	3	3	8	1
tr_R7KNZ1_R7KNZ1_9BACE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_R7KP88_R7KP88_9BACE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
tr_R7KX66_R7KX66_9FIRM	1	0	0	1	0	1	1	1	2	1	0	0	1	1	0	1	0	0	1	1	1	1	1	2	3	4	3	7	4	5	0	2	2	0	4	2	2	6	4	1	13	1
tr_R7L5K0_R7L5K0_9CLOT	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	2	2	1	2	2	3	1	1	1	1	1	1	1	0	1	1	2
tr_R7LRG3_R7LRG3_9CLOT	3	1	1	2	1	1	3	2	4	3	1	1	4	2	2	2	1	3	3	3	3	2	3	4	15	8	8	24	12	7	2	8	7	7	5	4	5	15	6	4	16	4
tr_R7QYW0_R7QYW0_9FIRM	2	1	0	2	0	1	1	1	2	1	0	0	4	2	1	2	1	1	3	3	1	1	3	4	6	3	4	8	9	5	2	6	6	3	3	2	4	11	6	3	9	3
tr_R7R1N8_R7R1N8_9FIRM	4	2	3	3	1	2	2	2	2	2	1	1	4	2	3	2	2	3	4	3	2	1	4	4	16	5	5	8	12	5	2	7	7	4	5	4	6	17	8	2	12	3
tr_R7ZTT8_R7ZTT8_9BACT	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	2	1	0	0	0	0	1	0	0	0	0
tr_R8W4N1_R8W4N1_9CLOT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0
tr_R8Y3X4_R8Y3X4_ACICA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
tr_R9H255_R9H255_BACT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_R9HF01_R9HF01_BACT4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	2	1	0	0	0	0	0	0	0	1	0
tr_R9HKI4_R9HKI4_PHOVU	0	0	0	0	0	0	0	2	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_R9HS41_R9HS41_BACUN	0	0	1	0	0	0	0	1	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	3	1	1	0	2	1	0	0	0	0	0	0	0	2	0
tr_R9I9X1_R9I9X1_9BACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_R9KZ34_R9KZ34_9ACTN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_S0FQ07_S0FQ07_RUMCE	4	2	9	1	6	2	4	7	9	9	1	3	2	2	11	4	9	7	8	10	4	4	2	0	4	50	84	109	149	102	19	81	83	14	27	8	7	153	36	14	37	12
tr_S0GND7_S0GND7_9BACT	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	4	7	5	0	9	5	0	0	0	0	0	0	0	9	0
tr_S0K1U2_S0K1U2_9ENTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_S0KMJ6_S0KMJ6_9ENTE	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_S1NFJ1_S1NFJ1_9ENTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_S1R0R2_S1R0R2_9ENTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1
tr_S1RL15_S1RL15_9ENTE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
