FeatureID	Name	rab.all	rab.win.FA	rab.win.NA	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	diffexpr
PF13175.9	AAA ATPase domain	3.93364374459228	4.66352874962592	2.42793456673425	2.18490676225098	1.70079841581529	-1.14257712620966	0.0759494229605591	0.0132573763542848	0.0798838981364704	0.00638881118881119	0.0419296957645692	up
PF20469.1	Overcoming lysogenization defect protein-like, TOPRIM domain	1.81942567681882	3.31480656417457	-0.733109306307902	3.98639474741128	3.14785461007077	-1.21873547051735	0.0186544736402646	0.00521557332111597	0.0497398080479403	0.00123236763236763	0.0154343306076249	up
PF12988.10	TraQ conjugal transfer protein	-1.37814326371492	-1.54204838776265	-1.27474534434454	-0.719069991271971	4.23985323539464	0.139933498619016	0.434666669128451	0.548286874646515	0.694465190234985	0.589770629370629	0.722425421075315	none
PF09357.13	RteC protein	-1.95193495820167	-3.01197272589949	-1.2229087904631	-1.84199263983335	4.11234170492439	0.368485059491472	0.310459701724815	0.378533702780196	0.530226956982159	0.352770829170829	0.497395076529095	none
PF05580.15	SpoIVB peptidase S55	1.27484810652226	2.78166113978113	-0.62680798811721	3.37746961019091	2.51847304600691	-1.38603281311901	0.0126670274360725	0.00504668185735051	0.0475693927626372	0.000941458541458541	0.0134676368672097	up
PF12897.10	Aspartate amino-transferase	1.9844550048713	2.6791137767857	1.50479085259638	0.978366870786399	1.76405037433076	-0.481162986777388	0.274483688019865	0.182713794943651	0.352798374816429	0.22271968031968	0.388116719207465	none
PF12700.10	HlyD family secretion protein	1.83011236468693	3.06903140284257	1.04853050196082	2.05324296512333	1.8634312604438	-0.976217761790505	0.0700000611592504	0.0181613303443256	0.0954733369124589	0.00938261738261738	0.0513430789193014	up
PF09339.13	IclR helix-turn-helix domain	-1.25544449310055	-1.64316674949622	-0.817094982258546	-1.10927048575565	4.44473562334117	0.218443748701836	0.39466667074908	0.495671089177216	0.65055981926385	0.512543056943057	0.660303431652144	none
PF01614.21	Bacterial transcriptional regulator	-1.19789951521853	-1.66603311507597	-0.627590222007128	-1.375003881337	4.50269615278234	0.272425725952795	0.365756167909403	0.491527471688382	0.641658762033107	0.48171028971029	0.629692496811587	none
PF07456.14	Heptaprenyl diphosphate synthase component I	-0.36791373078713	0.482384551878932	-0.81482462948015	1.28639948935281	3.79770712339934	-0.284602402483407	0.341105935917739	0.451853301521196	0.599908567660333	0.418292507492507	0.576039611754017	none
PF14266.9	Putative component of 'biosynthetic module'	-0.21510946139288	-1.45789437813923	0.833459727008543	-2.19077618411257	4.10867498710717	0.493323653306119	0.266666677714643	0.269907643700936	0.43338120708213	0.210372427572428	0.367530144131063	none
PF11202.11	Phosphoribosyl transferase (PRTase)	-2.19887522703818	-3.12276857366999	-1.22308284571261	-2.04676474858823	4.97555832931481	0.3619569362088	0.323784151346264	0.38327934922521	0.539126293954736	0.378746853146853	0.530104018870371	none
PF15608.9	PELOTA RNA binding domain	-2.19615008445577	-3.11481477179062	-1.14793256388229	-2.08627568755133	4.78099633653465	0.39421612581729	0.329780153690359	0.377797893323031	0.532898220105141	0.375320679320679	0.527324105369964	none
PF14205.9	Cysteine-rich KTR	-1.82683962415741	-1.25668039547213	-2.11927371571957	0.56170830808694	4.63767427748745	-0.107649769495151	0.438374419369845	0.552380028357393	0.694054302878781	0.625109290709291	0.750808152965454	none
PF03862.16	SpoVAC/SpoVAEB sporulation membrane protein	1.27427219638453	2.05802123559361	0.265139167371229	1.57912434096033	3.49841914764066	-0.453871112390505	0.227333347706512	0.196447871955828	0.354006548789778	0.148083916083916	0.29775411077183	none
