CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
34161	42229	-4.063	0.000	0.7412	0.6740	1
34169	34670	-3.994	0.000	0.7470	0.4553	1
34169	35361	-3.995	0.000	0.7493	0.4588	1
34169	38099	0.001	0.000	0.7509	0.4768	1
34184	34815	-0.000	0.000	0.8134	0.5826	1
34184	35253	-2.016	0.000	0.7430	0.2641	1
34194	39222	0.039	0.000	0.8153	0.4467	1
34194	39841	3.047	0.000	0.7656	0.5480	1
34214	34766	-2.015	0.000	0.7948	0.4995	1
34214	37854	-0.000	0.000	0.7759	0.5308	1
34214	38353	-2.015	0.000	0.7598	0.3207	1
34251	38420	-1.029	0.000	0.7535	0.6946	1
34251	42033	-3.010	0.000	0.7369	0.7297	1
34251	42845	9.945	0.000	0.7465	0.7443	1
34259	37722	-0.035	0.000	0.8824	0.6221	1
34259	38529	0.001	0.000	0.9431	0.8701	1
34271	37863	-3.045	0.000	0.8394	0.6523	1
34349	36902	-2.015	0.000	0.9007	0.6958	1
34349	37974	-0.000	0.000	0.8683	0.6432	1
34396	36672	-2.016	0.000	0.7504	0.4149	1
34397	36842	-2.016	0.000	0.7583	0.7883	1
34414	37763	0.002	0.000	0.7767	0.2504	1
34417	38318	7.080	0.000	0.7178	0.3159	1
34440	34950	0.001	0.000	0.9270	0.7462	1
34453	38279	0.960	0.000	0.8032	0.5704	1
34453	39296	-2.016	0.000	0.8168	0.5690	1
34453	41240	0.960	0.000	0.8036	0.5834	1
34458	34744	3.010	0.000	0.7044	0.6089	1
34458	35796	-0.985	0.000	0.7377	0.5649	1
34458	38363	0.958	0.000	0.8300	0.6172	1
34458	41342	0.959	0.000	0.8201	0.5364	1
34458	42229	2.975	0.000	0.7377	0.6835	1
34462	41333	0.960	0.000	0.7253	0.6094	1
34469	34660	9.984	0.000	0.7130	0.6714	1
34469	35349	9.984	0.000	0.7393	0.6679	1
34469	35451	3.012	0.000	0.7422	0.6770	1
34469	35613	-4.030	0.000	0.7050	0.7455	1
34469	35777	-0.986	0.000	0.7783	0.4140	1
34469	36514	-4.031	0.000	0.7312	0.7826	1
34469	36687	-2.052	0.000	0.7118	0.7920	1
34469	36990	1.943	0.000	0.7469	0.7094	1
34469	38215	0.959	0.000	0.8604	0.7429	1
34469	40073	-2.052	0.000	0.7393	0.8120	1
34469	40254	5.976	0.000	0.7073	0.7420	1
34469	41263	0.958	0.000	0.8937	0.8445	1
34469	42301	2.974	0.000	0.8154	0.7517	1
34495	36769	-2.015	0.000	0.8284	0.3552	1
34495	36773	-4.021	0.000	0.7374	0.3174	1
34495	36884	-4.977	0.000	0.7642	0.3017	1
34559	39872	3.996	0.000	0.7174	0.6202	1
34573	37620	-2.015	0.000	0.8577	0.4181	1
34578	37578	-2.018	0.000	0.8249	0.3930	1
34648	35335	0.001	0.000	0.9611	0.9072	1
34656	35366	-0.000	0.000	0.9267	0.7659	1
34660	35349	0.000	0.000	0.9344	0.8557	1
34660	36927	1.979	0.000	0.8906	0.7734	1
34660	38100	3.995	0.000	0.8386	0.6699	1
34660	40254	-4.009	0.000	0.8439	0.7077	1
34670	35323	-2.006	0.000	0.7201	0.5805	1
34670	35361	-0.000	0.000	0.9663	0.9413	1
34670	35660	3.995	0.000	0.7688	0.8269	1
34670	37165	1.979	0.000	0.9029	0.8773	1
34671	35317	-0.001	0.000	0.7445	0.4481	1
34671	40495	-10.020	0.000	0.7715	0.5423	1
34679	35376	0.002	0.000	0.9131	0.6994	1
34689	35364	0.002	0.000	0.9272	0.8757	1
34689	36517	3.998	0.000	0.7305	0.7319	1
34689	37193	1.981	0.000	0.8365	0.7390	1
34689	37989	-2.015	0.000	0.7222	0.7163	1
34689	39398	-10.019	0.000	0.8664	0.7685	1
34689	39422	-2.014	0.000	0.9097	0.7967	1
