cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
2217	155.0815376546255	0.5852754	10		
1234	155.11796025954993	0.43876696	10		
4942	155.11800057054313	0.91534424	-1		
15834	156.01086051449434	2.0130484	-1		
1087	156.0421922127082	0.42159125	10		
3141	156.06541344422652	0.5873884	10		
858	156.07681772800456	0.41849747	10	858.0	HISTIDINE
4650	156.0768281511211	0.85870486	10	4650.0	HISTIDINE
20830	156.10214367536886	2.4531083	-1		
855	156.14963201958386	0.41221666	485		
10204	156.14971779504367	1.6256608	485		
671	156.62916529910905	0.3999847	-1		
884	157.08023690578577	0.4290319	10		
15319	157.09731942013423	1.9653101	450		
633	157.13363386538018	0.34324357	10		
766	157.15267035723846	0.41188708	10		
12954	157.6936976737408	1.8136364	-1		
5688	158.02722344093272	1.0411677	10		
2951	158.08131470014715	0.64166963	-1		
5565	158.08138697333936	1.02364	10		
9023	158.0814222846496	1.5203829	-1	9023.0	Tiglylglycine - 30.0 eV
2165	158.11767770707056	0.5742419	10		
5774	158.11775100847666	1.0255953	-1		
23365	158.1177682753349	2.7989242	-1		
31322	158.15416040729556	5.3190536	10		
706	158.16521593819772	0.39472842	-1		
37012	158.81041970344484	8.291685	-1		
99	158.96162629667427	0.081934914	-1		
816	158.96398210490915	0.41107145	-1		
49541	158.96406749081908	10.760588	-1		
49333	159.06647826245714	10.682194	-1		
1152	159.07652311927876	0.4604619	-1		
8979	159.09186175834594	1.543967	10	8979.0	Massbank:LU054304 1,5-Naphthalenediamine|naphthalene-1,5-diamine
3579	159.11285277111568	0.71996266	44		
5320	159.11287986804714	0.96692324	450		
11705	159.1129048352523	1.7050078	44		
1890	159.12087900287884	0.5653098	10		
20183	159.14945873027835	2.4135346	-1		
1122	159.9692392342343	0.3942593	48		
4019	160.06089517127876	0.78017783	-1		
4167	160.07584847778375	0.77254575	10	4167.0	C2_0_N-Acyl_Dopamine
21876	160.07589703163427	2.5921884	-1		
12421	160.0759641359854	1.7400846	-1		
9126	160.09696073173797	1.5020901	-1	9126.0	C2:0 N-Acyl 5-aminovaleric acid
3253	160.09699569737768	0.6622883	10		
5765	160.09700490381056	1.0536294	44	5765.0	C2:0 N-Acyl 5-aminovaleric acid
2598	160.10807019896546	0.60211873	10	2598.0	Candidate 5-aminovaleric acid-C2:0 (delta mass:42.0105)
1574	160.13330405138342	0.4711761	10	1574.0	4-Carboxy-N,N,N-trimethylbutan-1-aminium
3572	160.13332021109977	0.7139372	10		
12895	160.1334353614847	1.8085295	10		
3919	161.08122407634994	0.73568636	253		
4651	161.08167545613898	0.8815257	10		
48217	161.0820918465326	10.092028	-1		
1144	161.0922071778936	0.45476475	-1		
10861	161.10746392281564	1.6596773	-1	10861.0	Tryptamine
8312	161.117415483125	1.5330306	-1		
817	161.12846322875944	0.4052803	-1		
3697	161.12879348817182	0.7423886	253		
1502	161.13647475524897	0.47764683	10		
4514	162.05508655474196	0.8470505	10	4514.0	1,5-isoquinolinediol
7426	162.05511373057809	1.4172229	-1		
12400	162.05515083478846	1.7542204	10	12400.0	Spectral Match to Indole-2-carboxylic acid from NIST14
17064	162.05515706801327	2.0986013	10	17064.0	4-hydroxy-2-quinolone CollisionEnergy:205060
14828	162.0552075796633	1.9408883	10	14828.0	1,5-isoquinolinediol
3314	162.05863081176514	0.7016103	253		
2438	162.07613463222413	0.5937603	-1	2438.0	C2:0 N-Acyl Homoserine
1350	162.07615394057865	0.4613671	-1	1350.0	ALPHA-AMINOADIPIC ACID
10437	162.076251190236	1.6155899	-1		
1096	162.11253436553238	0.44781762	10	1096.0	Spectral Match to L-Carnitine from NIST14
3699	162.13183060956226	0.73604256	253		
12508	163.07554283940644	1.7909708	-1		
48910	163.0977077662613	10.539223	112	48910.0	146422-58-4
49246	163.09771838774913	10.661748	112	49246.0	146422-58-4
48746	163.09771983576474	10.4365425	112	48746.0	146422-58-4
48044	163.0977277278381	10.102399	112	48044.0	146422-58-4
47139	163.0977267932522	9.552012	112	47139.0	146422-58-4
48473	163.09773268275117	10.268292	112	48473.0	146422-58-4
47450	163.09773470535958	9.771756	112	47450.0	146422-58-4
47888	163.09773304873255	9.900284	112	47888.0	146422-58-4
46450	163.09774791691655	9.379765	112	46450.0	146422-58-4
22943	163.11190545656925	2.7354357	-1		
11649	163.13300610169912	1.6817926	-1		
19148	163.13307983882842	2.267323	-1	19148.0	Massbank: Diethylene glycol monobutyl ether|2-(2-butoxyethoxy)ethanol
953	163.97789649079022	0.4391679	-1		
16216	164.0708341752193	2.0393417	10		
943	164.12826318190062	0.43346837	10		
2771	165.05470059777286	0.6201789	-1	2771.0	Spectral Match to L-Tyrosine from NIST14
8296	165.0549105947048	1.5020176	-1		
48286	165.0771102707425	10.112938	-1		
48532	165.07711685606444	10.270844	-1		
1959	165.10236053818736	0.5101344	10		
18107	165.10245616633426	2.1741333	-1		
48921	165.11343782738945	10.517032	-1		
48155	165.11345177073957	10.095377	-1		
49299	165.11344908278818	10.678311	-1		
47666	165.11345613809843	9.872703	-1		
27968	165.12758725093028	3.848238	10		
21106	165.12761059678147	2.452708	-1		
4673	166.0493069437316	0.8626724	10		
1175	166.05341006634916	0.45789772	-1	1175.0	DL-Methionine sulfoxide
2473	166.0723830939543	0.58908314	-1		
2529	166.08633686583212	0.5961255	-1		
8396	166.08650103732558	1.5145197	10	8396.0	GOSOGLIPTIN
4700	166.08651591792895	0.86979043	10	4700.0	Phenylalanine
11999	166.0865186140458	1.7521735	10	11999.0	L-phenylalanine
49000	166.1086535526482	10.540959	259	49000.0	104683-52-5 (Chimeric precursor selection)
49259	166.10866408754435	10.674671	259	49259.0	104683-52-5 (Chimeric precursor selection)
48613	166.10866725965502	10.428314	259	48613.0	104683-52-5 (Chimeric precursor selection)
48119	166.10867200182483	10.110184	259	48119.0	104683-52-5 (Chimeric precursor selection)
46891	166.10867397499794	9.517623	259	46891.0	104683-52-5 (Chimeric precursor selection)
47256	166.10867791317943	9.6827	259	47256.0	104683-52-5 (Chimeric precursor selection)
47542	166.10867721842382	9.856946	259	47542.0	104683-52-5 (Chimeric precursor selection)
47968	166.1086765723184	9.980166	259	47968.0	104683-52-5 (Chimeric precursor selection)
48489	166.10867846925402	10.225146	259	48489.0	104683-52-5 (Chimeric precursor selection)
1964	167.01288105823156	0.42839772	103	1964.0	3-METHYLGLUTACONIC ACID
49743	167.01288023977236	10.7892885	103		
7678	167.04538848142323	1.4584607	-1		
1572	167.09229672849565	0.47667113	10		
48894	167.09270168941487	10.53165	-1		
49295	167.0927084568037	10.663188	-1		
48230	167.09273905328746	10.130138	-1		
22982	167.10682287709423	2.7408776	-1		
19667	167.10688232781155	2.251368	103	19667.0	(S)-(-)-Perillic acid CollisionEnergy:102040
5232	167.11799835779732	0.95545906	-1		
6209	167.11808774326752	1.1649806	10		
2528	168.01411716410246	0.5918107	-1		
3558	168.0651916283343	0.7097478	-1		
1871	168.0655107391771	0.5118389	10	1871.0	3-Methoxyanthranilic acid
885	168.07680521371003	0.42089543	-1		
3458	168.1231377502876	0.7125492	-1		
558	169.04577547204343	0.38849488	154		
960	169.05873584776245	0.44105175	-1		
737	169.09563465094985	0.41698268	-1		
2916	169.097149893147	0.66785717	10		
5881	169.0972194853076	1.0815575	10		
4510	169.1335394941075	0.8480721	10		
5329	169.13361159528463	0.96965486	10		
8262	169.13363873467722	1.4549005	-1		
1116	170.03289119878391	0.44641563	202		
904	170.04150830974376	0.42859447	202		
1118	170.0479317659789	0.4409322	202		
8853	170.06015323373188	1.5371581	-1		
2391	170.08112693419514	0.5849585	10	2391.0	PYRIDOXINE
1399	170.0811542706398	0.46494377	-1		
6162	170.08123453935272	1.1705327	10		
862	170.0923207557619	0.41330618	202		
15144	170.11777116300962	1.964592	306		
849	170.1652783495772	0.42120337	10		
561	171.04335886051274	0.39034474	154		
1290	171.07638942468336	0.45765787	10		
14708	171.10173168553453	1.9640458	-1		
11660	171.1017373631286	1.7590386	-1		
6446	171.11295376406997	1.2457184	-1		
1253	171.14920290964227	0.5182994	306		
10414	171.14929442433197	1.6478655	306		
17356	171.14933654890626	2.1369636	-1		
45183	171.18555682260896	9.128559	-1		
11024	171.61810974034756	1.6686784	117		
8531	171.61816450633626	1.5179657	117		
624	171.99235744809536	0.38216084	103		
2147	172.06035809924032	0.56536514	-1		
4647	172.09686525548045	0.86859006	165		
4060	172.0968968792817	0.7610537	165	4060.0	Proline_C3:0
5722	172.09692891335504	1.0438043	-1		
10923	172.096935874734	1.6499857	-1		
13779	172.09694390391195	1.8535762	495		
8006	172.0969560969571	1.4773074	165		
15500	172.096995547157	1.9777873	306		
19642	173.09220033648904	2.336037	306		
4987	173.0924568661675	0.9094603	-1		
11788	173.11745328035457	1.7517016	-1		
2347	173.12858261840935	0.58244616	-1		
5011	173.1285969338262	0.9220159	10	5011.0	C2:0 N,N-diacyl putrescine
2432	173.13976569361603	0.5886888	134	2432.0	Candidate N-acetylputrescine-C2:0 (delta mass:42.0105)
1268	173.1398914256836	0.4426624	134	1268.0	Candidate N-acetylputrescine-C2:0 (delta mass:42.0105)
865	173.17624599096052	0.42134342	10	865.0	Candidate Cadaverine-C4:0 (delta mass:70.0421)
7124	174.05298098311744	1.3753135	10		
1508	174.07622010101016	0.47744268	10	1508.0	trans-ACPD
8343	174.07627927739492	1.4535865	10		
1554	174.08743182758178	0.47597975	10		
1478	174.112607995036	0.47277012	10		
12310	174.11273752638473	1.7265254	306	12310.0	C2:0 N-Acyl Leucine
14820	174.1127296840189	1.908074	-1		
16517	174.11276420256416	2.0324414	495	16517.0	HEXANOYLGLYCINE
2973	174.12373609777617	0.64065844	10	2973.0	C4:0 N-Acyl GABA
3960	174.14883632019252	0.75503993	-1		
2526	174.16020590386617	0.5789703	10		
1166	174.16022571385102	0.43175942	10		
10151	174.16032914045508	1.6726828	10		
1084	174.1803118022139	0.45115367	10		
20555	174.18543153448	2.4126267	10		
2276	175.02368237989194	0.57475024	-1		
4057	175.0479387172541	0.77025056	-1		
2837	175.05340237180275	0.61497676	10		
7952	175.0868317837518	1.4730468	-1		
15553	175.08685622733648	2.0013022	10	15553.0	INDOLE-3-ACETAMIDE
2706	175.10780064114283	0.6172564	60	2706.0	Spectral Match to Gly-Val from NIST14
9340	175.10784879578551	1.5234963	306		
1432	175.1079176731283	0.45670983	-1	1432.0	Arginine
27990	175.112085924764	3.8547797	-1		
12679	175.1160997586944	1.7620751	306		
928	175.11904643013676	0.43075147	-1	928.0	L-arginine
4688	175.11917991277474	0.8713693	10	4688.0	Massbank:CE000273 Arginine
2880	175.11942519853184	0.6276225	10		
9127	175.12660062795936	1.5559232	-1		
5818	175.14431563708715	1.0631521	-1		
23810	175.14842476849643	2.8460863	-1		
2394	175.15706013680028	0.5680808	10		
1384	175.1571594162112	0.4662368	10		
2423	175.16361088076795	0.56898	10		
13438	176.03790054639063	1.8458514	-1	13438.0	N-Acetyl-L-aspartic acid - 40.0 eV
2255	176.05535059224968	0.57440287	-1		
7030	176.07086679413072	1.3462638	10		
5828	176.07498439259754	0.99543613	-1		
3078	176.09184986180813	0.65943986	-1		
1285	176.09187533246376	0.46699435	221	1285.0	L-citrulline
5264	176.09193035783437	0.96182895	-1		
12297	176.0919884877348	1.7477936	-1		
6114	176.0919951218257	1.1564006	-1		
11129	176.10095174003797	1.675346	-1		
1219	176.1030851712813	0.46198454	221	1219.0	L-citrulline
48869	176.10559677234198	10.52764	50	48869.0	113777-33-6
48702	176.10561052421423	10.42217	50	48702.0	113777-33-6
48086	176.1056128301559	10.041643	50	48086.0	113777-33-6
859	176.12232172646011	0.43206102	10		
2041	176.12821944854986	0.5250451	495		
1386	176.1647280955425	0.4732928	10		
933	177.02467796061407	0.43349046	-1		
25863	177.0554859571341	3.2997367	-1		
1394	177.0617150548053	0.4666366	-1	1394.0	ALLANTOIC ACID
4838	177.0762019185024	0.90437376	-1		
4145	177.10239266850647	0.7870446	-1	4145.0	Serotonin
48750	177.11405633602303	10.502523	-1		
680	177.9961321032019	0.40310222	-1		
8993	178.04989579319678	1.5807934	-1		
17258	178.05004576904165	2.172982	10	17258.0	fMet - 30.0 eV
23037	178.05006416246582	2.7549517	-1		
12800	178.05010618982624	1.8496298	-1		
5630	178.0534751672377	1.0309687	495		
822	178.05874698653992	0.4210861	-1		
4788	178.0724323990329	0.8301998	125		
2898	178.0896882951236	0.63428587	-1		
5841	178.08980813026574	1.0700471	-1		
48885	178.1086170360261	10.521349	273		
49156	178.10861895119717	10.631778	-1		
48223	178.10863213593612	10.132207	-1		
48640	178.10863013652158	10.39393	273	48640.0	hydralazine
47808	178.10864348492706	9.922065	-1		
48535	178.10864317232856	10.2709055	-1		
2016	178.11859911117884	0.5531766	-1		
7557	178.14441942602835	1.4234447	-1		
48839	179.092596637375	10.509219	-1		
49229	179.09260425304834	10.629562	-1		
48298	179.0926190860238	10.089256	-1		
15978	179.1068321559324	2.0156708	-1		
19426	179.10684224035293	2.2679086	-1		
4432	179.1180671726164	0.82794935	-1		
22218	179.11913357324227	2.6237488	10		
30933	179.1432025242261	5.188624	-1		
22669	179.14321951709366	2.6788983	-1		
49679	180.02193432169892	10.782348	154		
17069	180.0657274262683	2.1015973	-1		
12589	180.06573288867463	1.7626698	-1	12589.0	Hippuric acid CollisionEnergy:205060
2910	180.0866882911777	0.62661266	-1		
954	180.08721853428477	0.42529544	-1	954.0	Spectral Match to D-Glucosamine from NIST14
4062	180.08786422855275	0.7587025	10		
13049	180.1020720823329	1.8003361	-1		
10904	180.1021081329687	1.6567817	-1		
5820	180.11328241362796	1.0794971	54	5820.0	N-Acetyl-tyramine
9567	180.13849772825822	1.584593	-1		
2022	180.14944581221712	0.59487563	-1		
19154	180.15961809310863	2.2680154	-1		
181	180.98987976489963	0.10928299	154		
49709	180.98991826691432	10.785985	154		
49561	181.01449630140047	10.771569	154		
2007	181.05280206587844	0.5222486	-1		
10145	181.06101464188416	1.6203446	60	10145.0	Nicotinuric acid - 30.0 eV
3549	181.0971763723817	0.6812676	-1		
10412	181.0973329952708	1.6363248	54		
634	181.108218905094	0.40370822	10		
22936	181.1224549400472	2.7205017	-1		
15741	181.12247418828	2.002456	-1		
4150	181.1336501129313	0.7407789	-1		
5269	181.1448375642563	0.9612779	-1		
33100	181.15884380860567	6.186703	-1		
23349	181.1701244593968	2.8010528	-1		
49736	181.98804246465107	10.789347	154		
49560	182.0228599041732	10.771104	-1		
2470	182.029946105765	0.6028746	-1		
3044	182.05504648636213	0.6284064	192		
1555	182.0579027906178	0.47362518	10		
7539	182.08051008320209	1.468958	-1		
6361	182.08103771708232	1.1895628	-1		
1639	182.0812112048721	0.4861307	192	1639.0	L-tyrosine
2776	182.08125400433985	0.6234915	192	2776.0	Tyrosine
2974	182.0932193353311	0.636972	192	2974.0	TYROSINE
2559	182.1029093395368	0.6034473	192	2559.0	Tyrosine
21095	182.11780975030345	2.4711537	-1		
1126	182.9852864330539	0.41978833	154		
185	182.9852951960349	0.09992917	154		
49705	182.9853048457725	10.785782	154		
42067	182.98532159323287	8.816903	154		
38755	182.985322397893	8.620903	154		
49557	183.0093257167542	10.769343	154		
2793	183.08460505751955	0.619983	192		
8113	183.1016111670054	1.5035715	154	8113.0	MANNITOL - 30.0 eV
3393	183.11296273786857	0.73696655	687		
5327	183.1129827614168	0.9697683	587		
6280	183.1130546552914	1.1966608	587		
8757	183.1132206749691	1.5508274	587		
23336	183.14947290201496	2.7985744	-1	23336.0	CHEMBL595172
8673	183.14949195322689	1.5211512	587		
49558	184.01813855763908	10.771231	-1		
14875	184.0371439919793	1.9437342	-1		
2694	184.0604234635105	0.6101768	-1		
3877	184.060589044963	0.751642	12	3877.0	4-PYRIDOXATE
1278	184.06400667721368	0.4675486	-1		
5592	184.0970078040286	1.0267203	-1		
15194	184.09707614666337	1.9623718	-1		
2590	184.10807283947443	0.5968842	-1		
1235	184.1444996301801	0.41053256	10		
2644	184.1447435938209	0.60704756	10		
49592	184.9854765833253	10.777178	154		
586	185.0234797647513	0.40992624	400		
4064	185.02355148235367	0.7946974	400		
851	185.0687193401592	0.42083618	400		
3166	185.0921898602901	0.65917313	-1		
25779	185.11733666707124	3.2497005	426		
26761	185.11738555555408	3.4595826	426		
19672	185.1174165485834	2.292828	-1	19672.0	Spectral Match to Decanedioic acid, bis(2-ethylhexyl) ester from NIST14
22984	185.1174448576509	2.7330816	-1		
2575	185.12858795520685	0.60224736	12		
10103	185.12881484461548	1.6254916	-1		
7692	185.12883229452908	1.4624872	687		
2646	185.14802134159245	0.60704756	-1		
7304	185.1538774804254	1.3767436	-1		
939	185.9598810141461	0.43669716	-1		
49652	185.9827266471832	10.7794075	154		
589	185.9834508838552	0.38701272	154		
1211	186.0543762480765	0.45911124	54		
2154	186.07624015892344	0.5665353	-1		
3263	186.07626224257623	0.67880845	-1		
1732	186.11263233929213	0.5352516	-1		
6279	186.11275598950004	1.2004162	-1		
15769	186.11278627981235	1.9901657	495		
18864	186.11283885525955	2.198906	495		
1895	186.16029336704284	0.47857785	-1		
49589	186.9809402127702	10.777084	154		
30506	187.08683289277	4.967626	480		
10513	187.08735447382145	1.6635765	10		
2226	187.1079126982584	0.48769373	-1		
22192	187.1080076522312	2.6237638	-1		
8197	187.14441826204856	1.4974045	-1	8197.0	N-(5-acetamidopentyl)acetamide
4044	188.055615692488	0.7671361	-1		
4753	188.0685236613588	0.8759688	-1		
26136	188.0707574090754	3.3417792	125	26136.0	Spectral Match to L-Tryptophan from NIST14
8975	188.07086944668083	1.5435913	125	8975.0	Spectral Match to Abrine from NIST14
11794	188.0743338407707	1.7230242	-1		
4677	188.09190404133807	0.86784595	125		
2145	188.09190124791047	0.51859725	58	2145.0	NCGC00381347-01!5-acetamido-4-oxohexanoic acid
5448	188.09196175225065	1.0029261	514		
7073	188.0920210576448	1.4398587	514		
15342	188.0920012967069	1.9493032	125		
2129	188.10297898561905	0.56457794	-1		
3766	188.12833577395511	0.73332787	125		
15105	188.12838690009272	1.964679	-1	15105.0	3-aminopropanoic acid_hexanoyl chloride
17874	188.1284198923148	2.1340659	-1		
832	188.17586976979268	0.43242538	-1	832.0	Candidate Spermidine-C2:0 (delta mass:42.0104)
2242	188.17594605868325	0.5407804	58		
49585	188.9785536463872	10.776522	-1		
7666	189.02742167664312	1.4579653	-1		
1213	189.04692452057984	0.45650336	58		
14267	189.06960053859007	1.9005631	-1		
2113	189.0870657946436	0.56386435	58	2113.0	ALPHA-N-ACETYL-GLUTAMINE
21442	189.10250780160823	2.522039	480		
48852	189.11350885745503	10.529758	-1		
48062	189.1135244152836	10.079135	-1		
49290	189.1135160760005	10.668935	-1		
47833	189.1135405729914	9.864062	-1		
2077	189.1234804752262	0.54214585	58	2077.0	Spectral Match to N.alpha.-Acetyl-L-lysine from NIST14
4154	189.12349556917948	0.80425453	-1		
3237	189.1234963656337	0.6860717	33	3237.0	Spectral Match to Gly-Ile from NIST14
5073	189.12353216282463	0.922999	60	5073.0	Spectral Match to Gly-Leu from NIST14
5629	189.12355613977093	1.0365744	60	5629.0	Glycyl-L-leucine CollisionEnergy:102040
12423	189.1237145932748	1.773405	125		
844	189.15983410644407	0.42083725	58		
20971	190.0501047920136	2.4640446	370		
12151	190.0501976994788	1.712699	370	12151.0	KYNURENATE
2705	190.07110916733336	0.6161129	58	2705.0	N-ACETYL-GLUTAMIC ACID
11606	190.08991506254307	1.7325633	-1		
1796	190.10754984213224	0.510476	58		
4568	190.1075587291405	0.85450935	-1	4568.0	castanospermine
5720	190.107604574716	1.0448116	486		
15178	190.1076238339123	1.9122566	446		
18534	190.1076298279807	2.219305	125		
7378	190.10766009453792	1.4346087	486		
11434	190.1076667022092	1.7087262	370		
2141	190.11863094877387	0.5668666	58		
28301	190.12632192279787	3.9745483	-1		
3242	190.13724472740327	0.6852401	480		
1852	190.137449259798	0.46856734	480		
3121	190.14392209198	0.6515437	58		
11865	190.1440304316572	1.7565463	-1		
2872	190.15518248329613	0.6293377	480		
1267	190.15524073954745	0.4638697	480		
19448	190.1593798191081	2.298237	-1		
929	191.0768180241964	0.41898808	-1		
22929	191.1068657314585	2.7385445	-1	22929.0	Ligustilide 
12891	191.1069003797697	1.8304045	-1		
19663	191.11821621042367	2.321881	336		
5996	191.1184159000481	1.1608928	-1		
2902	191.1212131812858	0.63552266	-1		
3562	191.13921392762825	0.7204483	-1		
5017	191.1392475271812	0.9088911	370		
27033	191.14324974275107	3.5568283	-1		
27333	191.1643956960156	3.63628	-1		
951	192.02425363754355	0.4375828	-1		
5721	192.0260167700684	1.1037841	-1		
570	192.06201032684007	0.39741114	-1		
14751	192.0657920042518	1.9367456	125	14751.0	2-oxindole-3-acetic acid CollisionEnergy:102040
9582	192.06929157304887	1.5852245	-1	9582.0	N-ACETYL-DL-METHIONINE - 40.0 eV
7291	192.0693026213866	1.4088135	-1		
8108	192.0868454547173	1.4506404	446		
22831	192.1231983572192	2.7224197	-1		
48850	192.1243681516128	10.49062	-1		
7068	192.1604087459782	1.362053	-1		
5339	192.1604197528827	0.99028856	-1		
2267	193.0343609315	0.57338876	-1	2267.0	CITRIC ACID
6447	193.09712082973684	1.2522314	315		
27976	193.12261032299017	3.8455968	409		
21096	193.1226246808801	2.4438941	409		
34053	193.12264434929503	6.7599487	-1		
7071	193.13390565997045	1.4024221	315		
1119	193.15491287686183	0.4552435	-1		
23190	193.1590545486103	2.8342452	-1		
686	193.9738219990473	0.4052901	-1		
2177	194.04830868091952	0.5680994	58		
18117	194.0814929632081	2.161113	242	18117.0	MPEP
14291	194.08151019105367	1.8916875	33	14291.0	PHENYLACETYLGLYCINE
4315	194.1033678261544	0.80916214	10		
49522	194.11769407991605	10.762907	-1		
1349	194.1177358753893	0.47144547	127		
12523	194.11789759343367	1.7721488	-1	12523.0	C3:0_Tyramine
6702	195.0766858058322	1.2814907	544		
21023	195.1003640364204	2.4340863	-1		
22512	195.101782349572	2.6617136	-1		
5199	195.11329789325228	0.95141715	336		
6188	195.11331690012665	1.15765	-1		
4748	195.1228096565078	0.8825083	-1	4748.0	Spectral Match to Tetraethylene glycol from NIST14
5609	195.12288398782405	1.0264455	-1		
48667	195.13522031682143	10.412755	-1		
15417	195.1379929052325	1.9611814	-1		
26972	195.1380717478584	3.5310776	-1		
8058	195.160734540682	1.4856695	-1		
10330	195.6065973787635	1.6297449	-1		
49803	195.9936135441181	10.800667	623		
1127	195.9936600332177	0.37830132	623		
49752	196.0168839443896	10.791776	-1		
39140	196.016979659	8.635424	-1		
7055	196.0608675911849	1.3589615	544	7055.0	4-HYDROXY-BZ-GLY-OH - 30.0 eV
3222	196.0970778489931	0.6836261	492		
5794	196.09717340151	1.0794072	492		
8634	196.1181263647852	1.5104545	-1		
2379	196.1424242632679	0.58377904	-1		
2906	196.18090739283016	0.64850545	-1		
547	197.0407872721408	0.38919225	-1		
7839	197.06957671686044	1.4643888	-1		
2758	197.0921539981934	0.6220839	-1		
825	197.1009880818641	0.42007998	-1	825.0	Arginine
21617	197.1166227504852	2.5440812	-1		
18305	197.1167588230208	2.1872983	-1		
19515	197.11677611902903	2.302754	409	19515.0	Loliolide
5821	197.12850310172485	0.964616	-1		
6066	197.12859154740133	1.1262531	588		
9171	197.12860285759865	1.4636979	336		
3590	197.1396866300578	0.7307841	588		
30924	197.1538760645144	5.186171	444		
22634	197.15389879620304	2.672088	444		
3013	198.0761900231951	0.56861055	-1		
4906	198.0760851880398	0.8960766	-1		
1075	198.08680779177385	0.45760307	242	1075.0	Histidine_C2:0
3649	198.09493390936453	0.73081887	336		
12386	198.11262853618643	1.7678765	-1		
2937	198.1236096192285	0.6553238	-1		
21118	198.14915162851068	2.5553546	-1		
1734	198.15981377941395	0.47202614	227		
3036	198.1601970032405	0.6772715	-1		
16844	198.18556866407744	2.0775714	-1		
528	198.9396037303934	0.38976887	-1		
2452	199.1078358517057	0.5915463	409		
20833	199.1078726699769	2.4390743	-1		
4552	199.10789337534047	0.8469882	-1		
5496	199.1079364489985	1.0314672	58		
15229	199.12338046126564	1.9361265	-1		
5255	199.1441824260115	0.94217616	-1		
4100	199.1442335272324	0.776501	235		
33101	199.1695612571078	6.2070556	-1		
23101	199.169574238845	2.7647386	-1		
812	199.19173184026369	0.43605813	-1		
101	199.9880598967588	0.069588386	17		
5623	200.03546048967127	1.0293019	17		
4713	200.0547311369354	0.92789584	17	4713.0	fMet CollisionEnergy:205060
2209	200.0919005353253	0.5717814	-1		
8691	200.09192737669304	1.5217186	-1		
5498	200.09194399120827	1.0140413	336		
48913	200.0929685898594	10.529374	-1		
49276	200.09297739612936	10.667949	-1		
48106	200.09299627153868	10.126694	-1		
47006	200.09300692421405	9.530147	-1		
47444	200.0930142515193	9.690269	-1		
23064	200.12836275559644	2.763663	323		
12316	200.12838470875457	1.8820993	323		
18468	200.12841775526687	2.1838703	-1		
23343	200.17537119411327	2.8006248	-1		
785	200.17577141278824	0.41926485	-1		
588	200.9726371612426	0.39624423	218		
49765	200.9958399155159	10.791832	218		
38738	200.99586138237007	8.616754	-1		
192	200.99625619672167	0.09370213	218		
3882	201.07362530424908	0.7560821	-1		
2618	201.08708493527888	0.60891443	-1		
25462	201.12359323964367	3.2121232	-1		
1113	201.20725838768908	0.4555611	-1		
942	201.9337957572916	0.43526888	-1		
12617	202.04778265055063	1.7790164	-1		
4135	202.0708290323308	0.7702672	-1		
8379	202.0708481082206	1.4735228	58		
5050	202.0708482154496	0.90526134	58		
