FeatureID	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	NA1a	NA1b	NA1c	NA2a	NA2b	NA2c	NA3a	NA3b	NA3c	NA4a	NA4b	NA4c	NA5a	NA5b	NA5c	NA6a	NA6b	NA6c
tr_A0A6I1MM49_A0A6I1MM49_9CLOT	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
tr_A0A6I4WSU1_A0A6I4WSU1_AERCA	0	2	3	0	2	0	1	0	0	0	2	0	0	0	4	2	0	7	0	4	0	0	1	6	0	0	0	0	0	0	0	0	3	0	0	0	4	0	1	0	4	0
tr_A0A6N2XTU3_A0A6N2XTU3_9FIRM	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A6N2ZHG9_A0A6N2ZHG9_CLOSY	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A6N2ZKU8_A0A6N2ZKU8_9ACTN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A6P1TS46_A0A6P1TS46_9FIRM	1	1	2	0	2	0	1	0	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	4	2	1	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	1
tr_A0A7G9FZ05_A0A7G9FZ05_9FIRM	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A7I8D403_A0A7I8D403_9FIRM	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
tr_A0A7K0G5W2_A0A7K0G5W2_9ACTN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
tr_A0A7X2TKD6_A0A7X2TKD6_9FIRM	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A7X3MIN2_A0A7X3MIN2_9FIRM	0	1	1	0	1	1	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
tr_A0A810QG66_A0A810QG66_9FIRM	0	0	3	0	1	0	0	0	1	0	1	0	1	0	3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
tr_A0A850HF69_A0A850HF69_9FIRM	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A855A885_A0A855A885_9FIRM	1	5	1	1	6	4	1	1	3	8	2	1	1	1	7	0	0	4	3	3	0	0	1	8	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	0	1
tr_A0A8B2XLX2_A0A8B2XLX2_9FIRM	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tr_A0A8I0Q0T5_A0A8I0Q0T5_MORMO	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	7	3	2
tr_A0A921IL61_A0A921IL61_9FIRM	0	1	4	0	2	0	0	0	2	0	3	0	0	0	4	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1
