FeatureID	BSH_strain	comparison	pval	BA_suppl
229_i	Dny-BSH1	t0hvt48h	0.0012997747979068	TUDCA
68_i	Dny-BSH1	t0hvt48h	0.042030085782872	TUDCA
70_i	Dny-BSH1	t0hvt48h	5.81126670569945e-06	TUDCA
129_i	Dny-BSH2	t0hvt48h	0.0102970463459592	TUDCA
236_i	Dny-BSH2	t0hvt48h	0.00373993606693047	TUDCA
39742	EcAZ-1-cat	t0hvt48h	0.00283599985620309	TUDCA
129_i	EcAZ-1-cat	t0hvt48h	0.000739337103866486	TUDCA
236_i	EcAZ-1-cat	t0hvt48h	0.0125331804685275	TUDCA
129_i	Ep-BSH101	t0hvt48h	0.000159565810534988	TUDCA
236_i	Ep-BSH101	t0hvt48h	0.0010977329236763	TUDCA
129_i	LCAG-95-BSH1208	t0hvt48h	0.00685648470216928	TUDCA
205_i	LCAG-95-BSH1208	t0hvt48h	0.00134425116243139	TUDCA
214_i	LCAG-95-BSH1208	t0hvt48h	0.00100972597099942	TUDCA
229_i	LCAG-95-BSH1208	t0hvt48h	0.000632259158099866	TUDCA
232_i	LCAG-95-BSH1208	t0hvt48h	0.00609438443117536	TUDCA
236_i	LCAG-95-BSH1208	t0hvt48h	2.71699555915419e-06	TUDCA
70_i	LCAG-95-BSH1208	t0hvt48h	0.00019726503193222	TUDCA
38983	Lgasseri-BSH	t0hvt48h	0.022712119646894	TUDCA
129_i	Lgasseri-BSH	t0hvt48h	0.00657878809235727	TUDCA
214_i	Lgasseri-BSH	t0hvt48h	0.00753986701822862	TUDCA
