FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFA13a	cFA13b	cFA17a	cFA17b	cFA21a	cFA21b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b	cFT13a	cFT13b	cFT17a	cFT17b	cFT21a	cFT21b	cNA01a	cNA01b	cNA01c	cNA05a	cNA05b	cNA05c	cNA09a	cNA09b	cNA09c	cNA13a	cNA13b	cNA13c	cNA17a	cNA17b	cNA17c	cNA21a	cNA21b	cNA21c
Alloprevotella sp900095835|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Allosaccharopolyspora coralli|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alpha-05 sp900079695|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Alteraurantiacibacter gangjinensis|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Amedibacterium intestinale|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Aminobacterium colombiense|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Aminomonas paucivorans|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Amulumruptor caecigallinarius|PF04563.18	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	2	1	0	0	0	0	0	0	0	4	16	6	2	5	6	2	4	11	0	7	2	2	5	4	0	2	0
An181 sp002160325|PF04563.18	0	0	8	0	0	0	0	0	3	2	4	0	0	0	0	0	0	0	0	0	4	2	3	0	0	0	0	0	0	0	2	0	0	4	6	0	3	0	1	0	3	3
An92 sp900199495|PF04563.18	2	4	145	1	13	16	2	16	9	7	10	4	6	12	4	26	18	10	0	10	21	15	4	14	0	4	21	11	10	15	6	7	19	0	6	7	6	14	26	17	10	26
Anaerobutyricum faecale|PF04563.18	7	4	26	5	6	5	5	6	3	6	5	4	0	4	5	11	8	4	3	10	12	2	4	3	2	1	2	1	0	2	2	2	3	4	2	2	2	2	0	4	2	5
Anaerobutyricum hallii|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerococcus pacaensis|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Anaerocolumna aminovalerica|PF04563.18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerocolumna sp000702945|PF04563.18	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	1	1	2	6	7	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
Anaerocolumna xylanovorans|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Anaerofilum faecale|PF04563.18	6	2	4	14	8	5	5	14	16	13	3	9	16	8	16	14	18	8	4	6	25	9	21	26	3	0	4	0	2	0	2	1	0	0	1	2	1	1	2	0	0	2
Anaeromassilibacillus senegalensis|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Anaerophaga thermohalophila_A|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
Anaerosporobacter sp018372435|PF04563.18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
